# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.78
metadata : {}


# id : NWRW1800000048.78.1.1
미국도 지지…세계 5대 통화로 위안 수요 늘고 가치 올라갈 듯

미국도	미국/NNP+도/JX
이어	잇/VV+어/EC
다섯번째	다섯/NR+번/NNB+째/XSN
구성	구성/NNG
통화가	통화/NNG+가/JKC
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.6.3
달러 등 다른 통화들은 이미 국제 거래와 결제의 기본이 되는 기축통화로서의 지위를 누리고 있다.

달러	달러/NNG
등	등/NNB
다른	다른/MMD
통화들은	통화/NNG+들/XSN+은/JX
이미	이미/MAG
국제	국제/NNG
거래와	거래/NNG+와/JC
결제의	결제/NNG+의/JKG
기본이	기본/NNG+이/JKC
되는	되/VV+는/ETM
기축통화로서의	기축/NNG+통화/NNG+로서/JKB+의/JKG
지위를	지위/NNG+를/JKO
누리고	누리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.78.6.4
국제통화기금 중국팀 책임자를 지낸 에스와르 프라사드 미국 코넬대학 교수는 “국제금융 연대기에서 중요한 사건의 하나가 될 것”이라고 평가했다.

국제통화기금	국제통화기금/NNP
중국팀	중국/NNP+팀/NNG
책임자를	책임자/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
에스와르	에스와르/NNP
프라사드	프라사드/NNP
미국	미국/NNP
코넬대학	코넬대학/NNP
교수는	교수/NNG+는/JX
“국제금융	“/SS+국제/NNG+금융/NNG
연대기에서	연대기/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
사건의	사건/NNG+의/JKG
하나가	하나/NR+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.78.6.5
(<파이낸셜 타임스>)

(<파이낸셜	(/SS+</SS+파이낸셜/NNP
타임스>)	타임스/NNP+>/SS+)/SS


# id : NWRW1800000048.78.7.1
위안의 특별인출권 편입이 중국에 경사임은 두말할 나위가 없다.

위안의	위안/NNG+의/JKG
특별인출권	특별/NNG+인출/NNG+권/XSN
편입이	편입/NNG+이/JKS
중국에	중국/NNP+에/JKB
경사임은	경사/NNG+이/VCP+ㅁ/ETN+은/JX
두말할	두말/NNG+하/XSV+ㄹ/ETM
나위가	나위/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.78.7.2
국내총생산(GDP) 기준 세계 2위이자 구매력 평가기준으로는 세계 1위 경제대국에 걸맞은 위상을 찾아가는 것이다.

국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
기준	기준/NNG
세계	세계/NNG
2위이자	2/SN+위/NNB+이/VCP+자/EC
구매력	구매력/NNG
평가기준으로는	평가/NNG+기준/NNG+으로/JKB+는/JX
1위	1/SN+위/NNB
경제대국에	경제/NNG+대국/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
위상을	위상/NNG+을/JKO
찾아가는	찾아가/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.7.3
1970년 후반 개혁·개방에 나서고 2001년 세계무역기구에 가입한 뒤 거둔 중요한 성과의 일부다.

1970년	1970/SN+년/NNB
후반	후반/NNG
개혁·개방에	개혁/NNG+·/SP+개방/NNG+에/JKB
나서고	나서/VV+고/EC
2001년	2001/SN+년/NNB
세계무역기구에	세계무역기구/NNP+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
거둔	거두/VV+ㄴ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
성과의	성과/NNG+의/JKG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.8.1
특별인출권은 달러와 금의 문제점을 보완하기 위해 1969년 도입된 국제 지급준비자산이다.

특별인출권은	특별/NNG+인출/NNG+권/XSN+은/JX
달러와	달러/NNG+와/JC
금의	금/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
보완하기	보완/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1969년	1969/SN+년/NNB
도입된	도입/NNG+되/XSV+ㄴ/ETM
국제	국제/NNG
지급준비자산이다.	지급/NNG+준비/NNG+자산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.8.2
엄격한 의미에서 통화는 아니지만 사실상 통화로서의 구실을 하고 있다.

엄격한	엄격/NNG+하/XSA+ㄴ/ETM
의미에서	의미/NNG+에서/JKB
통화는	통화/NNG+는/JX
아니지만	아니/VCN+지만/EC
사실상	사실/NNG+상/XSN
통화로서의	통화/NNG+로서/JKB+의/JKG
구실을	구실/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.78.8.3
특별인출권을 갖고 있으면 외환위기 등을 겪어 결제통화가 필요할 때 편입 통화군 가운데 어느 통화로도 교환할 수 있다.

특별인출권을	특별/NNG+인출/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있으면	있/VX+으면/EC
외환위기	외환/NNG+위기/NNG
등을	등/NNB+을/JKO
겪어	겪/VV+어/EC
결제통화가	결제/NNG+통화/NNG+가/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
때	때/NNG
편입	편입/NNG
통화군	통화군/NNG
가운데	가운데/NNG
어느	어느/MMD
통화로도	통화/NNG+로/JKB+도/JX
교환할	교환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.78.8.4
그래서 특별인출권 보유분은 외환보유액으로 인정받는다.

그래서	그래서/MAJ
특별인출권	특별/NNG+인출/NNG+권/XSN
보유분은	보유/NNG+분/XSN+은/JX
외환보유액으로	외환/NNG+보유액/NNG+으로/JKB
인정받는다.	인정/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000048.78.8.5
15일 현재 1SDR=1.47달러를 나타냈다.

15일	15/SN+일/NNB
현재	현재/MAG
1SDR=1.47달러를	1/SN+SDR/SL+=/SW+1/SN+./SP+47/SN+달러/NNB+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.78.9.1
중국은 2010년 위안이 특별인출권에 편입되도록 추진했으나 실패한 바 있다.

중국은	중국/NNP+은/JX
2010년	2010/SN+년/NNB
위안이	위안/NNG+이/JKS
특별인출권에	특별/NNG+인출/NNG+권/XSN+에/JKB
편입되도록	편입/NNG+되/XSV+도록/EC
추진했으나	추진/NNG+하/XSV+았/EP+으나/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.78.9.2
‘광범위하게 사용되는’ 화폐라는 요건은 채웠지만 ‘자유롭게 사용할 수 있는’ 화폐라는 요건을 갖추지 못한 탓이다.

‘광범위하게	‘/SS+광범위/NNG+하/XSA+게/EC
사용되는’	사용/NNG+되/XSV+는/ETM+’/SS
화폐라는	화폐/NNG+이/VCP+라는/ETM
요건은	요건/NNG+은/JX
채웠지만	채우/VV+었/EP+지만/EC
‘자유롭게	‘/SS+자유/NNG+롭/XSA+게/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는’	있/VA+는/ETM+’/SS
요건을	요건/NNG+을/JKO
갖추지	갖추/VV+지/EC
못한	못하/VX+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.9.3
중국 정부가 자본의 자유로운 이동을 통제한 데 따른 결과다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
자본의	자본/NNG+의/JKG
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
이동을	이동/NNG+을/JKO
통제한	통제/NNG+하/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.9.4
그런데 이번에는 환율의 유연성을 높이는 조처 등을 통해 이 관문을 넘었다.

그런데	그런데/MAJ
이번에는	이번/NNG+에/JKB+는/JX
환율의	환율/NNG+의/JKG
유연성을	유연성/NNG+을/JKO
높이는	높이/VV+는/ETM
조처	조처/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
이	이/MMD
관문을	관문/NNG+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.78.10.1
위안이 특별인출권에 편입된다고 해서 곧바로 세계경제에 큰 파급효과를 가져오지는 않을 것으로 예상된다.

위안이	위안/NNG+이/JKS
특별인출권에	특별/NNG+인출/NNG+권/XSN+에/JKB
편입된다고	편입/NNG+되/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
곧바로	곧바로/MAG
세계경제에	세계/NNG+경제/NNG+에/JKB
큰	크/VA+ㄴ/ETM
파급효과를	파급/NNG+효과/NNG+를/JKO
가져오지는	가져오/VV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.10.2
금융시장과 실물경제에 낳게될 효과는 좀더 시간이 지나야 가늠할 수 있을 듯하다.

금융시장과	금융/NNG+시장/NNG+과/JC
실물경제에	실물/NNG+경제/NNG+에/JKB
낳게될	낳/VV+게/EC+되/VV+ㄹ/ETM
효과는	효과/NNG+는/JX
좀더	좀/MAG+더/MAG
시간이	시간/NNG+이/JKS
지나야	지나/VV+아야/EC
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000048.78.10.3
그럼에도 위안 수요가 늘어나고 그에 따라 위안 가치가 올라갈 소지가 있다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
위안	위안/NNG
수요가	수요/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
그에	그/NP+에/JKB
따라	따르/VV+아/EC
가치가	가치/NNG+가/JKS
올라갈	올라가/VV+ㄹ/ETM
소지가	소지/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.78.10.4
중국으로서는 부담스런 부분이다.

중국으로서는	중국/NNP+으로서/JKB+는/JX
부담스런	부담/NNG+스럽/XSA+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.10.5
위안이 달러에 버금가는 구실을 하는 것도 지금으로서는 기대하기 어려워 보인다.

위안이	위안/NNG+이/JKS
달러에	달러/NNG+에/JKB
버금가는	버금가/VV+는/ETM
구실을	구실/NNG+을/JKO
하는	하/VV+는/ETM
것도	것/NNB+도/JX
지금으로서는	지금/NNG+으로서/JKB+는/JX
기대하기	기대/NNG+하/XSV+기/ETN
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.10.6
달러 패권에 정면으로 맞서기에는 아직 힘이 부친다는 게 많은 전문가들의 진단이다.

달러	달러/NNG
패권에	패권/NNG+에/JKB
정면으로	정면/NNG+으로/JKB
맞서기에는	맞서/VV+기/ETN+에/JKB+는/JX
아직	아직/MAG
힘이	힘/NNG+이/JKS
부친다는	부치/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
많은	많/VA+은/ETM
전문가들의	전문가/NNG+들/XSN+의/JKG
진단이다.	진단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.11.1
우리 경제에 미칠 파장 또한 당장은 크지 않을 것으로 전망된다.

우리	우리/NP
경제에	경제/NNG+에/JKB
미칠	미치/VV+ㄹ/ETM
파장	파장/NNG
또한	또한/MAG
당장은	당장/NNG+은/JX
크지	크/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.11.2
하지만 중장기적으로는 영향이 있기 마련이다.

하지만	하지만/MAJ
중장기적으로는	중장기/NNG+적/XSN+으로/JKB+는/JX
영향이	영향/NNG+이/JKS
있기	있/VA+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.78.11.3
한편에서는 위안의 가치 안정 등에 따른 긍정적인 효과를 기대한다.

한편에서는	한편/NNG+에서/JKB+는/JX
위안의	위안/NNG+의/JKG
가치	가치/NNG
안정	안정/NNG
등에	등/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
효과를	효과/NNG+를/JKO
기대한다.	기대/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.11.4
중국과 통화스와프를 체결한 만큼 우리의 외환 건전성이 강화되는 면에 기대를 걸기도 한다.

중국과	중국/NNP+과/JC
통화스와프를	통화/NNG+스와프/NNG+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
우리의	우리/NP+의/JKG
외환	외환/NNG
건전성이	건전/NNG+성/XSN+이/JKS
강화되는	강화/NNG+되/XSV+는/ETM
면에	면/NNG+에/JKB
기대를	기대/NNG+를/JKO
걸기도	걸/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.78.11.5
하지만 다른 한편에서는 중국발 불확실성에 더 노출될 수 있다고 걱정한다.

하지만	하지만/MAJ
다른	다른/MMD
한편에서는	한편/NNG+에서/JKB+는/JX
중국발	중국/NNP+발/XSN
불확실성에	불확실/NNG+성/XSN+에/JKB
더	더/MAG
노출될	노출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
걱정한다.	걱정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.11.6
중국이 특별인출권 편입이 완료된 뒤 위안의 평가절하를 단행할 가능성 등이 없지 않아서다.

중국이	중국/NNP+이/JKS
특별인출권	특별/NNG+인출/NNG+권/XSN
편입이	편입/NNG+이/JKS
완료된	완료/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
위안의	위안/NNG+의/JKG
평가절하를	평가/NNG+절하/NNG+를/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
가능성	가능/NNG+성/XSN
등이	등/NNB+이/JKS
없지	없/VA+지/EC
않아서다.	않/VX+아서/EC+이/VCP+다/EF+./SF


