# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.259
metadata : {}


# id : NWRW1800000052.259.1.1
피타고라스까지 끌어와 ‘살수 지침’ 지켰다는 경찰

피타고라스까지	피타고라스/NNP+까지/JX
살수구의	살수구/NNG+의/JKG
높이다.	높이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.259.4.2
경찰은 “살수차와 백씨 사이의 평면상 거리는 약 20m인 것으로 보인다”면서도 “살수구의 위치가 경찰 버스보다 두 배 이상 높고 경찰 버스의 높이가 3m 이상인 것을 고려하면 살수거리는 적어도 약 21m 이상”이라고 주장했다.

경찰은	경찰/NNG+은/JX
“살수차와	“/SS+살수차/NNG+와/JC
백씨	백/NNP+씨/NNB
사이의	사이/NNG+의/JKG
평면상	평면/NNG+상/XSN
거리는	거리/NNG+는/JX
약	약/MMA
20m인	20/SN+m/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”면서도	보이/VV+ㄴ다/EF+”/SS+면서/EC+도/JX
“살수구의	“/SS+살수구/NNG+의/JKG
위치가	위치/NNG+가/JKS
경찰	경찰/NNG
버스보다	버스/NNG+보다/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
높고	높/VA+고/EC
버스의	버스/NNG+의/JKG
높이가	높이/NNG+가/JKS
3m	3/SN+m/SW
이상인	이상/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
살수거리는	살수/NNG+거리/NNG+는/JX
적어도	적어도/MAG
21m	21/SN+m/SW
이상”이라고	이상/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.4.3
즉, 백씨가 살수차로부터 20m가량 떨어져 있던 것은 맞지만, 살수구의 높이가 6m 이상이기 때문에 실제 거리는 평면상의 직선거리가 아닌 빗변 거리로 해석해야 한다는 논리다.

즉,	즉/MAG+,/SP
백씨가	백/NNP+씨/NNB+가/JKS
살수차로부터	살수차/NNG+로부터/JKB
20m가량	20/SN+m/SW+가량/XSN
떨어져	떨어지/VV+어/EC
있던	있/VX+던/ETM
것은	것/NNB+은/JX
맞지만,	맞/VV+지만/EC+,/SP
살수구의	살수구/NNG+의/JKG
높이가	높이/NNG+가/JKS
6m	6/SN+m/SW
이상이기	이상/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
실제	실제/NNG
거리는	거리/NNG+는/JX
평면상의	평면/NNG+상/XSN+의/JKG
직선거리가	직선거리/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
빗변	빗변/NNG
거리로	거리/NNG+로/JKB
해석해야	해석/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.259.5.1
유체역학 전문가인 노현석 넥스트이엔에스 이사는 <한겨레>와 한 통화에서 “지면 가까이 있는 펌프로부터 살수구까지 물을 올릴 때 에너지가 소실되고, 다시 지면에 있는 시위대를 향해 물이 쏟아지면서 에너지가 증가된다”라며 “살수구 높이가 지상 6m이든, 20m이든 물의 세기는 같다”고 설명했다.

유체역학	유체/NNG+역학/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
노현석	노현석/NNP
넥스트이엔에스	넥스트이엔에스/NNP
이사는	이사/NNG+는/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“지면	“/SS+지면/NNG
가까이	가까이/MAG
있는	있/VA+는/ETM
펌프로부터	펌프/NNG+로부터/JKB
살수구까지	살수구/NNG+까지/JX
물을	물/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
때	때/NNG
에너지가	에너지/NNG+가/JKS
소실되고,	소실/NNG+되/XSV+고/EC+,/SP
다시	다시/MAG
지면에	지면/NNG+에/JKB
시위대를	시위대/NNG+를/JKO
향해	향하/VV+아/EC
물이	물/NNG+이/JKS
쏟아지면서	쏟아지/VV+면서/EC
증가된다”라며	증가/NNG+되/XSV+ㄴ다/EF+”/SS+이/VCP+라며/EC
“살수구	“/SS+살수구/NNG
높이가	높이/NNG+가/JKS
지상	지상/NNG
6m이든,	6/SN+m/SW+이든/JX+,/SP
20m이든	20/SN+m/SW+이든/JX
물의	물/NNG+의/JKG
세기는	세기/NNG+는/JX
같다”고	같/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.6.1
한편, 홍완선 서울 종로경찰서장이 이날 오후 백씨 유족들과 부검에 대해 협의를 하기 위해 서울대병원 장례식장을 찾았지만 유족은 “부검을 전제로 한 협의 절차는 진행할 수 없다”고 만남 자체를 거부했다.

한편,	한편/MAG+,/SP
홍완선	홍완선/NNP
서울	서울/NNP
종로경찰서장이	종로경찰서장/NNG+이/JKS
이날	이날/NNG
오후	오후/NNG
백씨	백/NNP+씨/NNB
유족들과	유족/NNG+들/XSN+과/JKB
부검에	부검/NNG+에/JKB
대해	대하/VV+아/EC
협의를	협의/NNG+를/JKO
하기	하/VV+기/ETN
위해	위하/VV+아/EC
서울대병원	서울대병원/NNP
장례식장을	장례식장/NNG+을/JKO
찾았지만	찾/VV+았/EP+지만/EC
유족은	유족/NNG+은/JX
“부검을	“/SS+부검/NNG+을/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
협의	협의/NNG
절차는	절차/NNG+는/JX
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
만남	만남/NNG
자체를	자체/NNG+를/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.6.2
종로경찰서는 전날, 16일을 기한으로 하는 4차 협의 요청을 통보한 바 있다.

종로경찰서는	종로경찰서/NNP+는/JX
전날,	전날/NNG+,/SP
16일을	16/SN+일/NNB+을/JKO
기한으로	기한/NNG+으로/JKB
하는	하/VV+는/ETM
4차	4/SN+차/NNB
협의	협의/NNG
요청을	요청/NNG+을/JKO
통보한	통보/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.259.7.1
앞서 유족 쪽 법률대리인은 헌법재판소에 “사인이 명백해 유족들이 원치 않는데도 부검 영장을 발부한 것은 과잉금지원칙을 위반한 것이다.

앞서	앞서/MAG
유족	유족/NNG
쪽	쪽/NNB
법률대리인은	법률/NNG+대리인/NNG+은/JX
헌법재판소에	헌법/NNG+재판소/NNG+에/JKB
“사인이	“/SS+사인/NNG+이/JKS
명백해	명백하/VA+아/EC
유족들이	유족/NNG+들/XSN+이/JKS
원치	원/NNG+하/XSV+지/EC
않는데도	않/VX+는데/EC+도/JX
부검	부검/NNG
영장을	영장/NNG+을/JKO
발부한	발부/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
과잉금지원칙을	과잉/NNG+금지/NNG+원칙/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.259.7.2
유족들의 사체처분권을 침해하고 있다”며 헌법소원심판청구를 제기했다.

유족들의	유족/NNG+들/XSN+의/JKG
사체처분권을	사체/NNG+처분/NNG+권/XSN+을/JKO
침해하고	침해/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
헌법소원심판청구를	헌법/NNG+소원/NNG+심판/NNG+청구/NNG+를/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.7.3
또 헌재의 판단이 나올 때까지 영장의 효력을 정지시켜달라는 가처분 신청도 냈다.

또	또/MAG
헌재의	헌재/NNG+의/JKG
판단이	판단/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
영장의	영장/NNG+의/JKG
효력을	효력/NNG+을/JKO
정지시켜달라는	정지/NNG+시키/XSV+어/EC+달/VX+라는/ETM
가처분	가/XPN+처분/NNG
신청도	신청/NNG+도/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.259.8.1
이날 대검찰청에서 열린 국회 법제사법위원회 국정감사에서는 박주민 더불어민주당 의원이 백씨 사망 원인 중 하나로 거론되는 빨간 우의 남성이 담긴 영상을 느리게 편집해 공개했다.

이날	이날/NNG
대검찰청에서	대/XPN+검찰청/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
법제사법위원회	법제/NNG+사법/NNG+위원회/NNG
국정감사에서는	국정/NNG+감사/NNG+에서/JKB+는/JX
박주민	박주민/NNP
더불어민주당	더불어민주당/NNP
의원이	의원/NNG+이/JKS
백씨	백/NNP+씨/NNB
사망	사망/NNG
원인	원인/NNG
중	중/NNB
하나로	하나/NR+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
빨간	빨갛/VA+ㄴ/ETM
우의	우의/NNG
남성이	남성/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
영상을	영상/NNG+을/JKO
느리게	느리/VA+게/EC
편집해	편집/NNG+하/XSV+아/EC
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.8.2
이 영상을 보면 빨간 우의 남성은 백씨의 얼굴 위로 쓰러지지 않고 손을 뻗어 땅을 짚는다.

이	이/MMD
영상을	영상/NNG+을/JKO
보면	보/VV+면/EC
빨간	빨갛/VA+ㄴ/ETM
우의	우의/NNG
남성은	남성/NNG+은/JX
백씨의	백/NNP+씨/NNB+의/JKG
얼굴	얼굴/NNG
위로	위/NNG+로/JKB
쓰러지지	쓰러지/VV+지/EC
않고	않/VX+고/EC
손을	손/NNG+을/JKO
뻗어	뻗/VV+어/EC
땅을	땅/NNG+을/JKO
짚는다.	짚/VV+는다/EF+./SF


# id : NWRW1800000052.259.8.3
박 의원은 “빨간 우의 남성 가격설이 얼마나 터무니없는지 알 수 있다”고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
“빨간	“/SS+빨갛/VA+ㄴ/ETM
우의	우의/NNG
남성	남성/NNG
가격설이	가격설/NNG+이/JKS
얼마나	얼마나/MAG
터무니없는지	터무니없/VA+는지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.259.8.4
이 가설은 극우 인터넷 커뮤니티 ‘일베”에서 처음 제기돼 여당 국회의원들에 의해 인용되고 있으며 최근 검찰의 서울대병원 압수수색영장에서도 압수수색이 필요한 사유로 등장했다.

이	이/MMD
가설은	가설/NNG+은/JX
극우	극우/NNG
인터넷	인터넷/NNG
커뮤니티	커뮤니티/NNG
‘일베”에서	‘/SS+일베/NNP+”/SS+에서/JKB
처음	처음/NNG
제기돼	제기/NNG+되/XSV+어/EC
여당	여당/NNG
국회의원들에	국회/NNG+의원/NNG+들/XSN+에/JKB
의해	의하/VV+아/EC
인용되고	인용/NNG+되/XSV+고/EC
있으며	있/VX+으며/EC
최근	최근/MAG
검찰의	검찰/NNG+의/JKG
서울대병원	서울대병원/NNP
압수수색영장에서도	압수/NNG+수색/NNG+영장/NNG+에서/JKB+도/JX
압수수색이	압수/NNG+수색/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
사유로	사유/NNG+로/JKB
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


