# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.31
metadata : {}


# id : NWRW1800000054.31.1.1
러, 나토 코앞서 10만명 군사훈련

러,	러/NNP+,/SP
훈련은	훈련/NNG+은/JX
나토	나토/NNP
소속국인	소속국/NNG+이/VCP+ㄴ/ETM
폴란드,	폴란드/NNP+,/SP
라트비아,	라트비아/NNP+,/SP
리투아니아와	리투아니아/NNP+와/JKB
국경을	국경/NNG+을/JKO
접하고	접하/VV+고/EC
있는	있/VX+는/ETM
지역	지역/NNG
6곳에서	6/SN+곳/NNG+에서/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.31.5.1
이번 훈련에는 2차 세계대전 당시 구소련군의 주력 부대였던 제1 근위전차군이 첫선을 보이는 등 10만여 명의 병력이 동원될 것으로 알려졌다.

이번	이번/NNG
훈련에는	훈련/NNG+에/JKB+는/JX
2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
당시	당시/NNG
구소련군의	구소련군/NNG+의/JKG
주력	주력/NNG
부대였던	부대/NNG+이/VCP+었/EP+던/ETM
제1	제/XPN+1/SN
근위전차군이	근위/NNG+전차/NNG+군/NNG+이/JKS
첫선을	첫선/NNG+을/JKO
보이는	보이/VV+는/ETM
등	등/NNB
10만여	10/SN+만/NR+여/XSN
명의	명/NNB+의/JKG
병력이	병력/NNG+이/JKS
동원될	동원/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.31.5.2
제1 근위전차군은 구소련군 붕괴 직후 해체됐다가 지난해 재창설됐다.

제1	제/XPN+1/SN
근위전차군은	근위/NNG+전차/NNG+군/NNG+은/JX
구소련군	구소련군/NNG
붕괴	붕괴/NNG
직후	직후/NNG
해체됐다가	해체/NNG+되/XSV+었/EP+다가/EC
지난해	지난해/NNG
재창설됐다.	재/XPN+창설/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.31.6.1
NYT는 "이번 훈련은 블라디미르 푸틴 러시아 대통령 취임 이후 취한 가장 큰 군사적 조치로 냉전 시대의 가장 불길한 날들을 떠올리게 한다"면서 "미국과 유럽이 취한 제재가 러시아에 아무런 영향을 주지 않았다는 점을 증명하기 위한 훈련"이라고 했다.

NYT는	NYT/SL+는/JX
"이번	"/SS+이번/NNG
훈련은	훈련/NNG+은/JX
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령	대통령/NNG
취임	취임/NNG
이후	이후/NNG
취한	취하/VV+ㄴ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
군사적	군사/NNG+적/XSN
조치로	조치/NNG+로/JKB
냉전	냉전/NNG
시대의	시대/NNG+의/JKG
불길한	불길하/VA+ㄴ/ETM
날들을	날/NNG+들/XSN+을/JKO
떠올리게	떠올리/VV+게/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"미국과	"/SS+미국/NNP+과/JC
유럽이	유럽/NNP+이/JKS
제재가	제재/NNG+가/JKS
러시아에	러시아/NNP+에/JKB
아무런	아무런/MMD
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
점을	점/NNG+을/JKO
증명하기	증명/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
훈련"이라고	훈련/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.31.7.1
나토는 러시아가 이번 훈련을 계기로 나토 접경 지역에 대규모 병력을 상주시킬 가능성을 우려하고 있다.

나토는	나토/NNP+는/JX
러시아가	러시아/NNP+가/JKS
이번	이번/NNG
훈련을	훈련/NNG+을/JKO
계기로	계기/NNG+로/JKB
나토	나토/NNP
접경	접경/NNG
지역에	지역/NNG+에/JKB
대규모	대/XPN+규모/NNG
병력을	병력/NNG+을/JKO
상주시킬	상주/NNG+시키/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.31.7.2
미국 특수작전사령부(SOC) 토니 토머스 사령관은 지난달 "가장 걱정되는 것은 (러시아군이) 그대로 눌러앉을 수 있다는 점"이라고 했다.

미국	미국/NNP
특수작전사령부(SOC)	특수/NNG+작전/NNG+사령부/NNG+(/SS+SOC/SL+)/SS
토니	토니/NNP
토머스	토머스/NNP
사령관은	사령관/NNG+은/JX
지난달	지난달/NNG
"가장	"/SS+가장/MAG
걱정되는	걱정/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
(러시아군이)	(/SS+러시아군/NNG+이/JKS+)/SS
그대로	그대로/MAG
눌러앉을	눌러앉/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점"이라고	점/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.31.7.3
미국은 강경 대응을 예고했다.

미국은	미국/NNP+은/JX
강경	강경/NNG
대응을	대응/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.31.7.4
에스토니아를 방문한 펜스 부통령은 이날 위리 라타스 에스토니아 총리와 만나 패트리엇 미사일 방어 시스템 구축과 러시아 군사훈련에 대한 감시 방안 등을 논의했다.

에스토니아를	에스토니아/NNP+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
펜스	펜스/NNP
부통령은	부통령/NNG+은/JX
이날	이날/NNG
위리	위리/NNP
라타스	라타스/NNP
에스토니아	에스토니아/NNP
총리와	총리/NNG+와/JKB
만나	만나/VV+아/EC
패트리엇	패트리엇/NNG
미사일	미사일/NNG
방어	방어/NNG
시스템	시스템/NNG
구축과	구축/NNG+과/JC
러시아	러시아/NNP
군사훈련에	군사/NNG+훈련/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시	감시/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


