# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.267
metadata : {}


# id : NWRW1800000038.267.1.1
"공에 살짝 선 그어놓으세요… 퍼팅할 때 도움됩니다"

"공에	"/SS+공/NNG+에/JKB
한	하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.267.5.4
잠자리에 들기 전 방에 깔아 놓은 퍼팅 매트에서 30분씩 퍼팅 연습을 하는 습관은 지금도 이어진다.

잠자리에	잠자리/NNG+에/JKB
들기	들/VV+기/ETN
전	전/NNG
방에	방/NNG+에/JKB
깔아	깔/VV+아/EC
놓은	놓/VX+은/ETM
퍼팅	퍼팅/NNG
매트에서	매트/NNG+에서/JKB
30분씩	30/SN+분/NNB+씩/XSN
연습을	연습/NNG+을/JKO
하는	하/VV+는/ETM
습관은	습관/NNG+은/JX
지금도	지금/NNG+도/JX
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.6.1
이승현이 소개하는 퍼팅 비법의 핵심은 리듬과 템포다.

이승현이	이승현/NNP+이/JKS
소개하는	소개/NNG+하/XSV+는/ETM
퍼팅	퍼팅/NNG
비법의	비법/NNG+의/JKG
핵심은	핵심/NNG+은/JX
리듬과	리듬/NNG+과/JC
템포다.	템포/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.6.2
마음속으로 '하나, 둘' 세면서 일정한 리듬으로 친다.

마음속으로	마음속/NNG+으로/JKB
'하나,	'/SS+하나/NR+,/SP
둘'	둘/NR+'/SS
세면서	세/VV+면서/EC
일정한	일정/NNG+하/XSA+ㄴ/ETM
리듬으로	리듬/NNG+으로/JKB
친다.	치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.6.3
백스윙을 천천히 했으면 다운스윙도 천천히 한다.

백스윙을	백스윙/NNG+을/JKO
천천히	천천히/MAG
했으면	하/VV+았/EP+으면/EC
다운스윙도	다운스윙/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.6.4
그래야 공을 맞히는 타이밍이 일정해진다.

그래야	그렇/VA+어야/EC
공을	공/NNG+을/JKO
맞히는	맞히/VV+는/ETM
타이밍이	타이밍/NNG+이/JKS
일정해진다.	일정/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.267.6.5
헤드 무게를 느낄 수 있게 그립을 가볍게 쥐어야 이런 리듬을 탈 수 있다.

헤드	헤드/NNG
무게를	무게/NNG+를/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
그립을	그립/NNG+을/JKO
가볍게	가볍/VA+게/EC
쥐어야	쥐/VV+어야/EC
이런	이런/MMD
리듬을	리듬/NNG+을/JKO
탈	타/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.267.7.1
그녀는 골프볼에 가는 선을 그어놓는다.

그녀는	그녀/NP+는/JX
골프볼에	골프/NNG+볼/NNG+에/JKB
가는	가늘/VA+ㄴ/ETM
선을	선/NNG+을/JKO
그어놓는다.	긋/VV+어/EC+놓/VX+는다/EF+./SF


# id : NWRW1800000038.267.7.2
홀을 보지 않고 이 선을 보면서 퍼팅을 한다.

홀을	홀/NNG+을/JKO
보지	보/VV+지/EC
않고	않/VX+고/EC
이	이/MMD
선을	선/NNG+을/JKO
보면서	보/VV+면서/EC
퍼팅을	퍼팅/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.7.3
특히 좌우 경사가 심할 경우에 도움이 된다.

특히	특히/MAG
좌우	좌우/NNG
경사가	경사/NNG+가/JKS
심할	심하/VA+ㄹ/ETM
경우에	경우/NNG+에/JKB
도움이	돕/VV+ㅁ/ETN+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.7.4
홀을 의식할수록 어드레스가 틀어지면서 공을 당겨치거나 밀어치는 실수가 나오기 때문이다.

홀을	홀/NNG+을/JKO
의식할수록	의식/NNG+하/XSV+ㄹ수록/EC
어드레스가	어드레스/NNG+가/JKS
틀어지면서	틀어지/VV+면서/EC
공을	공/NNG+을/JKO
당겨치거나	당기/VV+어/EC+치/VV+거나/EC
밀어치는	밀/VV+어/EC+치/VV+는/ETM
실수가	실수/NNG+가/JKS
나오기	나오/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.8.1
가장 부담스러운 퍼팅 거리는 2m 안팎이다.

가장	가장/MAG
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
퍼팅	퍼팅/NNG
거리는	거리/NNG+는/JX
2m	2/SN+m/SW
안팎이다.	안팎/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.8.2
이승현은 "이 거리에선 실수하면 안 된다는 부담이 크지만 프로들의 성공률도 70%를 넘지 않는다"고 했다.

이승현은	이승현/NNP+은/JX
"이	"/SS+이/MMD
거리에선	거리/NNG+에서/JKB+ㄴ/JX
실수하면	실수/NNG+하/XSV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
부담이	부담/NNG+이/JKS
크지만	크/VA+지만/EC
프로들의	프로/NNG+들/XSN+의/JKG
성공률도	성공/NNG+률/XSN+도/JX
70%를	70/SN+%/SW+를/JKO
넘지	넘/VV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.267.8.3
그녀는 "짧은 거리일수록 퍼팅의 기본을 지키면서 자신 있게 하는 게 중요하다"고 했다.

그녀는	그녀/NP+는/JX
"짧은	"/SS+짧/VA+은/ETM
거리일수록	거리/NNG+이/VCP+ㄹ수록/EC
퍼팅의	퍼팅/NNG+의/JKG
기본을	기본/NNG+을/JKO
지키면서	지키/VV+면서/EC
자신	자신/NNG
있게	있/VA+게/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.267.8.4
지난달 KB금융 스타챔피언십에서 우승한 이승현은 "박인비 프로와 마지막 날 라운드를 함께했는데 홀을 지나치도록 퍼팅을 강하게 하기보다는 정확히 컵에 떨어질 정도로 하는 모습이 인상적이었다"고 했다.

지난달	지난달/NNG
KB금융	KB금융/NNP
스타챔피언십에서	스타/NNG+챔피언십/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
이승현은	이승현/NNP+은/JX
"박인비	"/SS+박인비/NNP
프로와	프로/NNG+와/JKB
마지막	마지막/NNG
날	날/NNG
라운드를	라운드/NNG+를/JKO
함께했는데	함께/MAG+하/XSV+았/EP+는데/EC
홀을	홀/NNG+을/JKO
지나치도록	지나치/VV+도록/EC
퍼팅을	퍼팅/NNG+을/JKO
강하게	강하/VA+게/EC
하기보다는	하/VX+기/ETN+보다/JKB+는/JX
정확히	정확히/MAG
컵에	컵/NNG+에/JKB
떨어질	떨어지/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
하는	하/VV+는/ETM
모습이	모습/NNG+이/JKS
인상적이었다"고	인상/NNG+적/XSN+이/VCP+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.267.8.5
세계 최고 수준인 '박인비 퍼팅'도 결국 자신감에서 나온다는 걸 느꼈다는 설명이다.

세계	세계/NNG
최고	최고/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
'박인비	'/SS+박인비/NNP
퍼팅'도	퍼팅/NNG+'/SS+도/JX
결국	결국/MAG
자신감에서	자신감/NNG+에서/JKB
나온다는	나오/VV+ㄴ다는/ETM
걸	거/NNB+ㄹ/JKO
느꼈다는	느끼/VV+었/EP+다는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.9.1
<프리미엄 조선(premium.chosun.com)에서 더 자세한 내용을 볼 수 있습니다>

<프리미엄	</SS+프리미엄/NNG
조선(premium.chosun.com)에서	조선/NNP+(/SS+premium/SL+./SP+chosun/SL+./SP+com/SL+)/SS+에서/JKB
더	더/MAG
자세한	자세하/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있습니다>	있/VA+습니다/EF+>/SS


