# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.147
metadata : {}


# id : NWRW1800000036.147.1.1
‘반지의 제왕’보다 경쾌하지만 기시감 커

‘반지의	‘/SS+반지/NNG+의/JKG
‘절대반지’를	‘/SS+절대/NNG+반지/NNG+’/SS+를/JKO
우연히	우연히/MAG
줍게	줍/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.5.3
<반지의 제왕>에서 반지원정대가 폐기하려는 바로 그 반지다.

<반지의	</SS+반지/NNG+의/JKG
제왕>에서	제왕/NNG+>/SS+에서/JKB
반지원정대가	반지원정대/NNP+가/JKS
폐기하려는	폐기/NNG+하/XSV+려는/ETM
바로	바로/MAG
그	그/MMD
반지다.	반지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.5.4
빌보는 골룸과 수수께끼 대결을 벌이며 골룸에게서 도망친다.

빌보는	빌보/NNP+는/JX
골룸과	골룸/NNP+과/JKB
수수께끼	수수께끼/NNG
대결을	대결/NNG+을/JKO
벌이며	벌이/VV+며/EC
골룸에게서	골룸/NNP+에게서/JKB
도망친다.	도망치/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.5.5
이전까지 ‘재치 있는 겁쟁이’의 모습이었던 빌보는 반지를 손에 넣고 일행과 합류한 뒤 전에 몰랐던 용기를 발휘하게 된다.

이전까지	이전/NNG+까지/JX
‘재치	‘/SS+재치/NNG
있는	있/VA+는/ETM
겁쟁이’의	겁/NNG+쟁이/XSN+’/SS+의/JKG
모습이었던	모습/NNG+이/VCP+었/EP+던/ETM
빌보는	빌보/NNP+는/JX
반지를	반지/NNG+를/JKO
손에	손/NNG+에/JKB
넣고	넣/VV+고/EC
일행과	일행/NNG+과/JKB
합류한	합류/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
전에	전/NNG+에/JKB
몰랐던	모르/VV+았/EP+던/ETM
용기를	용기/NNG+를/JKO
발휘하게	발휘/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.5.6
골룸과의 만남에서 얻은 절대반지가 앞으로 60년 동안 빌보의 인생에서 중요한 의미를 띠게 된다는 건 이미 <반지원정대>에서 간접적으로 드러난 바 있다.

골룸과의	골룸/NNP+과/JKB+의/JKG
만남에서	만남/NNG+에서/JKB
얻은	얻/VV+은/ETM
절대반지가	절대/NNG+반지/NNG+가/JKS
앞으로	앞/NNG+으로/JKB
60년	60/SN+년/NNB
동안	동안/NNG
빌보의	빌보/NNP+의/JKG
인생에서	인생/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
의미를	의미/NNG+를/JKO
띠게	띠/VV+게/EC
된다는	되/VV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
이미	이미/MAG
<반지원정대>에서	</SS+반지원정대/NNP+>/SS+에서/JKB
간접적으로	간접/NNG+적/XSN+으로/JKB
드러난	드러나/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.147.6.1
피터 잭슨 감독은 <호빗>에 대한 소개 자료에서 “호빗의 집에서 이야기가 시작하고 연속적으로 출연하는 캐릭터가 있다는 것, 중간계 이야기가 나온다는 점 말고는 두 시리즈가 유사하다고 생각하지 않는다”고 밝혔다.

피터	피터/NNP
잭슨	잭슨/NNP
감독은	감독/NNG+은/JX
<호빗>에	</SS+호빗/NNP+>/SS+에/JKB
대한	대하/VV+ㄴ/ETM
소개	소개/NNG
자료에서	자료/NNG+에서/JKB
“호빗의	“/SS+호빗/NNP+의/JKG
집에서	집/NNG+에서/JKB
이야기가	이야기/NNG+가/JKS
시작하고	시작/NNG+하/XSV+고/EC
연속적으로	연속/NNG+적/XSN+으로/JKB
출연하는	출연/NNG+하/XSV+는/ETM
캐릭터가	캐릭터/NNG+가/JKS
있다는	있/VA+다는/ETM
것,	것/NNB+,/SP
중간계	중간/NNG+계/XSN
나온다는	나오/VV+ㄴ다는/ETM
점	점/NNG
말고는	말/VV+고/EC+는/JX
두	두/MMN
시리즈가	시리즈/NNG+가/JKS
유사하다고	유사/NNG+하/XSA+다고/EC
생각하지	생각/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.147.6.2
하지만 간달프, 골룸, 갈라드리엘(케이트 블란쳇), 엘론드(휴고 위빙) 등 공통으로 등장하는 캐릭터와 영화의 시공간, 이야기의 연속성 등에서 <호빗>은 <반지의 제왕>을 다시 보는 듯한 느낌을 불러일으킨다.

하지만	하지만/MAJ
간달프,	간달프/NNP+,/SP
골룸,	골룸/NNP+,/SP
갈라드리엘(케이트	갈라드리엘/NNP+(/SS+케이트/NNP
블란쳇),	블란쳇/NNP+)/SS+,/SP
엘론드(휴고	엘론드/NNP+(/SS+휴고/NNP
위빙)	위빙/NNP+)/SS
등	등/NNB
공통으로	공통/NNG+으로/JKB
등장하는	등장/NNG+하/XSV+는/ETM
캐릭터와	캐릭터/NNG+와/JC
영화의	영화/NNG+의/JKG
시공간,	시공간/NNG+,/SP
이야기의	이야기/NNG+의/JKG
연속성	연속/NNG+성/XSN
등에서	등/NNB+에서/JKB
<호빗>은	</SS+호빗/NNP+>/SS+은/JX
<반지의	</SS+반지/NNG+의/JKG
제왕>을	제왕/NNG+>/SS+을/JKO
다시	다시/MAG
보는	보/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
불러일으킨다.	불러일으키/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.7.1
물론 늘 심각한 표정으로 고뇌하는 듯하던 프로도와 달리, 좀더 경쾌한 기운이 넘치는 빌보 캐릭터 덕택에 <호빗>의 전반적인 분위기는 <반지의 제왕>보다는 덜 무겁다.

물론	물론/MAG
늘	늘/MAG
심각한	심각하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
고뇌하는	고뇌/NNG+하/XSV+는/ETM
듯하던	듯/NNB+하/XSA+던/ETM
프로도와	프로도/NNP+와/JKB
달리,	달리/MAG+,/SP
좀더	좀/MAG+더/MAG
경쾌한	경쾌하/VA+ㄴ/ETM
기운이	기운/NNG+이/JKS
넘치는	넘치/VV+는/ETM
빌보	빌보/NNP
캐릭터	캐릭터/NNG
덕택에	덕택/NNG+에/JKB
<호빗>의	</SS+호빗/NNP+>/SS+의/JKG
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기는	분위기/NNG+는/JX
<반지의	</SS+반지/NNG+의/JKG
제왕>보다는	제왕/NNG+>/SS+보다/JKB+는/JX
덜	덜/MAG
무겁다.	무겁/VA+다/EF+./SF


# id : NWRW1800000036.147.7.2
청년 빌보를 포함해 회색 마법사 시절의 간달프, 난쟁이족을 이끄는 소린(리처드 아미티지) 등 <호빗>에서 가장 중요한 세 인물은 자기 자신과 서로에 대한 불신을 딛고 외부의 위협에 맞서 믿음을 쌓아가며 성장한다.

청년	청년/NNG
빌보를	빌보/NNP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
회색	회색/NNG
마법사	마법사/NNG
시절의	시절/NNG+의/JKG
간달프,	간달프/NNP+,/SP
난쟁이족을	난쟁이족/NNG+을/JKO
이끄는	이끌/VV+는/ETM
소린(리처드	소린/NNP+(/SS+리처드/NNP
아미티지)	아미티지/NNP+)/SS
등	등/NNB
<호빗>에서	</SS+호빗/NNP+>/SS+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
세	세/MMN
인물은	인물/NNG+은/JX
자기	자기/NNG
자신과	자신/NNG+과/JC
서로에	서로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신을	불신/NNG+을/JKO
딛고	딛/VV+고/EC
외부의	외부/NNG+의/JKG
위협에	위협/NNG+에/JKB
맞서	맞서/VV+어/EC
믿음을	믿음/NNG+을/JKO
쌓아가며	쌓/VV+아/EC+가/VX+며/EC
성장한다.	성장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.8.1
<호빗: 뜻밖의 여정>은 ‘호빗 3부작’의 첫 편이다.

<호빗:	</SS+호빗/NNP+:/SP
뜻밖의	뜻밖/NNG+의/JKG
여정>은	여정/NNG+>/SS+은/JX
‘호빗	‘/SS+호빗/NNP
3부작’의	3/SN+부작/NNB+’/SS+의/JKG
첫	첫/MMN
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.8.2
여행을 시작하고, 괴물들과 연거푸 싸움을 벌인 뒤, 골룸과 절대반지가 등장하면서 서서히 고조된 이야기는 앞으로 나올 두 편에서 어떤 모양새로 완성될지 궁금증을 자아내며 끝을 맺는다.

여행을	여행/NNG+을/JKO
시작하고,	시작/NNG+하/XSV+고/EC+,/SP
괴물들과	괴물/NNG+들/XSN+과/JKB
연거푸	연거푸/MAG
싸움을	싸움/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
골룸과	골룸/NNP+과/JC
절대반지가	절대/NNG+반지/NNG+가/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
서서히	서서히/MAG
고조된	고조/NNG+되/XSV+ㄴ/ETM
이야기는	이야기/NNG+는/JX
앞으로	앞/NNG+으로/JKB
나올	나오/VV+ㄹ/ETM
두	두/MMN
편에서	편/NNB+에서/JKB
어떤	어떤/MMD
모양새로	모양새/NNG+로/JKB
완성될지	완성/NNG+되/XSV+ㄹ지/EF
궁금증을	궁금증/NNG+을/JKO
자아내며	자아내/VV+며/EC
끝을	끝/NNG+을/JKO
맺는다.	맺/VV+는다/EF+./SF


