# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.393
metadata : {}


# id : NWRW1800000054.393.1.1
3野 "宋·趙 임명 강행? 인사청문회는 뭐하려고 하나"

3野	3/SN+野/SH
강행한다면	강행/NNG+하/XSV+ㄴ다면/EC
이는	이/NP+는/JX
인사청문회	인사/NNG+청문회/NNG
필요성을	필요/NNG+성/XSN+을/JKO
인정하지	인정/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
뜻"이라며	뜻/NNG+"/SS+이/VCP+라며/EC
"그럴	"/SS+그러/VV+ㄹ/ETM
바엔	바/NNB+에/JKB+ㄴ/JX
인사청문회를	인사/NNG+청문회/NNG+를/JKO
뭣	뭣/NP
하려	하/VV+려/EC
하나.	하/VV+나/EF+./SF


# id : NWRW1800000054.393.4.2
그냥 대통령 맘대로 임명하라고 두겠다"고 했다.

그냥	그냥/MAG
대통령	대통령/NNG
맘대로	맘대로/MAG
임명하라고	임명/NNG+하/XSV+라고/EC
두겠다"고	두/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.4.3
이 관계자는 "인사청문회는 대통령의 자의적인 인사권 행사를 견제하기 위해 도입된 제도인데 대통령이 제도 취지를 무시한다면 더 이상 할 필요가 없다"고 했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"인사청문회는	"/SS+인사/NNG+청문회/NNG+는/JX
대통령의	대통령/NNG+의/JKG
자의적인	자의/NNG+적/XSN+이/VCP+ㄴ/ETM
인사권	인사/NNG+권/XSN
행사를	행사/NNG+를/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
도입된	도입/NNG+되/XSV+ㄴ/ETM
제도인데	제도/NNG+이/VCP+ㄴ데/EC
대통령이	대통령/NNG+이/JKS
제도	제도/NNG
취지를	취지/NNG+를/JKO
무시한다면	무시/NNG+하/XSV+ㄴ다면/EC
더	더/MAG
이상	이상/NNG
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.4.4
국민의당과 바른정당 고위 관계자도 "야당이 뭐라고 하든 임명하겠다면 인사청문 요청서를 국회로 보낼 필요도 없다"며 "인사청문회 보이콧 등 대응 방안을 논의할 것"이라고 했다.

국민의당과	국민의당/NNP+과/JC
바른정당	바른정당/NNP
고위	고위/NNG
관계자도	관계자/NNG+도/JX
"야당이	"/SS+야당/NNG+이/JKS
뭐라고	뭐/NP+이/VCP+라고/EC
하든	하/VV+든/EC
임명하겠다면	임명/NNG+하/XSV+겠/EP+다면/EC
인사청문	인사/NNG+청문/NNG
요청서를	요청서/NNG+를/JKO
국회로	국회/NNG+로/JKB
보낼	보내/VV+ㄹ/ETM
필요도	필요/NNG+도/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"인사청문회	"/SS+인사/NNG+청문회/NNG
보이콧	보이콧/NNG
등	등/NNB
대응	대응/NNG
방안을	방안/NNG+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.5.1
야 3당은 앞서 문 대통령이 강경화 외교부 장관, 김상곤 교육부 장관 임명을 강행했을 때는 국회 의사일정을 일시 거부하면서도 인사청문회는 예정대로 진행했다.

야	야/NNG
3당은	3/SN+당/NNG+은/JX
앞서	앞서/MAG
문	문/NNP
대통령이	대통령/NNG+이/JKS
강경화	강경화/NNP
외교부	외교부/NNG
장관,	장관/NNG+,/SP
김상곤	김상곤/NNP
교육부	교육부/NNG
장관	장관/NNG
임명을	임명/NNG+을/JKO
강행했을	강행/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
국회	국회/NNG
의사일정을	의사일정/NNG+을/JKO
일시	일시/MAG
거부하면서도	거부/NNG+하/XSV+면서/EC+도/JX
인사청문회는	인사/NNG+청문회/NNG+는/JX
예정대로	예정/NNG+대로/JX
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.5.2
하지만 송·조 후보자에 대해선 기류가 변했다.

하지만	하지만/MAJ
송·조	송/NNP+·/SP+조/NNP
후보자에	후보자/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
기류가	기류/NNG+가/JKS
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.5.3
야권 관계자는 "최근 일부 여론조사에서 송·조 후보자 임명 찬성 여론은 20% 수준으로 나타났다"고 했다.

야권	야권/NNG
관계자는	관계자/NNG+는/JX
"최근	"/SS+최근/NNG
일부	일부/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
송·조	송/NNP+·/SP+조/NNP
후보자	후보자/NNG
임명	임명/NNG
찬성	찬성/NNG
여론은	여론/NNG+은/JX
20%	20/SN+%/SW
수준으로	수준/NNG+으로/JKB
나타났다"고	나타나/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


