# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.366
metadata : {}


# id : NWRW1800000022.366.1.1
[수도권Ⅰ] 전쟁과 이념 주제… DMZ 영화제 22일 개막

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
포커스'	포커스/NNG+'/SS
등	등/NNB
8개	8/SN+개/NNB
섹션을	섹션/NNG+을/JKO
통해	통하/VV+아/EC
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.366.4.1
개막작은 레온 겔러와 마르쿠스 베터 감독의 '예닌의 심장'(The Heart of Jenin)으로, 이스라엘군의 총에 맞아 사망한 팔레스타인 소년과 아들이 죽은 지 12시간 만에 6명의 이스라엘 어린이에게 아들의 장기를 기증하기로 한 아버지의 사연을 담고 있다.

개막작은	개막작/NNG+은/JX
레온	레온/NNP
겔러와	겔러/NNP+와/JC
마르쿠스	마르쿠스/NNP
베터	베터/NNP
감독의	감독/NNG+의/JKG
'예닌의	'/SS+예닌/NNP+의/JKG
심장'(The	심장/NNG+'/SS+(/SS+The/SL
Heart	Heart/SL
of	of/SL
Jenin)으로,	Jenin/SL+)/SS+으로/JKB+,/SP
이스라엘군의	이스라엘군/NNG+의/JKG
총에	총/NNG+에/JKB
맞아	맞/VV+아/EC
사망한	사망/NNG+하/XSV+ㄴ/ETM
팔레스타인	팔레스타인/NNP
소년과	소년/NNG+과/JC
아들이	아들/NNG+이/JKS
죽은	죽/VV+은/ETM
지	지/NNB
12시간	12/SN+시간/NNB
만에	만/NNB+에/JKB
6명의	6/SN+명/NNB+의/JKG
이스라엘	이스라엘/NNP
어린이에게	어린이/NNG+에게/JKB
아들의	아들/NNG+의/JKG
장기를	장기/NNG+를/JKO
기증하기로	기증/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
아버지의	아버지/NNG+의/JKG
사연을	사연/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.366.5.1
영화제측은 유럽 취사병들의 전쟁 경험담을 담은 '쿠킹 히스토리', 팔레스타인 가자지구 청년들이 힙합에 눈을 떠 가는 과정을 그린 '슬링샷 힙합', 코미디언이 된 북한 출신 입양아들이 북한에 초청돼 공연을 벌이는 이야기인 '레드 채플'을 추천작으로 꼽았다.

영화제측은	영화제/NNG+측/NNB+은/JX
유럽	유럽/NNP
취사병들의	취사병/NNG+들/XSN+의/JKG
전쟁	전쟁/NNG
경험담을	경험담/NNG+을/JKO
담은	담/VV+은/ETM
'쿠킹	'/SS+쿠킹/NNG
히스토리',	히스토리/NNG+'/SS+,/SP
팔레스타인	팔레스타인/NNP
가자지구	가자지구/NNP
청년들이	청년/NNG+들/XSN+이/JKS
힙합에	힙합/NNG+에/JKB
눈을	눈/NNG+을/JKO
떠	뜨/VV+어/EC
가는	가/VX+는/ETM
과정을	과정/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
'슬링샷	'/SS+슬링샷/NNP
힙합',	힙합/NNP+'/SS+,/SP
코미디언이	코미디언/NNG+이/JKC
된	되/VV+ㄴ/ETM
북한	북한/NNP
출신	출신/NNG
입양아들이	입양아/NNG+들/XSN+이/JKS
북한에	북한/NNP+에/JKB
초청돼	초청/NNG+되/XSV+어/EC
공연을	공연/NNG+을/JKO
벌이는	벌이/VV+는/ETM
이야기인	이야기/NNG+이/VCP+ㄴ/ETM
'레드	'/SS+레드/NNP
채플'을	채플/NNP+'/SS+을/JKO
추천작으로	추천작/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.366.6.1
영화제가 펼쳐지는 기간 내 파주 출판도시 특설무대 주변에서는 전시와 체험행사, 거리공연이 줄줄이 이어진다.

영화제가	영화제/NNG+가/JKS
펼쳐지는	펼쳐지/VV+는/ETM
기간	기간/NNG
내	내/NNB
파주	파주/NNP
출판도시	출판/NNG+도시/NNG
특설무대	특설/NNG+무대/NNG
주변에서는	주변/NNG+에서/JKB+는/JX
전시와	전시/NNG+와/JC
체험행사,	체험/NNG+행사/NNG+,/SP
거리공연이	거리/NNG+공연/NNG+이/JKS
줄줄이	줄줄이/MAG
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.366.6.2
DMZ 내 최초의 영화관인 대성동 마을영화관 개관식, DMZ DOCS 평화장정, DMZ 평화자전거행진도 함께 열린다.

DMZ	DMZ/SL
내	내/NNB
최초의	최초/NNG+의/JKG
영화관인	영화관/NNG+이/VCP+ㄴ/ETM
대성동	대성동/NNP
마을영화관	마을/NNG+영화관/NNG
개관식,	개관식/NNG+,/SP
DOCS	DOCS/SL
평화장정,	평화/NNG+장정/NNG+,/SP
평화자전거행진도	평화/NNG+자전거/NNG+행진/NNG+도/JX
함께	함께/MAG
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.366.7.1
모든 영화제 작품들은 파주시 멀티플렉스 씨너스이채에서 상영된다.

모든	모든/MMN
영화제	영화제/NNG
작품들은	작품/NNG+들/XSN+은/JX
파주시	파주시/NNP
멀티플렉스	멀티플렉스/NNG
씨너스이채에서	씨너스이채/NNP+에서/JKB
상영된다.	상영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.366.7.2
개막식은 무료로 볼 수 있고, 개막작 및 일반상영, 폐막작 관람비는 각각 5000원이다.

개막식은	개막식/NNG+은/JX
무료로	무료/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
개막작	개막작/NNG
및	및/MAG
일반상영,	일반/NNG+상영/NNG+,/SP
폐막작	폐막작/NNG
관람비는	관람비/NNG+는/JX
각각	각각/MAG
5000원이다.	5000/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.366.7.3
상영 작품 및 부대행사, 영화 관람권 예매 방법 등은 DMZ 다큐멘터리영화제 사무국 홈페이지에서 확인할 수 있다.

상영	상영/NNG
작품	작품/NNG
및	및/MAG
부대행사,	부대/NNG+행사/NNG+,/SP
영화	영화/NNG
관람권	관람/NNG+권/XSN
예매	예매/NNG
방법	방법/NNG
등은	등/NNB+은/JX
DMZ	DMZ/SL
다큐멘터리영화제	다큐멘터리/NNG+영화제/NNG
사무국	사무국/NNG
홈페이지에서	홈페이지/NNG+에서/JKB
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


