# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.307
metadata : {}


# id : NWRW1800000030.307.1.1
국토부·LH 합동 워크숍에서 무슨 일이… "보금자리주택 더 지어라" 정부 주문에 이지송 사장, 돌부처처럼 5시간 침묵

국토부·LH	국토부/NNG+·/SP+LH/SL
LH에	LH/SL+에/JKB
대한	대하/VV+ㄴ/ETM
유동성	유동/NNG+성/XSN
추가	추가/NNG
지원과	지원/NNG+과/JC
LH	LH/SL
채권의	채권/NNG+의/JKG
정부	정부/NNG
보증	보증/NNG
확대를	확대/NNG+를/JKO
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.307.4.5
16만7000호의 보금자리주택을 짓는 데는 20조원 정도가 든다.

16만7000호의	16/SN+만/NR+7000/SN+호/NNB+의/JKG
보금자리주택을	보금자리/NNG+주택/NNG+을/JKO
짓는	짓/VV+는/ETM
데는	데/NNB+는/JX
20조원	20/SN+조/NR+원/NNB
정도가	정도/NNG+가/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.307.5.1
LH는 과거 정부부터 시작된 세종시와 혁신도시 등의 개발사업으로 떠안은 빚이 125조원에 이르며 하루 이자만 약 100억원을 내고 있다.

LH는	LH/SL+는/JX
과거	과거/NNG
정부부터	정부/NNG+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
세종시와	세종시/NNP+와/JKB
혁신도시	혁신/NNG+도시/NNG
등의	등/NNB+의/JKG
개발사업으로	개발/NNG+사업/NNG+으로/JKB
떠안은	떠안/VV+은/ETM
빚이	빚/NNG+이/JKS
125조원에	125/SN+조/NR+원/NNB+에/JKB
이르며	이르/VV+며/EC
하루	하루/NNG
이자만	이자/NNG+만/JX
약	약/MMA
100억원을	100/SN+억/NR+원/NNB+을/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.307.5.2
정부는 이런 회사에다 공기업이란 이유로 20조원의 공사비를 더 부담해달라고 주문한 것이다.

정부는	정부/NNG+는/JX
이런	이런/MMD
회사에다	회사/NNG+에다/JKB
공기업이란	공기업/NNG+이/VCP+란/ETM
이유로	이유/NNG+로/JKB
20조원의	20/SN+조/NR+원/NNB+의/JKG
공사비를	공사비/NNG+를/JKO
더	더/MAG
부담해달라고	부담/NNG+하/XSV+아/EC+달/VX+라고/EC
주문한	주문/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.307.5.3
국토부는 "재정난으로 힘든 것은 알지만 공기업인 LH가 좀 더 적극적으로 나서야 한다"고 주장했다.

국토부는	국토부/NNG+는/JX
"재정난으로	"/SS+재정난/NNG+으로/JKB
힘든	힘들/VA+ㄴ/ETM
것은	것/NNB+은/JX
알지만	알/VV+지만/EC
공기업인	공기업/NNG+이/VCP+ㄴ/ETM
LH가	LH/SL+가/JKS
좀	좀/MAG
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
나서야	나서/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.307.6.1
지난 2009년 취임 후 LH 부채문제 해결을 위해 동분서주하고 있는 이 사장은 이런 국토부의 질문에 사실상 침묵으로 맞섰다는 것이다.

지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
취임	취임/NNG
후	후/NNG
LH	LH/SL
부채문제	부채/NNG+문제/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
동분서주하고	동분서주/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
이	이/NNP
사장은	사장/NNG+은/JX
이런	이런/MMD
국토부의	국토부/NNG+의/JKG
질문에	질문/NNG+에/JKB
사실상	사실/NNG+상/XSN
침묵으로	침묵/NNG+으로/JKB
맞섰다는	맞서/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.307.6.2
그러나 LH측은 결국 국토부측에 "사용 가능한 자금을 최대한 동원해 8만~9만호 정도의 보금자리주택 건설을 추진하겠다"는 의사를 전한 것으로 알려졌다.

그러나	그러나/MAJ
LH측은	LH/SL+측/NNB+은/JX
결국	결국/MAG
국토부측에	국토부/NNG+측/NNB+에/JKB
"사용	"/SS+사용/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
자금을	자금/NNG+을/JKO
최대한	최대한/MAG
동원해	동원/NNG+하/XSV+아/EC
8만~9만호	8/SN+만/NR+~/SO+9/SN+만/NR+호/NNB
정도의	정도/NNG+의/JKG
보금자리주택	보금자리/NNG+주택/NNG
건설을	건설/NNG+을/JKO
추진하겠다"는	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
의사를	의사/NNG+를/JKO
전한	전하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.307.7.1
이 사장은 "LH가 공기업으로 국민들의 주거 복지에 최선을 다해야 하는 것은 맞지만 지금은 LH의 생존이 최대의 화두"라며 "LH 회생이란 틀 내에서 정부정책을 따를 것"이라고 말했다.

이	이/NNP
사장은	사장/NNG+은/JX
"LH가	"/SS+LH/SL+가/JKS
공기업으로	공기업/NNG+으로/JKB
국민들의	국민/NNG+들/XSN+의/JKG
주거	주거/NNG
복지에	복지/NNG+에/JKB
최선을	최선/NNG+을/JKO
다해야	다/MAG+하/XSV+아야/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
지금은	지금/NNG+은/JX
LH의	LH/SL+의/JKG
생존이	생존/NNG+이/JKS
최대의	최대/NNG+의/JKG
화두"라며	화두/NNG+"/SS+이/VCP+라며/EC
"LH	"/SS+LH/SL
회생이란	회생/NNG+이/VCP+란/ETM
틀	틀/NNG
내에서	내/NNB+에서/JKB
정부정책을	정부/NNG+정책/NNG+을/JKO
따를	따르/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


