# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.359
metadata : {}


# id : NWRW1800000056.359.1.1
비검찰 출신 민정수석 ‘파격’…조국 “마음·어깨 많이 무겁다”

비검찰	비/XPN+검찰/NNG
대통령 친인척 및 공직기강 관리와 인사검증을 담당하는 민정수석에 검사 출신이 아닌 학계 인사가 기용된 것은 이례적이다.

대통령	대통령/NNG
친인척	친인척/NNG
및	및/MAG
공직기강	공직/NNG+기강/NNG
관리와	관리/NNG+와/JC
인사검증을	인사/NNG+검증/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
민정수석에	민정/NNG+수석/NNG+에/JKB
검사	검사/NNG
출신이	출신/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
학계	학계/NNG
인사가	인사/NNG+가/JKS
기용된	기용/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.359.5.2
조 교수는 이날 오후 기자에게 보낸 문자메시지에서 “마음과 어깨가 많이 무겁다”며 민정수석 내정을 사실상 시인했다.

조	조/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
기자에게	기자/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
문자메시지에서	문자/NNG+메시지/NNG+에서/JKB
“마음과	“/SS+마음/NNG+과/JC
어깨가	어깨/NNG+가/JKS
많이	많이/MAG
무겁다”며	무겁/VA+다/EF+”/SS+며/EC
민정수석	민정/NNG+수석/NNG
내정을	내정/NNG+을/JKO
사실상	사실/NNG+상/XSN
시인했다.	시인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.359.5.3
조 교수가 민정수석에 발탁될 경우 인사검증과 공직기강 관리 등 민정수석실 고유 업무보다는 고위공직자비리수사처 설치와 검·경 수사권 조정 등 제도 개혁을 추진하는 데 주력할 것으로 보인다.

조	조/NNP
교수가	교수/NNG+가/JKS
민정수석에	민정/NNG+수석/NNG+에/JKB
발탁될	발탁/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
인사검증과	인사/NNG+검증/NNG+과/JC
공직기강	공직/NNG+기강/NNG
관리	관리/NNG
등	등/NNB
민정수석실	민정/NNG+수석실/NNG
고유	고유/NNG
업무보다는	업무/NNG+보다/JKB+는/JX
고위공직자비리수사처	고위/NNG+공직자/NNG+비리/NNG+수사처/NNG
설치와	설치/NNG+와/JC
검·경	검·경/NNG
수사권	수사/NNG+권/XSN
조정	조정/NNG
제도	제도/NNG
개혁을	개혁/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.359.5.4
더불어민주당 관계자는 “문 대통령이 일찌감치 조 교수를 검찰개혁 청사진을 기획·실행할 적임자로 낙점하고 조 교수를 설득해왔다.

더불어민주당	더불어민주당/NNP
관계자는	관계자/NNG+는/JX
“문	“/SS+문/NNP
대통령이	대통령/NNG+이/JKS
일찌감치	일찌감치/MAG
조	조/NNP
교수를	교수/NNG+를/JKO
검찰개혁	검찰/NNG+개혁/NNG
청사진을	청사진/NNG+을/JKO
기획·실행할	기획/NNG+·/SP+실행/NNG+하/XSV+ㄹ/ETM
적임자로	적임자/NNG+로/JKB
낙점하고	낙점/NNG+하/XSV+고/EC
설득해왔다.	설득/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.359.5.5
고민 끝에 대통령 제안을 받아들인 것으로 안다”고 말했다.

고민	고민/NNG
끝에	끝/NNG+에/JKB
대통령	대통령/NNG
제안을	제안/NNG+을/JKO
받아들인	받아들이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.359.5.6
애초 민정수석에는 노무현 정부 시절 사정비서관을 지낸 신현수 김앤장 변호사가 유력 후보로 거론됐으나, 문 대통령은 2015년 자신의 요청으로 조 교수가 새정치민주연합 혁신위원을 맡았을 당시 당혁신안 성안 과정에서 보여준 개혁성과 치밀함을 높이 평가해 ‘파격 인사’ 단행으로 기운 것으로 보인다.

애초	애초/NNG
민정수석에는	민정/NNG+수석/NNG+에/JKB+는/JX
노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
사정비서관을	사정/NNG+비서관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
신현수	신현수/NNP
김앤장	김앤장/NNP
변호사가	변호사/NNG+가/JKS
유력	유력/NNG
후보로	후보/NNG+로/JKB
거론됐으나,	거론/NNG+되/XSV+었/EP+으나/EC+,/SP
문	문/NNP
대통령은	대통령/NNG+은/JX
2015년	2015/SN+년/NNB
자신의	자신/NNG+의/JKG
요청으로	요청/NNG+으로/JKB
조	조/NNP
교수가	교수/NNG+가/JKS
새정치민주연합	새정치민주연합/NNP
혁신위원을	혁신/NNG+위원/NNG+을/JKO
맡았을	맡/VV+았/EP+을/ETM
당시	당시/NNG
당혁신안	당/NNG+혁신안/NNG
성안	성안/NNG
과정에서	과정/NNG+에서/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
개혁성과	개혁/NNG+성/XSN+과/JC
치밀함을	치밀하/VA+ㅁ/ETN+을/JKO
높이	높이/MAG
평가해	평가/NNG+하/XSV+아/EC
‘파격	‘/SS+파격/NNG
인사’	인사/NNG+’/SS
단행으로	단행/NNG+으로/JKB
기운	기울/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.359.5.7
또다른 당 관계자는 “문 대통령의 ‘젊고 유능한 청와대’라는 콘셉트에는 검찰 출신 법조인보다는 개혁 소장파 학자인 조 교수가 잘 맞는다”며 “다만 이론과 현실에는 격차가 큰 만큼, 민정수석과 손발을 맞출 실무진을 얼마나 주도면밀하게 구성하느냐가 관건”이라고 말했다.

또다른	또/MAG+다른/MMD
당	당/NNG
관계자는	관계자/NNG+는/JX
“문	“/SS+문/NNP
대통령의	대통령/NNG+의/JKG
‘젊고	‘/SS+젊/VA+고/EC
유능한	유능/NNG+하/XSA+ㄴ/ETM
청와대’라는	청와대/NNP+’/SS+이/VCP+라는/ETM
콘셉트에는	콘셉트/NNG+에/JKB+는/JX
검찰	검찰/NNG
출신	출신/NNG
법조인보다는	법조인/NNG+보다/JKB+는/JX
개혁	개혁/NNG
소장파	소장파/NNG
학자인	학자/NNG+이/VCP+ㄴ/ETM
조	조/NNP
교수가	교수/NNG+가/JKS
잘	잘/MAG
맞는다”며	맞/VV+는다/EF+”/SS+며/EC
“다만	“/SS+다만/MAG
이론과	이론/NNG+과/JC
현실에는	현실/NNG+에/JKB+는/JX
격차가	격차/NNG+가/JKS
큰	크/VA+ㄴ/ETM
만큼,	만큼/NNB+,/SP
민정수석과	민정/NNG+수석/NNG+과/JC
손발을	손발/NNG+을/JKO
맞출	맞추/VV+ㄹ/ETM
실무진을	실무진/NNG+을/JKO
얼마나	얼마나/MAG
주도면밀하게	주도면밀하/VA+게/EC
구성하느냐가	구성/NNG+하/XSV+느냐/EF+가/JKS
관건”이라고	관건/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


