# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.173
metadata : {}


# id : NWRW1800000054.173.1.1
16년간 먹던 백혈병 약, 바꿔야 하나요

16년간	16/SN+년/NNB+간/XSN
요구하는	요구/NNG+하/XSV+는/ETM
환자가	환자/NNG+가/JKS
부쩍	부쩍/MAG
늘었다"고	늘/VV+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.4.1
글리벡은 만성골수성 백혈병 치료 특효약으로 2001년 국내에 도입됐다.

글리벡은	글리벡/NNG+은/JX
만성골수성	만성/NNG+골수/NNG+성/XSN
백혈병	백혈병/NNG
치료	치료/NNG
특효약으로	특효약/NNG+으로/JKB
2001년	2001/SN+년/NNB
국내에	국내/NNG+에/JKB
도입됐다.	도입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.173.4.2
그런데 이 약을 제조·판매하는 다국적 제약사 노바티스가 최근 불법 리베이트를 의사에게 제공한 사실이 드러나 정부가 글리벡에 대한 건강보험 적용 정지 처분 등에 대한 검토에 착수하면서 이른바 '글리벡 파동' 조짐이 일고 있다.

그런데	그런데/MAJ
이	이/MMD
약을	약/NNG+을/JKO
제조·판매하는	제조/NNG+·/SP+판매/NNG+하/XSV+는/ETM
다국적	다국적/NNG
제약사	제약사/NNG
노바티스가	노바티스/NNP+가/JKS
최근	최근/NNG
불법	불법/NNG
리베이트를	리베이트/NNG+를/JKO
의사에게	의사/NNG+에게/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
정부가	정부/NNG+가/JKS
글리벡에	글리벡/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
건강보험	건강/NNG+보험/NNG
적용	적용/NNG
정지	정지/NNG
처분	처분/NNG
등에	등/NNB+에/JKB
검토에	검토/NNG+에/JKB
착수하면서	착수/NNG+하/XSV+면서/EC
이른바	이른바/MAG
'글리벡	'/SS+글리벡/NNG
파동'	파동/NNG+'/SS
조짐이	조짐/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.173.4.3
현재 글리벡을 복용하는 백혈병 환자는 전국적으로 약 6000명으로 추산된다.

현재	현재/MAG
글리벡을	글리벡/NNG+을/JKO
복용하는	복용/NNG+하/XSV+는/ETM
백혈병	백혈병/NNG
환자는	환자/NNG+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
약	약/MMA
6000명으로	6000/SN+명/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.173.4.4
이 중에는 도입 당시부터 16년째 복용 중인 환자도 있다.

이	이/MMD
중에는	중/NNB+에/JKB+는/JX
도입	도입/NNG
당시부터	당시/NNG+부터/JX
16년째	16/SN+년/NNB+째/XSN
복용	복용/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
환자도	환자/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.173.5.1
현행 건강보험법은 불법 리베이트를 제공한 제약사가 판매하는 의약품 중 대체 약물이 있는 품목에 대해선 건강보험 적용을 1년 정지하도록 규정하고 있다.

현행	현행/NNG
건강보험법은	건강/NNG+보험법/NNG+은/JX
불법	불법/NNG
리베이트를	리베이트/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
제약사가	제약사/NNG+가/JKS
판매하는	판매/NNG+하/XSV+는/ETM
의약품	의약품/NNG
중	중/NNB
대체	대체/NNG
약물이	약물/NNG+이/JKS
있는	있/VA+는/ETM
품목에	품목/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
건강보험	건강/NNG+보험/NNG
적용을	적용/NNG+을/JKO
1년	1/SN+년/NNB
정지하도록	정지/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.173.5.2
글리벡은 특허가 풀려서 복제약이 시중에 판매되고 있고, 만성 백혈병 신약도 이미 도입돼 있기 때문에 대체 약물이 있는 품목에 해당한다.

글리벡은	글리벡/NNG+은/JX
특허가	특허/NNG+가/JKS
풀려서	풀리/VV+어서/EC
복제약이	복제약/NNG+이/JKS
시중에	시중/NNG+에/JKB
판매되고	판매/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
만성	만성/NNG
백혈병	백혈병/NNG
신약도	신약/NNG+도/JX
이미	이미/MAG
도입돼	도입/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
대체	대체/NNG
약물이	약물/NNG+이/JKS
있는	있/VA+는/ETM
품목에	품목/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.173.5.3
정부로선 건강보험법 규정에 따라 건보 적용 정지 조치를 내려야 하는 상황이다.

정부로선	정부/NNG+로서/JKB+ㄴ/JX
건강보험법	건강/NNG+보험법/NNG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
건보	건보/NNG
적용	적용/NNG
정지	정지/NNG
조치를	조치/NNG+를/JKO
내려야	내리/VV+어야/EC
하는	하/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.6.1
하지만 이럴 경우 환자 입장에선 부담이다.

하지만	하지만/MAJ
이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
환자	환자/NNG
입장에선	입장/NNG+에서/JKB+ㄴ/JX
부담이다.	부담/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.6.2
그동안 환자들은 글리벡에 대해 건강보험 적용을 받아 한 달 약값(200만원 안팎)의 5%만 내고 복용해 왔다.

그동안	그동안/NNG
환자들은	환자/NNG+들/XSN+은/JX
글리벡에	글리벡/NNG+에/JKB
대해	대하/VV+아/EC
건강보험	건강/NNG+보험/NNG
적용을	적용/NNG+을/JKO
받아	받/VV+아/EC
한	한/MMN
달	달/NNB
약값(200만원	약값/NNG+(/SS+200/SN+만/NR+원/NNB
안팎)의	안팎/NNG+)/SS+의/JKG
5%만	5/SN+%/SW+만/JX
내고	내/VV+고/EC
복용해	복용/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.173.6.3
보험 적용이 정지되면 환자들이 약값을 전액 내야 하기 때문에 사실상 복제약이나 신약으로 갈아타야 한다.

보험	보험/NNG
적용이	적용/NNG+이/JKS
정지되면	정지/NNG+되/XSV+면/EC
환자들이	환자/NNG+들/XSN+이/JKS
약값을	약값/NNG+을/JKO
전액	전액/NNG
내야	내/VV+어야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
사실상	사실/NNG+상/XSN
복제약이나	복제약/NNG+이나/JC
신약으로	신약/NNG+으로/JKB
갈아타야	갈아타/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.173.6.4
그동안 아무 문제 없이 수년 또는 16년째 글리벡을 먹으며 생명을 유지해 온 백혈병 환자들이 느닷없이 약을 바꿔야 하는 상황에 처하면서 반발 조짐이 일어나고 있는 것이다.

그동안	그동안/NNG
아무	아무/MMD
문제	문제/NNG
없이	없이/MAG
수년	수년/NNG
또는	또는/MAG
16년째	16/SN+년/NNB+째/XSN
글리벡을	글리벡/NNG+을/JKO
먹으며	먹/VV+으며/EC
생명을	생명/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
백혈병	백혈병/NNG
환자들이	환자/NNG+들/XSN+이/JKS
느닷없이	느닷없이/MAG
약을	약/NNG+을/JKO
바꿔야	바꾸/VV+어야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
처하면서	처하/VV+면서/EC
반발	반발/NNG
조짐이	조짐/NNG+이/JKS
일어나고	일어나/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.6.5
환자단체연합회 안기종 대표는 "약을 바꾸면 어떤 부작용이 새롭게 생길지 모르는데 멀쩡하게 먹던 항암제를 못 먹을 수 있다니 황당하다"면서 "이는 환자의 생명권을 침해하는 것"이라고 말했다.

환자단체연합회	환자단체연합회/NNP
안기종	안기종/NNP
대표는	대표/NNG+는/JX
"약을	"/SS+약/NNG+을/JKO
바꾸면	바꾸/VV+면/EC
어떤	어떤/MMD
부작용이	부작용/NNG+이/JKS
새롭게	새롭/VA+게/EC
생길지	생기/VV+ㄹ지/EF
모르는데	모르/VV+는데/EC
멀쩡하게	멀쩡하/VA+게/EC
먹던	먹/VV+던/ETM
항암제를	항암제/NNG+를/JKO
못	못/MAG
먹을	먹/VV+을/ETM
수	수/NNB
있다니	있/VA+다니/EC
황당하다"면서	황당하/VA+다/EF+"/SS+면서/EC
"이는	"/SS+이/NP+는/JX
환자의	환자/NNG+의/JKG
생명권을	생명/NNG+권/XSN+을/JKO
침해하는	침해/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.7.1
반면 경실련 등 일부에서는 복제약과 신약의 약효가 기존 글리벡보다 같거나 더 우수하다는 것이 입증됐기에 리베이트 근절 차원에서 건강보험법 규정에 따라 건강보험 적용 금지가 이뤄져야 한다는 주장을 펴고 있다.

반면	반면/NNG
경실련	경실련/NNP
등	등/NNB
일부에서는	일부/NNG+에서/JKB+는/JX
복제약과	복제약/NNG+과/JC
신약의	신약/NNG+의/JKG
약효가	약효/NNG+가/JKS
기존	기존/NNG
글리벡보다	글리벡/NNG+보다/JKB
같거나	같/VA+거나/EC
더	더/MAG
우수하다는	우수/NNG+하/XSA+다는/ETM
것이	것/NNB+이/JKS
입증됐기에	입증/NNG+되/XSV+었/EP+기에/EC
리베이트	리베이트/NNG
근절	근절/NNG
차원에서	차원/NNG+에서/JKB
건강보험법	건강/NNG+보험법/NNG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
건강보험	건강/NNG+보험/NNG
적용	적용/NNG
금지가	금지/NNG+가/JKS
이뤄져야	이뤄지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장을	주장/NNG+을/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.173.8.1
서울성모병원 김동욱 혈액내과 교수는 "글리벡 오리지널과 복제약은 약물의 화학 구조가 약간 달라 약을 바꿀 경우 부작용이 생길 수도 있다는 환자들의 불안이 이해된다"면서 "복제약이 없는 병원도 있기 때문에 암 환자들이 약을 바꾸기 위해 평소 치료받던 곳이 아닌 다른 병원으로 옮겨 가야 하는 혼란도 우려된다"고 말했다.

서울성모병원	서울성모병원/NNP
김동욱	김동욱/NNP
혈액내과	혈액내과/NNG
교수는	교수/NNG+는/JX
"글리벡	"/SS+글리벡/NNG
오리지널과	오리지널/NNG+과/JKB
복제약은	복제약/NNG+은/JX
약물의	약물/NNG+의/JKG
화학	화학/NNG
구조가	구조/NNG+가/JKS
약간	약간/MAG
달라	다르/VA+아/EC
약을	약/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
경우	경우/NNG
부작용이	부작용/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
환자들의	환자/NNG+들/XSN+의/JKG
불안이	불안/NNG+이/JKS
이해된다"면서	이해/NNG+되/XSV+ㄴ다/EF+"/SS+면서/EC
"복제약이	"/SS+복제약/NNG+이/JKS
없는	없/VA+는/ETM
병원도	병원/NNG+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
암	암/NNG
환자들이	환자/NNG+들/XSN+이/JKS
바꾸기	바꾸/VV+기/ETN
위해	위하/VV+아/EC
평소	평소/NNG
치료받던	치료/NNG+받/XSV+던/ETM
곳이	곳/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
병원으로	병원/NNG+으로/JKB
옮겨	옮기/VV+어/EC
가야	가/VV+아야/EC
하는	하/VX+는/ETM
혼란도	혼란/NNG+도/JX
우려된다"고	우려/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.8.2
환자단체는 징벌적 과징금 제도를 도입해 '리베이트 제약사'에 건강보험 적용 금지 이상의 손실이 가도록 하고, 환자들의 약물 선택권은 지켜줘야 한다는 입장이다.

환자단체는	환자/NNG+단체/NNG+는/JX
징벌적	징벌/NNG+적/XSN
과징금	과징금/NNG
제도를	제도/NNG+를/JKO
도입해	도입/NNG+하/XSV+아/EC
'리베이트	'/SS+리베이트/NNG
제약사'에	제약사/NNG+'/SS+에/JKB
건강보험	건강/NNG+보험/NNG
적용	적용/NNG
금지	금지/NNG
이상의	이상/NNG+의/JKG
손실이	손실/NNG+이/JKS
가도록	가/VV+도록/EC
하고,	하/VX+고/EC+,/SP
환자들의	환자/NNG+들/XSN+의/JKG
약물	약물/NNG
선택권은	선택/NNG+권/XSN+은/JX
지켜줘야	지키/VV+어/EC+주/VX+어야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.8.3
보건복지부는 "환자와 전문가 단체의 의견을 취합한 뒤 이르면 이달 말쯤 글리벡을 포함한 노바티스 의약품에 대한 행정처분 내용을 고지할 것"이라고 말했다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
"환자와	"/SS+환자/NNG+와/JC
전문가	전문가/NNG
단체의	단체/NNG+의/JKG
의견을	의견/NNG+을/JKO
취합한	취합/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이르면	이르/VA+면/EC
이달	이달/NNG
말쯤	말/NNB+쯤/XSN
글리벡을	글리벡/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
노바티스	노바티스/NNP
의약품에	의약품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
행정처분	행정/NNG+처분/NNG
내용을	내용/NNG+을/JKO
고지할	고지/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


