# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.267
metadata : {}


# id : NWRW1800000032.267.1.1
‘구제역 방제’ 과로끝 출근길 심근경색 사망법원 “축협 근로자 업무상 재해”

‘구제역	‘/SS+구제역/NNG
위해	위하/VV+아/EC
평일과	평일/NNG+과/JC
주말에	주말/NNG+에/JKB
방역작업에도	방역/NNG+작업/NNG+에/JKB+도/JX
동원됐다.	동원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.267.4.3
민씨는 올해 1월1일부터 2월7일까지 40여일 동안 밤 10시까지 연장근무를 12차례 했고, 3~4일에 한번꼴로 당직근무도 섰다.

민씨는	민/NNP+씨/NNB+는/JX
올해	올해/NNG
1월1일부터	1/SN+월/NNB+1/SN+일/NNB+부터/JX
2월7일까지	2/SN+월/NNB+7/SN+일/NNB+까지/JX
40여일	40/SN+여/XSN+일/NNB
동안	동안/NNG
밤	밤/NNG
10시까지	10/SN+시/NNB+까지/JX
연장근무를	연장/NNG+근무/NNG+를/JKO
12차례	12/SN+차례/NNG
했고,	하/VV+았/EP+고/EC+,/SP
3~4일에	3/SN+~/SO+4/SN+일/NNB+에/JKB
한번꼴로	한/MMN+번/NNB+꼴/XSN+로/JKB
당직근무도	당직/NNG+근무/NNG+도/JX
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.267.4.4
민씨는 2월12일에도 주말 방역작업에 나갔고, 집에서 하루를 쉰 다음 이튿날 아침 출근길에 차량 안에서 숨진 채 발견됐다.

민씨는	민/NNP+씨/NNB+는/JX
2월12일에도	2/SN+월/NNB+12/SN+일/NNB+에/JKB+도/JX
주말	주말/NNG
방역작업에	방역/NNG+작업/NNG+에/JKB
나갔고,	나가/VV+았/EP+고/EC+,/SP
집에서	집/NNG+에서/JKB
하루를	하루/NNG+를/JKO
쉰	쉬/VV+ㄴ/ETM
다음	다음/NNG
이튿날	이튿날/NNG
아침	아침/NNG
출근길에	출근길/NNG+에/JKB
차량	차량/NNG
안에서	안/NNG+에서/JKB
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.267.5.1
국립과학수사연구원은 민씨의 사망 원인이 ‘급성 심근경색증’이라고 판단했다.

국립과학수사연구원은	국립과학수사연구원/NNP+은/JX
민씨의	민/NNP+씨/NNB+의/JKG
사망	사망/NNG
원인이	원인/NNG+이/JKS
‘급성	‘/SS+급성/NNG
심근경색증’이라고	심근/NNG+경색증/NNG+’/SS+이라고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.267.5.2
유족은 이를 과로 때문인 것으로 보고 근로복지공단에 유족급여와 장의비 지급을 청구했다.

유족은	유족/NNG+은/JX
이를	이/NP+를/JKO
과로	과로/NNG
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
근로복지공단에	근로복지공단/NNP+에/JKB
유족급여와	유족/NNG+급여/NNG+와/JC
장의비	장의비/NNG
지급을	지급/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.267.5.3
하지만 근로복지공단은 “업무량의 일부 증가가 인정되지만 기존 질환의 악화에 의한 사망으로 판단된다”며 유족급여 등의 지급을 거부했다.

하지만	하지만/MAJ
근로복지공단은	근로복지공단/NNP+은/JX
“업무량의	“/SS+업무량/NNG+의/JKG
일부	일부/NNG
증가가	증가/NNG+가/JKS
인정되지만	인정/NNG+되/XSV+지만/EC
기존	기존/NNG
질환의	질환/NNG+의/JKG
악화에	악화/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
사망으로	사망/NNG+으로/JKB
판단된다”며	판단/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
유족급여	유족/NNG+급여/NNG
등의	등/NNB+의/JKG
지급을	지급/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.267.5.4
이에 반발한 유족은 지난 7월 서울행정법원에 ‘유족급여 및 장의비 부지급 처분 취소’ 소송을 냈다.

이에	이/NP+에/JKB
반발한	반발/NNG+하/XSV+ㄴ/ETM
유족은	유족/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
서울행정법원에	서울행정법원/NNP+에/JKB
‘유족급여	‘/SS+유족/NNG+급여/NNG
및	및/MAG
장의비	장의비/NNG
부지급	부/XPN+지급/NNG
처분	처분/NNG
취소’	취소/NNG+’/SS
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.267.6.1
법원은 유족의 손을 들어줬다.

법원은	법원/NNG+은/JX
유족의	유족/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.267.6.2
서울행정법원 행정12부(재판장 장상균)는 “구제역 방역작업으로 평상시보다 2시간이나 이른 시간에 출근해 밤 9시30분까지 빈번하게 연장근무를 하는 등 업무의 양이 감내하기 어려웠을 정도로 보이고, 방역작업 역시 서류 등을 다루는 기존의 고유업무와는 성격이 달라 과중했을 것으로 보인다”며 “민씨는 단기간 누적된 업무상 과로와 스트레스로 인해 발생한 급성 심근경색증으로 숨졌다고 추단할 수 있으므로 근로복지공단의 유족급여 등 부지급 처분은 위법하다”고 판결했다고 18일 밝혔다.

서울행정법원	서울행정법원/NNP
행정12부(재판장	행정/NNG+12/SN+부/NNG+(/SS+재판장/NNG
장상균)는	장상균/NNP+)/SS+는/JX
“구제역	“/SS+구제역/NNG
방역작업으로	방역/NNG+작업/NNG+으로/JKB
평상시보다	평상시/NNG+보다/JKB
2시간이나	2/SN+시간/NNB+이나/JX
이른	이르/VA+ㄴ/ETM
시간에	시간/NNG+에/JKB
출근해	출근/NNG+하/XSV+아/EC
밤	밤/NNG
9시30분까지	9/SN+시/NNB+30/SN+분/NNB+까지/JX
빈번하게	빈번하/VA+게/EC
연장근무를	연장/NNG+근무/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
업무의	업무/NNG+의/JKG
양이	양/NNG+이/JKS
감내하기	감내/NNG+하/XSV+기/ETN
어려웠을	어렵/VA+었/EP+을/ETM
정도로	정도/NNG+로/JKB
보이고,	보이/VV+고/EC+,/SP
방역작업	방역/NNG+작업/NNG
역시	역시/MAG
서류	서류/NNG
등을	등/NNB+을/JKO
다루는	다루/VV+는/ETM
기존의	기존/NNG+의/JKG
고유업무와는	고유/NNG+업무/NNG+와/JKB+는/JX
성격이	성격/NNG+이/JKS
달라	다르/VA+아/EC
과중했을	과중하/VA+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“민씨는	“/SS+민/NNP+씨/NNB+는/JX
단기간	단기간/NNG
누적된	누적/NNG+되/XSV+ㄴ/ETM
업무상	업무/NNG+상/XSN
과로와	과로/NNG+와/JC
스트레스로	스트레스/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
급성	급성/NNG
심근경색증으로	심근/NNG+경색증/NNG+으로/JKB
숨졌다고	숨지/VV+었/EP+다고/EC
추단할	추단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
근로복지공단의	근로복지공단/NNP+의/JKG
유족급여	유족/NNG+급여/NNG
부지급	부/XPN+지급/NNG
처분은	처분/NNG+은/JX
위법하다”고	위법/NNG+하/XSV+다/EF+”/SS+고/JKQ
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


