# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.70
metadata : {}


# id : NWRW1800000022.70.1.1
산후풍이요?

산후풍이요?	산후풍/NNG+이요/JX+?/SF
사람들의	사람/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
듣고	듣/VV+고/EC
한약을	한약/NNG+을/JKO
지어	짓/VV+어/EC
먹기도	먹/VV+기/ETN+도/JX
했으나	하/VX+았/EP+으나/EC
좋아지지	좋/VA+아/EC+지/VX+지/EC
않아	않/VX+아/EC
병원에서	병원/NNG+에서/JKB
진료를	진료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.3.3
의사는 "산후 갑상선염에 걸렸다"고 했다.

의사는	의사/NNG+는/JX
"산후	"/SS+산후/NNG
갑상선염에	갑상선염/NNG+에/JKB
걸렸다"고	걸리/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.4.1
출산 뒤 몸이 붓고 피곤하며 팔다리가 저리고 추위를 느끼는 증상 등이 나타나면 흔히 산후조리를 잘못했거나 아기를 돌보느라 피곤한 탓이라고 생각하기 쉽다.

출산	출산/NNG
뒤	뒤/NNG
몸이	몸/NNG+이/JKS
붓고	붓/VV+고/EC
피곤하며	피곤/NNG+하/XSA+며/EC
팔다리가	팔다리/NNG+가/JKS
저리고	저리/VA+고/EC
추위를	추위/NNG+를/JKO
느끼는	느끼/VV+는/ETM
증상	증상/NNG
등이	등/NNB+이/JKS
나타나면	나타나/VV+면/EC
흔히	흔히/MAG
산후조리를	산후조리/NNG+를/JKO
잘못했거나	잘못/MAG+하/XSV+았/EP+거나/EC
아기를	아기/NNG+를/JKO
돌보느라	돌보/VV+느라/EC
피곤한	피곤/NNG+하/XSA+ㄴ/ETM
탓이라고	탓/NNG+이/VCP+라고/EC
생각하기	생각/NNG+하/XSV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000022.70.4.2
일부에서는 산후 조리를 잘못해 생기는 '산후풍'이라며 민간 요법에 의존하기도 한다.

일부에서는	일부/NNG+에서/JKB+는/JX
산후	산후/NNG
조리를	조리/NNG+를/JKO
잘못해	잘못/MAG+하/XSV+아/EC
생기는	생기/VV+는/ETM
'산후풍'이라며	'/SS+산후풍/NNG+'/SS+이/VCP+라며/EC
민간	민간/NNG
요법에	요법/NNG+에/JKB
의존하기도	의존/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.70.5.1
하지만 이른바 산후풍으로 알려진 주요 증상들이 갑상선 기능의 문제로 생긴 '산후 갑상선염'인 경우가 많다고 전문의들은 말한다.

하지만	하지만/MAJ
이른바	이른바/MAG
산후풍으로	산후풍/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
주요	주요/NNG
증상들이	증상/NNG+들/XSN+이/JKS
갑상선	갑상선/NNG
기능의	기능/NNG+의/JKG
문제로	문제/NNG+로/JKB
생긴	생기/VV+ㄴ/ETM
'산후	'/SS+산후/NNG
갑상선염'인	갑상선염/NNG+'/SS+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많다고	많/VA+다고/EC
전문의들은	전문의/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.5.2
산후 갑상선염은 일시적인 자가면역질환의 일종으로 면역 체계는 자신의 세포가 아닌 외부세포를 공격하는데, 태아도 일종의 외부세포이므로 임신 중에는 태아를 안전하게 보호하기 위하여 임신 중에는 면역체계 활동이 억제된다.

산후	산후/NNG
갑상선염은	갑상선염/NNG+은/JX
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
자가면역질환의	자가/NNG+면역/NNG+질환/NNG+의/JKG
일종으로	일종/NNG+으로/JKB
면역	면역/NNG
체계는	체계/NNG+는/JX
자신의	자신/NNG+의/JKG
세포가	세포/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
외부세포를	외부/NNG+세포/NNG+를/JKO
공격하는데,	공격/NNG+하/XSV+는데/EC+,/SP
태아도	태아/NNG+도/JX
일종의	일종/NNG+의/JKG
외부세포이므로	외부/NNG+세포/NNG+이/VCP+므로/EC
임신	임신/NNG
중에는	중/NNB+에/JKB+는/JX
태아를	태아/NNG+를/JKO
안전하게	안전/NNG+하/XSA+게/EC
보호하기	보호/NNG+하/XSV+기/ETN
위하여	위하/VV+아/EC
면역체계	면역/NNG+체계/NNG
활동이	활동/NNG+이/JKS
억제된다.	억제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.5.3
그러나 출산 후에는 억제되었던 활동이 비정상적으로 매우 증가하면서 산후 갑상선염이 생길 수 있다.

그러나	그러나/MAJ
출산	출산/NNG
후에는	후/NNG+에/JKB+는/JX
억제되었던	억제/NNG+되/XSV+었/EP+던/ETM
활동이	활동/NNG+이/JKS
비정상적으로	비/XPN+정상/NNG+적/XSN+으로/JKB
매우	매우/MAG
증가하면서	증가/NNG+하/XSV+면서/EC
산후	산후/NNG
갑상선염이	갑상선염/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.70.6.1
제일병원 내분비내과 임창훈 교수가 산모 100명을 대상으로 조사한 결과에 따르면 출산 여성의 약 8%에서 산후 갑상선염이 발생했다.

제일병원	제일병원/NNP
내분비내과	내분비내과/NNG
임창훈	임창훈/NNP
교수가	교수/NNG+가/JKS
산모	산모/NNG
100명을	100/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
출산	출산/NNG
여성의	여성/NNG+의/JKG
약	약/MMA
8%에서	8/SN+%/SW+에서/JKB
산후	산후/NNG
갑상선염이	갑상선염/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.6.2
하지만 초기에 산후 갑상선염으로 진단되는 경우는 약 3% 정도에 그쳤다.

하지만	하지만/MAJ
초기에	초기/NNG+에/JKB
산후	산후/NNG
갑상선염으로	갑상선염/NNG+으로/JKB
진단되는	진단/NNG+되/XSV+는/ETM
경우는	경우/NNG+는/JX
약	약/MMA
3%	3/SN+%/SW
정도에	정도/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.70.7.1
같은 병원 내분비내과 박소영 교수는 "흔히 출산 후 관절통, 피로감 등이 나타나도 '출산 후 후유증'으로 잘 쉬면 낫는다고 생각하고 특별한 치료를 하지 않는 경우가 많다"고 말했다.

같은	같/VA+은/ETM
병원	병원/NNG
내분비내과	내분비내과/NNG
박소영	박소영/NNP
교수는	교수/NNG+는/JX
"흔히	"/SS+흔히/MAG
출산	출산/NNG
후	후/NNG
관절통,	관절통/NNG+,/SP
피로감	피로감/NNG
등이	등/NNB+이/JKS
나타나도	나타나/VV+아도/EC
'출산	'/SS+출산/NNG
후유증'으로	후유증/NNG+'/SS+으로/JKB
잘	잘/MAG
쉬면	쉬/VV+면/EC
낫는다고	낫/VV+는다고/EC
생각하고	생각/NNG+하/XSV+고/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
치료를	치료/NNG+를/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.8.1
산후 갑상선염은 출산하고 3개월 정도 후에 증상이 나타나는데, 이 시기에는 주로 아이를 돌보느라 힘든 시기여서 본인의 증상에 대해서는 소홀히 생각하는 경향이 있고 모유 수유를 하는 경우에는 병원 진료를 꺼린다.

산후	산후/NNG
갑상선염은	갑상선염/NNG+은/JX
출산하고	출산/NNG+하/XSV+고/EC
3개월	3/SN+개월/NNB
정도	정도/NNG
후에	후/NNG+에/JKB
증상이	증상/NNG+이/JKS
나타나는데,	나타나/VV+는데/EC+,/SP
이	이/MMD
시기에는	시기/NNG+에/JKB+는/JX
주로	주로/MAG
아이를	아이/NNG+를/JKO
돌보느라	돌보/VV+느라/EC
힘든	힘들/VA+ㄴ/ETM
시기여서	시기/NNG+이/VCP+어서/EC
본인의	본인/NNG+의/JKG
증상에	증상/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
소홀히	소홀히/MAG
생각하는	생각/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있고	있/VA+고/EC
모유	모유/NNG
수유를	수유/NNG+를/JKO
하는	하/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
병원	병원/NNG
진료를	진료/NNG+를/JKO
꺼린다.	꺼리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.9.1
박 교수는 "이런 이유로 갑상선 기능이 많이 떨어진 상태에서 발견되는 경우가 많다"고 말했다.

박	박/NNP
교수는	교수/NNG+는/JX
"이런	"/SS+이런/MMD
이유로	이유/NNG+로/JKB
갑상선	갑상선/NNG
기능이	기능/NNG+이/JKS
많이	많이/MAG
떨어진	떨어지/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
발견되는	발견/NNG+되/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.10.1
산후 갑상선염에 걸릴 위험이 높은 사람은 ▲갑상선 질환 병력 ▲가족력 ▲흡연 ▲제1형 당뇨병 ▲자가면역 질환을 앓고 있는 경우 등이다.

산후	산후/NNG
갑상선염에	갑상선염/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
사람은	사람/NNG+은/JX
▲갑상선	▲/SW+갑상선/NNG
질환	질환/NNG
병력	병력/NNG
▲가족력	▲/SW+가족력/NNG
▲흡연	▲/SW+흡연/NNG
▲제1형	▲/SW+제/XPN+1/SN+형/XSN
당뇨병	당뇨병/NNG
▲자가면역	▲/SW+자가/NNG+면역/NNG
질환을	질환/NNG+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
경우	경우/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.70.11.1
산후 갑상선염에 걸리면 처음에는 갑상선 기능 항진증이 나타나 가슴이 두근거리고, 손이 떨리며, 땀이 잘 나고, 신경이 예민해져 신경질을 잘 내고, 잠이 잘 오지 않는 등의 증상이 나타날 수 있다.

산후	산후/NNG
갑상선염에	갑상선염/NNG+에/JKB
걸리면	걸리/VV+면/EC
처음에는	처음/NNG+에/JKB+는/JX
갑상선	갑상선/NNG
기능	기능/NNG
항진증이	항진증/NNG+이/JKS
나타나	나타나/VV+아/EC
가슴이	가슴/NNG+이/JKS
두근거리고,	두근거리/VV+고/EC+,/SP
손이	손/NNG+이/JKS
떨리며,	떨리/VV+며/EC+,/SP
땀이	땀/NNG+이/JKS
잘	잘/MAG
나고,	나/VV+고/EC+,/SP
신경이	신경/NNG+이/JKS
예민해져	예민하/VA+아/EC+지/VX+어/EC
신경질을	신경질/NNG+을/JKO
내고,	내/VV+고/EC+,/SP
잠이	잠/NNG+이/JKS
오지	오/VV+지/EC
않는	않/VX+는/ETM
등의	등/NNB+의/JKG
증상이	증상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.70.11.2
그러나 대개 증상이 심하지 않아 그냥 넘어간다.

그러나	그러나/MAJ
대개	대개/MAG
증상이	증상/NNG+이/JKS
심하지	심하/VA+지/EC
않아	않/VX+아/EC
그냥	그냥/MAG
넘어간다.	넘어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.12.1
이후 출산 후 6개월쯤에는 갑상선 기능 저하증이 나타나 피로감, 근육통, 관절통, 팔 다리가 저린 느낌, 몸이 붓고, 추위를 느끼는 증상이 다소 심하게 나타난다.

이후	이후/NNG
출산	출산/NNG
후	후/NNG
6개월쯤에는	6/SN+개월/NNB+쯤/XSN+에/JKB+는/JX
갑상선	갑상선/NNG
기능	기능/NNG
저하증이	저하증/NNG+이/JKS
나타나	나타나/VV+아/EC
피로감,	피로감/NNG+,/SP
근육통,	근육통/NNG+,/SP
관절통,	관절통/NNG+,/SP
팔	팔/NNG
다리가	다리/NNG+가/JKS
저린	저리/VA+ㄴ/ETM
느낌,	느낌/NNG+,/SP
몸이	몸/NNG+이/JKS
붓고,	붓/VV+고/EC+,/SP
추위를	추위/NNG+를/JKO
느끼는	느끼/VV+는/ETM
증상이	증상/NNG+이/JKS
다소	다소/MAG
심하게	심하/VA+게/EC
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.12.2
이때 산모들은 흔히 산후 조리를 잘못했기 때문으로 생각한다.

이때	이때/NNG
산모들은	산모/NNG+들/XSN+은/JX
흔히	흔히/MAG
산후	산후/NNG
조리를	조리/NNG+를/JKO
잘못했기	잘못/MAG+하/XSV+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.13.1
산후 갑상선염은 일반적인 갑상선 질환과 달리 지나치기 쉽다.

산후	산후/NNG
갑상선염은	갑상선염/NNG+은/JX
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
갑상선	갑상선/NNG
질환과	질환/NNG+과/JKB
달리	달리/MAG
지나치기	지나치/VV+기/ETN
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000022.70.13.2
산후 갑상선염을 제때 치료하지 않아 갑상선 기능이 회복되지 않으면 월경 불순 및 불임의 원인이 되기도 하며, 후에 임신이 돼도 유산 가능성이 높아진다.

산후	산후/NNG
갑상선염을	갑상선염/NNG+을/JKO
제때	제때/NNG
치료하지	치료/NNG+하/XSV+지/EC
않아	않/VX+아/EC
갑상선	갑상선/NNG
기능이	기능/NNG+이/JKS
회복되지	회복/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
월경	월경/NNG
불순	불순/NNG
및	및/MAG
불임의	불임/NNG+의/JKG
원인이	원인/NNG+이/JKC
되기도	되/VV+기/ETN+도/JX
하며,	하/VX+며/EC+,/SP
후에	후/NNG+에/JKB
임신이	임신/NNG+이/JKC
돼도	되/VV+어도/EC
유산	유산/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높아진다.	높아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.13.3
또 고지혈증, 고혈압 등을 일으킬 수 있으며, 동맥경화증의 발병 빈도도 일반인보다 두 배 이상 높아진다.

또	또/MAG
고지혈증,	고지혈증/NNG+,/SP
고혈압	고/XPN+혈압/NNG
등을	등/NNB+을/JKO
일으킬	일으키/VV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
동맥경화증의	동맥/NNG+경화증/NNG+의/JKG
발병	발병/NNG
빈도도	빈도/NNG+도/JX
일반인보다	일반인/NNG+보다/JKB
두	두/MMN
배	배/NNG
이상	이상/NNG
높아진다.	높아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.14.1
강남세브란스병원 외과 박정수 교수는 "출산 후에는 갑상선 검사를 해보는 것이 좋다. 특히 갑상선 질환 병력이 있는 등 고위험군은 반드시 검사를 받아야 한다"고 말했다.

강남세브란스병원	강남세브란스병원/NNP
외과	외과/NNG
박정수	박정수/NNP
교수는	교수/NNG+는/JX
"출산	"/SS+출산/NNG
후에는	후/NNG+에/JKB+는/JX
갑상선	갑상선/NNG
검사를	검사/NNG+를/JKO
해보는	하/VV+아/EC+보/VX+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF
특히	특히/MAG
질환	질환/NNG
병력이	병력/NNG+이/JKS
있는	있/VA+는/ETM
등	등/NNB
고위험군은	고위험군/NNG+은/JX
반드시	반드시/MAG
받아야	받/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.14.2
그는 "산후 갑상선염을 앓은 사람의 70%가 재발되기 때문에 둘째 아이 임신 계획 전에도 다시 검사를 받아야 한다"고 말했다.

그는	그/NP+는/JX
"산후	"/SS+산후/NNG
갑상선염을	갑상선염/NNG+을/JKO
앓은	앓/VV+은/ETM
사람의	사람/NNG+의/JKG
70%가	70/SN+%/SW+가/JKS
재발되기	재발/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
둘째	둘째/NR
아이	아이/NNG
임신	임신/NNG
계획	계획/NNG
전에도	전/NNG+에/JKB+도/JX
다시	다시/MAG
검사를	검사/NNG+를/JKO
받아야	받/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.15.1
산후 갑상선염은 대개 1~6개월 가량 지속되다가 1년쯤 지나면서 서서히 좋아진다.

산후	산후/NNG
갑상선염은	갑상선염/NNG+은/JX
대개	대개/MAG
1~6개월	1/SN+~/SO+6/SN+개월/NNB
가량	가량/XSN
지속되다가	지속/NNG+되/XSV+다가/EC
1년쯤	1/SN+년/NNB+쯤/XSN
지나면서	지나/VV+면서/EC
서서히	서서히/MAG
좋아진다.	좋/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.70.15.2
대부분 특별한 약물치료가 필요 없으나 일부(약 20~30%)에서는 영구적인 갑상선 기능 저하증으로 진행할 수 있으므로 정기적으로 진료를 받아야 한다.

대부분	대/XPN+부분/NNG
특별한	특별/NNG+하/XSA+ㄴ/ETM
약물치료가	약물/NNG+치료/NNG+가/JKS
필요	필요/NNG
없으나	없/VA+으나/EC
일부(약	일부/NNG+(/SS+약/MMA
20~30%)에서는	20/SN+~/SO+30/SN+%/SW+)/SS+에서/JKB+는/JX
영구적인	영구/NNG+적/XSN+이/VCP+ㄴ/ETM
갑상선	갑상선/NNG
기능	기능/NNG
저하증으로	저하증/NNG+으로/JKB
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
정기적으로	정기/NNG+적/XSN+으로/JKB
진료를	진료/NNG+를/JKO
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.70.16.1
증상이 심하면 베타차단제, 호르몬 등을 투여한다.

증상이	증상/NNG+이/JKS
심하면	심하/VA+면/EC
베타차단제,	베타/NNG+차단제/NNG+,/SP
호르몬	호르몬/NNG
등을	등/NNB+을/JKO
투여한다.	투여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.70.16.2
박소영 교수는 "젖을 먹이는 엄마들은 약물치료에 지나치게 걱정을 많이 하는데, 산후 갑상선염 약이나 갑상선 호르몬을 복용하더라도 수유에 지장이 없다"고 말했다.

박소영	박소영/NNP
교수는	교수/NNG+는/JX
"젖을	"/SS+젖/NNG+을/JKO
먹이는	먹이/VV+는/ETM
엄마들은	엄마/NNG+들/XSN+은/JX
약물치료에	약물/NNG+치료/NNG+에/JKB
지나치게	지나치/VA+게/EC
걱정을	걱정/NNG+을/JKO
많이	많이/MAG
하는데,	하/VV+는데/EC+,/SP
산후	산후/NNG
갑상선염	갑상선염/NNG
약이나	약/NNG+이나/JC
갑상선	갑상선/NNG
호르몬을	호르몬/NNG+을/JKO
복용하더라도	복용/NNG+하/XSV+더라도/EC
수유에	수유/NNG+에/JKB
지장이	지장/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


