# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.186
metadata : {}


# id : NWRW1800000029.186.1.1
[휴지통]CCTV에 찍힌 얼굴 지우겠다며… 모니터만 들고 도망간 컴맹도둑

[휴지통]CCTV에	[/SS+휴지통/NNG+]/SS+CCTV/SL+에/JKB
나온	나오/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
문	문/NNP
씨에	씨/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.186.3.4
문 씨는 “‘컴맹’이라서 모니터만 들고 나오면 되는 줄 알았다”며 “기록이 남았을 거라는 생각에 모니터는 곧바로 부숴버렸다”고 진술했다.

문	문/NNP
씨는	씨/NNB+는/JX
“‘컴맹’이라서	“/SS+‘/SS+컴맹/NNG+’/SS+이/VCP+라서/EC
모니터만	모니터/NNG+만/JX
들고	들/VV+고/EC
나오면	나오/VV+면/EC
되는	되/VV+는/ETM
줄	줄/NNB
알았다”며	알/VV+았/EP+다/EF+”/SS+며/EC
“기록이	“/SS+기록/NNG+이/JKS
남았을	남/VV+았/EP+을/ETM
거라는	거/NNB+이/VCP+라는/ETM
생각에	생각/NNG+에/JKB
모니터는	모니터/NNG+는/JX
곧바로	곧바로/MAG
부숴버렸다”고	부수/VV+어/EC+버리/VX+었/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


