# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.7
metadata : {}


# id : NWRW1800000037.7.1.1
삼성전자, 예상대로 최대 실적 “올핸…”

삼성전자,	삼성전자/NNP+,/SP
증권 전문가들은 “1분기 반도체 부문 영업이익이 지난해 4분기보다 10%가량 줄어들 것”이라고 내다봤다.

증권	증권/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“1분기	“/SS+1/SN+분기/NNG
반도체	반도체/NNG
부문	부문/NNG
영업이익이	영업/NNG+이익/NNG+이/JKS
지난해	지난해/NNG
4분기보다	4/SN+분기/NNG+보다/JKB
10%가량	10/SN+%/SW+가량/XSN
줄어들	줄어들/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.7.6.1
휴대전화를 담당하는 정보기술(IT) 모바일 부문의 4분기 매출은 31조3200억 원으로 전 분기보다 5% 늘었지만 영업이익은 5조4400억 원으로 3% 감소했다.

휴대전화를	휴대/NNG+전화/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
모바일	모바일/NNG
부문의	부문/NNG+의/JKG
4분기	4/SN+분기/NNG
매출은	매출/NNG+은/JX
31조3200억	31/SN+조/NR+3200/SN+억/NR
원으로	원/NNB+으로/JKB
전	전/MMD
분기보다	분기/NNG+보다/JKB
5%	5/SN+%/SW
늘었지만	늘/VV+었/EP+지만/EC
영업이익은	영업/NNG+이익/NNG+은/JX
5조4400억	5/SN+조/NR+4400/SN+억/NR
3%	3/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.7.6.2
네트워크와 IT 분야 모두 가격 경쟁이 치열해지면서 수익성이 다소 둔화된 것으로 풀이된다.

네트워크와	네트워크/NNG+와/JC
IT	IT/SL
분야	분야/NNG
모두	모두/MAG
가격	가격/NNG
경쟁이	경쟁/NNG+이/JKS
치열해지면서	치열/NNG+하/XSA+아/EC+지/VX+면서/EC
수익성이	수익/NNG+성/XSN+이/JKS
다소	다소/MAG
둔화된	둔화/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.7.7.1
원화 강세도 변수다.

원화	원화/NNG
강세도	강세/NNG+도/JX
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.7.7.2
삼성전자는 원화 강세가 지속된 지난해 하반기(7∼12월) 이후 9300억 원의 환차손을 입었다.

삼성전자는	삼성전자/NNP+는/JX
원화	원화/NNG
강세가	강세/NNG+가/JKS
지속된	지속/NNG+되/XSV+ㄴ/ETM
지난해	지난해/NNG
하반기(7∼12월)	하반기/NNG+(/SS+7/SN+∼/SO+12/SN+월/NNB+)/SS
이후	이후/NNG
9300억	9300/SN+억/NR
원의	원/NNB+의/JKG
환차손을	환차손/NNG+을/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.7.7.3
지금 같은 환율 조건이 연말까지 이어지면 올해 3조 원 이상의 피해가 발생할 것으로 예상된다.

지금	지금/MAG
같은	같/VA+은/ETM
환율	환율/NNG
조건이	조건/NNG+이/JKS
연말까지	연말/NNG+까지/JX
이어지면	이어지/VV+면/EC
올해	올해/NNG
3조	3/SN+조/NR
원	원/NNB
이상의	이상/NNG+의/JKG
피해가	피해/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.7.8.1
한편 삼성전자는 지난해 4분기 4조4000억 원을 포함해 연간 22조9000억 원의 시설투자를 했다고 밝혔다.

한편	한편/MAG
삼성전자는	삼성전자/NNP+는/JX
지난해	지난해/NNG
4분기	4/SN+분기/NNG
4조4000억	4/SN+조/NR+4000/SN+억/NR
원을	원/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
연간	연간/NNG
22조9000억	22/SN+조/NR+9000/SN+억/NR
원의	원/NNB+의/JKG
시설투자를	시설/NNG+투자/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.7.8.2
이는 당초 투자계획 25조 원에 못 미치는 결과로, 디스플레이 부문과 반도체 부문 시설투자가 계획보다 저조했던 것으로 나타났다.

이는	이/NP+는/JX
당초	당초/NNG
투자계획	투자/NNG+계획/NNG
25조	25/SN+조/NR
원에	원/NNB+에/JKB
못	못/MAG
미치는	미치/VV+는/ETM
결과로,	결과/NNG+로/JKB+,/SP
디스플레이	디스플레이/NNG
부문과	부문/NNG+과/JC
반도체	반도체/NNG
부문	부문/NNG
시설투자가	시설/NNG+투자/NNG+가/JKS
계획보다	계획/NNG+보다/JKB
저조했던	저조/NNG+하/XSA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.7.8.3
삼성전자는 올해 투자 규모는 작년과 큰 차이가 없을 것이라고 말했다.

삼성전자는	삼성전자/NNP+는/JX
올해	올해/NNG
투자	투자/NNG
규모는	규모/NNG+는/JX
작년과	작년/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


