# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.166
metadata : {}


# id : NWRW1800000029.166.1.1
요즘 이분 때문에 극장가 배꼽 빠져요

요즘	요즘/NNG
들었잖아”라고	듣/VV+었/EP+잖아/EF+”/SS+라고/JKQ
울부짖는다.	울부짖/VV+는다/EF+./SF


# id : NWRW1800000029.166.4.2
관객은 목이 젖혀지도록 웃지 않을 수 없다.

관객은	관객/NNG+은/JX
목이	목/NNG+이/JKS
젖혀지도록	젖히/VV+어/EC+지/VX+도록/EC
웃지	웃/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.166.5.1
‘사랑이…’부터 ‘위험한 상견례’ ‘그대를 사랑합니다’ ‘수상한 고객들’까지 김수미는 올해 벌써 4편의 영화에 출연했다.

‘사랑이…’부터	‘/SS+사랑/NNG+이/JKS+…/SE+’/SS+부터/JX
‘위험한	‘/SS+위험/NNG+하/XSA+ㄴ/ETM
상견례’	상견례/NNG+’/SS
‘그대를	‘/SS+그대/NP+를/JKO
사랑합니다’	사랑/NNG+하/XSV+ㅂ니다/EF+’/SS
‘수상한	‘/SS+수상하/VA+ㄴ/ETM
고객들’까지	고객/NNG+들/XSN+’/SS+까지/JX
김수미는	김수미/NNP+는/JX
올해	올해/NNG
벌써	벌써/MAG
4편의	4/SN+편/NNB+의/JKG
영화에	영화/NNG+에/JKB
출연했다.	출연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.166.5.2
주연 조연 카메오를 가리지 않고 종횡무진 활약하며 영화마다 압도적인 존재감을 과시한다.

주연	주연/NNG
조연	조연/NNG
카메오를	카메오/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
종횡무진	종횡무진/NNG
활약하며	활약/NNG+하/XSV+며/EC
영화마다	영화/NNG+마다/JX
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
존재감을	존재감/NNG+을/JKO
과시한다.	과시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.6.1
‘위험한…’에서는 주인공 송새벽의 장모 역을 맡아 능청스러운 연기를 선보인다.

‘위험한…’에서는	‘/SS+위험/NNG+하/XSA+ㄴ/ETM+…/SE+’/SS+에서/JKB+는/JX
주인공	주인공/NNG
송새벽의	송새벽/NNP+의/JKG
장모	장모/NNG
역을	역/NNG+을/JKO
맡아	맡/VV+아/EC
능청스러운	능청/NNG+스럽/XSA+ㄴ/ETM
연기를	연기/NNG+를/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.6.2
전남 벌교 출신임을 숨기고 우아한 ‘서울 사모님’인 척 표준말을 쓰다가 결국 코믹한 남도 사투리를 쏟아내는 역이다.

전남	전남/NNP
벌교	벌교/NNP
출신임을	출신/NNG+이/VCP+ㅁ/ETN+을/JKO
숨기고	숨기/VV+고/EC
우아한	우아하/VA+ㄴ/ETM
‘서울	‘/SS+서울/NNP
사모님’인	사모/NNG+님/XSN+’/SS+이/VCP+ㄴ/ETM
척	척/NNB
표준말을	표준말/NNG+을/JKO
쓰다가	쓰/VV+다가/EC
결국	결국/MAG
코믹한	코믹/NNG+하/XSA+ㄴ/ETM
남도	남도/NNP
사투리를	사투리/NNG+를/JKO
쏟아내는	쏟/VV+아/EC+내/VX+는/ETM
역이다.	역/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.166.6.3
예상치 못한 반전과 입담에 객석에서는 웃음이 터진다.

예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
반전과	반전/NNG+과/JC
입담에	입담/NNG+에/JKB
객석에서는	객석/NNG+에서/JKB+는/JX
웃음이	웃음/NNG+이/JKS
터진다.	터지/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.6.4
14일 개봉하는 ‘수상한 고객들’에서도 그는 코믹하면서도 따뜻한 슈퍼마켓 할머니로 나온다.

14일	14/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
‘수상한	‘/SS+수상하/VA+ㄴ/ETM
고객들’에서도	고객/NNG+들/XSN+’/SS+에서/JKB+도/JX
그는	그/NP+는/JX
코믹하면서도	코믹/NNG+하/XSA+면서/EC+도/JX
따뜻한	따뜻하/VA+ㄴ/ETM
슈퍼마켓	슈퍼마켓/NNG
할머니로	할머니/NNG+로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.7.1
그가 코믹 연기만 잘하는 건 아니다.

그가	그/NP+가/JKS
코믹	코믹/NNG
연기만	연기/NNG+만/JX
잘하는	잘/MAG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.166.7.2
29세 때 이미 TV드라마 ‘전원일기’에서 노인인 ‘일용엄니’역을 맡았던 그는 로맨스 그레이(노년층의 사랑)를 담은 ‘그대를 사랑합니다’에서 치매 걸린 노인을 연기해 관객을 울리고 웃긴다.

29세	29/SN+세/NNB
때	때/NNG
이미	이미/MAG
TV드라마	TV/SL+드라마/NNG
‘전원일기’에서	‘/SS+전원일기/NNP+’/SS+에서/JKB
노인인	노인/NNG+이/VCP+ㄴ/ETM
‘일용엄니’역을	‘/SS+일용/NNP+엄니/NNG+’/SS+역/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
그는	그/NP+는/JX
로맨스	로맨스/NNG
그레이(노년층의	그레이/NNG+(/SS+노년/NNG+층/XSN+의/JKG
사랑)를	사랑/NNG+)/SS+를/JKO
담은	담/VV+은/ETM
‘그대를	‘/SS+그대/NP+를/JKO
사랑합니다’에서	사랑/NNG+하/XSV+ㅂ니다/EF+’/SS+에서/JKB
치매	치매/NNG
걸린	걸리/VV+ㄴ/ETM
노인을	노인/NNG+을/JKO
연기해	연기/NNG+하/XSV+아/EC
관객을	관객/NNG+을/JKO
울리고	울리/VV+고/EC
웃긴다.	웃기/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.7.3
놀이터에서 이순재와 주고받는 선문답 같은 대화는 웃음을 자아내고, 남편 송재호와 죽음까지 함께할 때의 담담한 모습이 눈물샘을 자극한다.

놀이터에서	놀이터/NNG+에서/JKB
이순재와	이순재/NNP+와/JKB
주고받는	주고받/VV+는/ETM
선문답	선문답/NNG
같은	같/VA+은/ETM
대화는	대화/NNG+는/JX
웃음을	웃음/NNG+을/JKO
자아내고,	자아내/VV+고/EC+,/SP
남편	남편/NNG
송재호와	송재호/NNP+와/JKB
죽음까지	죽음/NNG+까지/JX
함께할	함께/MAG+하/XSV+ㄹ/ETM
때의	때/NNG+의/JKG
담담한	담담하/VA+ㄴ/ETM
모습이	모습/NNG+이/JKS
눈물샘을	눈물샘/NNG+을/JKO
자극한다.	자극/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.8.1
김수미와 ‘그대를…’ ‘마파도’를 찍은 추창민 감독은 “김 씨는 수동적인 역할을 능동적으로 바꾸는 힘이 있다.

김수미와	김수미/NNP+와/JKB
‘그대를…’	‘/SS+그대/NP+를/JKO+…/SE+’/SS
‘마파도’를	‘/SS+마파도/NNP+’/SS+를/JKO
찍은	찍/VV+은/ETM
추창민	추창민/NNP
감독은	감독/NNG+은/JX
“김	“/SS+김/NNP
씨는	씨/NNB+는/JX
수동적인	수동/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
능동적으로	능동/NNG+적/XSN+으로/JKB
바꾸는	바꾸/VV+는/ETM
힘이	힘/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.166.8.2
‘그대를…’의 치매 노인 역도 그가 맡았기에 캐릭터가 살아났다”고 평가했다.

‘그대를…’의	‘/SS+그대/NP+를/JKO+…/SE+’/SS+의/JKG
치매	치매/NNG
노인	노인/NNG
역도	역/NNG+도/JX
그가	그/NP+가/JKS
맡았기에	맡/VV+았/EP+기에/EC
캐릭터가	캐릭터/NNG+가/JKS
살아났다”고	살아나/VV+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.166.8.3
추 감독은 대사의 맛을 살려 영화의 흥미를 끌어내는 그의 능력도 높이 평가했다.

추	추/NNP
감독은	감독/NNG+은/JX
대사의	대사/NNG+의/JKG
맛을	맛/NNG+을/JKO
살려	살리/VV+어/EC
영화의	영화/NNG+의/JKG
흥미를	흥미/NNG+를/JKO
끌어내는	끌어내/VV+는/ETM
그의	그/NP+의/JKG
능력도	능력/NNG+도/JX
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.166.8.4
정지욱 영화평론가는 “다른 배우들은 판에 박힌 노인 연기를 하는 경우가 많은데 김수미 씨는 노인 캐릭터에도 활력을 준다”고 분석했다.

정지욱	정지욱/NNP
영화평론가는	영화/NNG+평론가/NNG+는/JX
“다른	“/SS+다른/MMD
배우들은	배우/NNG+들/XSN+은/JX
판에	판/NNG+에/JKB
박힌	박히/VV+ㄴ/ETM
노인	노인/NNG
연기를	연기/NNG+를/JKO
하는	하/VV+는/ETM
경우가	경우/NNG+가/JKS
많은데	많/VA+은데/EC
김수미	김수미/NNP
씨는	씨/NNB+는/JX
캐릭터에도	캐릭터/NNG+에/JKB+도/JX
활력을	활력/NNG+을/JKO
준다”고	주/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.166.9.1
동료 연기자들은 그와 연기하면서 자극을 받는다고 말한다.

동료	동료/NNG
연기자들은	연기자/NNG+들/XSN+은/JX
그와	그/NP+와/JKB
연기하면서	연기/NNG+하/XSV+면서/EC
자극을	자극/NNG+을/JKO
받는다고	받/VV+는다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.166.9.2
‘육혈포 강도단’ 등에 함께 출연했던 나문희는 “같이 일하면 무섭다.

‘육혈포	‘/SS+육혈포/NNG
강도단’	강도단/NNG+’/SS
등에	등/NNB+에/JKB
함께	함께/MAG
출연했던	출연/NNG+하/XSV+았/EP+던/ETM
나문희는	나문희/NNP+는/JX
“같이	“/SS+같이/MAG
일하면	일/NNG+하/XSV+면/EC
무섭다.	무섭/VA+다/EF+./SF


# id : NWRW1800000029.166.9.3
나보다 열 살이나 어리지만 작품을 해석하는 능력이 뛰어나 그에게 많이 배운다”고 말했다.

나보다	나/NP+보다/JKB
열	열/NR
살이나	살/NNB+이나/JX
어리지만	어리/VA+지만/EC
작품을	작품/NNG+을/JKO
해석하는	해석/NNG+하/XSV+는/ETM
능력이	능력/NNG+이/JKS
뛰어나	뛰어나/VA+아/EC
그에게	그/NP+에게/JKB
많이	많이/MAG
배운다”고	배우/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.166.9.4
김수미와 나문희는 뮤지컬 ‘친정엄마’에도 함께 출연 중이다.

김수미와	김수미/NNP+와/JC
나문희는	나문희/NNP+는/JX
뮤지컬	뮤지컬/NNG
‘친정엄마’에도	‘/SS+친정/NNG+엄마/NNG+’/SS+에/JKB+도/JX
함께	함께/MAG
출연	출연/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.166.10.1
김수미는 “내가 종종 선보이는 적나라한 전라도 욕에서 젊은 관객들이 카타르시스를 느끼는 것 같다”며 쑥스러워하면서도 “진심이 담긴 연기를 하려고 노력하는 부분을 평가해 주는 것 같다”고 나직하게 말했다.

김수미는	김수미/NNP+는/JX
“내가	“/SS+내/NP+가/JKS
종종	종종/MAG
선보이는	선보이/VV+는/ETM
적나라한	적나라하/VA+ㄴ/ETM
전라도	전라도/NNP
욕에서	욕/NNG+에서/JKB
젊은	젊/VA+은/ETM
관객들이	관객/NNG+들/XSN+이/JKS
카타르시스를	카타르시스/NNG+를/JKO
느끼는	느끼/VV+는/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
쑥스러워하면서도	쑥스럽/VA+어/EC+하/VX+면서/EC+도/JX
“진심이	“/SS+진심/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
연기를	연기/NNG+를/JKO
하려고	하/VV+려고/EC
노력하는	노력/NNG+하/XSV+는/ETM
부분을	부분/NNG+을/JKO
평가해	평가/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
같다”고	같/VA+다/EF+”/SS+고/JKQ
나직하게	나직하/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


