# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.205
metadata : {}


# id : NWRW1800000038.205.1.1
금연단속 한달, 흡연 마케팅 펼치는 꼼수 가게들

금연단속	금연/NNG+단속/NNG
실시하는	실시/NNG+하/XSV+는/ETM
등	등/NNB
시기가	시기/NNG+가/JKS
서로	서로/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000038.205.5.3
PC방은 면적에 상관없이 올해 말까지가 계도 기간이다.

PC방은	PC/SL+방/NNG+은/JX
면적에	면적/NNG+에/JKB
상관없이	상관없이/MAG
올해	올해/NNG
말까지가	말/NNB+까지/JX+가/JKS
계도	계도/NNG
기간이다.	기간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.205.6.1
일부 업소들은 이 점을 노려 "우리 가게에서는 담배를 피울 수 있다"고 홍보하며 흡연 마케팅을 벌이고 있다.

일부	일부/NNG
업소들은	업소/NNG+들/XSN+은/JX
이	이/MMD
점을	점/NNG+을/JKO
노려	노리/VV+어/EC
"우리	"/SS+우리/NP
가게에서는	가게/NNG+에서/JKB+는/JX
담배를	담배/NNG+를/JKO
피울	피우/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
홍보하며	홍보/NNG+하/XSV+며/EC
흡연	흡연/NNG
마케팅을	마케팅/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.205.6.2
일부 소형 음식점은 금연 계도 기간을 활용해 '흡연 마케팅'을 펼치고 있었다.

일부	일부/NNG
소형	소형/NNG
음식점은	음식점/NNG+은/JX
금연	금연/NNG
계도	계도/NNG
기간을	기간/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
'흡연	'/SS+흡연/NNG
마케팅'을	마케팅/NNG+'/SS+을/JKO
펼치고	펼치/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.205.6.3
서울 여의도의 한 주점은 불법으로 야외에 테이블을 설치한 뒤 '이곳은 야외라서 흡연이 가능하다'고 홍보 중이다.

서울	서울/NNP
여의도의	여의도/NNP+의/JKG
한	한/MMN
주점은	주점/NNG+은/JX
불법으로	불법/NNG+으로/JKB
야외에	야외/NNG+에/JKB
테이블을	테이블/NNG+을/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
'이곳은	'/SS+이곳/NP+은/JX
야외라서	야외/NNG+이/VCP+라서/EC
흡연이	흡연/NNG+이/JKS
가능하다'고	가능/NNG+하/XSA+다/EF+'/SS+고/JKQ
홍보	홍보/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.205.7.1
이 주점 관계자는 "주변에 흡연이 불가능한 대형 주점들이 많아 금연 정책 이후 남성을 중심으로 오히려 손님이 크게 늘었다"고 말했다.

이	이/MMD
주점	주점/NNG
관계자는	관계자/NNG+는/JX
"주변에	"/SS+주변/NNG+에/JKB
흡연이	흡연/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
대형	대형/NNG
주점들이	주점/NNG+들/XSN+이/JKS
많아	많/VA+아/EC
금연	금연/NNG
정책	정책/NNG
이후	이후/NNG
남성을	남성/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
오히려	오히려/MAG
손님이	손/NNG+님/XSN+이/JKS
크게	크/VA+게/EC
늘었다"고	늘/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.8.1
서울 마포구 서교동의 작은 카페 주인 정모(32)씨 역시 흡연이 가능하다는 점을 홍보하면서 손님을 모으고 있다.

서울	서울/NNP
마포구	마포구/NNP
서교동의	서교동/NNP+의/JKG
작은	작/VA+은/ETM
카페	카페/NNG
주인	주인/NNG
정모(32)씨	정/NNP+모/NP+(/SS+32/SN+)/SS+씨/NNB
역시	역시/MAG
흡연이	흡연/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
홍보하면서	홍보/NNG+하/XSV+면서/EC
손님을	손/NNG+님/XSN+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.205.8.2
정씨의 가게에는 소문을 듣고 담배를 피우려고 온 손님이 줄을 이었고, 담배를 피우지 않는 손님을 찾기 어려웠다.

정씨의	정/NNP+씨/NNB+의/JKG
가게에는	가게/NNG+에/JKB+는/JX
소문을	소문/NNG+을/JKO
듣고	듣/VV+고/EC
담배를	담배/NNG+를/JKO
피우려고	피우/VV+려고/EC
온	오/VV+ㄴ/ETM
손님이	손/NNG+님/XSN+이/JKS
줄을	줄/NNG+을/JKO
이었고,	잇/VV+었/EP+고/EC+,/SP
피우지	피우/VV+지/EC
않는	않/VX+는/ETM
손님을	손/NNG+님/XSN+을/JKO
찾기	찾/VV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.205.8.3
그는 "앞으로도 흡연이 가능한 동안엔 손님들을 적극 유치할 생각"이라고 했다.

그는	그/NP+는/JX
"앞으로도	"/SS+앞/NNG+으로/JKB+도/JX
흡연이	흡연/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
동안엔	동안/NNG+에/JKB+ㄴ/JX
손님들을	손/NNG+님/XSN+들/XSN+을/JKO
적극	적극/NNG
유치할	유치/NNG+하/XSV+ㄹ/ETM
생각"이라고	생각/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.9.1
이 같은 소형 업소들의 '흡연 마케팅'에 맞서 대형 업소들은 별도의 흡연 공간을 설치하며 맞서고 있다.

이	이/NP
같은	같/VA+은/ETM
소형	소형/NNG
업소들의	업소/NNG+들/XSN+의/JKG
'흡연	'/SS+흡연/NNG
마케팅'에	마케팅/NNG+'/SS+에/JKB
맞서	맞서/VV+어/EC
대형	대형/NNG
업소들은	업소/NNG+들/XSN+은/JX
별도의	별도/NNG+의/JKG
흡연	흡연/NNG
공간을	공간/NNG+을/JKO
설치하며	설치/NNG+하/XSV+며/EC
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.205.9.2
이 때문에 흡연실 관련 제품을 생산하는 업체들은 때아닌 호황을 맞았다.

이	이/NP
때문에	때문/NNB+에/JKB
흡연실	흡연실/NNG
관련	관련/NNG
제품을	제품/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
업체들은	업체/NNG+들/XSN+은/JX
때아닌	때/NNG+아니/VCN+ㄴ/ETM
호황을	호황/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.9.3
흡연 부스 설치업체 B사는 "금연 정책 시행 이후 매출이 30%가량 늘었다"고 말했다.

흡연	흡연/NNG
부스	부스/NNG
설치업체	설치/NNG+업체/NNG
B사는	B/SL+사/NNG+는/JX
"금연	"/SS+금연/NNG
정책	정책/NNG
시행	시행/NNG
이후	이후/NNG
매출이	매출/NNG+이/JKS
30%가량	30/SN+%/SW+가량/XSN
늘었다"고	늘/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.9.4
강동구 대형 주점 업주 A씨는 "불경기여서 추가 비용이 부담스럽지만 소형 주점의 흡연 마케팅에 손님을 빼앗길 수는 없다"고 말했다.

강동구	강동구/NNP
대형	대형/NNG
주점	주점/NNG
업주	업주/NNG
A씨는	A/SL+씨/NNB+는/JX
"불경기여서	"/SS+불/XPN+경기/NNG+이/VCP+어서/EC
추가	추가/NNG
비용이	비용/NNG+이/JKS
부담스럽지만	부담/NNG+스럽/XSA+지만/EC
소형	소형/NNG
주점의	주점/NNG+의/JKG
흡연	흡연/NNG
마케팅에	마케팅/NNG+에/JKB
손님을	손/NNG+님/XSN+을/JKO
빼앗길	빼앗기/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.10.1
PC방은 여력이 닿는 대로 흡연실을 설치·홍보하고 있다.

PC방은	PC/SL+방/NNG+은/JX
여력이	여력/NNG+이/JKS
닿는	닿/VV+는/ETM
대로	대로/NNB
흡연실을	흡연실/NNG+을/JKO
설치·홍보하고	설치/NNG+·/SP+홍보/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.205.10.2
지난달 인천의 한 PC방에서는 흡연실을 설치한 뒤 '흡연방, PC 이용 공짜'란 이름으로 편법 흡연을 홍보했다가 문화체육관광부가 "PC방 등록 업소에서 '흡연방'이란 명칭을 사용하다 적발되면 처벌될 수 있다"고 발표하기도 했다.

지난달	지난달/NNG
인천의	인천/NNP+의/JKG
한	한/MMN
PC방에서는	PC/SL+방/NNG+에서/JKB+는/JX
흡연실을	흡연실/NNG+을/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
'흡연방,	'/SS+흡연방/NNG+,/SP
PC	PC/SL
이용	이용/NNG
공짜'란	공짜/NNG+'/SS+이/VCP+란/ETM
이름으로	이름/NNG+으로/JKB
편법	편법/NNG
흡연을	흡연/NNG+을/JKO
홍보했다가	홍보/NNG+하/XSV+았/EP+다가/EC
문화체육관광부가	문화/NNG+체육/NNG+관광부/NNG+가/JKS
"PC방	"/SS+PC/SL+방/NNG
등록	등록/NNG
업소에서	업소/NNG+에서/JKB
'흡연방'이란	'/SS+흡연방/NNG+'/SS+이/VCP+란/ETM
명칭을	명칭/NNG+을/JKO
사용하다	사용/NNG+하/XSV+다/EC
적발되면	적발/NNG+되/XSV+면/EC
처벌될	처벌/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
발표하기도	발표/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


