# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.106
metadata : {}


# id : NWRW1800000025.106.1.1
대기업 사내소통 ‘누가누가 잘하나’

대기업	대/XPN+기업/NNG
방명록에	방명록/NNG+에/JKB
기록도	기록/NNG+도/JX
남기고	남기/VV+고/EC
설문조사에도	설문/NNG+조사/NNG+에/JKB+도/JX
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.106.3.1
국내 기업들이 사내 소통을 강화하고 있다.

국내	국내/NNG
기업들이	기업/NNG+들/XSN+이/JKS
사내	사내/NNG
소통을	소통/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.106.3.2
방송이나 토론, 사내 매체 활용 등 소통의 방식도 다양해지고 있다.

방송이나	방송/NNG+이나/JC
토론,	토론/NNG+,/SP
사내	사내/NNG
매체	매체/NNG
활용	활용/NNG
등	등/NNB
소통의	소통/NNG+의/JKG
방식도	방식/NNG+도/JX
다양해지고	다양/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.106.3.3
경영 이론에 따르면 소통을 통해 직원들의 만족도가 올라가면 고객들에게 그 만족도가 전달된다.

경영	경영/NNG
이론에	이론/NNG+에/JKB
따르면	따르/VV+면/EC
소통을	소통/NNG+을/JKO
통해	통하/VV+아/EC
직원들의	직원/NNG+들/XSN+의/JKG
만족도가	만족도/NNG+가/JKS
올라가면	올라가/VV+면/EC
고객들에게	고객/NNG+들/XSN+에게/JKB
그	그/MMD
전달된다.	전달/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.106.4.1
LG전자 남용 부회장은 최근 연구개발(R&D), 사무직, 마케팅, 생산 등 4개 직군 중 1980년 이후에 태어난 직원들을 따로 만났다.

LG전자	LG전자/NNP
남용	남용/NNP
부회장은	부회장/NNG+은/JX
최근	최근/NNG
연구개발(R&D),	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+,/SP
사무직,	사무직/NNG+,/SP
마케팅,	마케팅/NNG+,/SP
생산	생산/NNG
등	등/NNB
4개	4/SN+개/NNB
직군	직군/NNG
중	중/NNB
1980년	1980/SN+년/NNB
이후에	이후/NNG+에/JKB
태어난	태어나/VV+ㄴ/ETM
직원들을	직원/NNG+들/XSN+을/JKO
따로	따로/MAG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.4.2
주로 사원과 대리급이다.

주로	주로/MAG
사원과	사원/NNG+과/JC
대리급이다.	대리/NNG+급/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.4.3
LG전자 관계자는 “이들 젊은 직원이 가진 강점을 조직의 경쟁력으로 이어주는 게 중요하다”고 말했다.

LG전자	LG전자/NNP
관계자는	관계자/NNG+는/JX
“이들	“/SS+이/NP+들/XSN
젊은	젊/VA+은/ETM
직원이	직원/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
강점을	강점/NNG+을/JKO
조직의	조직/NNG+의/JKG
경쟁력으로	경쟁력/NNG+으로/JKB
이어주는	잇/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.4.4
특히 이 만남은 단순히 남 부회장이 직원들의 질문에 답하는 형태로 이뤄지는 것이 아니라 직원들이 3시간에 걸쳐 한 가지 주제를 가지고 토론을 한 뒤 남 부회장이 이에 대해 함께 이야기하는 형식으로 이뤄진다.

특히	특히/MAG
이	이/MMD
만남은	만남/NNG+은/JX
단순히	단순히/MAG
남	남/NNP
부회장이	부회장/NNG+이/JKS
직원들의	직원/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
답하는	답/NNG+하/XSV+는/ETM
형태로	형태/NNG+로/JKB
이뤄지는	이뤄지/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
직원들이	직원/NNG+들/XSN+이/JKS
3시간에	3/SN+시간/NNB+에/JKB
걸쳐	걸치/VV+어/EC
한	하/VV+ㄴ/ETM
가지	가지/NNB
주제를	주제/NNG+를/JKO
가지고	가지/VV+고/EC
토론을	토론/NNG+을/JKO
뒤	뒤/NNG
이에	이/NP+에/JKB
대해	대하/VV+아/EC
함께	함께/MAG
이야기하는	이야기/NNG+하/XSV+는/ETM
형식으로	형식/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.106.4.5
예를 들어 ‘10년 후의 LG전자의 모습’에 대한 토론을 벌이는 것이다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
‘10년	‘/SS+10/SN+년/NNB
후의	후/NNG+의/JKG
LG전자의	LG전자/NNP+의/JKG
모습’에	모습/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
토론을	토론/NNG+을/JKO
벌이는	벌이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.4.6
‘혁신은 경직되고 수직적인 조직에서는 일어날 수 없다’는 남 부회장의 평소 지론에 따라 최고경영자(CEO)가 사원들과 수평적이고 개방적인 관계를 맺기 위한 것이라는 설명이다.

‘혁신은	‘/SS+혁신/NNG+은/JX
경직되고	경직/NNG+되/XSV+고/EC
수직적인	수직/NNG+적/XSN+이/VCP+ㄴ/ETM
조직에서는	조직/NNG+에서/JKB+는/JX
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
없다’는	없/VA+다/EF+’/SS+는/ETM
남	남/NNP
부회장의	부회장/NNG+의/JKG
평소	평소/NNG
지론에	지론/NNG+에/JKB
따라	따르/VV+아/EC
최고경영자(CEO)가	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+가/JKS
사원들과	사원/NNG+들/XSN+과/JKB
수평적이고	수평/NNG+적/XSN+이/VCP+고/EC
개방적인	개방/NNG+적/XSN+이/VCP+ㄴ/ETM
관계를	관계/NNG+를/JKO
맺기	맺/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.5.1
지난달 24일 오전 9시 반경.

지난달	지난달/NNG
24일	24/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
반경.	반/NNG+경/XSN+./SF


# id : NWRW1800000025.106.5.2
삼성그룹 커뮤니케이션팀장인 이인용 부사장이 이건희 회장의 경영 복귀 사실을 발표하는 순간, 현장에 있던 삼성 직원은 사내 홍보 담당자에게 전화를 했다.

삼성그룹	삼성그룹/NNP
커뮤니케이션팀장인	커뮤니케이션/NNG+팀장/NNG+이/VCP+ㄴ/ETM
이인용	이인용/NNP
부사장이	부사장/NNG+이/JKS
이건희	이건희/NNP
회장의	회장/NNG+의/JKG
경영	경영/NNG
복귀	복귀/NNG
사실을	사실/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
순간,	순간/NNG+,/SP
현장에	현장/NNG+에/JKB
있던	있/VA+던/ETM
삼성	삼성/NNP
직원은	직원/NNG+은/JX
사내	사내/NNG
홍보	홍보/NNG
담당자에게	담당자/NNG+에게/JKB
전화를	전화/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.5.3
“발표 시작했습니다”라는 한마디에 사내 홍보 담당자는 즉시 사내 매체인 ‘미디어 삼성’에 이 회장의 복귀 사실을 올렸다.

“발표	“/SS+발표/NNG
시작했습니다”라는	시작/NNG+하/XSV+았/EP+습니다/EF+”/SS+이/VCP+라는/ETM
한마디에	한마디/NNG+에/JKB
사내	사내/NNG
홍보	홍보/NNG
담당자는	담당자/NNG+는/JX
즉시	즉시/MAG
매체인	매체/NNG+이/VCP+ㄴ/ETM
‘미디어	‘/SS+미디어/NNG
삼성’에	삼성/NNP+’/SS+에/JKB
이	이/NNP
회장의	회장/NNG+의/JKG
복귀	복귀/NNG
사실을	사실/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.106.5.4
그동안 ‘왜 회사 소식을 외부 매체를 통해 먼저 알아야 하느냐’는 직원들의 불만이 여러 차례 제기됐기 때문이다.

그동안	그동안/NNG
‘왜	‘/SS+왜/MAG
회사	회사/NNG
소식을	소식/NNG+을/JKO
외부	외부/NNG
매체를	매체/NNG+를/JKO
통해	통하/VV+아/EC
먼저	먼저/MAG
알아야	알/VV+아야/EC
하느냐’는	하/VV+느냐/EF+’/SS+는/ETM
직원들의	직원/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
여러	여러/MMN
차례	차례/NNG
제기됐기	제기/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.5.5
삼성그룹은 앞으로도 중요 뉴스는 임직원에게 가장 먼저 알릴 방침이다.

삼성그룹은	삼성그룹/NNP+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
중요	중요/NNG
뉴스는	뉴스/NNG+는/JX
임직원에게	임직원/NNG+에게/JKB
가장	가장/MAG
먼저	먼저/MAG
알릴	알리/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.6.1
삼성그룹은 기업에서 중추적 역할을 하고 있는 젊은 인력이 애사심을 가지고 일 할 수 있도록 젊은 방식의 사내 소통을 시작했다.

삼성그룹은	삼성그룹/NNP+은/JX
기업에서	기업/NNG+에서/JKB
중추적	중추/NNG+적/XSN
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
젊은	젊/VA+은/ETM
인력이	인력/NNG+이/JKS
애사심을	애사심/NNG+을/JKO
가지고	가지/VV+고/EC
일	일/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
방식의	방식/NNG+의/JKG
사내	사내/NNG
소통을	소통/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.6.2
삼성 관계자는 “‘관리의 삼성’ ‘무거운 삼성’ ‘하드웨어의 삼성’과 같은 이미지에서 벗어나 창의적이고 소프트웨어를 중시하는 기업문화를 만들기 위한 것”이라고 설명했다.

삼성	삼성/NNP
관계자는	관계자/NNG+는/JX
“‘관리의	“/SS+‘/SS+관리/NNG+의/JKG
삼성’	삼성/NNP+’/SS
‘무거운	‘/SS+무겁/VA+ㄴ/ETM
‘하드웨어의	‘/SS+하드웨어/NNG+의/JKG
삼성’과	삼성/NNP+’/SS+과/JKB
같은	같/VA+은/ETM
이미지에서	이미지/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
창의적이고	창의/NNG+적/XSN+이/VCP+고/EC
소프트웨어를	소프트웨어/NNG+를/JKO
중시하는	중시/NNG+하/XSV+는/ETM
기업문화를	기업/NNG+문화/NNG+를/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.7.1
이 외에도 삼성그룹은 지원자로 구성된 37명의 미디어삼성 기자단을 운영하고 있다.

이	이/MMD
외에도	외/NNB+에/JKB+도/JX
삼성그룹은	삼성그룹/NNP+은/JX
지원자로	지원자/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
37명의	37/SN+명/NNB+의/JKG
미디어삼성	미디어삼성/NNP
기자단을	기자단/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.106.7.2
이들은 ‘삼성 관계사에 대한 오해와 진실’ ‘일류기업의 위기 시리즈’ ‘그룹 내 동명이인 모음’ 등의 인기 기사들을 만들어 내고 있다.

이들은	이/NP+들/XSN+은/JX
‘삼성	‘/SS+삼성/NNP
관계사에	관계사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
오해와	오해/NNG+와/JC
진실’	진실/NNG+’/SS
‘일류기업의	‘/SS+일류/NNG+기업/NNG+의/JKG
위기	위기/NNG
시리즈’	시리즈/NNG+’/SS
‘그룹	‘/SS+그룹/NNG
내	내/NNB
동명이인	동명이인/NNG
모음’	모음/NNG+’/SS
등의	등/NNB+의/JKG
인기	인기/NNG
기사들을	기사/NNG+들/XSN+을/JKO
만들어	만들/VV+어/EC
내고	내/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.106.8.1
SK텔레콤 인트라넷에는 직원들이 정만원 사장과 직접 소통할 수 있는 ‘소통한마당’ 게시판이 있다.

SK텔레콤	SK텔레콤/NNP
인트라넷에는	인트라넷/NNG+에/JKB+는/JX
직원들이	직원/NNG+들/XSN+이/JKS
정만원	정만원/NNP
사장과	사장/NNG+과/JKB
직접	직접/MAG
소통할	소통/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘소통한마당’	‘/SS+소통/NNG+한/XPN+마당/NNG+’/SS
게시판이	게시판/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.106.8.2
여기에서는 회의 때 논의되었던 경영방침과 CEO의 철학을 이야기하는 공간, 리더십·팔로어십을 공유하는 공간, 주제와 상관없이 구성원들이 솔직한 이야기를 나누는 익명 게시판 등이 있다.

여기에서는	여기/NP+에서/JKB+는/JX
회의	회의/NNG
때	때/NNG
논의되었던	논의/NNG+되/XSV+었/EP+던/ETM
경영방침과	경영/NNG+방침/NNG+과/JC
CEO의	CEO/SL+의/JKG
철학을	철학/NNG+을/JKO
이야기하는	이야기/NNG+하/XSV+는/ETM
공간,	공간/NNG+,/SP
리더십·팔로어십을	리더십/NNG+·/SP+팔로어십/NNG+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
주제와	주제/NNG+와/JKB
상관없이	상관없이/MAG
구성원들이	구성원/NNG+들/XSN+이/JKS
솔직한	솔직하/VA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
나누는	나누/VV+는/ETM
익명	익명/NNG
게시판	게시판/NNG
등이	등/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.106.8.3
정 사장은 이 ‘소통한마당’을 둘러보는 것으로 일과를 시작한다고 한다.

정	정/NNP
사장은	사장/NNG+은/JX
이	이/MMD
‘소통한마당’을	‘/SS+소통/NNG+한/XPN+마당/NNG+’/SS+을/JKO
둘러보는	둘러보/VV+는/ETM
것으로	것/NNB+으로/JKB
일과를	일과/NNG+를/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.106.8.4
SK텔레콤은 이곳이 소통을 위한 공동 커뮤니티의 역할을 하고 있다고 밝혔다.

SK텔레콤은	SK텔레콤/NNP+은/JX
이곳이	이곳/NP+이/JKS
소통을	소통/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동	공동/NNG
커뮤니티의	커뮤니티/NNG+의/JKG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.106.9.1
삼성경제연구소 예지은 수석연구원은 “사내 소통 강화는 신세대와 여성 등 기업 내 인력 구성이 다양해지면서 이들이 회사에 충성심과 애사심을 가지고 일할 수 있도록 하기 위한 전략”이라고 말했다.

삼성경제연구소	삼성경제연구소/NNP
예지은	예지은/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“사내	“/SS+사내/NNG
소통	소통/NNG
강화는	강화/NNG+는/JX
신세대와	신/XPN+세대/NNG+와/JC
여성	여성/NNG
등	등/NNB
기업	기업/NNG
내	내/NNB
인력	인력/NNG
구성이	구성/NNG+이/JKS
다양해지면서	다양/NNG+하/XSA+아/EC+지/VX+면서/EC
이들이	이/NP+들/XSN+이/JKS
회사에	회사/NNG+에/JKB
충성심과	충성심/NNG+과/JC
애사심을	애사심/NNG+을/JKO
가지고	가지/VV+고/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위한	위하/VV+ㄴ/ETM
전략”이라고	전략/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


