# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.18
metadata : {}


# id : NWRW1800000048.18.1.1
자동차보험 ‘한정 특약’ 꼼꼼히 살펴보세요

자동차보험	자동차/NNG+보험/NNG
남편 ㄱ씨가 주민등록상 나이를 생각하지 않고 무심코 한정 특약에 가입했다가 보장을 못 받게 된 것이다.

남편	남편/NNG
ㄱ씨가	ㄱ/NNG+씨/NNB+가/JKS
주민등록상	주민/NNG+등록/NNG+상/XSN
나이를	나이/NNG+를/JKO
생각하지	생각/NNG+하/XSV+지/EC
않고	않/VX+고/EC
무심코	무심코/MAG
한정	한정/NNG
특약에	특약/NNG+에/JKB
가입했다가	가입/NNG+하/XSV+았/EP+다가/EC
보장을	보장/NNG+을/JKO
못	못/MAG
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.18.5.1
‘가족운전자 한정 특약’에 가입한 ㄴ씨는 명절 귀경길에 자신의 딸과 사실혼 관계있는 ㄷ씨한테 운전대를 맡겼다가 사고가 나는 바람에 낭패를 봤다.

‘가족운전자	‘/SS+가족/NNG+운전자/NNG
한정	한정/NNG
특약’에	특약/NNG+’/SS+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
ㄴ씨는	ㄴ/NNG+씨/NNB+는/JX
명절	명절/NNG
귀경길에	귀경길/NNG+에/JKB
자신의	자신/NNG+의/JKG
딸과	딸/NNG+과/JC
사실혼	사실혼/NNG
관계있는	관계/NNG+있/VA+는/ETM
ㄷ씨한테	ㄷ/NNG+씨/NNB+한테/JKB
운전대를	운전대/NNG+를/JKO
맡겼다가	맡기/VV+었/EP+다가/EC
사고가	사고/NNG+가/JKS
나는	나/VV+는/ETM
바람에	바람/NNB+에/JKB
낭패를	낭패/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.5.2
ㄷ씨가 자녀의 법률상 배우자가 아니어서 특약 보장 대상이 아니었기 때문이다.

ㄷ씨가	ㄷ/NNG+씨/NNB+가/JKS
자녀의	자녀/NNG+의/JKG
법률상	법률/NNG+상/XSN
배우자가	배우자/NNG+가/JKC
아니어서	아니/VCN+어서/EC
특약	특약/NNG
보장	보장/NNG
대상이	대상/NNG+이/JKC
아니었기	아니/VCN+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.18.6.1
금융감독원은 2일 자동차보험에 가입할 때 운전자의 연령이나 범위를 제한하는 한정 특약과 관련한 분쟁이 상당수 발생하고 있다며, 주의를 당부했다.

금융감독원은	금융/NNG+감독원/NNG+은/JX
2일	2/SN+일/NNB
자동차보험에	자동차/NNG+보험/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
운전자의	운전자/NNG+의/JKG
연령이나	연령/NNG+이나/JC
범위를	범위/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
한정	한정/NNG
특약과	특약/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
분쟁이	분쟁/NNG+이/JKS
상당수	상당수/NNG
발생하고	발생/NNG+하/XSV+고/EC
있다며,	있/VX+다며/EC+,/SP
주의를	주의/NNG+를/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.6.2
한정 특약에 가입하면 보험료가 싼 대신 보장 대상이 되는 운전자가 제한된다.

한정	한정/NNG
특약에	특약/NNG+에/JKB
가입하면	가입/NNG+하/XSV+면/EC
보험료가	보험료/NNG+가/JKS
싼	싸/VA+ㄴ/ETM
대신	대신/NNG
보장	보장/NNG
대상이	대상/NNG+이/JKC
되는	되/VV+는/ETM
운전자가	운전자/NNG+가/JKS
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.18.6.3
특약상 운전 가능자가 아닌 사람이 운전하다 사고를 내면 필수적인 대인 배상만 받을 수 있다.

특약상	특약/NNG+상/XSN
운전	운전/NNG
가능자가	가능자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
사람이	사람/NNG+이/JKS
운전하다	운전/NNG+하/XSV+다/EF
사고를	사고/NNG+를/JKO
내면	내/VV+면/EC
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
대인	대인/NNG
배상만	배상/NNG+만/JX
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.18.6.4
금감원은 한정 특약과 관련한 분쟁조정신청 건수가 최근 3년간 101건에 달한다고 밝혔다.

금감원은	금감원/NNG+은/JX
한정	한정/NNG
특약과	특약/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
분쟁조정신청	분쟁/NNG+조정/NNG+신청/NNG
건수가	건수/NNG+가/JKS
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
101건에	101/SN+건/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.18.7.1
금감원은 우선 운전자 연령제한 특약에 가입할 때는 운전할 사람의 만 나이가 특약 조건에 해당하는지를 확인해야 한다고 조언했다.

금감원은	금감원/NNG+은/JX
우선	우선/MAG
운전자	운전자/NNG
연령제한	연령/NNG+제한/NNG
특약에	특약/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
운전할	운전/NNG+하/XSV+ㄹ/ETM
사람의	사람/NNG+의/JKG
만	만/MMA
나이가	나이/NNG+가/JKS
특약	특약/NNG
조건에	조건/NNG+에/JKB
해당하는지를	해당/NNG+하/XSV+는지/EF+를/JKO
확인해야	확인/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.7.2
즉 특약 가입 다음날을 기준으로 배우자와 자녀의 주민등록상 생일이 지나 제한 연령을 넘어섰는지 확인해야 한다는 것이다.

즉	즉/MAG
특약	특약/NNG
가입	가입/NNG
다음날을	다음날/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
배우자와	배우자/NNG+와/JC
자녀의	자녀/NNG+의/JKG
주민등록상	주민/NNG+등록/NNG+상/XSN
생일이	생일/NNG+이/JKS
지나	지나/VV+아/EC
제한	제한/NNG
연령을	연령/NNG+을/JKO
넘어섰는지	넘어서/VV+었/EP+는지/EF
확인해야	확인/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.18.7.3
자녀의 실제 생일과 주민등록상 생일이 달라 사고 뒤 보험 혜택을 받지 못하는 사례도 있다고 금감원은 설명했다.

자녀의	자녀/NNG+의/JKG
실제	실제/NNG
생일과	생일/NNG+과/JC
주민등록상	주민/NNG+등록/NNG+상/XSN
생일이	생일/NNG+이/JKS
달라	다르/VA+아/EC
사고	사고/NNG
뒤	뒤/NNG
보험	보험/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
사례도	사례/NNG+도/JX
있다고	있/VA+다고/EC
금감원은	금감원/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.8.1
운전 가능자의 범위를 부부나 가족, 지정 1인 등으로 한정하는 운전자 범위 제한 특약은 허용되지 않은 다른 지인이 운전하다 사고를 냈을 때 문제가 된다.

운전	운전/NNG
가능자의	가능자/NNG+의/JKG
범위를	범위/NNG+를/JKO
부부나	부부/NNG+나/JC
가족,	가족/NNG+,/SP
지정	지정/NNG
1인	1/SN+인/NNG
등으로	등/NNB+으로/JKB
한정하는	한정/NNG+하/XSV+는/ETM
운전자	운전자/NNG
범위	범위/NNG
제한	제한/NNG
특약은	특약/NNG+은/JX
허용되지	허용/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
다른	다른/MMD
지인이	지인/NNG+이/JKS
운전하다	운전/NNG+하/XSV+다/EF
사고를	사고/NNG+를/JKO
냈을	내/VV+었/EP+을/ETM
때	때/NNG
문제가	문제/NNG+가/JKS
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.18.8.2
피보험자의 지인이나 피보험자 자녀의 친구 등이 운전하다 사고를 내면 필수적인 대인 배상 말고는 대물 배상이 되지 않는다.

피보험자의	피보험자/NNG+의/JKG
지인이나	지인/NNG+이나/JC
피보험자	피보험자/NNG
자녀의	자녀/NNG+의/JKG
친구	친구/NNG
등이	등/NNB+이/JKS
운전하다	운전/NNG+하/XSV+다/EF
사고를	사고/NNG+를/JKO
내면	내/VV+면/EC
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
대인	대인/NNG
배상	배상/NNG
말고는	말/VV+고/EC+는/JX
대물	대물/NNG
배상이	배상/NNG+이/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.18.8.3
금감원은 특약상 운전자에 해당하지 않는 사람에게 차량 운전을 맡겨야 할 경우 사전에 ‘임시운전자 특약’이나 ‘지정 운전자 한정 특약’ 등을 추가해야 배상을 못 받는 위험을 피할 수 있다고 강조했다.

금감원은	금감원/NNG+은/JX
특약상	특약/NNG+상/XSN
운전자에	운전자/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
사람에게	사람/NNG+에게/JKB
차량	차량/NNG
운전을	운전/NNG+을/JKO
맡겨야	맡기/VV+어야/EC
할	하/VX+ㄹ/ETM
경우	경우/NNG
사전에	사전/NNG+에/JKB
‘임시운전자	‘/SS+임시/NNG+운전자/NNG
특약’이나	특약/NNG+’/SS+이나/JC
‘지정	‘/SS+지정/NNG
운전자	운전자/NNG
한정	한정/NNG
특약’	특약/NNG+’/SS
등을	등/NNB+을/JKO
추가해야	추가/NNG+하/XSV+아야/EC
배상을	배상/NNG+을/JKO
못	못/MAG
받는	받/VV+는/ETM
위험을	위험/NNG+을/JKO
피할	피하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


