# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.450
metadata : {}


# id : NWRW1800000024.450.1.1
“서울시, 신청사 문화재 발굴터 보존해야”

“서울시,	“/SS+서울시/NNP+,/SP
시민들에게	시민/NNG+들/XSN+에게/JKB
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.450.3.3
신청사 전체 부지의 약 9%를 차지하는 발굴조사 터(4522㎡)에는 석축, 그을음이 남아 있는 구들, 건물 기단, 기둥자리 등이 그대로 남아 있었다.

신청사	신/XPN+청사/NNG
전체	전체/NNG
부지의	부지/NNG+의/JKG
약	약/MMA
9%를	9/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
발굴조사	발굴/NNG+조사/NNG
터(4522㎡)에는	터/NNG+(/SS+4522/SN+㎡/SW+)/SS+에/JKB+는/JX
석축,	석축/NNG+,/SP
그을음이	그을음/NNG+이/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
구들,	구들/NNG+,/SP
건물	건물/NNG
기단,	기단/NNG+,/SP
기둥자리	기둥/NNG+자리/NNG
등이	등/NNB+이/JKS
그대로	그대로/MAG
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.450.4.1
‘조선시대 화포’가 발견된 터 등 일부 유적은 이미 훼손돼 있었다.

‘조선시대	‘/SS+조선시대/NNG
화포’가	화포/NNG+’/SS+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
터	터/NNG
등	등/NNB
일부	일부/NNG
유적은	유적/NNG+은/JX
이미	이미/MAG
훼손돼	훼손/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.450.4.2
이번에 발굴된 화포는 보물 861호인 불랑기자포와 같은 형태로 김석년, 명종 18년(1563년) 등 제작자 이름과 연대가 새겨져 있으며, 출토지가 분명한 최초의 대포다.

이번에	이번/NNG+에/JKB
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
화포는	화포/NNG+는/JX
보물	보물/NNG
861호인	861/SN+호/NNB+이/VCP+ㄴ/ETM
불랑기자포와	불랑기자포/NNG+와/JKB
같은	같/VA+은/ETM
형태로	형태/NNG+로/JKB
김석년,	김석년/NNP+,/SP
명종	명종/NNP
18년(1563년)	18/SN+년/NNB+(/SS+1563/SN+년/NNB+)/SS
등	등/NNB
제작자	제작자/NNG
이름과	이름/NNG+과/JC
연대가	연대/NNG+가/JKS
새겨져	새기/VV+어/EC+지/VX+어/EC
있으며,	있/VX+으며/EC+,/SP
출토지가	출토지/NNG+가/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
최초의	최초/NNG+의/JKG
대포다.	대포/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.450.4.3
불랑기자포는 유럽에서 들여온 화포로 포탄과 화약을 포의 뒷부분에 장착하여 점화·발사시키도록 돼 있다.

불랑기자포는	불랑기자포/NNG+는/JX
유럽에서	유럽/NNP+에서/JKB
들여온	들여오/VV+ㄴ/ETM
화포로	화포/NNG+로/JKB
포탄과	포탄/NNG+과/JC
화약을	화약/NNG+을/JKO
포의	포/NNG+의/JKG
뒷부분에	뒷부분/NNG+에/JKB
장착하여	장착/NNG+하/XSV+아/EC
점화·발사시키도록	점화/NNG+·/SP+발사/NNG+시키/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.450.4.4
화포는 조선시대 무기 제조를 맡았던 관청인 군기시의 부속시설 터에서 발굴됐다.

화포는	화포/NNG+는/JX
조선시대	조선시대/NNG
무기	무기/NNG
제조를	제조/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
관청인	관청/NNG+이/VCP+ㄴ/ETM
군기시의	군기시/NNP+의/JKG
부속시설	부속/NNG+시설/NNG
터에서	터/NNG+에서/JKB
발굴됐다.	발굴/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.450.4.5
그러나 서울시는 아직 남아 있는 유구들도 조사를 마무리하는 대로 다른 곳으로 옮긴 뒤 신청사 지하층 골조공사를 본격 추진할 예정이다.

그러나	그러나/MAJ
서울시는	서울시/NNP+는/JX
아직	아직/MAG
남아	남/VV+아/EC
있는	있/VX+는/ETM
유구들도	유구/NNG+들/XSN+도/JX
조사를	조사/NNG+를/JKO
마무리하는	마무리/NNG+하/XSV+는/ETM
대로	대로/NNB
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
옮긴	옮기/VV+ㄴ/ETM
뒤	뒤/NNG
신청사	신/XPN+청사/NNG
지하층	지하층/NNG
골조공사를	골조/NNG+공사/NNG+를/JKO
본격	본격/NNG
추진할	추진/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.450.5.1
이에 대해 전문가들은 발굴된 문화재를 원형 그대로 보존해야 한다고 지적했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
전문가들은	전문가/NNG+들/XSN+은/JX
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
문화재를	문화재/NNG+를/JKO
원형	원형/NNG
그대로	그대로/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.450.5.2
답사에 동행한 황평우 문화연대 문화유산위원장은 “이곳은 조선시대 1급 보안유지 시설인 화포 제작소로 봐야 한다”며 “보물급 화포가 발굴된 지역을 훼손하는 것이 말이 되느냐”고 비판했다.

답사에	답사/NNG+에/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
황평우	황평우/NNP
문화연대	문화연대/NNP
문화유산위원장은	문화유산/NNG+위원장/NNG+은/JX
“이곳은	“/SS+이곳/NP+은/JX
조선시대	조선시대/NNG
1급	1/SN+급/NNG
보안유지	보안/NNG+유지/NNG
시설인	시설/NNG+이/VCP+ㄴ/ETM
화포	화포/NNG
제작소로	제작소/NNG+로/JKB
봐야	보/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“보물급	“/SS+보물급/NNG
화포가	화포/NNG+가/JKS
발굴된	발굴/NNG+되/XSV+ㄴ/ETM
지역을	지역/NNG+을/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
말이	말/NNG+이/JKC
되느냐”고	되/VV+느냐/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.450.5.3
지난 1일 오전 한강문화재연구원이 개최한 발굴지도위원회에 참가한 지건길 문화재위원회 매장분과위원장(전 국립중앙박물관장)도 “저기 파일(에이치빔)을 박아 놓은 것이 한양 600년의 심장에 박은 듯한 느낌을 준다”며 “나는 현장에 유구를 그대로 보존해야 한다고 생각한다”고 말했다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오전	오전/NNG
한강문화재연구원이	한강문화재연구원/NNP+이/JKS
개최한	개최/NNG+하/XSV+ㄴ/ETM
발굴지도위원회에	발굴/NNG+지도/NNG+위원회/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
지건길	지건길/NNP
문화재위원회	문화재/NNG+위원회/NNG
매장분과위원장(전	매장/NNG+분과/NNG+위원장/NNG+(/SS+전/MMD
국립중앙박물관장)도	국립/NNG+중앙/NNG+박물관장/NNG+)/SS+도/JX
“저기	“/SS+저기/NP
파일(에이치빔)을	파일/NNG+(/SS+에이치/NNG+빔/NNG+)/SS+을/JKO
박아	박/VV+아/EC
놓은	놓/VX+은/ETM
것이	것/NNB+이/JKS
한양	한양/NNP
600년의	600/SN+년/NNB+의/JKG
심장에	심장/NNG+에/JKB
박은	박/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
준다”며	주/VV+ㄴ다/EF+”/SS+며/EC
“나는	“/SS+나/NP+는/JX
현장에	현장/NNG+에/JKB
유구를	유구/NNG+를/JKO
그대로	그대로/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.450.6.1
황평우 위원장은 “일본의 오사카역사박물관과 엔에이치케이 건물은 지하에 7~8세기 창고 터를 그대로 보존해놓고 그 아래를 주차장으로 이용하고 있다”며 “지하 5층 설계인 서울신청사도 같은 방법으로 문화재를 보존할 수 있다”고 제안했다.

황평우	황평우/NNP
위원장은	위원장/NNG+은/JX
“일본의	“/SS+일본/NNP+의/JKG
오사카역사박물관과	오사카역사박물관/NNP+과/NNG
엔에이치케이	엔에이치케이/NNP
건물은	건물/NNG+은/JX
지하에	지하/NNG+에/JKB
7~8세기	7/SN+~/SO+8/SN+세기/NNG
창고	창고/NNG
터를	터/NNG+를/JKO
그대로	그대로/MAG
보존해놓고	보존/NNG+하/XSV+아/EC+놓/VX+고/EC
그	그/MMD
아래를	아래/NNG+를/JKO
주차장으로	주차장/NNG+으로/JKB
이용하고	이용/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“지하	“/SS+지하/NNG
5층	5/SN+층/NNG
설계인	설계/NNG+이/VCP+ㄴ/ETM
서울신청사도	서울신청사/NNP+도/JX
같은	같/VA+은/ETM
방법으로	방법/NNG+으로/JKB
문화재를	문화재/NNG+를/JKO
보존할	보존/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.450.7.1
이에 대해 김영근 서울시 문화시설사업단 신청사담당관은 “지하층 곳곳에 기둥이 들어가야 하기 때문에 현실적으로 어렵다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
김영근	김영근/NNP
서울시	서울시/NNP
문화시설사업단	문화/NNG+시설/NNG+사업단/NNG
신청사담당관은	신/XPN+청사/NNG+담당관/NNG+은/JX
“지하층	“/SS+지하층/NNG
곳곳에	곳곳/NNG+에/JKB
기둥이	기둥/NNG+이/JKS
들어가야	들어가/VV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
현실적으로	현실/NNG+적/XSN+으로/JKB
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


