# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.326
metadata : {}


# id : NWRW1800000033.326.1.1
소련, 北 1968년 美푸에블로호 나포후 ‘전쟁나면 개입해달라’는 北요청 거절

소련,	소련/NNP+,/SP
평양 주재 루마니아대사관은 1968년 3월 17일 본국으로 보낸 극비 전문에서 “2월 모스크바를 방문했던 김창봉 북한 인민무력부장은 브레즈네프에게 ‘한반도에 전쟁이 발발하면 북한을 방어하기 위해 소련이 즉각 개입하겠다는 확답을 달라’고 요청했다”고 보고했다.

평양	평양/NNP
주재	주재/NNG
루마니아대사관은	루마니아대사관/NNP+은/JX
1968년	1968/SN+년/NNB
3월	3/SN+월/NNB
17일	17/SN+일/NNB
본국으로	본국/NNG+으로/JKB
보낸	보내/VV+ㄴ/ETM
극비	극비/NNG
전문에서	전문/NNG+에서/JKB
“2월	“/SS+2/SN+월/NNB
모스크바를	모스크바/NNP+를/JKO
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
김창봉	김창봉/NNP
북한	북한/NNP
인민무력부장은	인민무력부장/NNG+은/JX
브레즈네프에게	브레즈네프/NNP+에게/JKB
‘한반도에	‘/SS+한반도/NNP+에/JKB
전쟁이	전쟁/NNG+이/JKS
발발하면	발발/NNG+하/XSV+면/EC
북한을	북한/NNP+을/JKO
방어하기	방어/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
소련이	소련/NNP+이/JKS
즉각	즉각/MAG
개입하겠다는	개입/NNG+하/XSV+겠/EP+다는/ETM
확답을	확답/NNG+을/JKO
달라’고	달/VV+라/EF+’/SS+고/JKQ
요청했다”고	요청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.326.5.2
루마니아대사관은 옛 소련 소식통으로부터 이런 얘기를 전해 들었다는 체코 외교관을 16일 평양에서 만났다며, 대화 내용을 자세히 보고했다.

루마니아대사관은	루마니아대사관/NNP+은/JX
옛	옛/MMA
소련	소련/NNP
소식통으로부터	소식통/NNG+으로부터/JKB
이런	이런/MMD
얘기를	얘기/NNG+를/JKO
전해	전하/VV+아/EC
들었다는	듣/VV+었/EP+다는/ETM
체코	체코/NNP
외교관을	외교관/NNG+을/JKO
16일	16/SN+일/NNB
평양에서	평양/NNP+에서/JKB
만났다며,	만나/VV+았/EP+다며/EC+,/SP
대화	대화/NNG
내용을	내용/NNG+을/JKO
자세히	자세히/MAG
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.326.6.1
전문은 “브레즈네프는 (김창봉과의) 3시간에 걸친 면담에서 한반도 전쟁 재발을 막기 위해 지속적으로 북한을 설득했고, 이런 전쟁에서 승리하는 것이 매우 어렵다고 강조했다”고 덧붙였다.

전문은	전문/NNG+은/JX
“브레즈네프는	“/SS+브레즈네프/NNP+는/JX
(김창봉과의)	(/SS+김창봉/NNP+과/JKB+의/JKG+)/SS
3시간에	3/SN+시간/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
면담에서	면담/NNG+에서/JKB
한반도	한반도/NNP
전쟁	전쟁/NNG
재발을	재발/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
북한을	북한/NNP+을/JKO
설득했고,	설득/NNG+하/XSV+았/EP+고/EC+,/SP
이런	이런/MMD
전쟁에서	전쟁/NNG+에서/JKB
승리하는	승리/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
매우	매우/MAG
어렵다고	어렵/VA+다고/EC
강조했다”고	강조/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.326.6.2
전문에 따르면 당시 김 부장은 브레즈네프로부터 전쟁 발발 시 (소련이) 개입한다는 원칙적인 약속만이라도 이끌어내려고 시도했지만 브레즈네프는 “북한이 내 제안을 무시하면 북한의 지원 요청에 긍정적으로 응하지 않을 것”이라고 말했다.

전문에	전문/NNG+에/JKB
따르면	따르/VV+면/EC
당시	당시/NNG
김	김/NNP
부장은	부장/NNG+은/JX
브레즈네프로부터	브레즈네프/NNP+로부터/JKB
전쟁	전쟁/NNG
발발	발발/NNG
시	시/NNB
(소련이)	(/SS+소련/NNP+이/JKS+)/SS
개입한다는	개입/NNG+하/XSV+ㄴ다는/ETM
원칙적인	원칙/NNG+적/XSN+이/VCP+ㄴ/ETM
약속만이라도	약속/NNG+만/JX+이/VCP+라도/EC
이끌어내려고	이끌/VV+어/EC+내/VX+려고/EC
시도했지만	시도/NNG+하/XSV+았/EP+지만/EC
브레즈네프는	브레즈네프/NNP+는/JX
“북한이	“/SS+북한/NNP+이/JKS
내	나/NP+의/JKG
제안을	제안/NNG+을/JKO
무시하면	무시/NNG+하/XSV+면/EC
북한의	북한/NNP+의/JKG
지원	지원/NNG
요청에	요청/NNG+에/JKB
긍정적으로	긍정/NNG+적/XSN+으로/JKB
응하지	응하/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.326.6.3
옛 소련 외교관은 “브레즈네프가 만약 김 부장의 요청에 호응했거나 애매한 방식으로라도 보증하듯이 답변했다면 분명히 전쟁이 일어났을 것”이라고 말한 것으로 기록됐다.

옛	옛/MMA
소련	소련/NNP
외교관은	외교관/NNG+은/JX
“브레즈네프가	“/SS+브레즈네프/NNP+가/JKS
만약	만약/MAG
김	김/NNP
부장의	부장/NNG+의/JKG
요청에	요청/NNG+에/JKB
호응했거나	호응/NNG+하/XSV+았/EP+거나/EC
애매한	애매/NNG+하/XSA+ㄴ/ETM
방식으로라도	방식/NNG+으로/JKB+라도/JX
보증하듯이	보증/NNG+하/XSV+듯이/EC
답변했다면	답변/NNG+하/XSV+았/EP+다면/EC
분명히	분명히/MAG
전쟁이	전쟁/NNG+이/JKS
일어났을	일어나/VV+았/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
기록됐다.	기록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.326.7.1
이 밖에도 NKIDP가 공개한 외교문서 중에는 청와대 습격 사건이 일어나기 직전 당시 저우언라이(周恩來) 중국 총리가 김일성에게 양국 관계를 복원하자는 서한을 보냈다는 정보사항도 포함되어 있다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
NKIDP가	NKIDP/SL+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
외교문서	외교/NNG+문서/NNG
중에는	중/NNB+에/JKB+는/JX
청와대	청와대/NNP
습격	습격/NNG
사건이	사건/NNG+이/JKS
일어나기	일어나/VV+기/ETN
직전	직전/NNG
당시	당시/NNG
저우언라이(周恩來)	저우언라이/NNP+(/SS+周恩來/SH+)/SS
중국	중국/NNP
총리가	총리/NNG+가/JKS
김일성에게	김일성/NNP+에게/JKB
양국	양국/NNG
관계를	관계/NNG+를/JKO
복원하자는	복원/NNG+하/XSV+자는/ETM
서한을	서한/NNG+을/JKO
보냈다는	보내/VV+었/EP+다는/ETM
정보사항도	정보/NNG+사항/NNG+도/JX
포함되어	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.326.8.1
:: 푸에블로호 사건 ::

::	:/SP+:/SP
푸에블로호	푸에블로호/NNP
사건	사건/NNG


# id : NWRW1800000033.326.9.1
북한 해군 초계정이 1968년 1월 23일 원산항 앞 공해에서 미국 정보수집함 푸에블로호를 나포한 사건.

북한	북한/NNP
해군	해군/NNG
초계정이	초계정/NNG+이/JKS
1968년	1968/SN+년/NNB
1월	1/SN+월/NNB
23일	23/SN+일/NNB
원산항	원산항/NNP
앞	앞/NNG
공해에서	공해/NNG+에서/JKB
미국	미국/NNP
정보수집함	정보/NNG+수집함/NNG
푸에블로호를	푸에블로호/NNP+를/JKO
나포한	나포/NNG+하/XSV+ㄴ/ETM
사건.	사건/NNG+./SF


# id : NWRW1800000033.326.9.2
미국은 즉각 송환을 요구하며 핵항공모함 엔터프라이즈를 한반도에 배치했다.

미국은	미국/NNP+은/JX
즉각	즉각/MAG
송환을	송환/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
핵항공모함	핵/NNG+항공/NNG+모함/NNG
엔터프라이즈를	엔터프라이즈/NNP+를/JKO
한반도에	한반도/NNP+에/JKB
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.326.9.3
북한은 미국으로부터 ‘북한 영해 침범’에 대한 시인·사과 문서를 받아낸 뒤 승무원 82명과 사망자 유해 1구를 돌려줬다.

북한은	북한/NNP+은/JX
미국으로부터	미국/NNP+으로부터/JKB
‘북한	‘/SS+북한/NNP
영해	영해/NNG
침범’에	침범/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
시인·사과	시인/NNG+·/SP+사과/NNG
문서를	문서/NNG+를/JKO
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
승무원	승무원/NNG
82명과	82/SN+명/NNB+과/JC
사망자	사망자/NNG
유해	유해/NNG
1구를	1/SN+구/NNB+를/JKO
돌려줬다.	돌려주/VV+었/EP+다/EF+./SF


