# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.169
metadata : {}


# id : NWRW1800000053.169.1.1
[단독]장시호 때문에… 대입서류 보관 10년으로 늘릴듯

[단독]장시호	[/SS+단독/NNG+]/SS+장시호/NNP
하지만 교육부와 한국대학교육협의회가 입학서류 보관 규정을 바꿀 가능성이 크다고 해 입학서류는 소각하지 않았다.

하지만	하지만/MAJ
교육부와	교육부/NNG+와/JC
한국대학교육협의회가	한국대학교육협의회/NNP+가/JKS
입학서류	입학/NNG+서류/NNG
보관	보관/NNG
규정을	규정/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
해	하/VV+아/EC
입학서류는	입학/NNG+서류/NNG+는/JX
소각하지	소각/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.169.7.1
본보 확인 결과 대교협은 최근 태스크포스(TF)를 구성하고 입학서류 보존 기한을 4년에서 10년으로 강화하는 방안을 유력하게 검토 중이다.

본보	본보/NNG
확인	확인/NNG
결과	결과/NNG
대교협은	대교협/NNP+은/JX
최근	최근/NNG
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
구성하고	구성/NNG+하/XSV+고/EC
입학서류	입학/NNG+서류/NNG
보존	보존/NNG
기한을	기한/NNG+을/JKO
4년에서	4/SN+년/NNB+에서/JKB
10년으로	10/SN+년/NNB+으로/JKB
강화하는	강화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
유력하게	유력/NNG+하/XSA+게/EC
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.7.2
최종 결과는 2020학년도 대학입학전형 기본계획을 확정하는 8월에 발표할 예정이다.

최종	최종/NNG
결과는	결과/NNG+는/JX
2020학년도	2020/SN+학년도/NNG
대학입학전형	대학/NNG+입학/NNG+전형/NNG
기본계획을	기본/NNG+계획/NNG+을/JKO
확정하는	확정/NNG+하/XSV+는/ETM
8월에	8/SN+월/NNB+에/JKB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.8.1
2019학년도까지 대입전형 기본계획에는 ‘전형 관계 서류는 최소 4년 동안 보관해 대입 전형관리의 공정성이 검증될 수 있도록 해야 한다’며 ‘개인정보가 불필요하게 된 경우 파기해야 한다’고 규정돼 있다.

2019학년도까지	2019/SN+학년도/NNG+까지/JX
대입전형	대입/NNG+전형/NNG
기본계획에는	기본/NNG+계획/NNG+에/JKB+는/JX
‘전형	‘/SS+전형/NNG
관계	관계/NNG
서류는	서류/NNG+는/JX
최소	최소/NNG
4년	4/SN+년/NNB
동안	동안/NNG
보관해	보관/NNG+하/XSV+아/EC
대입	대입/NNG
전형관리의	전형/NNG+관리/NNG+의/JKG
공정성이	공정/NNG+성/XSN+이/JKS
검증될	검증/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+아야/EC
한다’며	하/VX+ㄴ다/EF+’/SS+며/EC
‘개인정보가	‘/SS+개인/NNG+정보/NNG+가/JKS
불필요하게	불/XPN+필요/NNG+하/XSA+게/EC
된	되/VV+ㄴ/ETM
경우	경우/NNG
파기해야	파기/NNG+하/XSV+아야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.169.8.2
갑자기 보존 기한을 늘리는 건 표면적으로는 국가기록원의 ‘대학기록물 보존기간 책정기준 가이드’와 일관성을 유지하기 위해서다.

갑자기	갑자기/MAG
보존	보존/NNG
기한을	기한/NNG+을/JKO
늘리는	늘리/VV+는/ETM
건	거/NNB+ㄴ/JX
표면적으로는	표면/NNG+적/XSN+으로/JKB+는/JX
국가기록원의	국가/NNG+기록원/NNG+의/JKG
‘대학기록물	‘/SS+대학/NNG+기록물/NNG
보존기간	보존/NNG+기간/NNG
책정기준	책정/NNG+기준/NNG
가이드’와	가이드/NNG+’/SS+와/JKB
일관성을	일관/NNG+성/XSN+을/JKO
유지하기	유지/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.8.3
대교협 관계자는 “국가기록원이 입학서류의 10년 보존을 권고한다는 사실을 지난해 12월 알게 됐다”고 말했다.

대교협	대교협/NNP
관계자는	관계자/NNG+는/JX
“국가기록원이	“/SS+국가/NNG+기록원/NNG+이/JKS
입학서류의	입학/NNG+서류/NNG+의/JKG
10년	10/SN+년/NNB
보존을	보존/NNG+을/JKO
권고한다는	권고/NNG+하/XSV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
지난해	지난해/NNG
12월	12/SN+월/NNB
알게	알/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.9.1
그러나 최순실 씨 조카 장시호 씨의 연세대 입학 특혜 의혹이 입학서류 보존 기한 연장에 큰 영향을 미친 것으로 알려졌다.

그러나	그러나/MAJ
최순실	최순실/NNP
씨	씨/NNB
조카	조카/NNG
장시호	장시호/NNP
씨의	씨/NNB+의/JKG
연세대	연세대/NNP
입학	입학/NNG
특혜	특혜/NNG
의혹이	의혹/NNG+이/JKS
입학서류	입학/NNG+서류/NNG
보존	보존/NNG
기한	기한/NNG
연장에	연장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.169.9.2
교육부는 지난해 12월 연세대를 조사했다.

교육부는	교육부/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
연세대를	연세대/NNP+를/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.9.3
하지만 1998학년도에 입학한 장 씨의 입학서류가 하나도 남아 있지 않아 아무것도 알 수 없었다.

하지만	하지만/MAJ
1998학년도에	1998/SN+학년도/NNG+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
장	장/NNP
씨의	씨/NNB+의/JKG
입학서류가	입학/NNG+서류/NNG+가/JKS
하나도	하나/NR+도/JX
남아	남/VV+아/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
아무것도	아무것/NNG+도/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.169.9.4
입학 관리를 더 철저히 해야 한다는 지적이 영향을 미친 것으로 보인다.

입학	입학/NNG
관리를	관리/NNG+를/JKO
더	더/MAG
철저히	철저히/MAG
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.169.10.1
반대 목소리도 있다.

반대	반대/NNG
목소리도	목소리/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.169.10.2
대교협 관계자는 “일반적인 입학서류 양도 만만치 않은데 미술 실기를 보는 대학은 조각상까지 쌓인다.

대교협	대교협/NNP
관계자는	관계자/NNG+는/JX
“일반적인	“/SS+일반/NNG+적/XSN+이/VCP+ㄴ/ETM
입학서류	입학/NNG+서류/NNG
양도	양/NNG+도/JX
만만치	만만하/VA+지/EC
않은데	않/VX+은데/EC
미술	미술/NNG
실기를	실기/NNG+를/JKO
보는	보/VV+는/ETM
대학은	대학/NNG+은/JX
조각상까지	조각상/NNG+까지/JX
쌓인다.	쌓이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.169.10.3
10년을 보관하려면 전형료가 오를 거라는 지적이 있다”고 말했다.

10년을	10/SN+년/NNB+을/JKO
보관하려면	보관/NNG+하/XSV+려면/EC
전형료가	전형료/NNG+가/JKS
오를	오르/VV+ㄹ/ETM
거라는	거/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.11.1
그러나 보존 기한을 늘리면 대학이 입시를 더 꼼꼼하게 진행할 수밖에 없다는 게 다수 의견이다.

그러나	그러나/MAJ
보존	보존/NNG
기한을	기한/NNG+을/JKO
늘리면	늘리/VV+면/EC
대학이	대학/NNG+이/JKS
입시를	입시/NNG+를/JKO
더	더/MAG
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
진행할	진행/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
다수	다수/NNG
의견이다.	의견/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.11.2
한양대 입학처는 지금까지 “우리 애보다 대학수학능력시험 성적이 낮은 애가 합격했다” 같은 문의가 들어오면 보관 중인 입학서류를 꺼내 확인시켜 줬다.

한양대	한양대/NNP
입학처는	입학처/NNG+는/JX
지금까지	지금/NNG+까지/JX
“우리	“/SS+우리/NP
애보다	애/NNG+보다/JKB
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
성적이	성적/NNG+이/JKS
낮은	낮/VA+은/ETM
애가	애/NNG+가/JKS
합격했다”	합격/NNG+하/XSV+았/EP+다/EF+”/SS
같은	같/VA+은/ETM
문의가	문의/NNG+가/JKS
들어오면	들어오/VV+면/EC
보관	보관/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
입학서류를	입학/NNG+서류/NNG+를/JKO
꺼내	꺼내/VV+어/EC
확인시켜	확인/NNG+시키/XSV+어/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.169.11.3
한양대 관계자는 “이제 문제의 소지가 있다면 10년 전 지원자까지 검증할 수 있다는 뜻”이라고 말했다.

한양대	한양대/NNP
관계자는	관계자/NNG+는/JX
“이제	“/SS+이제/MAG
문제의	문제/NNG+의/JKG
소지가	소지/NNG+가/JKS
있다면	있/VA+다면/EC
10년	10/SN+년/NNB
전	전/NNG
지원자까지	지원자/NNG+까지/JX
검증할	검증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
뜻”이라고	뜻/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.12.1
입학처장 출신의 한 교수는 “입시 공정성을 위해 보관비용은 대학이 당연히 부담해야 할 문제”라면서 “교육부가 고교 교육정상화 지원사업 예산에서 비용을 쓰게 하는 것도 방법”이라고 했다.

입학처장	입학처장/NNG
출신의	출신/NNG+의/JKG
한	한/MMN
교수는	교수/NNG+는/JX
“입시	“/SS+입시/NNG
공정성을	공정/NNG+성/XSN+을/JKO
위해	위하/VV+아/EC
보관비용은	보관/NNG+비용/NNG+은/JX
대학이	대학/NNG+이/JKS
당연히	당연히/MAG
부담해야	부담/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
문제”라면서	문제/NNG+”/SS+이/VCP+라면서/EC
“교육부가	“/SS+교육부/NNG+가/JKS
고교	고교/NNG
교육정상화	교육/NNG+정상/NNG+화/XSN
지원사업	지원/NNG+사업/NNG
예산에서	예산/NNG+에서/JKB
비용을	비용/NNG+을/JKO
쓰게	쓰/VV+게/EC
하는	하/VX+는/ETM
것도	것/NNB+도/JX
방법”이라고	방법/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


