# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.281
metadata : {}


# id : NWRW1800000052.281.1.1
대한체육회, 8일 오전 박태환 이사회

대한체육회,	대한체육회/NNP+,/SP
대한체육회 관계자는 7일 “8일 이사회에서 박태환 관련 내용을 심의하고 리우올림픽 본부 임원 선정 등의 안건도 다룰 예정”이라고 밝혔다.

대한체육회	대한체육회/NNP
관계자는	관계자/NNG+는/JX
7일	7/SN+일/NNB
“8일	“/SS+8/SN+일/NNB
이사회에서	이사회/NNG+에서/JKB
박태환	박태환/NNP
관련	관련/NNG
내용을	내용/NNG+을/JKO
심의하고	심의/NNG+하/XSV+고/EC
리우올림픽	리우/NNP+올림픽/NNG
본부	본부/NNG
임원	임원/NNG
선정	선정/NNG
등의	등/NNB+의/JKG
안건도	안건/NNG+도/JX
다룰	다루/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.281.4.2
그러나 핵심은 박태환의 올림픽 자격을 인정하고, 국가대표로서 승인하는 절차를 이행하겠다는 발표가 될 것으로 예상된다.

그러나	그러나/MAJ
핵심은	핵심/NNG+은/JX
박태환의	박태환/NNP+의/JKG
올림픽	올림픽/NNG
자격을	자격/NNG+을/JKO
인정하고,	인정/NNG+하/XSV+고/EC+,/SP
국가대표로서	국가/NNG+대표/NNG+로서/JKB
승인하는	승인/NNG+하/XSV+는/ETM
절차를	절차/NNG+를/JKO
이행하겠다는	이행/NNG+하/XSV+겠/EP+다는/ETM
발표가	발표/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.281.4.3
박태환은 이미 지난 1일 서울동부지법으로부터 국가대표로서 결격사유가 없다는 가처분 신청 결과를 받았다.

박태환은	박태환/NNP+은/JX
이미	이미/MAG
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
서울동부지법으로부터	서울동부지법/NNP+으로부터/JKB
국가대표로서	국가/NNG+대표/NNG+로서/JKB
결격사유가	결격/NNG+사유/NNG+가/JKS
없다는	없/VA+다는/ETM
가처분	가/XPN+처분/NNG
신청	신청/NNG
결과를	결과/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.281.4.4
박태환의 법률대리인인 법무법인 광장의 임성우 변호사는 “이미 국내 법원이 박태환의 국가대표 자격을 인정한 것만으로도 국제스포츠중재재판소의 판단과 상관없이 체육회가 신속하게 후속 조처를 취하는 것이 당연하다”고 강조했다.

박태환의	박태환/NNP+의/JKG
법률대리인인	법률/NNG+대리인/NNG+이/VCP+ㄴ/ETM
법무법인	법무/NNG+법인/NNG
광장의	광장/NNP+의/JKG
임성우	임성우/NNP
변호사는	변호사/NNG+는/JX
“이미	“/SS+이미/MAG
국내	국내/NNG
법원이	법원/NNG+이/JKS
국가대표	국가/NNG+대표/NNG
자격을	자격/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
국제스포츠중재재판소의	국제스포츠중재재판소/NNP+의/JKG
판단과	판단/NNG+과/JKB
상관없이	상관없이/MAG
체육회가	체육회/NNG+가/JKS
신속하게	신속/NNG+하/XSA+게/EC
후속	후속/NNG
조처를	조처/NNG+를/JKO
취하는	취하/VV+는/ETM
것이	것/NNB+이/JKS
당연하다”고	당연/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.281.5.1
대한수영연맹은 대한체육회 경기력향상위원회에 박태환을 수영 대표로 추천하고, 경기력향상위원회가 박태환을 대표로 선발할 것으로 보인다.

대한수영연맹은	대한수영연맹/NNP+은/JX
대한체육회	대한체육회/NNP
경기력향상위원회에	경기력/NNG+향상/NNG+위원회/NNG+에/JKB
박태환을	박태환/NNP+을/JKO
수영	수영/NNG
대표로	대표/NNG+로/JKB
추천하고,	추천/NNG+하/XSV+고/EC+,/SP
경기력향상위원회가	경기력/NNG+향상/NNG+위원회/NNG+가/JKS
선발할	선발/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.281.5.2
수영연맹 관계자는 “8일 당일에 모든 서류 절차를 마무리해 국제수영연맹에 리우올림픽 출전 선수 명단을 보낼 예정”이라고 말했다.

수영연맹	수영/NNG+연맹/NNG
관계자는	관계자/NNG+는/JX
“8일	“/SS+8/SN+일/NNB
당일에	당일/NNG+에/JKB
모든	모든/MMN
서류	서류/NNG
절차를	절차/NNG+를/JKO
마무리해	마무리/NNG+하/XSV+아/EC
국제수영연맹에	국제수영연맹/NNP+에/JKB
리우올림픽	리우/NNP+올림픽/NNG
출전	출전/NNG
선수	선수/NNG
명단을	명단/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.281.6.1
한편 호주에서 훈련중인 박태환은 오는 14일 일시 귀국한 뒤 17일 미국으로 출국해 시차적응 훈련에 들어갈 예정이다.

한편	한편/MAG
호주에서	호주/NNP+에서/JKB
훈련중인	훈련/NNG+중/NNB+이/VCP+ㄴ/ETM
박태환은	박태환/NNP+은/JX
오는	오/VV+는/ETM
14일	14/SN+일/NNB
일시	일시/NNG
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
17일	17/SN+일/NNB
미국으로	미국/NNP+으로/JKB
출국해	출국/NNG+하/XSV+아/EC
시차적응	시차/NNG+적응/NNG
훈련에	훈련/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


