# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.331
metadata : {}


# id : NWRW1800000046.331.1.1
[韓中日 외무회담] 中 '사드(美 주도 高고도미사일방어체계) 압박' 한발 물러서… 韓 "AIIB(中 주도 아시안인프라투자은행) 참여 곧 결정"

[韓中日	[/SS+韓中日/SH
언급을	언급/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.331.5.2
외교부 당국자는 "사드는 회의 의제도 아니었고 협의도 없었다"고 말했다.

외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
"사드는	"/SS+사드/NNG+는/JX
회의	회의/NNG
의제도	의제/NNG+도/JX
아니었고	아니/VCN+었/EP+고/EC
협의도	협의/NNG+도/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.5.3
왕 부장은 사드에 대한 입장을 묻는 취재진의 질문에도 "우리 입장은 이미 여러 차례 말했다. 모두가 아는 것이며 공개된 것"이라고만 했다.

왕	왕/NNP
부장은	부장/NNG+은/JX
사드에	사드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
묻는	묻/VV+는/ETM
취재진의	취재진/NNG+의/JKG
질문에도	질문/NNG+에/JKB+도/JX
"우리	"/SS+우리/NP
입장은	입장/NNG+은/JX
이미	이미/MAG
여러	여러/MMN
차례	차례/NNG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
모두가	모두/NNG+가/JKS
아는	알/VV+는/ETM
것이며	것/NNB+이/VCP+며/EC
공개된	공개/NNG+되/XSV+ㄴ/ETM
것"이라고만	것/NNB+"/SS+이라고/JKQ+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.5.4
지난주 방한한 류젠차오(劉建超) 중국 외교부 부장조리의 언급을 상기시키는 선에서 그쳤다.

지난주	지난주/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
류젠차오(劉建超)	류젠차오/NNP+(/SS+劉建超/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
부장조리의	부장조리/NNG+의/JKG
언급을	언급/NNG+을/JKO
상기시키는	상기/NNG+시키/XSV+는/ETM
선에서	선/NNG+에서/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.5.5
류 부장조리는 지난 16일 서울에서 "(사드에 대한) 중국의 우려와 관심을 중시해달라"고 공개적인 압박을 가해 논란을 일으켰다.

류	류/NNP
부장조리는	부장조리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
서울에서	서울/NNP+에서/JKB
"(사드에	"/SS+(/SS+사드/NNG+에/JKB
대한)	대하/VV+ㄴ/ETM+)/SS
중국의	중국/NNP+의/JKG
우려와	우려/NNG+와/JC
관심을	관심/NNG+을/JKO
중시해달라"고	중시/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
압박을	압박/NNG+을/JKO
가해	가하/VV+아/EC
논란을	논란/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.5.6
이에 김민석 국방부 대변인이 "우리 국방안보 정책에 (중국이) 영향력을 행사해선 안 된다"고 반박하고, 당시 방한 중이던 대니얼 러셀 미 국무부 동아태 차관보도 "왜 제3국이 강하게 항의를 하는지 의아하다"고 가세하면서 '사드 충돌'은 고조됐었다.

이에	이/NP+에/JKB
김민석	김민석/NNP
국방부	국방부/NNG
대변인이	대변인/NNG+이/JKS
"우리	"/SS+우리/NP
국방안보	국방/NNG+안보/NNG
정책에	정책/NNG+에/JKB
(중국이)	(/SS+중국/NNP+이/JKS+)/SS
영향력을	영향력/NNG+을/JKO
행사해선	행사/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
반박하고,	반박/NNG+하/XSV+고/EC+,/SP
당시	당시/NNG
방한	방한/NNG
중이던	중/NNB+이/VCP+던/ETM
대니얼	대니얼/NNP
러셀	러셀/NNP
미	미/NNP
국무부	국무부/NNG
동아태	동아태/NNP
차관보도	차관보/NNG+도/JX
"왜	"/SS+왜/MAG
제3국이	제3국/NNG+이/JKS
강하게	강하/VA+게/EC
항의를	항의/NNG+를/JKO
하는지	하/VV+는지/EC
의아하다"고	의아/NNG+하/XSA+다/EF+"/SS+고/JKQ
가세하면서	가세/NNG+하/XSV+면서/EC
'사드	'/SS+사드/NNG
충돌'은	충돌/NNG+'/SS+은/JX
고조됐었다.	고조/NNG+되/XSV+었었/EP+다/EF+./SF


# id : NWRW1800000046.331.6.1
하지만 중국 정부는 류 부장조리의 언급 이후 사드가 한·미·중 간 최대 외교 현안으로 떠오르는 상황에 부담을 느끼고 왕 부장에게는 '로-키'로 대응하라는 지침을 내린 것으로 알려졌다.

하지만	하지만/MAJ
중국	중국/NNP
정부는	정부/NNG+는/JX
류	류/NNP
부장조리의	부장조리/NNG+의/JKG
언급	언급/NNG
이후	이후/NNG
사드가	사드/NNG+가/JKS
한·미·중	한·미/NNP+·/SP+중/NNP
간	간/NNB
최대	최대/NNG
외교	외교/NNG
현안으로	현안/NNG+으로/JKB
떠오르는	떠오르/VV+는/ETM
상황에	상황/NNG+에/JKB
부담을	부담/NNG+을/JKO
느끼고	느끼/VV+고/EC
왕	왕/NNP
부장에게는	부장/NNG+에게/JKB+는/JX
'로-키'로	'/SS+로/NNG+-/SO+키/NNG+'/SS+로/JKB
대응하라는	대응/NNG+하/XSV+라는/ETM
지침을	지침/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.6.2
사드의 한반도 배치 문제와 관련해 별다른 추가 진전 상황이 없는 데다, '일본 과거사' 문제를 놓고 한국과 공동전선을 구축해야 하는 상황에서 한·중 간 마찰은 도움이 안 된다고 판단했다는 분석이다.

사드의	사드/NNG+의/JKG
한반도	한반도/NNP
배치	배치/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
별다른	별다르/VA+ㄴ/ETM
추가	추가/NNG
진전	진전/NNG
상황이	상황/NNG+이/JKS
없는	없/VA+는/ETM
데다,	데/NNB+다/JX+,/SP
'일본	'/SS+일본/NNP
과거사'	과거사/NNG+'/SS
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
한국과	한국/NNP+과/JC
공동전선을	공동/NNG+전선/NNG+을/JKO
구축해야	구축/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
한·중	한·중/NNP
간	간/NNB
마찰은	마찰/NNG+은/JX
도움이	도움/NNG+이/JKC
안	안/MAG
된다고	되/VV+ㄴ다고/EC
판단했다는	판단/NNG+하/XSV+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.331.6.3
정부 관계자는 "이날 회담을 앞두고 양측에는 사드 문제가 부각되는 게 바람직하지 않다는 공감대가 있었다"고 했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"이날	"/SS+이날/NNG
회담을	회담/NNG+을/JKO
앞두고	앞두/VV+고/EC
양측에는	양측/NNG+에/JKB+는/JX
사드	사드/NNG
문제가	문제/NNG+가/JKS
부각되는	부각/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
바람직하지	바람직하/VA+지/EC
않다는	않/VX+다는/ETM
공감대가	공감대/NNG+가/JKS
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.7.1
이에 따라 한·중 간 사드 외교전은 당분간 잠복 모드를 유지할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한·중	한·중/NNP
간	간/NNB
사드	사드/NNG
외교전은	외교전/NNG+은/JX
당분간	당분간/MAG
잠복	잠복/NNG
모드를	모드/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.331.7.2
그러나 사드에 대한 중국의 기본 입장이 바뀐 것은 아니기 때문에 한·미 간 협의가 개시될 경우 이를 견제하기 위한 중국의 압박이 다시 거세질 것이라는 전망이 많다.

그러나	그러나/MAJ
사드에	사드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
기본	기본/NNG
입장이	입장/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
한·미	한·미/NNP
간	간/NNB
협의가	협의/NNG+가/JKS
개시될	개시/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
이를	이/NP+를/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
압박이	압박/NNG+이/JKS
다시	다시/MAG
거세질	거세지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.331.8.1
◇조만간 AIIB 가입 발표할 듯

◇조만간	◇/SW+조만간/MAG
AIIB	AIIB/SL
가입	가입/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000046.331.9.1
중국 주도의 아시아인프라투자은행에 한국이 가입하는 문제에 대해선 양측의 의견 교환이 이뤄졌다.

중국	중국/NNP
주도의	주도/NNG+의/JKG
아시아인프라투자은행에	아시아인프라투자은행/NNP+에/JKB
한국이	한국/NNP+이/JKS
가입하는	가입/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
양측의	양측/NNG+의/JKG
의견	의견/NNG
교환이	교환/NNG+이/JKS
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.9.2
왕 부장은 회담에서 "한국은 중국의 중요한 이웃이자 경제·무역 동반자"라며 "한국이 AIIB의 창립 회원국이 되기를 기대한다"고 했고, 윤병세 외교부 장관은 "중국이 AIIB 건립 과정에서 긍정적 진전을 이룬 것을 평가한다.

왕	왕/NNP
부장은	부장/NNG+은/JX
회담에서	회담/NNG+에서/JKB
"한국은	"/SS+한국/NNP+은/JX
중국의	중국/NNP+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
이웃이자	이웃/NNG+이/VCP+자/EC
경제·무역	경제/NNG+·/SP+무역/NNG
동반자"라며	동반자/NNG+"/SS+이/VCP+라며/EC
"한국이	"/SS+한국/NNP+이/JKS
AIIB의	AIIB/SL+의/JKG
창립	창립/NNG
회원국이	회원국/NNG+이/JKC
되기를	되/VV+기/ETN+를/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
윤병세	윤병세/NNP
외교부	외교부/NNG
장관은	장관/NNG+은/JX
"중국이	"/SS+중국/NNP+이/JKS
AIIB	AIIB/SL
건립	건립/NNG
과정에서	과정/NNG+에서/JKB
긍정적	긍정/NNG+적/XSN
진전을	진전/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
것을	것/NNB+을/JKO
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.331.9.3
각 방면의 요소를 종합 고려해 곧 결정을 내리겠다"고 답했다.

각	각/MMD
방면의	방면/NNG+의/JKG
요소를	요소/NNG+를/JKO
종합	종합/NNG
고려해	고려/NNG+하/XSV+아/EC
곧	곧/MAG
결정을	결정/NNG+을/JKO
내리겠다"고	내리/VV+겠/EP+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.9.4
우리 측은 사실상 '조만간 AIIB 가입 발표를 할 수 있을 것'이라는 입장을 전달한 것으로 알려졌다.

우리	우리/NP
측은	측/NNB+은/JX
사실상	사실/NNG+상/XSN
'조만간	'/SS+조만간/MAG
AIIB	AIIB/SL
가입	가입/NNG
발표를	발표/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것'이라는	것/NNB+'/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.10.1
이날 회담 후 왕 부장은 'AIIB 문제에 대해 한국 정부가 어떻게 말했느냐'는 취재진 질문에 "이미 한국 정부가 진일보한 연구를 하고 있다고 밝히지 않았나"라고 했다.

이날	이날/NNG
회담	회담/NNG
후	후/NNG
왕	왕/NNP
부장은	부장/NNG+은/JX
'AIIB	'/SS+AIIB/SL
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
한국	한국/NNP
정부가	정부/NNG+가/JKS
어떻게	어떻/VA+게/EC
말했느냐'는	말/NNG+하/XSV+았/EP+느냐/EF+'/SS+는/ETM
취재진	취재진/NNG
질문에	질문/NNG+에/JKB
"이미	"/SS+이미/MAG
진일보한	진일보/NNG+하/XSV+ㄴ/ETM
연구를	연구/NNG+를/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
밝히지	밝히/VV+지/EC
않았나"라고	않/VX+았/EP+나/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.10.2
중국은 이달 말까지 AIIB 설립 양해각서(MOU)에 서명하지 않으면 창립 멤버가 될 수 없다는 점을 강조하며 가입을 재촉하고 있다.

중국은	중국/NNP+은/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
AIIB	AIIB/SL
설립	설립/NNG
양해각서(MOU)에	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+에/JKB
서명하지	서명/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
창립	창립/NNG
멤버가	멤버/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
점을	점/NNG+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
가입을	가입/NNG+을/JKO
재촉하고	재촉/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.331.10.3
정부는 이달 들어 유럽 주요국들의 AIIB 가입 움직임이 본격화하면서 참여 쪽으로 가닥을 잡은 것으로 알려졌다.

정부는	정부/NNG+는/JX
이달	이달/NNG
들어	들/VV+어/EC
유럽	유럽/NNP
주요국들의	주요국/NNG+들/XSN+의/JKG
AIIB	AIIB/SL
가입	가입/NNG
움직임이	움직임/NNG+이/JKS
본격화하면서	본격/NNG+화/XSN+하/XSV+면서/EC
참여	참여/NNG
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡은	잡/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.11.1
한편 왕 부장은 이날 회담을 통해 올해 9월 전승기념 행사에 박근혜 대통령을 공식 초청했다.

한편	한편/MAG
왕	왕/NNP
부장은	부장/NNG+은/JX
이날	이날/NNG
회담을	회담/NNG+을/JKO
통해	통하/VV+아/EC
올해	올해/NNG
9월	9/SN+월/NNB
전승기념	전승/NNG+기념/NNG
행사에	행사/NNG+에/JKB
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
공식	공식/NNG
초청했다.	초청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.331.11.2
중국의 항일전쟁 승리와 세계 반(反)파시스트 전쟁 승리 70주년을 기념한 이 행사에는 김정은 북한 노동당 제1비서도 초청 대상인 것으로 전해졌다.

중국의	중국/NNP+의/JKG
항일전쟁	항일/NNG+전쟁/NNG
승리와	승리/NNG+와/JC
세계	세계/NNG
반(反)파시스트	반/XPN+(/SS+反/SH+)/SS+파시스트/NNG
전쟁	전쟁/NNG
승리	승리/NNG
70주년을	70/SN+주년/NNB+을/JKO
기념한	기념/NNG+하/XSV+ㄴ/ETM
이	이/MMD
행사에는	행사/NNG+에/JKB+는/JX
김정은	김정은/NNP
북한	북한/NNP
노동당	노동당/NNP
제1비서도	제/XPN+1/SN+비서/NNG+도/JX
초청	초청/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.331.11.3
외교부는 또 "두 장관은 북핵 불용과 북한 비핵화에 대한 확고한 공동인식을 바탕으로 기존의 전략적 협력과 소통을 강화해 나가기로 했다"고 밝혔다.

외교부는	외교부/NNG+는/JX
또	또/MAG
"두	"/SS+두/MMN
장관은	장관/NNG+은/JX
북핵	북핵/NNG
불용과	불용/NNG+과/JC
북한	북한/NNP
비핵화에	비핵/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
확고한	확고하/VA+ㄴ/ETM
공동인식을	공동/NNG+인식/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
기존의	기존/NNG+의/JKG
전략적	전략/NNG+적/XSN
협력과	협력/NNG+과/JC
소통을	소통/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.11.4
하지만 이 내용은 중국 외교부 발표에선 누락됐다.

하지만	하지만/MAJ
이	이/MMD
내용은	내용/NNG+은/JX
중국	중국/NNP
외교부	외교부/NNG
발표에선	발표/NNG+에서/JKB+ㄴ/JX
누락됐다.	누락/NNG+되/XSV+었/EP+다/EF+./SF


