# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.103
metadata : {}


# id : NWRW1800000037.103.1.1
“산학협력, 창조경제 중추적 역할 할 것”

“산학협력,	“/SS+산학/NNG+협력/NNG+,/SP
산학협동재단	산학협동재단/NNP
이사장(64·사진)은	이사장/NNG+(/SS+64/SN+·/SP+사진/NNG+)/SS+은/JX
산학협력이	산학/NNG+협력/NNG+이/JKS
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
상업화로	상업/NNG+화/XSN+로/JKB
연결돼야	연결/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.103.4.2
부총리 겸 재정경제부 장관, 국무총리, 주미 대사 등을 두루 거친 그는 지난해 한국무역협회 회장에 취임한 이후 산하기관인 산학협동재단 이사장을 겸직하며 산학협력 확대에 앞장서고 있다.

부총리	부총리/NNG
겸	겸/NNB
재정경제부	재정/NNG+경제부/NNG
장관,	장관/NNG+,/SP
국무총리,	국무총리/NNG+,/SP
주미	주미/NNG
대사	대사/NNG
등을	등/NNB+을/JKO
두루	두루/MAG
거친	거치/VV+ㄴ/ETM
그는	그/NP+는/JX
지난해	지난해/NNG
한국무역협회	한국무역협회/NNP
회장에	회장/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
산하기관인	산하/NNG+기관/NNG+이/VCP+ㄴ/ETM
산학협동재단	산학협동재단/NNP
이사장을	이사장/NNG+을/JKO
겸직하며	겸직/NNG+하/XSV+며/EC
산학협력	산학/NNG+협력/NNG
확대에	확대/NNG+에/JKB
앞장서고	앞장서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.103.5.1
한 이사장은 “대학이 고학력자를 쏟아내지만 정작 기업에선 신입사원 한 명 재교육에 20개월간 6000만 원이 들어가는 등 쓸 만한 인재가 없고 청년들은 중소기업을 기피하는 ‘인력 불일치’ 현상이 심각하다”고 진단했다.

한	한/MMN
이사장은	이사장/NNG+은/JX
“대학이	“/SS+대학/NNG+이/JKS
고학력자를	고학력자/NNG+를/JKO
쏟아내지만	쏟/VV+아/EC+내/VX+지만/EC
정작	정작/MAG
기업에선	기업/NNG+에서/JKB+ㄴ/JX
신입사원	신입/NNG+사원/NNG
명	명/NNB
재교육에	재/XPN+교육/NNG+에/JKB
20개월간	20/SN+개월/NNB+간/XSN
6000만	6000/SN+만/NR
원이	원/NNB+이/JKS
들어가는	들어가/VV+는/ETM
등	등/NNB
쓸	쓰/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
인재가	인재/NNG+가/JKS
없고	없/VA+고/EC
청년들은	청년/NNG+들/XSN+은/JX
중소기업을	중소기업/NNG+을/JKO
기피하는	기피/NNG+하/XSV+는/ETM
‘인력	‘/SS+인력/NNG
불일치’	불/XPN+일치/NNG+’/SS
현상이	현상/NNG+이/JKS
심각하다”고	심각하/VA+다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.103.5.2
그는 “이번 산학협력 평가에선 중소 규모 대학이 오히려 선전하는 등 의미 있는 결과가 나왔다”며 “대기업 중견기업 중소기업에서 요구하는 인력 수준이 각각 다른 만큼 대학들은 이에 적합한 맞춤식 교육과정으로 전환해야 한다”고 주문했다.

그는	그/NP+는/JX
“이번	“/SS+이번/NNG
산학협력	산학/NNG+협력/NNG
평가에선	평가/NNG+에서/JKB+ㄴ/JX
중소	중소/NNG
규모	규모/NNG
대학이	대학/NNG+이/JKS
오히려	오히려/MAG
선전하는	선전/NNG+하/XSV+는/ETM
등	등/NNB
의미	의미/NNG
있는	있/VA+는/ETM
결과가	결과/NNG+가/JKS
나왔다”며	나오/VV+았/EP+다/EF+”/SS+며/EC
“대기업	“/SS+대/XPN+기업/NNG
중견기업	중견/NNG+기업/NNG
중소기업에서	중소기업/NNG+에서/JKB
요구하는	요구/NNG+하/XSV+는/ETM
인력	인력/NNG
수준이	수준/NNG+이/JKS
각각	각각/MAG
다른	다르/VA+ㄴ/ETM
만큼	만큼/NNB
대학들은	대학/NNG+들/XSN+은/JX
이에	이/NP+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
맞춤식	맞춤식/NNG
교육과정으로	교육/NNG+과정/NNG+으로/JKB
전환해야	전환/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.103.6.1
한 이사장은 “이제 산학협력 분야를 이공계, 정보기술(IT) 중심에서 경영, 디자인, 인문사회과학 등 학문의 전 분야로 넓혀나가야 한다”면서 “앞으로는 기업과 학교 중심의 자발적이고 창의적인 공동연구를 통해 한국형 모델을 구축하고 장차 해외로도 전파해야 한다”고 강조했다.

한	한/NNP
이사장은	이사장/NNG+은/JX
“이제	“/SS+이제/MAG
산학협력	산학/NNG+협력/NNG
분야를	분야/NNG+를/JKO
이공계,	이공/NNG+계/XSN+,/SP
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
중심에서	중심/NNG+에서/JKB
경영,	경영/NNG+,/SP
디자인,	디자인/NNG+,/SP
인문사회과학	인문/NNG+사회/NNG+과학/NNG
등	등/NNB
학문의	학문/NNG+의/JKG
전	전/MMN
분야로	분야/NNG+로/JKB
넓혀나가야	넓히/VV+어/EC+나가/VX+아야/EC
한다”면서	하/VX+ㄴ다/EF+”/SS+면서/EC
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
기업과	기업/NNG+과/JC
학교	학교/NNG
중심의	중심/NNG+의/JKG
자발적이고	자발/NNG+적/XSN+이/VCP+고/EC
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
공동연구를	공동/NNG+연구/NNG+를/JKO
통해	통하/VV+아/EC
한국형	한국/NNP+형/XSN
모델을	모델/NNG+을/JKO
구축하고	구축/NNG+하/XSV+고/EC
장차	장차/MAG
해외로도	해외/NNG+로/JKB+도/JX
전파해야	전파/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


