# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.44
metadata : {}


# id : NWRW1800000028.44.1.1
대구시 식수원 취수장과 불과 몇㎞ /1980년대 심각했던 ‘오염’ 묻혀있어

대구시	대구시/NNP
# id : NWRW1800000028.44.3.1
환경·수질전문가들은 이 검은 퇴적토가 강바닥 표층이 아닌 준설 약 2m 깊이에서 발견된 데 주목한다.

환경·수질전문가들은	환경/NNG+·/SP+수질/NNG+전문가/NNG+들/XSN+은/JX
이	이/MMD
검은	검/VA+은/ETM
퇴적토가	퇴적토/NNG+가/JKS
강바닥	강바닥/NNG
표층이	표층/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
준설	준설/NNG
약	약/MMA
2m	2/SN+m/SW
깊이에서	깊이/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
데	데/NNB
주목한다.	주목/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.44.3.2
낙동강으로 흘러드는 금호강 등의 오염도가 가장 심했던 1980년대에 쌓인 퇴적물일 가능성을 우려하는 것이다.

낙동강으로	낙동강/NNP+으로/JKB
흘러드는	흘러들/VV+는/ETM
금호강	금호강/NNP
등의	등/NNB+의/JKG
오염도가	오염도/NNG+가/JKS
가장	가장/MAG
심했던	심하/VA+았/EP+던/ETM
1980년대에	1980/SN+년대/NNB+에/JKB
쌓인	쌓이/VV+ㄴ/ETM
퇴적물일	퇴적물/NNG+이/VCP+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려하는	우려/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.44.3.3
금호강에는 대구시민들의 생활하수와 염색공단 등의 공업폐수가 처리돼 흘러들며 달성보 상류의 강정보 부근에서 낙동강과 합류한다.

금호강에는	금호강/NNP+에/JKB+는/JX
대구시민들의	대구/NNP+시민/NNG+들/XSN+의/JKG
생활하수와	생활/NNG+하수/NNG+와/JC
염색공단	염색공단/NNP
등의	등/NNB+의/JKG
공업폐수가	공업/NNG+폐수/NNG+가/JKS
처리돼	처리/NNG+되/XSV+어/EC
흘러들며	흘러들/VV+며/EC
달성보	달성보/NNP
상류의	상류/NNG+의/JKG
강정보	강정보/NNP
부근에서	부근/NNG+에서/JKB
낙동강과	낙동강/NNP+과/JKB
합류한다.	합류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.44.3.4
대구시민들의 식수원인 강정·매곡 취수장은 이 합류지점에서 불과 몇㎞ 상류에 있다.

대구시민들의	대구/NNP+시민/NNG+들/XSN+의/JKG
식수원인	식수원/NNG+이/VCP+ㄴ/ETM
강정·매곡	강정/NNP+·/SP+매곡/NNP
취수장은	취수장/NNG+은/JX
이	이/MMD
합류지점에서	합류/NNG+지점/NNG+에서/JKB
불과	불과/MAG
몇㎞	몇/NR+㎞/SW
상류에	상류/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.44.3.5
성서공단과 접해 있는 대명천이나 그 부근의 진천천도 달성보-강정보 사이 구간에서 낙동강으로 흘러든다.

성서공단과	성서공단/NNP+과/JKB
접해	접하/VV+아/EC
있는	있/VX+는/ETM
대명천이나	대명천/NNP+이나/JC
그	그/MMD
부근의	부근/NNG+의/JKG
진천천도	진천천/NNP+도/JX
달성보-강정보	달성보/NNP+-/SO+강정보/NNP
사이	사이/NNG
구간에서	구간/NNG+에서/JKB
낙동강으로	낙동강/NNP+으로/JKB
흘러든다.	흘러들/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.44.4.1
1980년대 경북도 수질업무를 담당했던 한 공무원은 “개발에 전념하느라 수질관리가 소홀했던 1988년 금호강의 수질오염은 생화학적산소요구량(BOD) 수치가 지금의 수십배나 되는 100ppm을 넘을 정도로 심각했다”고 회고했다.

1980년대	1980/SN+년대/NNB
경북도	경북도/NNP
수질업무를	수질/NNG+업무/NNG+를/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
한	한/MMN
공무원은	공무원/NNG+은/JX
“개발에	“/SS+개발/NNG+에/JKB
전념하느라	전념/NNG+하/XSV+느라/EC
수질관리가	수질/NNG+관리/NNG+가/JKS
소홀했던	소홀/NNG+하/XSA+았/EP+던/ETM
1988년	1988/SN+년/NNB
금호강의	금호강/NNP+의/JKG
수질오염은	수질/NNG+오염/NNG+은/JX
생화학적산소요구량(BOD)	생화학/NNG+적/XSN+산소/NNG+요구량/NNG+(/SS+BOD/SL+)/SS
수치가	수치/NNG+가/JKS
지금의	지금/NNG+의/JKG
수십배나	수십/NR+배/NNG+나/JX
되는	되/VV+는/ETM
100ppm을	100/SN+ppm/SW+을/JKO
넘을	넘/VV+을/ETM
정도로	정도/NNG+로/JKB
심각했다”고	심각하/VA+았/EP+다/EF+”/SS+고/JKQ
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.44.4.2
그 뒤 대구시에 의해 집중적으로 수질 개선작업이 진행되면서 지난달 금호강의 비오디 수치는 2.3ppm에 불과할 정도로 떨어졌다.

그	그/MMD
뒤	뒤/NNG
대구시에	대구시/NNP+에/JKB
의해	의하/VV+아/EC
집중적으로	집중/NNG+적/XSN+으로/JKB
수질	수질/NNG
개선작업이	개선/NNG+작업/NNG+이/JKS
진행되면서	진행/NNG+되/XSV+면서/EC
지난달	지난달/NNG
금호강의	금호강/NNP+의/JKG
비오디	비오디/NNG
수치는	수치/NNG+는/JX
2.3ppm에	2/SN+./SP+3/SN+ppm/SW+에/JKB
불과할	불과/MAG+하/XSA+ㄹ/ETM
정도로	정도/NNG+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.44.5.1
달성보에서 시료채취작업에 참여했던 한 교수는 “강바닥 표층이 아닌 일정 깊이에서 오염된 퇴적토가 발견된 것으로 미루어 가장 오염이 심각했던 시절 퇴적물 위에 그 뒤 형성된 정상적인 퇴적물이 덮였을 가능성이 있다”며 “그냥 두면 아무 문제가 안 되지만 준설공사를 하면 긁어 부스럼식으로 잠자던 1980년대의 오염물질이 발굴될 것”이라고 말했다.

달성보에서	달성보/NNP+에서/JKB
시료채취작업에	시료/NNG+채취/NNG+작업/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
한	한/MMN
교수는	교수/NNG+는/JX
“강바닥	“/SS+강바닥/NNG
표층이	표층/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일정	일정/NNG
깊이에서	깊이/NNG+에서/JKB
오염된	오염/NNG+되/XSV+ㄴ/ETM
퇴적토가	퇴적토/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
미루어	미루/VV+어/EC
가장	가장/MAG
오염이	오염/NNG+이/JKS
심각했던	심각하/VA+았/EP+던/ETM
시절	시절/NNG
퇴적물	퇴적물/NNG
위에	위/NNG+에/JKB
그	그/MMD
뒤	뒤/NNG
형성된	형성/NNG+되/XSV+ㄴ/ETM
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
퇴적물이	퇴적물/NNG+이/JKS
덮였을	덮이/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“그냥	“/SS+그냥/MAG
두면	두/VV+면/EC
아무	아무/MMD
문제가	문제/NNG+가/JKC
안	안/MAG
되지만	되/VV+지만/EC
준설공사를	준설/NNG+공사/NNG+를/JKO
하면	하/VV+면/EC
긁어	긁/VV+어/EC
부스럼식으로	부스럼/NNG+식/NNB+으로/JKB
잠자던	잠자/VV+던/ETM
1980년대의	1980/SN+년대/NNB+의/JKG
오염물질이	오염/NNG+물질/NNG+이/JKS
발굴될	발굴/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.44.6.1
환경운동 쪽에서는 같은 이유로 구미공단과 인접한 낙동강 구간에도 정밀조사가 필요하다는 견해다.

환경운동	환경/NNG+운동/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
같은	같/VA+은/ETM
이유로	이유/NNG+로/JKB
구미공단과	구미공단/NNP+과/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
낙동강	낙동강/NNP
구간에도	구간/NNG+에/JKB+도/JX
정밀조사가	정밀/NNG+조사/NNG+가/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
견해다.	견해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.44.7.1
국회 환경노동위 소속 김상희·김재윤(민주당) 의원과 홍희덕(민주노동당) 의원은 “정부는 4대강 사업 전구간에 대한 추가적인 정밀조사를 실시하고, 준설토가 수질오염에 미치는 영향에 대해 조사하라”고 촉구했다.

국회	국회/NNG
환경노동위	환경/NNG+노동위/NNG
소속	소속/NNG
김상희·김재윤(민주당)	김상희/NNP+·/SP+김재윤/NNP+(/SS+민주당/NNP+)/SS
의원과	의원/NNG+과/JC
홍희덕(민주노동당)	홍희덕/NNP+(/SS+민주노동당/NNP+)/SS
의원은	의원/NNG+은/JX
“정부는	“/SS+정부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
전구간에	전/MMN+구간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
정밀조사를	정밀/NNG+조사/NNG+를/JKO
실시하고,	실시/NNG+하/XSV+고/EC+,/SP
준설토가	준설토/NNG+가/JKS
수질오염에	수질/NNG+오염/NNG+에/JKB
미치는	미치/VV+는/ETM
영향에	영향/NNG+에/JKB
대해	대하/VV+아/EC
조사하라”고	조사/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.44.8.1
이에 대해 국토해양부 쪽은 “퇴적토의 중금속이 물속에 녹아드는 정도를 조사한 결과 중금속 용출이 거의 없는 것으로 조사됐다”며 “달성보 구간의 퇴적토도 모두 토양오염 우려기준 이하로 별문제가 없다”고 일축했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
국토해양부	국토/NNG+해양부/NNG
쪽은	쪽/NNB+은/JX
“퇴적토의	“/SS+퇴적토/NNG+의/JKG
중금속이	중금속/NNG+이/JKS
물속에	물속/NNG+에/JKB
녹아드는	녹아들/VV+는/ETM
정도를	정도/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
중금속	중금속/NNG
용출이	용출/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
조사됐다”며	조사/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“달성보	“/SS+달성보/NNP
구간의	구간/NNG+의/JKG
퇴적토도	퇴적토/NNG+도/JX
모두	모두/MAG
토양오염	토양/NNG+오염/NNG
우려기준	우려/NNG+기준/NNG
이하로	이하/NNG+로/JKB
별문제가	별문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


