# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.155
metadata : {}


# id : NWRW1800000048.155.1.1
사람도 귀신도 아닌 도깨비 판치는 세상

사람도	사람/NNG+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.155.4.5
전시 제목 ‘이매망량’은 ‘사람도 아니고 귀신도 아니고 어둠도 밝음도 아닌 존재’, 곧 도깨비를 뜻한다.

전시	전시/NNG
제목	제목/NNG
‘이매망량’은	‘/SS+이매망량/NNG+’/SS+은/JX
‘사람도	‘/SS+사람/NNG+도/JX
아니고	아니/VCN+고/EC
귀신도	귀신/NNG+도/JX
어둠도	어둠/NNG+도/JX
밝음도	밝/VA+음/ETN+도/JX
아닌	아니/VCN+ㄴ/ETM
존재’,	존재/NNG+’/SS+,/SP
곧	곧/MAG
도깨비를	도깨비/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.155.4.6
14세기 조선왕조 창건 주역 정도전이 유배지에서 도깨비 무리를 만난 일화를 떠올리며 남긴 말을 따왔다고 한다.

14세기	14/SN+세기/NNG
조선왕조	조선/NNP+왕조/NNG
창건	창건/NNG
주역	주역/NNG
정도전이	정도전/NNP+이/JKS
유배지에서	유배지/NNG+에서/JKB
도깨비	도깨비/NNG
무리를	무리/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
일화를	일화/NNG+를/JKO
떠올리며	떠올리/VV+며/EC
남긴	남기/VV+ㄴ/ETM
말을	말/NNG+을/JKO
따왔다고	따오/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.155.5.1
주씨는 1979년 국내 최초의 참여미술단체 ‘현실과 발언’의 창립작가, 민족미술인협회 공동대표를 지낸 참여미술 진영의 맏형이다.

주씨는	주/NNP+씨/NNB+는/JX
1979년	1979/SN+년/NNB
국내	국내/NNG
최초의	최초/NNG+의/JKG
참여미술단체	참여/NNG+미술/NNG+단체/NNG
‘현실과	‘/SS+현실/NNG+과/JC
발언’의	발언/NNG+’/SS+의/JKG
창립작가,	창립/NNG+작가/NNG+,/SP
민족미술인협회	민족미술인협회/NNP
공동대표를	공동/NNG+대표/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
참여미술	참여/NNG+미술/NNG
진영의	진영/NNG+의/JKG
맏형이다.	맏/XPN+형/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.155.5.2
젊은 시절부터 대중문화에서 차용한 이미지 콜라주나 서양 명화의 도상을 뒤트는 방식의 작품들을 내놓으며 국내 풍자미술의 대가란 평가를 받았다.

젊은	젊/VA+은/ETM
시절부터	시절/NNG+부터/JX
대중문화에서	대중문화/NNG+에서/JKB
차용한	차용/NNG+하/XSV+ㄴ/ETM
이미지	이미지/NNG
콜라주나	콜라주/NNG+나/JC
서양	서양/NNG
명화의	명화/NNG+의/JKG
도상을	도상/NNG+을/JKO
뒤트는	뒤틀/VV+는/ETM
방식의	방식/NNG+의/JKG
작품들을	작품/NNG+들/XSN+을/JKO
내놓으며	내놓/VV+으며/EC
국내	국내/NNG
풍자미술의	풍자/NNG+미술/NNG+의/JKG
대가란	대가/NNG+이/VCP+란/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.155.5.3
2000년 아트선재센터의 개인전 ‘이 유쾌한 씨를 보라’를 통해 미술판에 널리 알려진 그는 도깨비와 무신도 등을 우르르 쏟아낸 이번 전시에서도 녹슬지 않은 노장의 현실 감각을 보여준다.

2000년	2000/SN+년/NNB
아트선재센터의	아트선재센터/NNP+의/JKG
개인전	개인전/NNG
‘이	‘/SS+이/MMD
유쾌한	유쾌한/NNP
씨를	씨/NNB+를/JKO
보라’를	보/VV+라/EF+’/SS+를/JKO
통해	통하/VV+아/EC
미술판에	미술/NNG+판/NNG+에/JKB
널리	널리/MAG
알려진	알려지/VV+ㄴ/ETM
그는	그/NP+는/JX
도깨비와	도깨비/NNG+와/JC
무신도	무신도/NNG
등을	등/NNB+을/JKO
우르르	우르르/MAG
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
이번	이번/NNG
전시에서도	전시/NNG+에서/JKB+도/JX
녹슬지	녹슬/VV+지/EC
않은	않/VX+은/ETM
노장의	노장/NNG+의/JKG
현실	현실/NNG
감각을	감각/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.155.5.4
화랑 외벽 창 안에 소주병을 놓고 예수의 십자가를 병에 꽂아놓은 미니 설치작품 ‘구세주’(救世酒)에서 여전히 반짝거리는 작가의 재기를 실감할 수 있다.

화랑	화랑/NNG
외벽	외벽/NNG
창	창/NNG
안에	안/NNG+에/JKB
소주병을	소주병/NNG+을/JKO
놓고	놓/VV+고/EC
예수의	예수/NNP+의/JKG
십자가를	십자가/NNG+를/JKO
병에	병/NNG+에/JKB
꽂아놓은	꽂/VV+아/EC+놓/VX+은/ETM
미니	미니/NNG
설치작품	설치/NNG+작품/NNG
‘구세주’(救世酒)에서	‘/SS+구세주/NNG+’/SS+(/SS+救世酒/SH+)/SS+에서/JKB
여전히	여전히/MAG
반짝거리는	반짝거리/VV+는/ETM
작가의	작가/NNG+의/JKG
재기를	재기/NNG+를/JKO
실감할	실감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.155.5.5
28일까지.

28일까지.	28/SN+일/NNB+까지/JX+./SF


# id : NWRW1800000048.155.5.6
(02)3210-1233.

(02)3210-1233.	(/SS+02/SN+)/SS+3210/SN+-/SO+1233/SN+./SF


