# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.142
metadata : {}


# id : NWRW1800000042.142.1.1
약사회, 법인약국 철회 요구 "동네 약국 다 문 닫게 될 것"

약사회,	약사회/NNP+,/SP
법인약국이	법인/NNG+약국/NNG+이/JKS
생겨	생기/VV+어/EC
투자	투자/NNG
규모가	규모/NNG+가/JKS
커지면	커지/VV+면/EC
주말과	주말/NNG+과/JC
심야에도	심야/NNG+에/JKB+도/JX
문을	문/NNG+을/JKO
여는	열/VV+는/ETM
약국이	약국/NNG+이/JKS
생기는	생기/VV+는/ETM
등	등/NNB
서비스가	서비스/NNG+가/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
정부	정부/NNG
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.142.4.3
현행 약사법에 따르면 약국은 약사만 개설할 수 있으며 약사는 약국 한 곳만 운영할 수 있다.

현행	현행/NNG
약사법에	약사법/NNG+에/JKB
따르면	따르/VV+면/EC
약국은	약국/NNG+은/JX
약사만	약사/NNG+만/JX
개설할	개설/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
약사는	약사/NNG+는/JX
약국	약국/NNG
한	한/MMN
곳만	곳/NNG+만/JX
운영할	운영/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000042.142.4.4
지금도 '온누리' '메디팜'처럼 같은 브랜드를 쓰는 프랜차이즈 약국들이 있지만, 각 회원 약국은 주인이 따로 있는 개별 사업자다.

지금도	지금/NNG+도/JX
'온누리'	'/SS+온누리/NNP+'/SS
'메디팜'처럼	'/SS+메디팜/NNP+'/SS+처럼/JKB
같은	같/VA+은/ETM
브랜드를	브랜드/NNG+를/JKO
쓰는	쓰/VV+는/ETM
프랜차이즈	프랜차이즈/NNG
약국들이	약국/NNG+들/XSN+이/JKS
있지만,	있/VA+지만/EC+,/SP
각	각/MMD
회원	회원/NNG
약국은	약국/NNG+은/JX
주인이	주인/NNG+이/JKS
따로	따로/MAG
있는	있/VA+는/ETM
개별	개별/NNG
사업자다.	사업자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.142.5.1
약사회는 "법인약국이 허용되면 대규모 자본을 앞세운 약국법인이 시장을 독점해 동네 약국 몰락을 초래할 것"이라며 "동네 약국이 문 닫으면 먼 도심 약국까지 차를 타고 가야 하고, 시장독점으로 약값이 오르는 등 그 피해가 고스란히 국민에게 돌아간다"고 밝혔다.

약사회는	약사회/NNP+는/JX
"법인약국이	"/SS+법인/NNG+약국/NNG+이/JKS
허용되면	허용/NNG+되/XSV+면/EC
대규모	대/XPN+규모/NNG
자본을	자본/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
약국법인이	약국/NNG+법인/NNG+이/JKS
시장을	시장/NNG+을/JKO
독점해	독점/NNG+하/XSV+아/EC
동네	동네/NNG
약국	약국/NNG
몰락을	몰락/NNG+을/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"동네	"/SS+동네/NNG
약국이	약국/NNG+이/JKS
문	문/NNG
닫으면	닫/VV+으면/EC
먼	멀/VA+ㄴ/ETM
도심	도심/NNG
약국까지	약국/NNG+까지/JX
차를	차/NNG+를/JKO
타고	타/VV+고/EC
가야	가/VV+아야/EC
하고,	하/VX+고/EC+,/SP
시장독점으로	시장/NNG+독점/NNG+으로/JKB
약값이	약값/NNG+이/JKS
오르는	오르/VV+는/ETM
등	등/NNB
그	그/MMD
피해가	피해/NNG+가/JKS
고스란히	고스란히/MAG
국민에게	국민/NNG+에게/JKB
돌아간다"고	돌아가/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.142.5.2
약사회 강봉윤 홍보위원장은 "정부는 대형 약국이 등장하면 3교대 24시간 문 여는 약국이 늘어 국민 편의가 개선될 것이라고 선전하지만, 수익성을 우선하는 대형 약국이 24시간 문을 열 확률은 매우 낮다"고 말했다.

약사회	약사회/NNP
강봉윤	강봉윤/NNP
홍보위원장은	홍보/NNG+위원장/NNG+은/JX
"정부는	"/SS+정부/NNG+는/JX
대형	대형/NNG
약국이	약국/NNG+이/JKS
등장하면	등장/NNG+하/XSV+면/EC
3교대	3/SN+교대/NNG
24시간	24/SN+시간/NNB
문	문/NNG
여는	열/VV+는/ETM
늘어	늘/VV+어/EC
국민	국민/NNG
편의가	편의/NNG+가/JKS
개선될	개선/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
선전하지만,	선전/NNG+하/XSV+지만/EC+,/SP
수익성을	수익/NNG+성/XSN+을/JKO
우선하는	우선/NNG+하/XSV+는/ETM
문을	문/NNG+을/JKO
열	열/VV+ㄹ/ETM
확률은	확률/NNG+은/JX
매우	매우/MAG
낮다"고	낮/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.142.6.1
약사회에 따르면, 2001년 영리법인을 도입한 노르웨이는 10년 만에 3개 법인이 전체 약국의 85%를 차지했고, 2006년 영리법인이 허용된 헝가리에서는 동네 약국이 줄도산해 5년 만에 약사만 약국을 운영하는 것으로 법을 재개정했다.

약사회에	약사회/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
2001년	2001/SN+년/NNB
영리법인을	영리/NNG+법인/NNG+을/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
노르웨이는	노르웨이/NNP+는/JX
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
3개	3/SN+개/NNB
법인이	법인/NNG+이/JKS
전체	전체/NNG
약국의	약국/NNG+의/JKG
85%를	85/SN+%/SW+를/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
2006년	2006/SN+년/NNB
영리법인이	영리/NNG+법인/NNG+이/JKS
허용된	허용/NNG+되/XSV+ㄴ/ETM
헝가리에서는	헝가리/NNP+에서/JKB+는/JX
동네	동네/NNG
약국이	약국/NNG+이/JKS
줄도산해	줄도산/NNG+하/XSV+아/EC
5년	5/SN+년/NNB
약사만	약사/NNG+만/JX
약국을	약국/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
법을	법/NNG+을/JKO
재개정했다.	재/XPN+개정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.142.7.1
이에 대해 보건복지부 황의수 약무정책과장은 "프랑스·스페인·핀란드 등 유럽 여러 나라에서 법인약국을 허용하고 있다"며 "헌법재판소가 2002년 약사법이 법인약국을 금지한 것에 대해 헌법 불일치 결정을 내린 데 따른 후속 조치일 뿐 의료 민영화와는 무관하다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
보건복지부	보건/NNG+복지부/NNG
황의수	황의수/NNP
약무정책과장은	약무/NNG+정책과장/NNG+은/JX
"프랑스·스페인·핀란드	"/SS+프랑스/NNP+·/SP+스페인/NNP+·/SP+핀란드/NNP
등	등/NNB
유럽	유럽/NNP
여러	여러/MMN
나라에서	나라/NNG+에서/JKB
법인약국을	법인/NNG+약국/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"헌법재판소가	"/SS+헌법/NNG+재판소/NNG+가/JKS
2002년	2002/SN+년/NNB
약사법이	약사법/NNG+이/JKS
금지한	금지/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
헌법	헌법/NNG
불일치	불/XPN+일치/NNG
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
후속	후속/NNG
조치일	조치/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
의료	의료/NNG
민영화와는	민영/NNG+화/XSN+와/JKB+는/JX
무관하다"고	무관하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.142.8.1
☞법인약국

☞법인약국	☞/SW+법인/NNG+약국/NNG


# id : NWRW1800000042.142.9.1
약사 개인이 아닌 법인이 개설·운영하는 약국을 말한다.

약사	약사/NNG
개인이	개인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
법인이	법인/NNG+이/JKS
개설·운영하는	개설/NNG+·/SP+운영/NNG+하/XSV+는/ETM
약국을	약국/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000042.142.9.2
정부는 약사들로만 구성된 법인에 한해 여러 약국을 열 수 있게 하면서 일반 자본의 참여는 막는다는 입장이다.

정부는	정부/NNG+는/JX
약사들로만	약사/NNG+들/XSN+로/JKB+만/JX
구성된	구성/NNG+되/XSV+ㄴ/ETM
법인에	법인/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
여러	여러/MMN
약국을	약국/NNG+을/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하면서	하/VX+면서/EC
일반	일반/NNG
자본의	자본/NNG+의/JKG
참여는	참여/NNG+는/JX
막는다는	막/VV+는다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.142.9.3
그러나 약사회는 약사를 앞세운 대규모 자본이 참여할 수 있다며 반발하고 있다.

그러나	그러나/MAJ
약사회는	약사회/NNP+는/JX
약사를	약사/NNG+를/JKO
앞세운	앞세우/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
자본이	자본/NNG+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다며	있/VA+다며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


