# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.221
metadata : {}


# id : NWRW1800000049.221.1.1
104점… 오리온 골잔치

104점…	104/SN+점/NNB+…/SE
104-78로	104/SN+-/SO+78/SN+로/JKB
대승을	대승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.4.2
지난해까지 역대 6강 PO 1차전 승자의 4강 PO 진출 확률은 94.7%였다.

지난해까지	지난해/NNG+까지/JX
역대	역대/NNG
6강	6/SN+강/NNB
PO	PO/SL
1차전	1/SN+차전/NNB
승자의	승자/NNG+의/JKG
4강	4/SN+강/NNB
진출	진출/NNG
확률은	확률/NNG+은/JX
94.7%였다.	94/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.221.5.1
정규리그 3위 오리온은 승률(0.593·32승 22패)이 6위 동부(0.481·26승 28패)보다 1할 이상 높았다.

정규리그	정규/NNG+리그/NNG
3위	3/SN+위/NNB
오리온은	오리온/NNP+은/JX
승률(0.593·32승	승률/NNG+(/SS+0/SN+./SP+593/SN+·/SP+32/SN+승/NNB
22패)이	22/SN+패/NNB+)/SS+이/JKS
6위	6/SN+위/NNB
동부(0.481·26승	동부/NNP+(/SS+0/SN+./SP+481/SN+·/SP+26/SN+승/NNB
28패)보다	28/SN+패/NNB+)/SS+보다/JKB
1할	1/SN+할/NNB
이상	이상/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.221.5.2
상대 전적에서도 4승 2패로 앞섰다.

상대	상대/NNG
전적에서도	전적/NNG+에서/JKB+도/JX
4승	4/SN+승/NNB
2패로	2/SN+패/NNB+로/JKB
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.5.3
단기전은 변수가 많다고 하지만 주포인 헤인즈가 부상을 당하기 전까지만 해도 정규리그 1위를 독주했던 오리온의 저력은 여전했다.

단기전은	단기전/NNG+은/JX
변수가	변수/NNG+가/JKS
많다고	많/VA+다고/EC
하지만	하/VV+지만/EC
주포인	주포/NNG+이/VCP+ㄴ/ETM
헤인즈가	헤인즈/NNP+가/JKS
부상을	부상/NNG+을/JKO
당하기	당하/VV+기/ETN
전까지만	전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
정규리그	정규/NNG+리그/NNG
1위를	1/SN+위/NNB+를/JKO
독주했던	독주/NNG+하/XSV+았/EP+던/ETM
오리온의	오리온/NNP+의/JKG
저력은	저력/NNG+은/JX
여전했다.	여전하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.221.6.1
오리온은 시작부터 동부를 거세게 몰아붙였다.

오리온은	오리온/NNP+은/JX
시작부터	시작/NNG+부터/JX
동부를	동부/NNP+를/JKO
거세게	거세/VA+게/EC
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.6.2
헤인즈가 혼자 13점을 몰아넣은 데 힘입어 35-21, 14점이나 앞선 채 1쿼터를 마쳤다.

헤인즈가	헤인즈/NNP+가/JKS
혼자	혼자/MAG
13점을	13/SN+점/NNB+을/JKO
몰아넣은	몰아넣/VV+은/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
35-21,	35/SN+-/SO+21/SN+,/SP
14점이나	14/SN+점/NNB+이나/JX
앞선	앞서/VV+ㄴ/ETM
채	채/NNB
1쿼터를	1/SN+쿼터/NNB+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.6.3
2쿼터는 두경민이 11점을 넣은 동부에 26-29로 뒤졌지만 3쿼터부터 잭슨의 슛이 살아나면서 다시 점수 차를 벌려 나갔다.

2쿼터는	2/SN+쿼터/NNB+는/JX
두경민이	두경민/NNP+이/JKS
11점을	11/SN+점/NNB+을/JKO
넣은	넣/VV+은/ETM
동부에	동부/NNP+에/JKB
26-29로	26/SN+-/SO+29/SN+로/JKB
뒤졌지만	뒤지/VV+었/EP+지만/EC
3쿼터부터	3/SN+쿼터/NNB+부터/JX
잭슨의	잭슨/NNP+의/JKG
슛이	슛/NNG+이/JKS
살아나면서	살아나/VV+면서/EC
다시	다시/MAG
점수	점수/NNG
차를	차/NNG+를/JKO
벌려	벌리/VV+어/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.221.7.1
잭슨은 득점(23점)과 도움(8개) 모두 양 팀 최다를 기록했다.

잭슨은	잭슨/NNP+은/JX
득점(23점)과	득점/NNG+(/SS+23/SN+점/NNB+)/SS+과/JC
도움(8개)	도움/NNG+(/SS+8/SN+개/NNB+)/SS
모두	모두/MAG
양	양/MMN
팀	팀/NNG
최다를	최다/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.221.7.2
궂은 수비를 도맡아한 오리온 이승현은 양 팀 합쳐 가장 많은 32분 25초를 뛰며 18점을 보탰다.

궂은	궂/VA+은/ETM
수비를	수비/NNG+를/JKO
도맡아한	도맡/VV+아/EC+하/VX+ㄴ/ETM
오리온	오리온/NNP
이승현은	이승현/NNP+은/JX
양	양/MMN
팀	팀/NNG
합쳐	합치/VV+어/EC
가장	가장/MAG
많은	많/VA+은/ETM
32분	32/SN+분/NNB
25초를	25/SN+초/NNB+를/JKO
뛰며	뛰/VV+며/EC
18점을	18/SN+점/NNB+을/JKO
보탰다.	보태/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.8.1
동부는 오리온 추일승 감독이 ‘경계 대상 1호’로 꼽은 노장 김주성이 10득점, 3리바운드로 분전했지만 5명이 두 자릿수 득점을 기록한 오리온의 화력을 막기에는 힘이 부쳤다.

동부는	동부/NNP+는/JX
오리온	오리온/NNP
추일승	추일승/NNP
감독이	감독/NNG+이/JKS
‘경계	‘/SS+경계/NNG
대상	대상/NNG
1호’로	1/SN+호/NNB+’/SS+로/JKB
꼽은	꼽/VV+은/ETM
노장	노장/NNG
김주성이	김주성/NNP+이/JKS
10득점,	10/SN+득점/NNG+,/SP
3리바운드로	3/SN+리바운드/NNG+로/JKB
분전했지만	분전/NNG+하/XSV+았/EP+지만/EC
5명이	5/SN+명/NNB+이/JKS
두	두/MMN
자릿수	자릿수/NNG
득점을	득점/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
오리온의	오리온/NNP+의/JKG
화력을	화력/NNG+을/JKO
막기에는	막/VV+기/ETN+에/JKB+는/JX
힘이	힘/NNG+이/JKS
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.221.8.2
2차전은 28일 오후 5시 같은 장소에서 열린다.

2차전은	2/SN+차전/NNB+은/JX
28일	28/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


