# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.339
metadata : {}


# id : NWRW1800000048.339.1.1
슈틸리케호 골문은 ‘철벽’

슈틸리케호	슈틸리케호/NNP
울리	울리/NNP
슈틸리케	슈틸리케/NNP
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
축구대표팀은	축구/NNG+대표/NNG+팀/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8일(현지시각)	8/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
쿠웨이트시티	쿠웨이트시티/NNP
국립경기장에서	국립/NNG+경기장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
쿠웨이트와의	쿠웨이트/NNP+와/JKB+의/JKG
2018	2018/SN
러시아월드컵	러시아/NNP+월드컵/NNG
아시아	아시아/NNP
2차	2/SN+차/NNB
예선	예선/NNG
G조	G/SL+조/NNG
4차전에서	4/SN+차전/NNB+에서/JKB
전반	전반/NNG
12분	12/SN+분/NNB
터진	터지/VV+ㄴ/ETM
구자철(26·아우크스부르크)의	구자철/NNP+(/SS+26/SN+·/SP+아우크스부르크/NNP+)/SS+의/JKG
천금	천금/NNG
같은	같/VA+은/ETM
헤딩골	헤딩/NNG+골/NNG
덕분에	덕분/NNG+에/JKB
1-0으로	1/SN+-/SO+0/SN+으로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.7.1
한국팀은 4연승 파죽지세로 조 선두를 굳건히 했고, 쿠웨이트는 3연승 뒤 1패를 당했다.

한국팀은	한국/NNP+팀/NNG+은/JX
4연승	4/SN+연승/NNG
파죽지세로	파죽지세/NNG+로/JKB
조	조/NNG
선두를	선두/NNG+를/JKO
굳건히	굳건히/MAG
했고,	하/VV+았/EP+고/EC+,/SP
쿠웨이트는	쿠웨이트/NNP+는/JX
3연승	3/SN+연승/NNG
뒤	뒤/NNG
1패를	1/SN+패/NNB+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.7.2
국제축구연맹(FIFA) 순위 53위로 쿠웨이트(128위)보다 앞선 한국은 역대 쿠웨이트와의 맞전적에서 11승4무8패가 됐다.

국제축구연맹(FIFA)	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS
순위	순위/NNG
53위로	53/SN+위/NNB+로/JKB
쿠웨이트(128위)보다	쿠웨이트/NNP+(/SS+128/SN+위/NNB+)/SS+보다/JKB
앞선	앞서/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
역대	역대/NNG
쿠웨이트와의	쿠웨이트/NNP+와/JKB+의/JKG
맞전적에서	맞전적/NNG+에서/JKB
11승4무8패가	11/SN+승/NNB+4/SN+무/NNB+8/SN+패/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.7.3
또 쿠웨이트 원정에서는 3승2무2패를 기록했다.

또	또/MAG
쿠웨이트	쿠웨이트/NNP
원정에서는	원정/NNG+에서/JKB+는/JX
3승2무2패를	3/SN+승/NNB+2/SN+무/NNB+2/SN+패/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.7.4
조 1위를 해야 아시아 최종예선에 진출한다.

조	조/NNG
1위를	1/SN+위/NNB+를/JKO
해야	하/VV+아야/EC
아시아	아시아/NNP
최종예선에	최종/NNG+예선/NNG+에/JKB
진출한다.	진출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.339.8.1
한국팀은 10일 귀국한 뒤 13일(밤 8시) 서울월드컵경기장에서 자메이카와의 평가전에 나서게 된다.

한국팀은	한국/NNP+팀/NNG+은/JX
10일	10/SN+일/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
13일(밤	13/SN+일/NNB+(/SS+밤/NNG
8시)	8/SN+시/NNB+)/SS
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
자메이카와의	자메이카/NNP+와/JKB+의/JKG
평가전에	평가전/NNG+에/JKB
나서게	나서/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.339.8.2
다음 달 12일(밤 8시)엔 수원월드컵경기장에서 미얀마와 G조 5차전, 17일엔 라오스를 상대로 원정 6차전을 치를 예정이다.

다음	다음/NNG
달	달/NNG
12일(밤	12/SN+일/NNB+(/SS+밤/NNG
8시)엔	8/SN+시/NNB+)/SS+에/JKB+ㄴ/JX
수원월드컵경기장에서	수원월드컵경기장/NNP+에서/JKB
미얀마와	미얀마/NNP+와/JC
G조	G/SL+조/NNG
5차전,	5/SN+차전/NNB+,/SP
17일엔	17/SN+일/NNB+에/JKB+ㄴ/JX
라오스를	라오스/NNP+를/JKO
상대로	상대/NNG+로/JKB
원정	원정/NNG
6차전을	6/SN+차전/NNB+을/JKO
치를	치르/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.339.8.3
두팀 모두 약체여서 한국팀의 최종예선 진출은 무난할 것으로 보인다.

두팀	두/MMN+팀/NNG
모두	모두/MAG
약체여서	약체/NNG+이/VCP+어서/EC
한국팀의	한국/NNP+팀/NNG+의/JKG
최종예선	최종/NNG+예선/NNG
진출은	진출/NNG+은/JX
무난할	무난하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.339.9.1
슈틸리케 감독은 이날 경기 뒤 “승점 12점으로는 아시아 최종예선 진출이 가능하다고는 생각하지 않는다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
경기	경기/NNG
뒤	뒤/NNG
“승점	“/SS+승점/NNG
12점으로는	12/SN+점/NNB+으로/JKB+는/JX
아시아	아시아/NNP
최종예선	최종/NNG+예선/NNG
진출이	진출/NNG+이/JKS
가능하다고는	가능/NNG+하/XSA+다고/EC+는/JX
생각하지	생각/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.339.9.2
그러나 그동안 4경기 전승, 무실점으로 봤을 때 올바른 방향으로 가고 있다고 생각한다.

그러나	그러나/MAJ
그동안	그동안/NNG
4경기	4/SN+경기/NNG
전승,	전승/NNG+,/SP
무실점으로	무/XPN+실점/NNG+으로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
올바른	올바르/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
가고	가/VV+고/EC
있다고	있/VX+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.339.9.3
아시아 2차 예선 통과를 위해서는 승점을 더 쌓아야 한다”며 경계를 늦추지 않았다.

아시아	아시아/NNP
2차	2/SN+차/NNB
예선	예선/NNG
통과를	통과/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
승점을	승점/NNG+을/JKO
더	더/MAG
쌓아야	쌓/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
경계를	경계/NNG+를/JKO
늦추지	늦추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.339.9.4
한국팀은 4경기에서 모두 14골을 넣었고, 1골도 내주지 않았다.

한국팀은	한국/NNP+팀/NNG+은/JX
4경기에서	4/SN+경기/NNG+에서/JKB
모두	모두/MAG
14골을	14/SN+골/NNG+을/JKO
넣었고,	넣/VV+었/EP+고/EC+,/SP
1골도	1/SN+골/NNG+도/JX
내주지	내주/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.339.10.1
선수 구성이나 전력면에서 우위를 보인 한국은 이날 ‘수비 뒤 역습 작전’으로 나선 쿠웨이트를 몰아붙였다.

선수	선수/NNG
구성이나	구성/NNG+이나/JC
전력면에서	전력/NNG+면/NNG+에서/JKB
우위를	우위/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
이날	이날/NNG
‘수비	‘/SS+수비/NNG
뒤	뒤/NNG
역습	역습/NNG
작전’으로	작전/NNG+’/SS+으로/JKB
나선	나서/VV+ㄴ/ETM
쿠웨이트를	쿠웨이트/NNP+를/JKO
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.10.2
첫골은 비교적 이른 전반 12분 터졌다.

첫골은	첫/MMN+골/NNG+은/JX
비교적	비교/NNG+적/XSN
이른	이르/VA+ㄴ/ETM
전반	전반/NNG
12분	12/SN+분/NNB
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.10.3
공격형 미드필더로 나선 권창훈(수원 삼성)이 후방에서 넘겨준 공을 박주호(도르트문트)가 상대 진영 왼쪽에서 잡아 골문 앞으로 띄웠다.

공격형	공격/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
권창훈(수원	권창훈/NNP+(/SS+수원/NNP
삼성)이	삼성/NNP+)/SS+이/JKS
후방에서	후방/NNG+에서/JKB
넘겨준	넘겨주/VV+ㄴ/ETM
공을	공/NNG+을/JKO
박주호(도르트문트)가	박주호/NNP+(/SS+도르트문트/NNP+)/SS+가/JKS
상대	상대/NNG
진영	진영/NNG
왼쪽에서	왼쪽/NNG+에서/JKB
잡아	잡/VV+아/EC
골문	골문/NNG
앞으로	앞/NNG+으로/JKB
띄웠다.	띄우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.10.4
순간 구자철이 상대 수비수 사이에서 공중으로 뛰어올라 헤딩슛으로 골망을 갈랐다.

순간	순간/NNG
구자철이	구자철/NNP+이/JKS
상대	상대/NNG
수비수	수비수/NNG
사이에서	사이/NNG+에서/JKB
공중으로	공중/NNG+으로/JKB
뛰어올라	뛰어오르/VV+아/EC
헤딩슛으로	헤딩슛/NNG+으로/JKB
골망을	골/NNG+망/NNG+을/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.10.5
구자철은 3월 우즈베키스탄과의 평가전에 이어 6개월 만에 A매치 골맛을 봤다.

구자철은	구자철/NNP+은/JX
3월	3/SN+월/NNB
우즈베키스탄과의	우즈베키스탄/NNP+과/JKB+의/JKG
평가전에	평가전/NNG+에/JKB
이어	잇/VV+어/EC
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
A매치	A/SL+매치/NNG
골맛을	골맛/NNG+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.10.6
슈틸리케 감독도 두손을 번쩍 들며 기뻐했다.

슈틸리케	슈틸리케/NNP
감독도	감독/NNG+도/JX
두손을	두/MMN+손/NNG+을/JKO
번쩍	번쩍/MAG
들며	들/VV+며/EC
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.11.1
슈틸리케 감독은 이날 손흥민(토트넘)과 이청용(크리스털 팰리스)의 부상으로 공백이 생긴 좌우날개 공격수 자리에 구자철과 남태희(레크위야)를 배치했다.

슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
손흥민(토트넘)과	손흥민/NNP+(/SS+토트넘/NNP+)/SS+과/JC
이청용(크리스털	이청용/NNP+(/SS+크리스털/NNP
팰리스)의	팰리스/NNP+)/SS+의/JKG
부상으로	부상/NNG+으로/JKB
공백이	공백/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
좌우날개	좌우/NNG+날개/NNG
공격수	공격수/NNG
자리에	자리/NNG+에/JKB
구자철과	구자철/NNP+과/JC
남태희(레크위야)를	남태희/NNP+(/SS+레크위야/NNP+)/SS+를/JKO
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.11.2
최전방에는 석현준(비토리아FC)을 세웠고, 최근 급성장한 권창훈을 중앙 공격형 미드필더로 포진시켰다.

최전방에는	최/XPN+전방/NNG+에/JKB+는/JX
석현준(비토리아FC)을	석현준/NNP+(/SS+비토리아FC/NNP+)/SS+을/JKO
세웠고,	세우/VV+었/EP+고/EC+,/SP
최근	최근/NNG
급성장한	급성장/NNG+하/XSV+ㄴ/ETM
권창훈을	권창훈/NNP+을/JKO
중앙	중앙/NNG
공격형	공격/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
포진시켰다.	포진/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.11.3
지난달 라오스와 레바논 전에서 연속골을 터뜨리는 등 공격력을 뽐낸 권창훈은 자신감 있는 플레이로 자기 몫을 다했다.

지난달	지난달/NNG
라오스와	라오스/NNP+와/JC
레바논	레바논/NNP
전에서	전/NA+에서/JKB
연속골을	연속/NNG+골/NNG+을/JKO
터뜨리는	터뜨리/VV+는/ETM
등	등/NNB
공격력을	공격력/NNG+을/JKO
뽐낸	뽐내/VV+ㄴ/ETM
권창훈은	권창훈/NNP+은/JX
자신감	자신감/NNG
있는	있/VA+는/ETM
플레이로	플레이/NNG+로/JKB
자기	자기/NP
몫을	몫/NNG+을/JKO
다했다.	다/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.11.4
중앙 미드필더에는 기성용(스완지시티)과 정우영(빗셀 고베)이 배치됐고, 4명의 수비 진용은 왼쪽부터 박주호, 김영권(광저우 에버그란데), 곽태휘(알힐랄), 장현수(광저우 R&F;)로 이뤄졌다.

중앙	중앙/NNG
미드필더에는	미드필더/NNG+에/JKB+는/JX
기성용(스완지시티)과	기성용/NNP+(/SS+스완지시티/NNP+)/SS+과/JC
정우영(빗셀	정우영/NNP+(/SS+빗셀/NNP
고베)이	고베/NNP+)/SS+이/JKS
배치됐고,	배치/NNG+되/XSV+었/EP+고/EC+,/SP
4명의	4/SN+명/NNB+의/JKG
수비	수비/NNG
진용은	진용/NNG+은/JX
왼쪽부터	왼쪽/NNG+부터/JX
박주호,	박주호/NNP+,/SP
김영권(광저우	김영권/NNP+(/SS+광저우/NNP
에버그란데),	에버그란데/NNP+)/SS+,/SP
곽태휘(알힐랄),	곽태휘/NNP+(/SS+알힐랄/NNP+)/SS+,/SP
장현수(광저우	장현수/NNP+(/SS+광저우/NNP
R&F;)로	R/SL+&/SW+F/SL+;/SP+)/SS+로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.339.11.5
골키퍼는 김승규(울산 현대)가 맡았다.

골키퍼는	골키퍼/NNG+는/JX
김승규(울산	김승규/NNP+(/SS+울산/NNP
현대)가	현대/NNP+)/SS+가/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


