# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.144
metadata : {}


# id : NWRW1800000030.144.1.1
[100세 쇼크 축복인가 재앙인가] 전문직 93% "은퇴 후 봉사하고 싶다"고 답하는데…

[100세	[/SS+100/SN+세/NNB
화사한	화사하/VA+ㄴ/ETM
색채를	색채/NNG+를/JKO
입히고	입히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.144.3.3
그는 "질리지 않고 재미있게 계속할 수 있고 그러면서도 남에게 도움이 되는 활동을 찾아 고심하다 벽화를 배웠다"고 했다.

그는	그/NP+는/JX
"질리지	"/SS+질리/VV+지/EC
않고	않/VX+고/EC
재미있게	재미있/VA+게/EC
계속할	계속/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
그러면서도	그러/VV+면서/EC+도/JX
남에게	남/NNG+에게/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
활동을	활동/NNG+을/JKO
찾아	찾/VV+아/EC
고심하다	고심/NNG+하/XSV+다/EC
벽화를	벽화/NNG+를/JKO
배웠다"고	배우/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.144.4.1
2008년 한국보건사회연구원에 실시한 '노인실태조사'를 보면, 조씨처럼 자원봉사 경험이 있는 60세 이상 노인은 10명 중 1명(12.1%)에 그쳤다.

2008년	2008/SN+년/NNB
한국보건사회연구원에	한국보건사회연구원/NNP+에/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
'노인실태조사'를	'/SS+노인/NNG+실태/NNG+조사/NNG+'/SS+를/JKO
보면,	보/VV+면/EC+,/SP
조씨처럼	조/NNP+씨/NNB+처럼/JKB
자원봉사	자원봉사/NNG
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
60세	60/SN+세/NNB
이상	이상/NNG
노인은	노인/NNG+은/JX
10명	10/SN+명/NNB
중	중/NNB
1명(12.1%)에	1/SN+명/NNB+(/SS+12/SN+./SP+1/SN+%/SW+)/SS+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.144.4.2
서울대 최성재 교수(사회복지학)는 "욕구는 있지만 방법을 몰라 못하는 사람은 훨씬 많을 것"이라면서 "특히 50~60대 고학력 전문직들의 경우 은퇴 후에도 봉사를 통해 전문지식을 활용하고 싶다는 욕구가 매우 강하다"고 했다.

서울대	서울대/NNP
최성재	최성재/NNP
교수(사회복지학)는	교수/NNG+(/SS+사회/NNG+복지학/NNG+)/SS+는/JX
"욕구는	"/SS+욕구/NNG+는/JX
있지만	있/VA+지만/EC
방법을	방법/NNG+을/JKO
몰라	모르/VV+아/EC
못하는	못/MAG+하/VV+는/ETM
사람은	사람/NNG+은/JX
훨씬	훨씬/MAG
많을	많/VA+을/ETM
것"이라면서	것/NNB+"/SS+이/VCP+라면서/EC
"특히	"/SS+특히/MAG
50~60대	50/SN+~/SO+60/SN+대/NNB
고학력	고/XPN+학력/NNG
전문직들의	전문직/NNG+들/XSN+의/JKG
경우	경우/NNG
은퇴	은퇴/NNG
후에도	후/NNG+에/JKB+도/JX
봉사를	봉사/NNG+를/JKO
통해	통하/VV+아/EC
전문지식을	전문/NNG+지식/NNG+을/JKO
활용하고	활용/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
욕구가	욕구/NNG+가/JKS
매우	매우/MAG
강하다"고	강하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.144.5.1
그런 욕구를 객관적으로 측정해볼 방법이 없을까.

그런	그런/MMD
욕구를	욕구/NNG+를/JKO
객관적으로	객관/NNG+적/XSN+으로/JKB
측정해볼	측정/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
방법이	방법/NNG+이/JKS
없을까.	없/VA+을까/EF+./SF


# id : NWRW1800000030.144.5.2
본지와 삼성경제연구소(SERI)는 'SERI CEO 회원'(연간 100만원 이상 구독료를 내고 연구결과를 받아보는 기업인) 351명을 대상으로 설문조사를 실시했다.

본지와	본지/NNG+와/JC
삼성경제연구소(SERI)는	삼성경제연구소/NNP+(/SS+SERI/SL+)/SS+는/JX
'SERI	'/SS+SERI/SL
CEO	CEO/SL
회원'(연간	회원/NNG+'/SS+(/SS+연간/NNG
100만원	100/SN+만/NR+원/NNB
이상	이상/NNG
구독료를	구독료/NNG+를/JKO
내고	내/VV+고/EC
연구결과를	연구/NNG+결과/NNG+를/JKO
받아보는	받/VV+아/EC+보/VV+는/ETM
기업인)	기업인/NNG+)/SS
351명을	351/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.144.5.3
그 결과, 응답자 가운데 압도적 다수(93.2%)가 "은퇴 후 사회에 봉사하고 싶다"고 했다.

그	그/MMD
결과,	결과/NNG+,/SP
응답자	응답자/NNG
가운데	가운데/NNG
압도적	압도/NNG+적/XSN
다수(93.2%)가	다수/NNG+(/SS+93/SN+./SP+2/SN+%/SW+)/SS+가/JKS
"은퇴	"/SS+은퇴/NNG
후	후/NNG
사회에	사회/NNG+에/JKB
봉사하고	봉사/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.144.5.4
선호하는 봉사 형태는 '전문지식을 활용한 재능기부(60.4%)→목욕봉사 등 소외계층을 몸으로 돌보는 봉사활동(22.5%)→물질적인 기부(14.5%)' 순이었다.

선호하는	선호/NNG+하/XSV+는/ETM
봉사	봉사/NNG
형태는	형태/NNG+는/JX
'전문지식을	'/SS+전문/NNG+지식/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
재능기부(60.4%)→목욕봉사	재능/NNG+기부/NNG+(/SS+60/SN+./SP+4/SN+%/SW+)/SS+→/SW+목욕/NNG+봉사/NNG
등	등/NNB
소외계층을	소외/NNG+계층/NNG+을/JKO
몸으로	몸/NNG+으로/JKB
돌보는	돌보/VV+는/ETM
봉사활동(22.5%)→물질적인	봉사/NNG+활동/NNG+(/SS+22/SN+./SP+5/SN+%/SW+)/SS+→/SW+물질/NNG+적/XSN+이/VCP+ㄴ/ETM
기부(14.5%)'	기부/NNG+(/SS+14/SN+./SP+5/SN+%/SW+)/SS+'/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.144.6.1
문제는 '봉사 인프라'였다.

문제는	문제/NNG+는/JX
'봉사	'/SS+봉사/NNG
인프라'였다.	인프라/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.144.6.2
"봉사할 대상과 방법을 쉽게 찾을 수 있는가" 묻는 질문에 절반 이상(53%)이 고개를 저었다.

"봉사할	"/SS+봉사/NNG+하/XSV+ㄹ/ETM
대상과	대상/NNG+과/JC
방법을	방법/NNG+을/JKO
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있는가"	있/VA+는가/EF+"/SS
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
절반	절반/NNG
이상(53%)이	이상/NNG+(/SS+53/SN+%/SW+)/SS+이/JKS
고개를	고개/NNG+를/JKO
저었다.	젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.144.6.3
"전문지식을 활용할 수 있는 봉사 기회가 많은가" 라는 질문에도 절반(48.7%)이 고개를 흔들었다.

"전문지식을	"/SS+전문/NNG+지식/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
봉사	봉사/NNG
기회가	기회/NNG+가/JKS
많은가"	많/VA+은가/EF+"/SS
라는	이/VCP+라는/ETM
질문에도	질문/NNG+에/JKB+도/JX
절반(48.7%)이	절반/NNG+(/SS+48/SN+./SP+7/SN+%/SW+)/SS+이/JKS
고개를	고개/NNG+를/JKO
흔들었다.	흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.144.6.4
"우리 사회가 봉사 활동에 충분히 존경과 감사를 표하지 않는다"고 생각하는 사람(65.5%)이 과반수였다.

"우리	"/SS+우리/NP
사회가	사회/NNG+가/JKS
봉사	봉사/NNG
활동에	활동/NNG+에/JKB
충분히	충분히/MAG
존경과	존경/NNG+과/JC
감사를	감사/NNG+를/JKO
표하지	표/NNG+하/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
생각하는	생각/NNG+하/XSV+는/ETM
사람(65.5%)이	사람/NNG+(/SS+65/SN+./SP+5/SN+%/SW+)/SS+이/JKS
과반수였다.	과반수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.144.7.1
최 교수는 "현재의 50~60대는 과거의 노인 세대보다 학력이 높고 건강이 좋아 정부의 손길이 미처 닿지 못하는 분야에 단비를 뿌려줄 수 있는 인력"이라며 "국가 차원에서 노인들의 자원봉사 통로를 개발하면 훨씬 많은 사람들이 자신의 역할을 찾아 사회로 나올 것"이라고 했다.

최	최/NNP
교수는	교수/NNG+는/JX
"현재의	"/SS+현재/NNG+의/JKG
50~60대는	50/SN+~/SO+60/SN+대/NNB+는/JX
과거의	과거/NNG+의/JKG
노인	노인/NNG
세대보다	세대/NNG+보다/JKB
학력이	학력/NNG+이/JKS
높고	높/VA+고/EC
건강이	건강/NNG+이/JKS
좋아	좋/VA+아/EC
정부의	정부/NNG+의/JKG
손길이	손길/NNG+이/JKS
미처	미처/MAG
닿지	닿/VV+지/EC
못하는	못하/VX+는/ETM
분야에	분야/NNG+에/JKB
단비를	단비/NNG+를/JKO
뿌려줄	뿌리/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인력"이라며	인력/NNG+"/SS+이/VCP+라며/EC
"국가	"/SS+국가/NNG
차원에서	차원/NNG+에서/JKB
노인들의	노인/NNG+들/XSN+의/JKG
자원봉사	자원봉사/NNG
통로를	통로/NNG+를/JKO
개발하면	개발/NNG+하/XSV+면/EC
훨씬	훨씬/MAG
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
역할을	역할/NNG+을/JKO
찾아	찾/VV+아/EC
사회로	사회/NNG+로/JKB
나올	나오/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.144.8.1
가령 미국은 연방정부가 '시니어 코(senior corps)'라는 노인봉사단을 운영한다.

가령	가령/MAG
미국은	미국/NNP+은/JX
연방정부가	연방/NNG+정부/NNG+가/JKS
'시니어	'/SS+시니어/NNG
코(senior	코/NNP+(/SS+senior/SL
corps)'라는	corps/SL+)/SS+'/SS+이/VCP+라는/ETM
노인봉사단을	노인/NNG+봉사단/NNG+을/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.144.8.2
청소년과 60세 이상 노인 멘토를 연결해주는 프로그램, 건강한 노인이 허약한 노인을 돕는 프로그램, 은퇴자들이 전문지식과 경험을 나누는 프로그램 등으로 구성되어 있다.

청소년과	청소년/NNG+과/JC
60세	60/SN+세/NNB
이상	이상/NNG
노인	노인/NNG
멘토를	멘토/NNG+를/JKO
연결해주는	연결/NNG+하/XSV+아/EC+주/VX+는/ETM
프로그램,	프로그램/NNG+,/SP
건강한	건강/NNG+하/XSA+ㄴ/ETM
노인이	노인/NNG+이/JKS
허약한	허약/NNG+하/XSA+ㄴ/ETM
노인을	노인/NNG+을/JKO
돕는	돕/VV+는/ETM
은퇴자들이	은퇴자/NNG+들/XSN+이/JKS
전문지식과	전문/NNG+지식/NNG+과/JC
경험을	경험/NNG+을/JKO
나누는	나누/VV+는/ETM
프로그램	프로그램/NNG
등으로	등/NNB+으로/JKB
구성되어	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.144.8.3
영국도 1999년 민관 합동 연구단을 꾸려 50세 이상 연장자들을 자원봉사자로 육성하는 방안을 마련했고, 그 결과를 묶어 '내무성 노인자원봉사사업(HOOVIL)'을 실천 중이다.

영국도	영국/NNP+도/JX
1999년	1999/SN+년/NNB
민관	민관/NNG
합동	합동/NNG
연구단을	연구단/NNG+을/JKO
꾸려	꾸리/VV+어/EC
50세	50/SN+세/NNB
이상	이상/NNG
연장자들을	연장자/NNG+들/XSN+을/JKO
자원봉사자로	자원봉사자/NNG+로/JKB
육성하는	육성/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
결과를	결과/NNG+를/JKO
묶어	묶/VV+어/EC
'내무성	'/SS+내무성/NNG
노인자원봉사사업(HOOVIL)'을	노인/NNG+자원봉사/NNG+사업/NNG+(/SS+HOOVIL/SL+)/SS+'/SS+을/JKO
실천	실천/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.144.8.4
일본은 1971년부터 고용과 봉사를 결합한다는 원칙 하에 '실버인재센터'를 세우고, 봉사 활동의 종류와 강도에 따라 교통비 수준의 실비를 지급하고 있다.

일본은	일본/NNP+은/JX
1971년부터	1971/SN+년/NNB+부터/JX
고용과	고용/NNG+과/JC
봉사를	봉사/NNG+를/JKO
결합한다는	결합/NNG+하/XSV+ㄴ다는/ETM
원칙	원칙/NNG
하에	하/XSN+에/JKB
'실버인재센터'를	'/SS+실버/NNG+인재/NNG+센터/NNG+'/SS+를/JKO
세우고,	세우/VV+고/EC+,/SP
봉사	봉사/NNG
활동의	활동/NNG+의/JKG
종류와	종류/NNG+와/JC
강도에	강도/NNG+에/JKB
따라	따르/VV+아/EC
교통비	교통비/NNG
수준의	수준/NNG+의/JKG
실비를	실비/NNG+를/JKO
지급하고	지급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


