# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.201
metadata : {}


# id : NWRW1800000056.201.1.1
세월호에서 발견된 뼛조각 7점, 사람 아닌 동물뼈

세월호에서	세월호/NNP+에서/JKB
리프팅빔(받침대)	리프팅/NNG+빔/NNG+(/SS+받침대/NNG+)/SS
주변에서	주변/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.201.7.3
세월호가 누워 있는 왼쪽 부근이다.

세월호가	세월호/NNP+가/JKS
누워	눕/VV+어/EC
있는	있/VX+는/ETM
왼쪽	왼쪽/NNG
부근이다.	부근/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.201.7.4
해수부는 세월호의 창문, 출입문, 구멍 등을 통해 나온 펄에서 이 뼛조각이 나온 것으로 봤다.

해수부는	해수부/NNG+는/JX
세월호의	세월호/NNP+의/JKG
창문,	창문/NNG+,/SP
출입문,	출입문/NNG+,/SP
구멍	구멍/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
나온	나오/VV+ㄴ/ETM
펄에서	펄/NNG+에서/JKB
이	이/MMD
뼛조각이	뼛조각/NNG+이/JKS
것으로	것/NNB+으로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.201.7.5
해수부 관계자는 “목포신항 출발에 앞서 세월호 안에서 물, 기름, 펄 빼기 작업을 하고 있다”며 “갑판 정리 과정에서 뼛조각을 발견했다”고 말했다.

해수부	해수부/NNG
관계자는	관계자/NNG+는/JX
“목포신항	“/SS+목포신항/NNP
출발에	출발/NNG+에/JKB
앞서	앞서/VV+어/EC
세월호	세월호/NNP
안에서	안/NNG+에서/JKB
물,	물/NNG+,/SP
기름,	기름/NNG+,/SP
펄	펄/NNG
빼기	빼/VV+기/ETN
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“갑판	“/SS+갑판/NNG
정리	정리/NNG
과정에서	과정/NNG+에서/JKB
뼛조각을	뼛조각/NNG+을/JKO
발견했다”고	발견/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.201.8.1
이 뼛조각은 유실방지망이 훼손됐거나 방지망이 없는 세월호 왼쪽 부분을 통해 나왔을 가능성이 높다.

이	이/MMD
뼛조각은	뼛조각/NNG+은/JX
유실방지망이	유실/NNG+방지망/NNG+이/JKS
훼손됐거나	훼손/NNG+되/XSV+었/EP+거나/EC
방지망이	방지망/NNG+이/JKS
없는	없/VA+는/ETM
세월호	세월호/NNP
왼쪽	왼쪽/NNG
부분을	부분/NNG+을/JKO
통해	통하/VV+아/EC
나왔을	나오/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000056.201.8.2
세월호에는 약 300개의 창문, 출입문, 구멍 등이 있는데, 세월호가 누워 있는 왼쪽 부분에는 유실방지망이 제대로 설치되지 않았다.

세월호에는	세월호/NNP+에/JKB+는/JX
약	약/MMA
300개의	300/SN+개/NNB+의/JKG
창문,	창문/NNG+,/SP
출입문,	출입문/NNG+,/SP
구멍	구멍/NNG
등이	등/NNB+이/JKS
있는데,	있/VA+는데/EC+,/SP
세월호가	세월호/NNP+가/JKS
누워	눕/VV+어/EC
있는	있/VX+는/ETM
왼쪽	왼쪽/NNG
부분에는	부분/NNG+에/JKB+는/JX
유실방지망이	유실/NNG+방지망/NNG+이/JKS
제대로	제대로/MAG
설치되지	설치/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.201.8.3
이런 상황에서 뼛조각이 미수습자의 유골인 것으로 추정돼 한때 긴장이 고조됐다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
뼛조각이	뼛조각/NNG+이/JKS
미수습자의	미/XPN+수습자/NNG+의/JKG
유골인	유골/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정돼	추정/NNG+되/XSV+어/EC
한때	한때/MAG
긴장이	긴장/NNG+이/JKS
고조됐다.	고조/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.201.8.4
뼛조각이 세월호 선체 밖에서 발견됐기 때문이다.

뼛조각이	뼛조각/NNG+이/JKS
세월호	세월호/NNP
선체	선체/NNG
밖에서	밖/NNG+에서/JKB
발견됐기	발견/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.201.8.5
‘4월16일의 약속 국민연대’는 이날 오후 성명을 내어 “세월호가 해저면에서 올라오던 순간부터 반잠수 선박에 거치되기까지 (미수습자 등이) 유실됐을 가능성도 배제하기 힘들다”고 비판하기도 했다.

‘4월16일의	‘/SS+4/SN+월/NNB+16/SN+일/NNB+의/JKG
약속	약속/NNG
국민연대’는	국민/NNG+연대/NNG+’/SS+는/JX
이날	이날/NNG
오후	오후/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“세월호가	“/SS+세월호/NNP+가/JKS
해저면에서	해저/NNG+면/NNG+에서/JKB
올라오던	올라오/VV+던/ETM
순간부터	순간/NNG+부터/JX
반잠수	반잠수/NNG
선박에	선박/NNG+에/JKB
거치되기까지	거치/NNG+되/XSV+기/ETN+까지/JX
(미수습자	(/SS+미/XPN+수습자/NNG
등이)	등/NNB+이/JKS+)/SS
유실됐을	유실/NNG+되/XSV+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제하기	배제/NNG+하/XSV+기/ETN
힘들다”고	힘들/VA+다/EF+”/SS+고/JKQ
비판하기도	비판/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


