# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.226
metadata : {}


# id : NWRW1800000054.226.1.1
[사건 블랙박스] 과자 훔친 공시생들에 '합의금 장사'한 노량진 마트

[사건	[/SS+사건/NNG
그	그/MMD
아들	아들/NNG
김모(48)씨는	김/NNP+모/NP+(/SS+48/SN+)/SS+씨/NNB+는/JX
물건값을	물건값/NNG+을/JKO
계산하지	계산/NNG+하/XSV+지/EC
않고	않/VX+고/EC
나가는	나가/VV+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
합의금	합의금/NNG
명목의	명목/NNG+의/JKG
돈을	돈/NNG+을/JKO
뜯었다고	뜯/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.226.6.4
박씨 모자에게 협박당한 사람들은 대부분 공무원 시험, 세무사 시험 등을 준비하는 사람들이었다.

박씨	박/NNP+씨/NNB
모자에게	모자/NNG+에게/JKB
협박당한	협박/NNG+당하/XSV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
공무원	공무원/NNG
시험,	시험/NNG+,/SP
세무사	세무사/NNG
시험	시험/NNG
등을	등/NNB+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
사람들이었다.	사람/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.226.7.1
박씨 모자는 지난해 2월부터 올해 8월까지 이런 식으로 모두 29명을 협박해 3030만원을 뜯어냈다고 경찰은 말했다.

박씨	박/NNP+씨/NNB
모자는	모자/NNG+는/JX
지난해	지난해/NNG
2월부터	2/SN+월/NNB+부터/JX
올해	올해/NNG
8월까지	8/SN+월/NNB+까지/JX
이런	이런/MMD
식으로	식/NNB+으로/JKB
모두	모두/MAG
29명을	29/SN+명/NNB+을/JKO
협박해	협박/NNG+하/XSV+아/EC
3030만원을	3030/SN+만/NR+원/NNB+을/JKO
뜯어냈다고	뜯어내/VV+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.226.7.2
그렇게 받은 돈의 10~30%를 점장 등 직원들에게 나눠줬다.

그렇게	그렇/VA+게/EC
받은	받/VV+은/ETM
돈의	돈/NNG+의/JKG
10~30%를	10/SN+~/SO+30/SN+%/SW+를/JKO
점장	점장/NNG
등	등/NNB
직원들에게	직원/NNG+들/XSN+에게/JKB
나눠줬다.	나누/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.226.7.3
피해자들이 이 점포에서 계산하지 않고 가져나간 물건값은 총 9만8000원이었다고 경찰은 말했다.

피해자들이	피해자/NNG+들/XSN+이/JKS
이	이/MMD
점포에서	점포/NNG+에서/JKB
계산하지	계산/NNG+하/XSV+지/EC
않고	않/VX+고/EC
가져나간	가지/VV+어/EC+나가/VV+ㄴ/ETM
물건값은	물건값/NNG+은/JX
총	총/MMA
9만8000원이었다고	9/SN+만/NR+8000/SN+원/NNB+이/VCP+었/EP+다고/EC
경찰은	경찰/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.226.8.1
피해자들은 "경찰에 신고해 빨간 줄이 가게 하겠다" "공무원 시험을 보지 못하게 하겠다"는 협박에 못 이겨 훔친 물건의 30~2000배에 달하는 돈을 냈다.

피해자들은	피해자/NNG+들/XSN+은/JX
"경찰에	"/SS+경찰/NNG+에/JKB
신고해	신고/NNG+하/XSV+아/EC
빨간	빨갛/VA+ㄴ/ETM
줄이	줄/NNG+이/JKS
가게	가/VV+게/EC
하겠다"	하/VX+겠/EP+다/EF+"/SS
"공무원	"/SS+공무원/NNG
시험을	시험/NNG+을/JKO
보지	보/VV+지/EC
못하게	못하/VX+게/EC
하겠다"는	하/VX+겠/EP+다/EF+"/SS+는/ETM
협박에	협박/NNG+에/JKB
못	못/MAG
이겨	이기/VV+어/EC
훔친	훔치/VV+ㄴ/ETM
물건의	물건/NNG+의/JKG
30~2000배에	30/SN+~/SO+2000/SN+배/NNG+에/JKB
달하는	달하/VV+는/ETM
돈을	돈/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.226.8.2
250원짜리 과자를 가지고 나가다 50만원을 뜯긴 대입 재수생도 있었다.

250원짜리	250/SN+원/NNB+짜리/XSN
과자를	과자/NNG+를/JKO
가지고	가지/VV+고/EC
나가다	나가/VV+다/EC
50만원을	50/SN+만/NR+원/NNB+을/JKO
뜯긴	뜯기/VV+ㄴ/ETM
대입	대입/NNG
재수생도	재수/NNG+생/XSN+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.226.8.3
서울 동작경찰서는 공동 공갈, 공동 감금 등의 혐의로 마트 주인 박씨와 아들 김씨, 마트 직원 3명을 불구속 입건해 검찰에 지난 10일 송치했다.

서울	서울/NNP
동작경찰서는	동작경찰서/NNP+는/JX
공동	공동/NNG
공갈,	공갈/NNG+,/SP
감금	감금/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
마트	마트/NNG
주인	주인/NNG
박씨와	박/NNP+씨/NNB+와/JC
아들	아들/NNG
김씨,	김/NNP+씨/NNB+,/SP
직원	직원/NNG
3명을	3/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건해	입건/NNG+하/XSV+아/EC
검찰에	검찰/NNG+에/JKB
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
송치했다.	송치/NNG+하/XSV+았/EP+다/EF+./SF


