# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.120
metadata : {}


# id : NWRW1800000025.120.1.1
‘10년분납 공공임대’ 8988채 첫선

‘10년분납	‘/SS+10/SN+년/NNB+분납/NNG
것이고,	것/NNB+이/VCP+고/EC+,/SP
분납	분납/NNG
임대기간	임대/NNG+기간/NNG
동안	동안/NNG
임차료와	임차료/NNG+와/JKB
함께	함께/MAG
집값도	집값/NNG+도/JX
나눠	나누/VV+어/EC
내면서	내/VX+면서/EC
지분을	지분/NNG+을/JKO
넓혀가는	넓히/VV+어/EC+가/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.120.9.3
이들 임대주택은 초기에 자금부담이 덜하고 경쟁률도 분양주택보다 낮을 것으로 예상돼 점수가 낮은 청약자들의 관심이 높다.

이들	이/NP+들/XSN
임대주택은	임대/NNG+주택/NNG+은/JX
초기에	초기/NNG+에/JKB
자금부담이	자금/NNG+부담/NNG+이/JKS
덜하고	덜/MAG+하/XSA+고/EC
경쟁률도	경쟁/NNG+률/XSN+도/JX
분양주택보다	분양/NNG+주택/NNG+보다/JKB
낮을	낮/VA+을/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
점수가	점수/NNG+가/JKS
낮은	낮/VA+은/ETM
청약자들의	청약자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000025.120.9.4
다만 10년 임대는 분양가가 나중에 책정되기 때문에 시세차익은 그리 크지 않을 수도 있다.

다만	다만/MAG
10년	10/SN+년/NNB
임대는	임대/NNG+는/JX
분양가가	분양/NNG+가/XSN+가/JKS
나중에	나중/NNG+에/JKB
책정되기	책정/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
시세차익은	시세/NNG+차익/NNG+은/JX
그리	그리/MAG
크지	크/VA+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.120.10.1
바뀐 규정을 체크하는 것도 필요하다.

바뀐	바뀌/VV+ㄴ/ETM
규정을	규정/NNG+을/JKO
체크하는	체크/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.120.10.2
특히 신혼부부와 생애최초 특별 분양은 이번 2차 지구부터 자산 기준이 적용돼 2억1550만 원이 넘는 부동산(토지 및 건물)이나, 2635만 원을 초과한 자동차가 있으면 청약할 수 없다.

특히	특히/MAG
신혼부부와	신혼부부/NNG+와/JC
생애최초	생애/NNG+최초/NNG
특별	특별/NNG
분양은	분양/NNG+은/JX
이번	이번/NNG
2차	2/SN+차/NNB
지구부터	지구/NNG+부터/JX
자산	자산/NNG
기준이	기준/NNG+이/JKS
적용돼	적용/NNG+되/XSV+어/EC
2억1550만	2/SN+억/NR+1550/SN+만/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
부동산(토지	부동산/NNG+(/SS+토지/NNG
및	및/MAG
건물)이나,	건물/NNG+)/SS+이나/JC+,/SP
2635만	2635/SN+만/NR
원을	원/NNB+을/JKO
초과한	초과/NNG+하/XSV+ㄴ/ETM
자동차가	자동차/NNG+가/JKS
있으면	있/VA+으면/EC
청약할	청약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


