# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.361
metadata : {}


# id : NWRW1800000024.361.1.1
법무장관 “나영이 성폭행 범인 가석방 없다”

법무장관	법무/NNG+장관/NNG
이명박 대통령도 이날 청와대에서 열린 국무회의에서 “그런 사람들은 평생 격리시키는 것이 마땅하지 않나 하는 생각까지 할 정도로 말할 수 없는 참담함을 느낀다”며 “이런 반인륜적 범죄자가 우리 사회에서 함께 살아갈 수 있는지 회의적인 생각까지 든다”고 말했다.

이명박	이명박/NNP
대통령도	대통령/NNG+도/JX
이날	이날/NNG
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국무회의에서	국무/NNG+회의/NNG+에서/JKB
“그런	“/SS+그런/MMD
사람들은	사람/NNG+들/XSN+은/JX
평생	평생/NNG
격리시키는	격리/NNG+시키/XSV+는/ETM
것이	것/NNB+이/JKS
마땅하지	마땅하/VA+지/EC
않나	않/VX+나/EC
하는	하/VV+는/ETM
생각까지	생각/NNG+까지/JX
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
참담함을	참담/NNG+하/XSA+ㅁ/ETN+을/JKO
느낀다”며	느끼/VV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
반인륜적	반/XPN+인륜/NNG+적/XSN
범죄자가	범죄자/NNG+가/JKS
우리	우리/NP
사회에서	사회/NNG+에서/JKB
함께	함께/MAG
살아갈	살아가/VV+ㄹ/ETM
있는지	있/VA+는지/EC
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.4.1
강간치상 전과가 있는 조씨는 지난해 12월 등교하던 8살짜리 여자 어린이를 근처 교회 화장실로 끌고가 목 졸라 기절시킨 뒤 성폭행했다.

강간치상	강간/NNG+치상/NNG
전과가	전과/NNG+가/JKS
있는	있/VA+는/ETM
조씨는	조/NNP+씨/NNB+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
등교하던	등교/NNG+하/XSV+던/ETM
8살짜리	8/SN+살/NNB+짜리/XSN
여자	여자/NNG
어린이를	어린이/NNG+를/JKO
근처	근처/NNG
교회	교회/NNG
화장실로	화장실/NNG+로/JKB
끌고가	끌/VV+고/EC+가/VV+아/EC
목	목/NNG
졸라	조르/VV+아/EC
기절시킨	기절/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
성폭행했다.	성폭행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.4.2
이로 인해 이 어린이는 신체 일부가 영구 훼손되는 큰 상처를 입고 최근까지 병원 치료를 받았다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
이	이/MMD
어린이는	어린이/NNG+는/JX
신체	신체/NNG
일부가	일부/NNG+가/JKS
영구	영구/NNG
훼손되는	훼손/NNG+되/XSV+는/ETM
큰	크/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
입고	입/VV+고/EC
최근까지	최근/NNG+까지/JX
병원	병원/NNG
치료를	치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.4.3
1심과 항소심은 알코올중독자인 조씨가 술에 취해 ‘심신미약’ 상태였다는 점을 감안해 강간치상죄의 법정 최고형량인 무기징역에서 감형한 징역 12년형과 출소 뒤 7년간 전자발찌 부착을 선고했다.

1심과	1심/NNG+과/JC
항소심은	항소심/NNG+은/JX
알코올중독자인	알코올/NNG+중독자/NNG+이/VCP+ㄴ/ETM
조씨가	조/NNP+씨/NNB+가/JKS
술에	술/NNG+에/JKB
취해	취하/VV+아/EC
‘심신미약’	‘/SS+심신/NNG+미약/NNG+’/SS
상태였다는	상태/NNG+이/VCP+었/EP+다는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
강간치상죄의	강간/NNG+치상죄/NNG+의/JKG
법정	법정/NNG
최고형량인	최고/NNG+형량/NNG+이/VCP+ㄴ/ETM
무기징역에서	무기/NNG+징역/NNG+에서/JKB
감형한	감형/NNG+하/XSV+ㄴ/ETM
징역	징역/NNG
12년형과	12/SN+년/NNB+형/NNG+과/JC
출소	출소/NNG
뒤	뒤/NNG
7년간	7/SN+년/NNB+간/XSN
전자발찌	전자/NNG+발찌/NNG
부착을	부착/NNG+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.4.4
대법원은 지난 24일 이 형량을 그대로 확정했다.

대법원은	대/XPN+법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
이	이/MMD
형량을	형량/NNG+을/JKO
그대로	그대로/MAG
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.5.1
하지만 나영이 사건이 방송 시사프로그램을 통해 알려진 뒤 인터넷 포털 등에선 어린이 대상 성범죄에 사형을 선고하라고 요구하는 누리꾼들의 청원이 수십만건씩 이어지고 있다.

하지만	하지만/MAJ
나영이	나영이/NNP
사건이	사건/NNG+이/JKS
방송	방송/NNG
시사프로그램을	시사/NNG+프로그램/NNG+을/JKO
통해	통하/VV+아/EC
알려진	알려지/VV+ㄴ/ETM
뒤	뒤/NNG
인터넷	인터넷/NNG
포털	포털/NNG
등에선	등/NNB+에서/JKB+ㄴ/JX
어린이	어린이/NNG
대상	대상/NNG
성범죄에	성범죄/NNG+에/JKB
사형을	사형/NNG+을/JKO
선고하라고	선고/NNG+하/XSV+라고/EC
요구하는	요구/NNG+하/XSV+는/ETM
누리꾼들의	누리/NNG+꾼/XSN+들/XSN+의/JKG
청원이	청원/NNG+이/JKS
수십만건씩	수십만/NR+건/NNB+씩/XSN
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.361.5.2
지난 7월부터 시행된 13살 미만 어린이에 대한 성범죄 양형기준은 원칙적으로 징역 6~9년, 죄질이 나빠 가중 사유가 있을 때는 7~11년의 징역형을 선고하도록 하고 있다.

지난	지나/VV+ㄴ/ETM
7월부터	7/SN+월/NNB+부터/JX
시행된	시행/NNG+되/XSV+ㄴ/ETM
13살	13/SN+살/NNB
미만	미만/NNG
어린이에	어린이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성범죄	성범죄/NNG
양형기준은	양형/NNG+기준/NNG+은/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
징역	징역/NNG
6~9년,	6/SN+~/SO+9/SN+년/NNB+,/SP
죄질이	죄질/NNG+이/JKS
나빠	나쁘/VA+아/EC
가중	가중/NNG
사유가	사유/NNG+가/JKS
있을	있/VA+을/ETM
때는	때/NNG+는/JX
7~11년의	7/SN+~/SO+11/SN+년/NNB+의/JKG
징역형을	징역형/NNG+을/JKO
선고하도록	선고/NNG+하/XSV+도록/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.361.5.3
13살 미만 어린이에 대한 강간치상의 법정형량은 무기 또는 5년 이상의 징역형이다.

13살	13/SN+살/NNB
미만	미만/NNG
어린이에	어린이/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강간치상의	강간/NNG+치상/NNG+의/JKG
법정형량은	법정/NNG+형량/NNG+은/JX
무기	무기/NNG
또는	또는/MAG
5년	5/SN+년/NNB
이상의	이상/NNG+의/JKG
징역형이다.	징역형/NNG+이/VCP+다/EF+./SF


