# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.139
metadata : {}


# id : NWRW1800000048.139.1.1
“일본 안보법, 내년 3월29일 시행 방침”

“일본	“/SS+일본/NNP
신문은 이 법의 시행에 앞서 방위성이 자위대의 무기사용방법 등을 규정하고 있는 ‘부대행동기준’ 등 하위 규정에 대한 수정 작업을 진행하고 있다고 전했다.

신문은	신문/NNG+은/JX
이	이/MMD
법의	법/NNG+의/JKG
시행에	시행/NNG+에/JKB
앞서	앞서/VV+어/EC
방위성이	방위성/NNG+이/JKS
자위대의	자위대/NNG+의/JKG
무기사용방법	무기/NNG+사용/NNG+방법/NNG
등을	등/NNB+을/JKO
규정하고	규정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘부대행동기준’	‘/SS+부대/NNG+행동/NNG+기준/NNG+’/SS
등	등/NNB
하위	하위/NNG
규정에	규정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수정	수정/NNG
작업을	작업/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.139.5.1
자위대의 이런 변화는 한국 정부에 적지 않은 고민을 안기는 것이다.

자위대의	자위대/NNG+의/JKG
이런	이런/MMD
변화는	변화/NNG+는/JX
한국	한국/NNP
정부에	정부/NNG+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
고민을	고민/NNG+을/JKO
안기는	안기/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.139.5.2
이 법을 그대로 해석하면 자위대는 한반도 유사사태가 발생할 경우 ‘현재 전투행위가 벌어지고 있지 않는 지역’이라면 한반도에 상륙해 미군 등에 대한 후방지원을 할 수 있다.

이	이/MMD
법을	법/NNG+을/JKO
그대로	그대로/MAG
해석하면	해석/NNG+하/XSV+면/EC
자위대는	자위대/NNG+는/JX
한반도	한반도/NNP
유사사태가	유사/NNG+사태/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
‘현재	‘/SS+현재/MAG
전투행위가	전투/NNG+행위/NNG+가/JKS
벌어지고	벌어지/VV+고/EC
있지	있/VX+지/EC
않는	않/VX+는/ETM
지역’이라면	지역/NNG+’/SS+이/VCP+라면/EC
한반도에	한반도/NNP+에/JKB
상륙해	상륙/NNG+하/XSV+아/EC
미군	미군/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
후방지원을	후방/NNG+지원/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.139.5.3
현재 한-일 양국은 이 경우 ‘한국의 동의’가 필요하다고 말하고 있지만, 자국군에 대한 작전권도 갖지 못한 정부가 미군이 ‘군사적 필요’에 의해 자위대 상륙을 요구할 경우 이를 막을 수 있을지 의문이다.

현재	현재/MAG
한-일	한-일/NNP
양국은	양국/NNG+은/JX
이	이/MMD
경우	경우/NNG
‘한국의	‘/SS+한국/NNP+의/JKG
동의’가	동의/NNG+’/SS+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
말하고	말/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
자국군에	자국/NNG+군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
작전권도	작전/NNG+권/XSN+도/JX
갖지	갖/VV+지/EC
못한	못하/VX+ㄴ/ETM
정부가	정부/NNG+가/JKS
미군이	미군/NNG+이/JKS
‘군사적	‘/SS+군사/NNG+적/XSN
필요’에	필요/NNG+’/SS+에/JKB
의해	의하/VV+아/EC
자위대	자위대/NNG
상륙을	상륙/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
이를	이/NP+를/JKO
막을	막/VV+을/ETM
수	수/NNB
있을지	있/VA+을지/EF
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.139.6.1
이 법의 한반도 적용을 둘러싸고 양국간에 적지 않은 시각 차이가 남아 있는 채로 한국은 자위대의 관함식과 군악제에 참석하는 등 군사 교류를 확대해 가고 있다.

이	이/MMD
법의	법/NNG+의/JKG
한반도	한반도/NNP
적용을	적용/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
양국간에	양국/NNG+간/NNB+에/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
시각	시각/NNG
차이가	차이/NNG+가/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
채로	채/NNB+로/JKB
한국은	한국/NNP+은/JX
자위대의	자위대/NNG+의/JKG
관함식과	관함식/NNG+과/JC
군악제에	군악제/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
등	등/NNB
군사	군사/NNG
교류를	교류/NNG+를/JKO
확대해	확대/NNG+하/XSV+아/EC
가고	가/VX+고/EC
있다.	있/VX+다/EF+./SF


