# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.372
metadata : {}


# id : NWRW1800000030.372.1.1
[수도권II] 남한강(양평)은 봄… 북한강(가평)은 아직 겨울?

[수도권II]	[/SS+수도/NNG+권/XSN+II/SL+]/SS
이 군수가 "금품을 받은 사실이 없다"며 혐의를 전면 부인하고 있다는 사실이 알려지면서 동정론도 만만치 않게 일고 있다.

이	이/NNP
군수가	군수/NNG+가/JKS
"금품을	"/SS+금품/NNG+을/JKO
받은	받/VV+은/ETM
사실이	사실/NNG+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
혐의를	혐의/NNG+를/JKO
전면	전면/NNG
부인하고	부인/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
알려지면서	알려지/VV+면서/EC
동정론도	동정/NNG+론/XSN+도/JX
만만치	만만하/VA+지/EC
않게	않/VX+게/EC
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.6.4
특히 최근에 가평이 새로 활력을 얻어가고 있는 시점에서 그의 낙마가 안타깝다는 의견이 많이 나오고 있다.

특히	특히/MAG
최근에	최근/NNG+에/JKB
가평이	가평/NNP+이/JKS
새로	새로/MAG
활력을	활력/NNG+을/JKO
얻어가고	얻/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
시점에서	시점/NNG+에서/JKB
그의	그/NP+의/JKG
낙마가	낙마/NNG+가/JKS
안타깝다는	안타깝/VA+다는/ETM
의견이	의견/NNG+이/JKS
많이	많이/MAG
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.7.1
이 군수는 '에코피아 가평'을 앞세워 각종 규제로 낙후된 가평의 활로를 제시했다는 평가를 들어왔다.

이	이/NNP
군수는	군수/NNG+는/JX
'에코피아	'/SS+에코피아/NNG
가평'을	가평/NNP+'/SS+을/JKO
앞세워	앞세우/VV+어/EC
각종	각종/NNG
규제로	규제/NNG+로/JKB
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
가평의	가평/NNP+의/JKG
활로를	활로/NNG+를/JKO
제시했다는	제시/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
들어왔다.	듣/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.372.7.2
정부가 제시한 저탄소 녹색성장을 앞장서 실천하는 모범 도시로 인정을 받아 작년 11월에는 '생생도시'로 선정되기도 했다.

정부가	정부/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
저탄소	저/XPN+탄소/NNG
녹색성장을	녹색/NNG+성장/NNG+을/JKO
앞장서	앞장서/VV+어/EC
실천하는	실천/NNG+하/XSV+는/ETM
모범	모범/NNG
도시로	도시/NNG+로/JKB
인정을	인정/NNG+을/JKO
받아	받/VV+아/EC
작년	작년/NNG
11월에는	11/SN+월/NNB+에/JKB+는/JX
'생생도시'로	'/SS+생생/XR+도시/NNG+'/SS+로/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.372.7.3
또 '자라섬 재즈 페스티벌'과 '자라섬 씽싱 겨울축제'를 명품으로 키워냈다.

또	또/MAG
'자라섬	'/SS+자라섬/NNP
재즈	재즈/NNG
페스티벌'과	페스티벌/NNG+'/SS+과/JC
씽싱	씽싱/MAG
겨울축제'를	겨울/NNG+축제/NNG+'/SS+를/JKO
명품으로	명품/NNG+으로/JKB
키워냈다.	키우/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.372.7.4
특히 경춘선 복선전철 개통 등의 효과에 힘입어 인구가 1983년 이후에 다시 6만명 돌파를 바라보고 있다.

특히	특히/MAG
경춘선	경춘선/NNP
복선전철	복선/NNG+전철/NNG
개통	개통/NNG
등의	등/NNB+의/JKG
효과에	효과/NNG+에/JKB
힘입어	힘입/VV+어/EC
인구가	인구/NNG+가/JKS
1983년	1983/SN+년/NNB
이후에	이후/NNG+에/JKB
다시	다시/MAG
6만명	6/SN+만/NR+명/NNB
돌파를	돌파/NNG+를/JKO
바라보고	바라보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.8.1
가평군은 올해는 경춘선 청평·상천·가평 역세권 개발 등 중요한 과제를 앞두고 있다.

가평군은	가평군/NNP+은/JX
올해는	올해/NNG+는/JX
경춘선	경춘선/NNP
청평·상천·가평	청평/NNP+·/SP+상천/NNP+·/SP+가평/NNP
역세권	역세권/NNG
개발	개발/NNG
등	등/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
과제를	과제/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.8.2
또 민간이 투자를 약속한 대형 관광레저 관련 사업도 뒷받침해야 한다.

또	또/MAG
민간이	민간/NNG+이/JKS
투자를	투자/NNG+를/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
대형	대형/NNG
관광레저	관광/NNG+레저/NNG
관련	관련/NNG
사업도	사업/NNG+도/JX
뒷받침해야	뒷받침/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.372.8.3
최근에는 한국관광공사와 150억원이 투입되는 '와인 밸리'사업에도 착수했다.

최근에는	최근/NNG+에/JKB+는/JX
한국관광공사와	한국관광공사/NNP+와/JKB
150억원이	150/SN+억/NR+원/NNB+이/JKS
투입되는	투입/NNG+되/XSV+는/ETM
'와인	'/SS+와인/NNG
밸리'사업에도	밸리/NNG+'/SS+사업/NNG+에/JKB+도/JX
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.8.4
그러나 이 군수의 부재로 각종 사업 수행 과정에서 추진력이 떨어지지 않을까 우려도 나오고 있다.

그러나	그러나/MAJ
이	이/NNP
군수의	군수/NNG+의/JKG
부재로	부재/NNG+로/JKB
각종	각종/NNG
사업	사업/NNG
수행	수행/NNG
과정에서	과정/NNG+에서/JKB
추진력이	추진력/NNG+이/JKS
떨어지지	떨어지/VV+지/EC
않을까	않/VX+을까/EF
우려도	우려/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.9.1
◆기세등등한 양평

◆기세등등한	◆/SW+기세등등/MAG+하/XSA+ㄴ/ETM
양평	양평/NNP


# id : NWRW1800000030.372.10.1
양평군은 의기양양하다.

양평군은	양평군/NNP+은/JX
의기양양하다.	의기양양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.372.10.2
각종 사업 진행이 순조롭다.

각종	각종/NNG
사업	사업/NNG
진행이	진행/NNG+이/JKS
순조롭다.	순조/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000030.372.10.3
도내에서 예산 규모로는 22위에 불과하나, 정부의 선물이 푸짐하다.

도내에서	도내/NNG+에서/JKB
예산	예산/NNG
규모로는	규모/NNG+로/JKB+는/JX
22위에	22/SN+위/NNB+에/JKB
불과하나,	불과/MAG+하/XSA+나/EC+,/SP
정부의	정부/NNG+의/JKG
선물이	선물/NNG+이/JKS
푸짐하다.	푸짐하/VA+다/EF+./SF


# id : NWRW1800000030.372.10.4
올해 행정안전부의 보통교부세도 작년보다 144억원이 증가한 1082억원으로 경기도내에서 가장 많다.

올해	올해/NNG
행정안전부의	행정/NNG+안전부/NNG+의/JKG
보통교부세도	보통/NNG+교부세/NNG+도/JX
작년보다	작년/NNG+보다/JKB
144억원이	144/SN+억/NR+원/NNB+이/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
1082억원으로	1082/SN+억/NR+원/NNB+으로/JKB
경기도내에서	경기도/NNP+내/NNB+에서/JKB
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.372.10.5
덕분에 여유 재원 246억원이 생겨 종합운동장 건설에 충당하려던 지방채 146억원의 발행도 취소했다.

덕분에	덕분/NNG+에/JKB
여유	여유/NNG
재원	재원/NNG
246억원이	246/SN+억/NR+원/NNB+이/JKS
생겨	생기/VV+어/EC
종합운동장	종합/NNG+운동장/NNG
건설에	건설/NNG+에/JKB
충당하려던	충당/NNG+하/XSV+려던/ETM
지방채	지방채/NNG
146억원의	146/SN+억/NR+원/NNB+의/JKG
발행도	발행/NNG+도/JX
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.10.6
이 때문에 일부 반대에도 사업을 밀어붙였던 김 군수의 뚝심이 인정받은 셈이 됐다.

이	이/NP
때문에	때문/NNB+에/JKB
일부	일부/NNG
반대에도	반대/NNG+에/JKB+도/JX
사업을	사업/NNG+을/JKO
밀어붙였던	밀어붙이/VV+었/EP+던/ETM
김	김/NNP
군수의	군수/NNG+의/JKG
뚝심이	뚝심/NNG+이/JKS
인정받은	인정/NNG+받/XSV+은/ETM
셈이	셈/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.372.11.1
특히 양평군은 현역 장관 2명을 배출했다.

특히	특히/MAG
양평군은	양평군/NNP+은/JX
현역	현역/NNG
장관	장관/NNG
2명을	2/SN+명/NNB+을/JKO
배출했다.	배출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.11.2
맹형규 행정안전부 장관과 정병국 문화체육관광부 장관이다.

맹형규	맹형규/NNP
행정안전부	행정/NNG+안전부/NNG
장관과	장관/NNG+과/JC
정병국	정병국/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관이다.	장관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.11.3
정 장관은 양평·가평 지역구 3선 의원 출신이기도 하다.

정	정/NNP
장관은	장관/NNG+은/JX
양평·가평	양평/NNP+·/SP+가평/NNP
지역구	지역구/NNG
3선	3/SN+선/NNB
의원	의원/NNG
출신이기도	출신/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000030.372.11.4
두 장관은 알게 모르게 고향을 배려한다는 얘기를 듣는다.

두	두/MMN
장관은	장관/NNG+은/JX
알게	알/VV+게/EC
모르게	모르/VV+게/EC
고향을	고향/NNG+을/JKO
배려한다는	배려/NNG+하/XSV+ㄴ다는/ETM
얘기를	얘기/NNG+를/JKO
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000030.372.11.5
행정안전부는 최근 남양주 팔당대교에서 양평 양근대교 구간의 중앙선 폐철로를 활용한 26.8㎞(양평 구간은 20.4㎞) 자전거도로를 착공했다.

행정안전부는	행정/NNG+안전부/NNG+는/JX
최근	최근/NNG
남양주	남양주/NNP
팔당대교에서	팔당대교/NNP+에서/JKB
양평	양평/NNP
양근대교	양근대교/NNP
구간의	구간/NNG+의/JKG
중앙선	중앙선/NNG
폐철로를	폐/XPN+철로/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
26.8㎞(양평	26/SN+./SP+8/SN+㎞/SW+(/SS+양평/NNP
구간은	구간/NNG+은/JX
20.4㎞)	20/SN+./SP+4/SN+㎞/SW+)/SS
자전거도로를	자전거/NNG+도로/NNG+를/JKO
착공했다.	착공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.11.6
전체 사업비 239억원 가운데 국비가 162억원이다.

전체	전체/NNG
사업비	사업비/NNG
239억원	239/SN+억/NR+원/NNB
가운데	가운데/NNG
국비가	국비/NNG+가/JKS
162억원이다.	162/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.12.1
문화체육관광부도 '남한강 예술특구'사업을 벌이고 있다.

문화체육관광부도	문화/NNG+체육/NNG+관광부/NNG+도/JX
'남한강	'/SS+남한강/NNP
예술특구'사업을	예술/NNG+특구/NNG+'/SS+사업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.12.2
2013년까지 국비 485억원을 들여 한국방송광고공사 연수원을 예술 창작 공간으로 만드는 프로젝트이다.

2013년까지	2013/SN+년/NNB+까지/JX
국비	국비/NNG
485억원을	485/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
한국방송광고공사	한국방송광고공사/NNP
연수원을	연수원/NNG+을/JKO
예술	예술/NNG
창작	창작/NNG
공간으로	공간/NNG+으로/JKB
만드는	만들/VV+는/ETM
프로젝트이다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.12.3
정 장관이 국회 문화관광위원장 시절 유치한 사업이다.

정	정/NNP
장관이	장관/NNG+이/JKS
국회	국회/NNG
문화관광위원장	문화/NNG+관광/NNG+위원장/NNG
시절	시절/NNG
유치한	유치/NNG+하/XSV+ㄴ/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.12.4
또 4대강 사업으로도 약 1000억원이 양평에 투입되고 있다.

또	또/MAG
4대강	4/SN+대/NNG+강/NNG
사업으로도	사업/NNG+으로/JKB+도/JX
약	약/MMA
1000억원이	1000/SN+억/NR+원/NNB+이/JKS
양평에	양평/NNP+에/JKB
투입되고	투입/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.12.5
국토해양부와 교통안전공단이 1700억원을 투자하는 304병상 규모의 국립 교통전문재활병원도 2014년에 개원할 예정이다.

국토해양부와	국토/NNG+해양부/NNG+와/JC
교통안전공단이	교통안전공단/NNP+이/JKS
1700억원을	1700/SN+억/NR+원/NNB+을/JKO
투자하는	투자/NNG+하/XSV+는/ETM
304병상	304/SN+병상/NNG
규모의	규모/NNG+의/JKG
국립	국립/NNG
교통전문재활병원도	교통전문재활병원/NNP+도/JX
2014년에	2014/SN+년/NNB+에/JKB
개원할	개원/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


