# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.332
metadata : {}


# id : NWRW1800000038.332.1.1
정부개편안 2월14일 국회처리, 총리 임명동의안 2월26일 의결

정부개편안	정부/NNG+개편안/NNG
자진사퇴로	자진/NNG+사퇴/NNG+로/JKB
5년	5/SN+년/NNB
전(1월	전/NNG+(/SS+1/SN+월/NNB
28일)에	28/SN+일/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
일주일	일주일/NNG
안팎	안팎/NNG
늦어질	늦어지/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.332.4.2
총리 후보자가 장관들에 대해 제청권을 행사해야 하기 때문에 장관 후보자 발표도 덩달아 늦어지게 됐다.

총리	총리/NNG
후보자가	후보자/NNG+가/JKS
장관들에	장관/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
제청권을	제청/NNG+권/XSN+을/JKO
행사해야	행사/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
장관	장관/NNG
후보자	후보자/NNG
발표도	발표/NNG+도/JX
덩달아	덩달/VV+아/EC
늦어지게	늦어지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.332.4.3
여야는 본회의 휴회기간인 2월 8~13일과 2월 19~25일 기간에 20여명 안팎의 인사 청문회를 몰아서 할 예정이다.

여야는	여야/NNG+는/JX
본회의	본회의/NNG
휴회기간인	휴회/NNG+기간/NNG+이/VCP+ㄴ/ETM
2월	2/SN+월/NNB
8~13일과	8/SN+~/SO+13/SN+일/NNB+과/JC
19~25일	19/SN+~/SO+25/SN+일/NNB
기간에	기간/NNG+에/JKB
20여명	20/SN+여/XSN+명/NNB
안팎의	안팎/NNG+의/JKG
인사	인사/NNG
청문회를	청문회/NNG+를/JKO
몰아서	몰/VV+아서/EC
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.332.4.4
박 당선인은 장관 후보자들의 경우 2~3차례에 나눠서 발표할 가능성도 있다.

박	박/NNP
당선인은	당선인/NNG+은/JX
장관	장관/NNG
후보자들의	후보자/NNG+들/XSN+의/JKG
경우	경우/NNG
2~3차례에	2/SN+~/SO+3/SN+차례/NNG+에/JKB
나눠서	나누/VV+어서/EC
발표할	발표/NNG+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.332.5.1
국회가 잡은 정부 조직 개편안 일정(2월 14일 또는 18일) 이전에 장관 후보자들을 발표할 경우엔 신설되거나 이름이 바뀐 정부 부처가 많기 때문에 부처를 특정하지 않고 국무위원 후보자로 국회에 넘긴 뒤, 정부 조직 개편안이 확정되면 국무위원 후보자들을 각 부처에 배치할 것으로 보인다.

국회가	국회/NNG+가/JKS
잡은	잡/VV+은/ETM
정부	정부/NNG
조직	조직/NNG
개편안	개편안/NNG
일정(2월	일정/NNG+(/SS+2/SN+월/NNB
14일	14/SN+일/NNB
또는	또는/MAG
18일)	18/SN+일/NNB+)/SS
이전에	이전/NNG+에/JKB
장관	장관/NNG
후보자들을	후보자/NNG+들/XSN+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
신설되거나	신설/NNG+되/XSV+거나/EC
이름이	이름/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
부처가	부처/NNG+가/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
부처를	부처/NNG+를/JKO
특정하지	특정/NNG+하/XSV+지/EC
않고	않/VX+고/EC
국무위원	국무/NNG+위원/NNG
후보자로	후보자/NNG+로/JKB
국회에	국회/NNG+에/JKB
넘긴	넘기/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
개편안이	개편안/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
각	각/MMD
부처에	부처/NNG+에/JKB
배치할	배치/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.332.6.1
5년 전 이명박 당선인이 이런 방식으로 정부 조직 개편안 처리 4일 전에 13명의 장관이 포함된 15명의 국무위원 명단을 발표했었다.

5년	5/SN+년/NNB
전	전/NNG
이명박	이명박/NNP
당선인이	당선인/NNG+이/JKS
이런	이런/MMD
방식으로	방식/NNG+으로/JKB
정부	정부/NNG
조직	조직/NNG
개편안	개편안/NNG
처리	처리/NNG
4일	4/SN+일/NNB
전에	전/NNG+에/JKB
13명의	13/SN+명/NNB+의/JKG
장관이	장관/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
15명의	15/SN+명/NNB+의/JKG
국무위원	국무/NNG+위원/NNG
명단을	명단/NNG+을/JKO
발표했었다.	발표/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000038.332.7.1
총리 후보자의 임명동의안은 본회의에서 재적 의원 과반수 출석에 출석 의원 과반수 찬성으로 통과된다.

총리	총리/NNG
후보자의	후보자/NNG+의/JKG
임명동의안은	임명/NNG+동의안/NNG+은/JX
본회의에서	본회의/NNG+에서/JKB
재적	재적/NNG
의원	의원/NNG
과반수	과반수/NNG
출석에	출석/NNG+에/JKB
출석	출석/NNG
찬성으로	찬성/NNG+으로/JKB
통과된다.	통과/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.332.7.2
장관의 경우 본회의 의결이 필요 없고 청문회만 거치면 된다.

장관의	장관/NNG+의/JKG
경우	경우/NNG
본회의	본회의/NNG
의결이	의결/NNG+이/JKS
필요	필요/NNG
없고	없/VA+고/EC
청문회만	청문회/NNG+만/JX
거치면	거치/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.332.8.1
한편 국회는 이날 쟁점이었던 쌍용차 문제와 관련, 여야 협의체(새누리당 3인·민주당 3인)를 구성해 5월 말까지 운영하기로 했으며, 이명박 대통령이 거부권을 행사한 택시법(대중교통 육성 및 이용촉진법 개정안)에 대해서도 여야 5인 협의체를 구성해 택시법과 정부 측 대체 입법안을 함께 검토하기로 했다.

한편	한편/MAG
국회는	국회/NNG+는/JX
이날	이날/NNG
쟁점이었던	쟁점/NNG+이/VCP+었/EP+던/ETM
쌍용차	쌍용차/NNP
문제와	문제/NNG+와/JKB
관련,	관련/NNG+,/SP
여야	여야/NNG
협의체(새누리당	협의체/NNG+(/SS+새누리당/NNP
3인·민주당	3/SN+인/NNG+·/SP+민주당/NNP
3인)를	3/SN+인/NNG+)/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
5월	5/SN+월/NNB
말까지	말/NNB+까지/JX
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했으며,	하/VV+았/EP+으며/EC+,/SP
이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
거부권을	거부/NNG+권/XSN+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
택시법(대중교통	택시/NNG+법/NNG+(/SS+대중교통/NNG
육성	육성/NNG
및	및/MAG
이용촉진법	이용/NNG+촉진법/NNG
개정안)에	개정안/NNG+)/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
5인	5/SN+인/NNG
협의체를	협의체/NNG+를/JKO
택시법과	택시/NNG+법/NNG+과/JC
정부	정부/NNG
측	측/NNB
대체	대체/NNG
입법안을	입법안/NNG+을/JKO
함께	함께/MAG
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


