# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.205
metadata : {}


# id : NWRW1800000041.205.1.1
“이사장 맡고있는 한국학술硏 통해 朴, 기업 30곳서 수십억 받은 정황”

“이사장	“/SS+이사장/NNG
의원에게	의원/NNG+에게/JKB
고문료	고문료/NNG
명목으로	명목/NNG+으로/JKB
200만	200/SN+만/NR
원	원/NNB
이상씩	이상/NNG+씩/XSN
1억	1/SN+억/NR
원에	원/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.205.5.3
검찰은 고문 역할을 거의 하지 않은 박 의원에게 불법 정치자금을 준 것 아니냐고 의심하고 있다.

검찰은	검찰/NNG+은/JX
고문	고문/NNG
역할을	역할/NNG+을/JKO
거의	거의/MAG
하지	하/VV+지/EC
않은	않/VX+은/ETM
박	박/NNP
의원에게	의원/NNG+에게/JKB
불법	불법/NNG
정치자금을	정치/NNG+자금/NNG+을/JKO
준	주/VV+ㄴ/ETM
것	것/NNB
아니냐고	아니/VCN+냐고/EC
의심하고	의심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.205.6.1
특히 지난주 박 의원의 아들 집을 압수수색하면서 발견한 6억여 원의 현금도 불법 정치자금일 가능성이 높다고 검찰은 보고 있다.

특히	특히/MAG
지난주	지난주/NNG
박	박/NNP
의원의	의원/NNG+의/JKG
아들	아들/NNG
집을	집/NNG+을/JKO
압수수색하면서	압수/NNG+수색/NNG+하/XSV+면서/EC
발견한	발견/NNG+하/XSV+ㄴ/ETM
6억여	6/SN+억/NR+여/XSN
원의	원/NNB+의/JKG
현금도	현금/NNG+도/JX
불법	불법/NNG
정치자금일	정치/NNG+자금/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
검찰은	검찰/NNG+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.205.6.2
가정집에 수억 원대의 현금을 보관한 것 자체가 의문인 데다 박 의원이 이사장으로 있는 한국학술연구원 등을 통해 기업에서 받은 기부금을 다른 용도로 사용하기 위해 보관했을 가능성이 높다는 것이다.

가정집에	가정집/NNG+에/JKB
수억	수억/NR
원대의	원/NNB+대/XSN+의/JKG
현금을	현금/NNG+을/JKO
보관한	보관/NNG+하/XSV+ㄴ/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
의문인	의문/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
박	박/NNP
의원이	의원/NNG+이/JKS
이사장으로	이사장/NNG+으로/JKB
있는	있/VA+는/ETM
한국학술연구원	한국학술연구원/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
기업에서	기업/NNG+에서/JKB
받은	받/VV+은/ETM
기부금을	기부금/NNG+을/JKO
다른	다른/MMD
용도로	용도/NNG+로/JKB
사용하기	사용/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
보관했을	보관/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.6.3
검찰은 돈뭉치들에 묶인 은행 띠지를 근거로 출처를 추적 중이다.

검찰은	검찰/NNG+은/JX
돈뭉치들에	돈뭉치/NNG+들/XSN+에/JKB
묶인	묶이/VV+ㄴ/ETM
은행	은행/NNG
띠지를	띠지/NNG+를/JKO
근거로	근거/NNG+로/JKB
출처를	출처/NNG+를/JKO
추적	추적/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.7.1
검찰의 박 의원 관련 수사는 크게 3가지다.

검찰의	검찰/NNG+의/JKG
박	박/NNP
의원	의원/NNG
관련	관련/NNG
수사는	수사/NNG+는/JX
크게	크/VA+게/EC
3가지다.	3/SN+가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.7.2
우선 박 의원이 2000년부터 이사장직을 맡으면서 한국학술연구원의 자금을 임의로 사용했거나, 연구원을 정치자금 모금 창구로 활용했을 가능성이다.

우선	우선/MAG
박	박/NNP
의원이	의원/NNG+이/JKS
2000년부터	2000/SN+년/NNB+부터/JX
이사장직을	이사장/NNG+직/NNG+을/JKO
맡으면서	맡/VV+으면서/EC
한국학술연구원의	한국학술연구원/NNP+의/JKG
자금을	자금/NNG+을/JKO
임의로	임의/NNG+로/JKB
사용했거나,	사용/NNG+하/XSV+았/EP+거나/EC+,/SP
연구원을	연구원/NNG+을/JKO
정치자금	정치/NNG+자금/NNG
모금	모금/NNG
창구로	창구/NNG+로/JKB
활용했을	활용/NNG+하/XSV+았/EP+을/ETM
가능성이다.	가능/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.7.3
연구원은 수년 동안 기업인 출신인 박 의원이 대표이사 사장까지 지낸 대한제당 등 20∼30개 업체로부터 협찬금과 기부금 명목으로 수십억 원을 모았다.

연구원은	연구원/NNG+은/JX
수년	수년/NNG
동안	동안/NNG
기업인	기업인/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
박	박/NNP
의원이	의원/NNG+이/JKS
대표이사	대표/NNG+이사/NNG
사장까지	사장/NNG+까지/JX
지낸	지내/VV+ㄴ/ETM
대한제당	대한제당/NNP
등	등/NNB
20∼30개	20/SN+∼/SO+30/SN+개/NNB
업체로부터	업체/NNG+로부터/JKB
협찬금과	협찬금/NNG+과/JC
기부금	기부금/NNG
명목으로	명목/NNG+으로/JKB
수십억	수십억/NR
원을	원/NNB+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.205.7.4
검찰은 연구원의 행사 비용을 과다하게 장부에 기록한 뒤 실제 비용과의 차액을 빼돌린 정황도 확인했다.

검찰은	검찰/NNG+은/JX
연구원의	연구원/NNG+의/JKG
행사	행사/NNG
비용을	비용/NNG+을/JKO
과다하게	과다/NNG+하/XSA+게/EC
장부에	장부/NNG+에/JKB
기록한	기록/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
실제	실제/NNG
비용과의	비용/NNG+과/JKB+의/JKG
차액을	차액/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
정황도	정황/NNG+도/JX
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.205.7.5
검찰은 연구원 자금 중 일부가 박 의원 개인의 정치 활동에 쓰인 흔적을 잡고 16일 연구원을 압수수색했다.

검찰은	검찰/NNG+은/JX
연구원	연구원/NNG
자금	자금/NNG
중	중/NNB
일부가	일부/NNG+가/JKS
박	박/NNP
의원	의원/NNG
개인의	개인/NNG+의/JKG
정치	정치/NNG
활동에	활동/NNG+에/JKB
쓰인	쓰이/VV+ㄴ/ETM
흔적을	흔적/NNG+을/JKO
잡고	잡/VV+고/EC
16일	16/SN+일/NNB
연구원을	연구원/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.205.8.1
보좌관의 월급을 기업에서 대신 준 의혹과 비서 월급을 정치자금으로 유용했다는 혐의, 고문료 명목이나 쪼개기 후원금 등으로 기업에서 정치자금법에 정하지 않은 방법으로 돈을 받은 의혹 등이다.

보좌관의	보좌관/NNG+의/JKG
월급을	월급/NNG+을/JKO
기업에서	기업/NNG+에서/JKB
대신	대신/NNG
준	주/VV+ㄴ/ETM
의혹과	의혹/NNG+과/JC
비서	비서/NNG
정치자금으로	정치/NNG+자금/NNG+으로/JKB
유용했다는	유용/NNG+하/XSA+았/EP+다는/ETM
혐의,	혐의/NNG+,/SP
고문료	고문료/NNG
명목이나	명목/NNG+이나/JC
쪼개기	쪼개/VV+기/ETN
후원금	후원금/NNG
등으로	등/NNB+으로/JKB
정치자금법에	정치/NNG+자금법/NNG+에/JKB
정하지	정하/VV+지/EC
않은	않/VX+은/ETM
방법으로	방법/NNG+으로/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
의혹	의혹/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.9.1
여러 의혹에 대해 박 의원은 “돈을 받지 않고 깨끗한 공천을 했다. 선거 기간에도 내 돈을 썼지 누구의 돈도 받지 않았다. 수사기관에서 빠르게 판단해 결론을 내려주기를 바란다”고 말했다.

여러	여러/MMN
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
박	박/NNP
의원은	의원/NNG+은/JX
“돈을	“/SS+돈/NNG+을/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
깨끗한	깨끗하/VA+ㄴ/ETM
공천을	공천/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF
선거	선거/NNG
기간에도	기간/NNG+에/JKB+도/JX
내	나/NP+의/JKG
돈을	돈/NNG+을/JKO
썼지	쓰/VV+었/EP+지/EC
누구의	누구/NP+의/JKG
돈도	돈/NNG+도/JX
않았다.	않/VX+았/EP+다/EF+./SF
수사기관에서	수사/NNG+기관/NNG+에서/JKB
빠르게	빠르/VA+게/EC
판단해	판단/NNG+하/XSV+아/EC
결론을	결론/NNG+을/JKO
내려주기를	내리/VV+어/EC+주/VX+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


