# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.395
metadata : {}


# id : NWRW1800000032.395.1.1
MB정부 ‘패킷감청 장비 도입’ 매해 늘어

MB정부	MB/SL+정부/NNG
김재윤 민주당 의원이 20일 방송통신위원회로부터 제출받은 국정감사 자료를 보면, 2008년 이후 올해 8월까지 판매 인가된 감청 장비는 모두 57대로, 이 가운데 46대가 패킷 감청 장비였다.

김재윤	김재윤/NNP
민주당	민주당/NNP
의원이	의원/NNG+이/JKS
20일	20/SN+일/NNB
방송통신위원회로부터	방송/NNG+통신/NNG+위원회/NNG+로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
국정감사	국정/NNG+감사/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2008년	2008/SN+년/NNB
이후	이후/NNG
올해	올해/NNG
8월까지	8/SN+월/NNB+까지/JX
판매	판매/NNG
인가된	인가/NNG+되/XSV+ㄴ/ETM
감청	감청/NNG
장비는	장비/NNG+는/JX
모두	모두/MAG
57대로,	57/SN+대/NNB+로/JKB+,/SP
이	이/NP
가운데	가운데/NNG
46대가	46/SN+대/NNB+가/JKS
패킷	패킷/NNG
장비였다.	장비/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.395.4.2
2008년에는 도입된 감청 장비 7대 가운데 패킷 감청 장비가 하나도 없었으나, 2009년 15대 가운데 13대, 2010년 24대 가운데 22대로 매년 늘었다.

2008년에는	2008/SN+년/NNB+에/JKB+는/JX
도입된	도입/NNG+되/XSV+ㄴ/ETM
감청	감청/NNG
장비	장비/NNG
7대	7/SN+대/NNB
가운데	가운데/NNG
패킷	패킷/NNG
장비가	장비/NNG+가/JKS
하나도	하나/NR+도/JX
없었으나,	없/VA+었/EP+으나/EC+,/SP
2009년	2009/SN+년/NNB
15대	15/SN+대/NNB
13대,	13/SN+대/NNB+,/SP
2010년	2010/SN+년/NNB
24대	24/SN+대/NNB
22대로	22/SN+대/NNB+로/JKB
매년	매년/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.395.4.3
올해는 지난달까지 도입된 11대의 감청 장비가 모두 패킷 감청 장비였다.

올해는	올해/NNG+는/JX
지난달까지	지난달/NNG+까지/JX
도입된	도입/NNG+되/XSV+ㄴ/ETM
11대의	11/SN+대/NNB+의/JKG
감청	감청/NNG
장비가	장비/NNG+가/JKS
모두	모두/MAG
패킷	패킷/NNG
장비였다.	장비/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.395.5.1
특히 국가기관이 방송통신위원회에 도입했다고 신고한 감청 장비는 대검찰청 3대, 국방부 2대, 관세청 1대 등 모두 6대에 불과하며, 이 가운데 패킷 장비는 관세청 1대뿐이었다.

특히	특히/MAG
국가기관이	국가/NNG+기관/NNG+이/JKS
방송통신위원회에	방송/NNG+통신/NNG+위원회/NNG+에/JKB
도입했다고	도입/NNG+하/XSV+았/EP+다고/EC
신고한	신고/NNG+하/XSV+ㄴ/ETM
감청	감청/NNG
장비는	장비/NNG+는/JX
대검찰청	대/XPN+검찰청/NNG
3대,	3/SN+대/NNB+,/SP
국방부	국방부/NNG
2대,	2/SN+대/NNB+,/SP
관세청	관세청/NNG
1대	1/SN+대/NNB
등	등/NNB
모두	모두/MAG
6대에	6/SN+대/NNB+에/JKB
불과하며,	불과/MAG+하/XSA+며/EC+,/SP
이	이/NP
가운데	가운데/NNG
패킷	패킷/NNG
1대뿐이었다.	1/SN+대/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.395.5.2
김 의원은 “패킷 감청 장비 45대를 포함한 51대는 구입처가 묘연한데, 대부분 국가정보원이나 기무사 등 정보수사기관이 도입한 것으로 보인다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“패킷	“/SS+패킷/NNG
감청	감청/NNG
장비	장비/NNG
45대를	45/SN+대/NNB+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
51대는	51/SN+대/NNB+는/JX
구입처가	구입처/NNG+가/JKS
묘연한데,	묘연하/VA+ㄴ데/EC+,/SP
대부분	대/XPN+부분/NNG
국가정보원이나	국가/NNG+정보원/NNG+이나/JC
기무사	기무사/NNG
등	등/NNB
정보수사기관이	정보/NNG+수사/NNG+기관/NNG+이/JKS
도입한	도입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.395.5.3
2009년 국정감사 때 국정원이 보유한 패킷 감청 장비가 31대라는 사실이 밝혀지기도 했다.

2009년	2009/SN+년/NNB
국정감사	국정/NNG+감사/NNG
때	때/NNG
국정원이	국정원/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
패킷	패킷/NNG
감청	감청/NNG
장비가	장비/NNG+가/JKS
31대라는	31/SN+대/NNB+이/VCP+라는/ETM
사실이	사실/NNG+이/JKS
밝혀지기도	밝혀지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.395.6.1
김 의원은 “지난해 전체 감청건수 8760건 가운데 국정원의 감청이 97%인 8391건에 달한다”며 “특히 패킷 감청은 사생활과 통신의 비밀을 무제한 침해하고 영장주의에 어긋나므로 금지해야 한다”고 말했다.

김	김/NNP
의원은	의원/NNG+은/JX
“지난해	“/SS+지난해/NNG
전체	전체/NNG
감청건수	감청/NNG+건수/NNG
8760건	8760/SN+건/NNB
가운데	가운데/NNG
국정원의	국정원/NNG+의/JKG
감청이	감청/NNG+이/JKS
97%인	97/SN+%/SW+이/VCP+ㄴ/ETM
8391건에	8391/SN+건/NNB+에/JKB
달한다”며	달하/VV+ㄴ다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
패킷	패킷/NNG
감청은	감청/NNG+은/JX
사생활과	사생활/NNG+과/JC
통신의	통신/NNG+의/JKG
비밀을	비밀/NNG+을/JKO
무제한	무/XPN+제한/NNG
침해하고	침해/NNG+하/XSV+고/EC
영장주의에	영장주의/NNG+에/JKB
어긋나므로	어긋나/VV+므로/EC
금지해야	금지/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


