# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.81
metadata : {}


# id : NWRW1800000046.81.1.1
왜군 물리쳤던 그, 호랑이 사냥에 나서다

왜군	왜군/NNG
"사냥꾼은 산 생명을 죽여 먹고사는 직업이다.

"사냥꾼은	"/SS+사냥/NNG+꾼/XSN+은/JX
산	살/VV+ㄴ/ETM
생명을	생명/NNG+을/JKO
죽여	죽이/VV+어/EC
먹고사는	먹고살/VV+는/ETM
직업이다.	직업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.6.3
그렇게 쌓인 업은 어떻게 정리하나?

그렇게	그렇/VA+게/EC
쌓인	쌓이/VV+ㄴ/ETM
업은	업/NNG+은/JX
어떻게	어떻/VA+게/EC
정리하나?	정리/NNG+하/XSV+나/EF+?/SF


# id : NWRW1800000046.81.6.4
요즘을 사는 우리에게도 시사하는 바가 크다.

요즘을	요즘/NNG+을/JKO
사는	살/VV+는/ETM
우리에게도	우리/NP+에게/JKB+도/JX
시사하는	시사/NNG+하/XSV+는/ETM
바가	바/NNB+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000046.81.6.5
언어폭력, 말이 난무하는 시대에 행동에 따르는 업에 대해 많은 생각을 하게 됐다."

언어폭력,	언어폭력/NNG+,/SP
말이	말/NNG+이/JKS
난무하는	난무/NNG+하/XSV+는/ETM
시대에	시대/NNG+에/JKB
행동에	행동/NNG+에/JKB
따르는	따르/VV+는/ETM
업에	업/NNG+에/JKB
대해	대하/VV+아/EC
많은	많/VA+은/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
됐다."	되/VV+었/EP+다/EF+./SF+"/SS


# id : NWRW1800000046.81.7.1
다음 달 16일 개봉하는 '대호'는 천만덕과 호랑이, 조선의 산이 주인공이다.

다음	다음/NNG
달	달/NNG
16일	16/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
'대호'는	'/SS+대호/NNP+'/SS+는/JX
천만덕과	천만덕/NNP+과/JC
호랑이,	호랑이/NNG+,/SP
조선의	조선/NNP+의/JKG
산이	산/NNG+이/JKS
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.7.2
지리산 산군(山君)으로 불린 대호나 천만덕은 시대와 불화한 존재들이다.

지리산	지리산/NNP
산군(山君)으로	산군/NNG+(/SS+山君/SH+)/SS+으로/JKB
불린	불리/VV+ㄴ/ETM
대호나	대호/NNG+나/JC
천만덕은	천만덕/NNP+은/JX
시대와	시대/NNG+와/JKB
불화한	불화/NNG+하/XSV+ㄴ/ETM
존재들이다.	존재/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.7.3
박훈정 감독은 "자연과 사람이 서로 존중하고 예의를 지키던 시대는 일제로 대변되는 욕망의 시대가 도래하면서 종말을 맞았다"며 "우리 민족이 경외하는 동물이었던 호랑이의 마지막 모습을 담고 싶었다"고 했다.

박훈정	박훈정/NNP
감독은	감독/NNG+은/JX
"자연과	"/SS+자연/NNG+과/JC
사람이	사람/NNG+이/JKS
서로	서로/MAG
존중하고	존중/NNG+하/XSV+고/EC
예의를	예의/NNG+를/JKO
지키던	지키/VV+던/ETM
시대는	시대/NNG+는/JX
일제로	일제/NNG+로/JKB
대변되는	대변/NNG+되/XSV+는/ETM
욕망의	욕망/NNG+의/JKG
시대가	시대/NNG+가/JKS
도래하면서	도래/NNG+하/XSV+면서/EC
종말을	종말/NNG+을/JKO
맞았다"며	맞/VV+았/EP+다/EF+"/SS+며/EC
"우리	"/SS+우리/NP
민족이	민족/NNG+이/JKS
경외하는	경외/NNG+하/XSV+는/ETM
동물이었던	동물/NNG+이/VCP+었/EP+던/ETM
호랑이의	호랑이/NNG+의/JKG
마지막	마지막/NNG
모습을	모습/NNG+을/JKO
담고	담/VV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.8.1
순제작비만 170억원에 이르는 대작이다.

순제작비만	순/MMA+제작비/NNG+만/JX
170억원에	170/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
대작이다.	대작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.8.2
폭파할 수 있는 산이 없어 세트를 만들었고 눈밭(3t)도 특수 제작했다.

폭파할	폭파/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
산이	산/NNG+이/JKS
없어	없/VA+어/EC
세트를	세트/NNG+를/JKO
만들었고	만들/VV+었/EP+고/EC
눈밭(3t)도	눈밭/NNG+(/SS+3/SN+t/SW+)/SS+도/JX
특수	특수/NNG
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.8.3
멸종한 조선 호랑이를 표현하는 게 가장 큰 과제였다.

멸종한	멸종/NNG+하/XSV+ㄴ/ETM
조선	조선/NNP
호랑이를	호랑이/NNG+를/JKO
표현하는	표현/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
과제였다.	과제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.81.8.4
무게 400㎏, 길이 3.8m에 이르는 대호의 힘과 스피드를 스크린에 담아야 했다.

무게	무게/NNG
400㎏,	400/SN+㎏/SW+,/SP
길이	길이/NNG
3.8m에	3/SN+./SP+8/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
대호의	대호/NNG+의/JKG
힘과	힘/NNG+과/JC
스피드를	스피드/NNG+를/JKO
스크린에	스크린/NNG+에/JKB
담아야	담/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.81.8.5
최민식은 "관객은 '호랑이 얼마나 잘 만들었는지 보자' 하고 오실 텐데 CG라는 생각조차 없어질 만큼 이야기의 밀도가 중요하다고 느꼈다"며 "강력한 휴먼 드라마가 이 영화를 지배하고 있다"고 말했다.

최민식은	최민식/NNP+은/JX
"관객은	"/SS+관객/NNG+은/JX
'호랑이	'/SS+호랑이/NNG
얼마나	얼마나/MAG
잘	잘/MAG
만들었는지	만들/VV+었/EP+는지/EC
보자'	보/VV+자/EF+'/SS
하고	하/VV+고/EC
오실	오/VV+시/EP+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
CG라는	CG/SL+이/VCP+라는/ETM
생각조차	생각/NNG+조차/JX
없어질	없어지/VV+ㄹ/ETM
만큼	만큼/NNB
이야기의	이야기/NNG+의/JKG
밀도가	밀도/NNG+가/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
느꼈다"며	느끼/VV+었/EP+다/EF+"/SS+며/EC
"강력한	"/SS+강력/NNG+하/XSA+ㄴ/ETM
휴먼	휴먼/NNG
드라마가	드라마/NNG+가/JKS
이	이/MMD
영화를	영화/NNG+를/JKO
지배하고	지배/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.9.1
대호를 잡아야 한다는 생각에 사로잡혀 천만덕과 부딪치는 포수 구경 역할은 배우 정만식이 맡았다.

대호를	대호/NNG+를/JKO
잡아야	잡/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
사로잡혀	사로잡히/VV+어/EC
천만덕과	천만덕/NNP+과/JKB
부딪치는	부딪치/VV+는/ETM
포수	포수/NNG
구경	구경/NNP
역할은	역할/NNG+은/JX
배우	배우/NNG
정만식이	정만식/NNP+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.9.2
최민식을 처음 만났을 때 "너 만식이니, 난 민식이야"라는 말을 들었다는 그는 "최민식 선배가 추천해 시나리오도 안 읽고 출연을 결정한 작품"이라고 전했다.

최민식을	최민식/NNP+을/JKO
처음	처음/NNG
만났을	만나/VV+았/EP+을/ETM
때	때/NNG
"너	"/SS+너/NP
만식이니,	만식/NNP+이/VCP+니/EF+,/SP
난	나/NP+ㄴ/JX
민식이야"라는	민식/NNP+이/VCP+야/EF+"/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
들었다는	듣/VV+었/EP+다는/ETM
그는	그/NP+는/JX
"최민식	"/SS+최민식/NNP
선배가	선배/NNG+가/JKS
추천해	추천/NNG+하/XSV+아/EC
시나리오도	시나리오/NNG+도/JX
안	안/MAG
읽고	읽/VV+고/EC
출연을	출연/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
작품"이라고	작품/NNG+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.9.3
총 쏘는 훈련에 대해 최민식은 "군대 3년하고 예비군까지 몇 년이냐. 대한민국 남자들은 총을 잡는 순간 본능적으로 자세가 나온다"고 장담했다.

총	총/NNG
쏘는	쏘/VV+는/ETM
훈련에	훈련/NNG+에/JKB
대해	대하/VV+아/EC
최민식은	최민식/NNP+은/JX
"군대	"/SS+군대/NNG
3년하고	3/SN+년/NNB+하고/JC
예비군까지	예비군/NNG+까지/JX
몇	몇/NR
년이냐.	년/NNB+이/VCP+냐/EF+./SF
대한민국	대한민국/NNP
남자들은	남자/NNG+들/XSN+은/JX
총을	총/NNG+을/JKO
잡는	잡/VV+는/ETM
순간	순간/NNG
본능적으로	본능/NNG+적/XSN+으로/JKB
자세가	자세/NNG+가/JKS
나온다"고	나오/VV+ㄴ다/EF+"/SS+고/JKQ
장담했다.	장담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.10.1
이 배우는 '명량'에 이어 또 한 편의 천만 영화를 품게 될까.

이	이/MMD
배우는	배우/NNG+는/JX
'명량'에	'/SS+명량/NNP+'/SS+에/JKB
이어	잇/VV+어/EC
또	또/MAG
한	한/MMN
편의	편/NNB+의/JKG
천만	천만/NR
영화를	영화/NNG+를/JKO
품게	품/VV+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000046.81.10.2
'천만덕'이라는 이름이 '천만 덕을 보겠다'는 뜻으로 비친다는 질문이 날아가자 최민식은 농으로 받아쳤다.

'천만덕'이라는	'/SS+천만덕/NNP+'/SS+이/VCP+라는/ETM
이름이	이름/NNG+이/JKS
'천만	'/SS+천만/NR
덕을	덕/NNG+을/JKO
보겠다'는	보/VV+겠/EP+다/EF+'/SS+는/ETM
뜻으로	뜻/NNG+으로/JKB
비친다는	비치/VV+ㄴ다는/ETM
질문이	질문/NNG+이/JKS
날아가자	날아가/VV+자/EC
최민식은	최민식/NNP+은/JX
농으로	농/NNG+으로/JKB
받아쳤다.	받아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.81.10.3
"천만의 말씀, 만만의 콩떡입니다."

"천만의	"/SS+천만/NNG+의/JKG
말씀,	말씀/NNG+,/SP
만만의	만만/NR+의/JKG
콩떡입니다."	콩떡/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


