# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.355
metadata : {}


# id : NWRW1800000038.355.1.1
朴대통령 외교스타일은 '경청외교'

朴대통령	朴/SH+대통령/NNG
20분간	20/SN+분/NNB+간/XSN
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.355.4.4
정부 당국자는 "박 대통령의 외교 스타일은 한마디로 '경청외교'"라며 "외국 정상과 통화를 하거나 외교사절을 접견할 때 절대로 상대방 말을 중간에 끊지 않고 끝까지 듣기 때문에 시간이 길어질 수밖에 없다"고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
"박	"/SS+박/NNP
대통령의	대통령/NNG+의/JKG
외교	외교/NNG
스타일은	스타일/NNG+은/JX
한마디로	한마디/NNG+로/JKB
'경청외교'"라며	'/SS+경청/NNG+외교/NNG+'/SS+"/SS+이/VCP+라며/EC
"외국	"/SS+외국/NNG
정상과	정상/NNG+과/JKB
통화를	통화/NNG+를/JKO
하거나	하/VV+거나/EC
외교사절을	외교/NNG+사절/NNG+을/JKO
접견할	접견/NNG+하/XSV+ㄹ/ETM
때	때/NNG
절대로	절대로/MAG
상대방	상대방/NNG
말을	말/NNG+을/JKO
중간에	중간/NNG+에/JKB
끊지	끊/VV+지/EC
않고	않/VX+고/EC
끝까지	끝/NNG+까지/JX
듣기	듣/VV+기/ETN
때문에	때문/NNB+에/JKB
시간이	시간/NNG+이/JKS
길어질	길어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.355.4.5
아무리 일정에 쫓겨도 이제 그만 일어나야 한다는 기색을 내비치는 법이 없다는 것이다.

아무리	아무리/MAG
일정에	일정/NNG+에/JKB
쫓겨도	쫓기/VV+어도/EC
이제	이제/MAG
그만	그만/MAG
일어나야	일어나/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
기색을	기색/NNG+을/JKO
내비치는	내비치/VV+는/ETM
법이	법/NNB+이/JKS
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.355.4.6
상대의 말이 끝나기를 기다린 뒤 그 말을 잘 이해했다는 표시로 한두마디를 덧붙인 뒤에야 마무리한다고 한다.

상대의	상대/NNG+의/JKG
말이	말/NNG+이/JKS
끝나기를	끝나/VV+기/ETN+를/JKO
기다린	기다리/VV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
말을	말/NNG+을/JKO
잘	잘/MAG
이해했다는	이해/NNG+하/XSV+았/EP+다는/ETM
표시로	표시/NNG+로/JKB
한두마디를	한두/MMN+마디/NNG+를/JKO
덧붙인	덧붙이/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
마무리한다고	마무리/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.355.5.1
청와대 관계자는 "박 대통령은 누군가를 만나거나 통화를 하기로 했으면 제대로 얘기를 듣고 상대 마음을 얻어야 한다고 생각하는 것 같다"고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
만나거나	만나/VV+거나/EC
통화를	통화/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했으면	하/VV+았/EP+으면/EC
제대로	제대로/MAG
얘기를	얘기/NNG+를/JKO
듣고	듣/VV+고/EC
상대	상대/NNG
마음을	마음/NNG+을/JKO
얻어야	얻/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


