# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.7
metadata : {}


# id : NWRW1800000053.7.1.1
[동행하는 한국 금융/NH농협은행]청소년 금융교육-소외계층 돕기 앞장

[동행하는	[/SS+동행/NNG+하/XSV+는/ETM
분야에서	분야/NNG+에서/JKB
봉사활동을	봉사/NNG+활동/NNG+을/JKO
펼쳐	펼치/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.7.7.2
지난해 농협은행의 봉사단은 총 18만3781시간의 봉사활동을 실시했다.

지난해	지난해/NNG
농협은행의	농협은행/NNP+의/JKG
봉사단은	봉사단/NNG+은/JX
총	총/MMA
18만3781시간의	18/SN+만/NR+3781/SN+시간/NNB+의/JKG
봉사활동을	봉사/NNG+활동/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.7.3
이경섭 농협은행장은 “농협은행은 순수 국내자본 은행으로 농업인과 지역 사회의 든든한 동반자가 돼 왔다.

이경섭	이경섭/NNP
농협은행장은	농협은행장/NNG+은/JX
“농협은행은	“/SS+농협은행/NNP+은/JX
순수	순수/NNG
국내자본	국내/NNG+자본/NNG
은행으로	은행/NNG+으로/JKB
농업인과	농업인/NNG+과/JC
지역	지역/NNG
사회의	사회/NNG+의/JKG
든든한	든든하/VA+ㄴ/ETM
동반자가	동반자/NNG+가/JKC
돼	되/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.7.7.4
앞으로도 임직원의 정성과 마음을 더해 활발한 사회공헌 활동을 펼치겠다”고 밝혔다.

앞으로도	앞/NNG+으로/JKB+도/JX
임직원의	임직원/NNG+의/JKG
정성과	정성/NNG+과/JC
마음을	마음/NNG+을/JKO
더해	더/MAG+하/XSV+아/EC
활발한	활발하/VA+ㄴ/ETM
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
펼치겠다”고	펼치/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


