# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.256
metadata : {}


# id : NWRW1800000041.256.1.1
[인천아시아경기]이종호 쓰러지자 이광종호 일어섰다

[인천아시아경기]이종호	[/SS+인천/NNP+아시아/NNP+경기/NNG+]/SS+이종호/NNP
슛	슛/NNG
기회를	기회/NNG+를/JKO
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.5.4
오히려 후반 31분 일본의 야지마 신야에게 역습을 허용했으나 골키퍼 김승규(24·울산)의 선방이 빛났다.

오히려	오히려/MAG
후반	후반/NNG
31분	31/SN+분/NNB
일본의	일본/NNP+의/JKG
야지마	야지마/NNP
신야에게	신야/NNP+에게/JKB
역습을	역습/NNG+을/JKO
허용했으나	허용/NNG+하/XSV+았/EP+으나/EC
골키퍼	골키퍼/NNG
김승규(24·울산)의	김승규/NNP+(/SS+24/SN+·/SP+울산/NNP+)/SS+의/JKG
선방이	선방/NNG+이/JKS
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.6.1
극적인 페널티킥으로 승기를 잡은 대표팀은 전방에서 오랫동안 볼을 빼앗기지 않은 이종호의 플레이에 힘입어 종료 때까지 별다른 역습을 허용하지 않았다.

극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
페널티킥으로	페널티/NNG+킥/NNG+으로/JKB
승기를	승기/NNG+를/JKO
잡은	잡/VV+은/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
전방에서	전방/NNG+에서/JKB
오랫동안	오랫동안/NNG
볼을	볼/NNG+을/JKO
빼앗기지	빼앗기/VV+지/EC
않은	않/VX+은/ETM
이종호의	이종호/NNP+의/JKG
플레이에	플레이/NNG+에/JKB
힘입어	힘입/VV+어/EC
종료	종료/NNG
때까지	때/NNG+까지/JX
별다른	별다르/VA+ㄴ/ETM
역습을	역습/NNG+을/JKO
허용하지	허용/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.256.6.2
이광종 감독은 “전반에는 일본 수비가 무너지지 않았는데 후반에 와서 우리 팀이 체력적으로 앞서다 보니 공간이나 기회가 많이 생겼다”고 말했다.

이광종	이광종/NNP
감독은	감독/NNG+은/JX
“전반에는	“/SS+전반/NNG+에/JKB+는/JX
일본	일본/NNP
수비가	수비/NNG+가/JKS
무너지지	무너지/VV+지/EC
않았는데	않/VX+았/EP+는데/EC
후반에	후반/NNG+에/JKB
와서	오/VV+아서/EC
우리	우리/NP
팀이	팀/NNG+이/JKS
체력적으로	체력/NNG+적/XSN+으로/JKB
앞서다	앞서/VV+다/EC
보니	보/VX+니/EC
공간이나	공간/NNG+이나/JC
기회가	기회/NNG+가/JKS
많이	많이/MAG
생겼다”고	생기/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.7.1
아시아경기 4회 연속 준결승에 진출한 대표팀은 요르단을 2-0으로 꺾고 올라온 태국과 30일 오후 8시 인천 문학월드컵경기장에서 결승 진출을 놓고 격돌한다.

아시아경기	아시아/NNP+경기/NNG
4회	4/SN+회/NNB
연속	연속/NNG
준결승에	준/XPN+결승/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
요르단을	요르단/NNP+을/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
올라온	올라오/VV+ㄴ/ETM
태국과	태국/NNP+과/JKB
30일	30/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
인천	인천/NNP
문학월드컵경기장에서	문학월드컵경기장/NNP+에서/JKB
결승	결승/NNG
진출을	진출/NNG+을/JKO
놓고	놓/VV+고/EC
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.256.7.2
부상 때문에 일본전에 뛰지 않은 김신욱(26·울산)이 정상 출격한다.

부상	부상/NNG
때문에	때문/NNB+에/JKB
일본전에	일본전/NNG+에/JKB
뛰지	뛰/VV+지/EC
않은	않/VX+은/ETM
김신욱(26·울산)이	김신욱/NNP+(/SS+26/SN+·/SP+울산/NNP+)/SS+이/JKS
정상	정상/NNG
출격한다.	출격/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.256.7.3
대표팀이 태국을 꺾고 결승전에 오를 경우 북한-이라크 승자와 10월 2일 결승전을 벌인다.

대표팀이	대표/NNG+팀/NNG+이/JKS
태국을	태국/NNP+을/JKO
꺾고	꺾/VV+고/EC
결승전에	결승전/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
경우	경우/NNG
북한-이라크	북한/NNP+-/SO+이라크/NNP
승자와	승자/NNG+와/JKB
10월	10/SN+월/NNB
2일	2/SN+일/NNB
결승전을	결승전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


