# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.344
metadata : {}


# id : NWRW1800000046.344.1.1
[세월호 1주기] 유족 "특별조사委, 정부 하부조직 전락… 진상규명 어려워" 새누리 "정부와 협의해 특별법 시행령 수정 요구하겠다"

[세월호	[/SS+세월호/NNP
시행령안대로라면	시행령안/NNG+대로/JX+이/VCP+라면/EC
세월호참사특별조사위원회(특조위)가	세월호참사특별조사위원회/NNP+(/SS+특조위/NNG+)/SS+가/JKS
정부의	정부/NNG+의/JKG
하부	하부/NNG
조직으로	조직/NNG+으로/JKB
전락해	전락/NNG+하/XSV+아/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
진상	진상/NNG
규명이	규명/NNG+이/JKS
어렵다는	어렵/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.344.4.1
시행령안은 특조위 사무처에 1실·1국·2과를 설치하고 상임위원 5명을 포함해 90명을 두도록 했다.

시행령안은	시행령안/NNG+은/JX
특조위	특조위/NNG
사무처에	사무처/NNG+에/JKB
1실·1국·2과를	1/SN+실/NNG+·/SP+1/SN+국/NNG+·/SP+2/SN+과/NNG+를/JKO
설치하고	설치/NNG+하/XSV+고/EC
상임위원	상임/NNG+위원/NNG
5명을	5/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
90명을	90/SN+명/NNB+을/JKO
두도록	두/VV+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.4.2
당초 특조위 설립 준비단이 요청했던 '3국·1과, 정원 125명'에 비해 규모가 축소됐다.

당초	당초/NNG
특조위	특조위/NNG
설립	설립/NNG
준비단이	준비단/NNG+이/JKS
요청했던	요청/NNG+하/XSV+았/EP+던/ETM
'3국·1과,	'/SS+3국/NNG+·/SP+1/SN+과/NNG+,/SP
정원	정원/NNG
125명'에	125/SN+명/NNB+'/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
규모가	규모/NNG+가/JKS
축소됐다.	축소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.344.4.3
유족들은 특조위에 파견될 공무원 42명 가운데 9명이 해양수산부 공무원, 8명이 국민안전처 출신으로 정해진 것도 받아들일 수 없다고 했다.

유족들은	유족/NNG+들/XSN+은/JX
특조위에	특조위/NNG+에/JKB
파견될	파견/NNG+되/XSV+ㄹ/ETM
공무원	공무원/NNG
42명	42/SN+명/NNB
가운데	가운데/NNG
9명이	9/SN+명/NNB+이/JKS
해양수산부	해양/NNG+수산부/NNG
공무원,	공무원/NNG+,/SP
8명이	8/SN+명/NNB+이/JKS
국민안전처	국민/NNG+안전처/NNG
출신으로	출신/NNG+으로/JKB
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
것도	것/NNB+도/JX
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.4.4
유족들은 특조위의 업무도 '정부의 조사 결과 분석'에 한정돼 있어 사실상 특조위가 할 수 있는 게 없다고 했다.

유족들은	유족/NNG+들/XSN+은/JX
특조위의	특조위/NNG+의/JKG
업무도	업무/NNG+도/JX
'정부의	'/SS+정부/NNG+의/JKG
조사	조사/NNG
결과	결과/NNG
분석'에	분석/NNG+'/SS+에/JKB
한정돼	한정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
사실상	사실/NNG+상/XSN
특조위가	특조위/NNG+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.5.1
4·16 세월호가족협의회 관계자는 "조사를 받아야 할 대상이 조사 주체가 된 꼴로 특조위의 독립성이 전혀 보장되지 않는다"고 했다.

4·16	4/SN+·/SP+16/SN
세월호가족협의회	세월호가족협의회/NNP
관계자는	관계자/NNG+는/JX
"조사를	"/SS+조사/NNG+를/JKO
받아야	받/VV+아야/EC
할	하/VX+ㄹ/ETM
대상이	대상/NNG+이/JKS
조사	조사/NNG
주체가	주체/NNG+가/JKC
된	되/VV+ㄴ/ETM
꼴로	꼴/NNG+로/JKB
특조위의	특조위/NNG+의/JKG
독립성이	독립/NNG+성/XSN+이/JKS
전혀	전혀/MAG
보장되지	보장/NNG+되/XSV+지/EC
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.5.2
유족들은 또 박근혜 대통령이 최근 세월호 인양을 적극 검토하겠다고 밝힌 것에 대해서도 "인양 방침을 공식 선언하라"고 했다.

유족들은	유족/NNG+들/XSN+은/JX
또	또/MAG
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
최근	최근/MAG
세월호	세월호/NNP
인양을	인양/NNG+을/JKO
적극	적극/NNG
검토하겠다고	검토/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"인양	"/SS+인양/NNG
방침을	방침/NNG+을/JKO
공식	공식/NNG
선언하라"고	선언/NNG+하/XSV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.6.1
이에 대해 새누리당 김무성 대표는 이날 "정부와 협의해 시행령 수정을 요구하겠다"고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
새누리당	새누리당/NNP
김무성	김무성/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
"정부와	"/SS+정부/NNG+와/JKB
협의해	협의/NNG+하/XSV+아/EC
시행령	시행령/NNG
수정을	수정/NNG+을/JKO
요구하겠다"고	요구/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.6.2
이에 따라 새누리당은 17일 예정된 세월호 참사 1주기 안전 대책 종합 점검 당정 회의에서 세월호특별법 시행령을 부분 수정하는 문제를 논의할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
새누리당은	새누리당/NNP+은/JX
17일	17/SN+일/NNB
예정된	예정/NNG+되/XSV+ㄴ/ETM
세월호	세월호/NNP
참사	참사/NNG
1주기	1/SN+주기/NNB
안전	안전/NNG
대책	대책/NNG
종합	종합/NNG
점검	점검/NNG
당정	당정/NNG
회의에서	회의/NNG+에서/JKB
세월호특별법	세월호/NNP+특별법/NNG
시행령을	시행령/NNG+을/JKO
부분	부분/NNG
수정하는	수정/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.344.6.3
새누리당 고위 관계자는 "세월호특별조사위원회가 시행령에 대해 수정을 요구하는 사안이 일부 타당성이 있어 긍정적으로 (수정을) 검토하고 있다"며 "특위에 파견하는 공무원의 비율과 전체 정원 등을 조정하는 방안을 논의하고 있다"고 말했다.

새누리당	새누리당/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"세월호특별조사위원회가	"/SS+세월호특별조사위원회/NNP+가/JKS
시행령에	시행령/NNG+에/JKB
대해	대하/VV+아/EC
수정을	수정/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
사안이	사안/NNG+이/JKS
일부	일부/NNG
타당성이	타당성/NNG+이/JKS
있어	있/VA+어/EC
긍정적으로	긍정/NNG+적/XSN+으로/JKB
(수정을)	(/SS+수정/NNG+을/JKO+)/SS
검토하고	검토/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"특위에	"/SS+특위/NNG+에/JKB
파견하는	파견/NNG+하/XSV+는/ETM
공무원의	공무원/NNG+의/JKG
비율과	비율/NNG+과/JC
전체	전체/NNG
정원	정원/NNG
등을	등/NNB+을/JKO
조정하는	조정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


