# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.236
metadata : {}


# id : NWRW1800000036.236.1.1
‘주말 교육프로그램’ 171가지 체험해볼까

‘주말	‘/SS+주말/NNG
예술로에는	예술/NNG+로/JKB+에/JKB+는/JX
디자인	디자인/NNG
악기	악기/NNG
교육,	교육/NNG+,/SP
점토그릇	점토/NNG+그릇/NNG
만들기,	만들/VV+기/ETN+,/SP
천연염색	천연/NNG+염색/NNG
체험과	체험/NNG+과/JC
아이패드를	아이패드/NNP+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
만화예술교육	만화/NNG+예술/NNG+교육/NNG
등이	등/NNB+이/JKS
준비됐다.	준비/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.236.5.2
지혜로에서는 역사교실, 지구 장례식 퍼포먼스, 책 읽는 버스 타고 떠나는 책 여행, 선사시대 도구 체험 등을, 창의로에서는 신재생에너지 체험, 천문 우주 체험, 창의적 수학 체험, 혈액형 디엔에이(DNA) 팔찌 만들기, 전자키트 만들기 등을 즐길 수 있다.

지혜로에서는	지혜/NNG+로/JKB+에서/JKB+는/JX
역사교실,	역사/NNG+교실/NNG+,/SP
지구	지구/NNG
장례식	장례식/NNG
퍼포먼스,	퍼포먼스/NNG+,/SP
책	책/NNG
읽는	읽/VV+는/ETM
버스	버스/NNG
타고	타/VV+고/EC
떠나는	떠나/VV+는/ETM
여행,	여행/NNG+,/SP
선사시대	선사/NNG+시대/NNG
도구	도구/NNG
체험	체험/NNG
등을,	등/NNB+을/JKO+,/SP
창의로에서는	창의/NNG+로/JKB+에서/JKB+는/JX
신재생에너지	신/XPN+재생/NNG+에너지/NNG
체험,	체험/NNG+,/SP
천문	천문/NNG
우주	우주/NNG
창의적	창의/NNG+적/XSN
수학	수학/NNG
혈액형	혈액/NNG+형/XSN
디엔에이(DNA)	디엔에이/NNG+(/SS+DNA/SL+)/SS
팔찌	팔찌/NNG
만들기,	만들/VV+기/ETN+,/SP
전자키트	전자/NNG+키트/NNG
만들기	만들/VV+기/ETN
등을	등/NNB+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.236.6.1
또 교육 기부자와 수혜자를 온라인으로 맺어주는 교육 기부 매칭 프로그램도 선보인다.

또	또/MAG
교육	교육/NNG
기부자와	기부자/NNG+와/JC
수혜자를	수혜자/NNG+를/JKO
온라인으로	온라인/NNG+으로/JKB
맺어주는	맺/VV+어/EC+주/VX+는/ETM
기부	기부/NNG
매칭	매칭/NNG
프로그램도	프로그램/NNG+도/JX
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.236.6.2
이 프로그램은 연중 운영된다.

이	이/MMD
프로그램은	프로그램/NNG+은/JX
연중	연중/NNG
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.236.6.3
행사 기간 부대행사로 성격유형 검사(MBTI)와 다채로운 공연, 강의 등이 무료로 진행된다.

행사	행사/NNG
기간	기간/NNG
부대행사로	부대/NNG+행사/NNG+로/JKB
성격유형	성격/NNG+유형/NNG
검사(MBTI)와	검사/NNG+(/SS+MBTI/SL+)/SS+와/JC
다채로운	다채롭/VA+ㄴ/ETM
공연,	공연/NNG+,/SP
강의	강의/NNG
등이	등/NNB+이/JKS
무료로	무료/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.236.7.1
이한규 경기도 평생교육국장은 “‘한 아이를 키우려면 온 마을이 필요하다’는 격언처럼 자녀교육에 지역사회의 구실이 중요하다”며 “박람회를 통해 지방자치단체와 학생·학부모, 지역사회가 함께하는 프로그램이 활성화되길 기대한다”고 말했다.

이한규	이한규/NNP
경기도	경기도/NNP
평생교육국장은	평생/NNG+교육국장/NNG+은/JX
“‘한	“/SS+‘/SS+한/MMN
아이를	아이/NNG+를/JKO
키우려면	키우/VV+려면/EC
온	온/MMN
마을이	마을/NNG+이/JKS
필요하다’는	필요/NNG+하/XSA+다/EF+’/SS+는/ETM
격언처럼	격언/NNG+처럼/JKB
자녀교육에	자녀/NNG+교육/NNG+에/JKB
지역사회의	지역/NNG+사회/NNG+의/JKG
구실이	구실/NNG+이/JKS
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“박람회를	“/SS+박람회/NNG+를/JKO
통해	통하/VV+아/EC
지방자치단체와	지방/NNG+자치/NNG+단체/NNG+와/JC
학생·학부모,	학생/NNG+·/SP+학부모/NNG+,/SP
지역사회가	지역/NNG+사회/NNG+가/JKS
함께하는	함께/MAG+하/XSV+는/ETM
프로그램이	프로그램/NNG+이/JKS
활성화되길	활성/NNG+화/XSN+되/XSV+기/ETN+ㄹ/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


