# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.142
metadata : {}


# id : NWRW1800000028.142.1.1
호숫가는 반짝 /꽃향기가 솔솔

호숫가는	호숫가/NNG+는/JX
보석풍뎅이	보석풍뎅이/NNG
등이	등/NNB+이/JKS
관람객의	관람객/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.142.3.4
또 호랑이·기린·사슴·공작·활강하는 스케이트보더 등 갖가지 모양의 꽃 조형물과 3000여그루의 장미정원, 1만2000포기의 튤립정원은 보는 이에게 큰 기쁨을 선사한다.

또	또/MAG
호랑이·기린·사슴·공작·활강하는	호랑이/NNG+·/SP+기린/NNG+·/SP+사슴/NNG+·/SP+공작/NNG+·/SP+활강/NNG+하/XSV+는/ETM
스케이트보더	스케이트보더/NNG
등	등/NNB
갖가지	갖가지/NNG
모양의	모양/NNG+의/JKG
꽃	꽃/NNG
조형물과	조형물/NNG+과/JC
3000여그루의	3000/SN+여/XSN+그루/NNB+의/JKG
장미정원,	장미/NNG+정원/NNG+,/SP
1만2000포기의	1/SN+만/NR+2000/SN+포기/NNG+의/JKG
튤립정원은	튤립/NNG+정원/NNG+은/JX
보는	보/VV+는/ETM
이에게	이/NNB+에게/JKB
큰	크/VA+ㄴ/ETM
기쁨을	기쁨/NNG+을/JKO
선사한다.	선사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.142.3.5
고양국제꽃박람회 쪽은 대중교통을 이용한 관람객에게 입장료를 6000원에서 5000원으로, 학생은 4000원에서 3000원으로 1000원씩 할인해주고 있다.

고양국제꽃박람회	고양/NNP+국제/NNG+꽃/NNG+박람회/NNG
쪽은	쪽/NNB+은/JX
대중교통을	대중교통/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
관람객에게	관람객/NNG+에게/JKB
입장료를	입장료/NNG+를/JKO
6000원에서	6000/SN+원/NNB+에서/JKB
5000원으로,	5000/SN+원/NNB+으로/JKB+,/SP
학생은	학생/NNG+은/JX
4000원에서	4000/SN+원/NNB+에서/JKB
3000원으로	3000/SN+원/NNB+으로/JKB
1000원씩	1000/SN+원/NNB+씩/XSN
할인해주고	할인/NNG+하/XSV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.142.4.1
꽃보다 음악이 좋은 사람은 일산호수공원의 대표적인 명소인 ‘노래하는 분수대’를 찾아가보자.

꽃보다	꽃/NNG+보다/JKB
음악이	음악/NNG+이/JKS
좋은	좋/VA+은/ETM
사람은	사람/NNG+은/JX
일산호수공원의	일산호수공원/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
명소인	명소/NNG+이/VCP+ㄴ/ETM
‘노래하는	‘/SS+노래/NNG+하/XSV+는/ETM
분수대’를	분수대/NNG+’/SS+를/JKO
찾아가보자.	찾아가/VV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000028.142.4.2
힘찬 물줄기, 화려한 조명 속에 흐르는 감미로운 선율은 색다른 추억을 안겨준다.

힘찬	힘차/VA+ㄴ/ETM
물줄기,	물줄기/NNG+,/SP
화려한	화려하/VA+ㄴ/ETM
조명	조명/NNG
속에	속/NNG+에/JKB
흐르는	흐르/VV+는/ETM
감미로운	감미/NNG+롭/XSA+ㄴ/ETM
선율은	선율/NNG+은/JX
색다른	색다르/VA+ㄴ/ETM
추억을	추억/NNG+을/JKO
안겨준다.	안기/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.142.4.3
꽃전시회 기간에 노래하는 분수대는 매일 저녁 7시30분~8시30분 열린다.

꽃전시회	꽃/NNG+전시회/NNG
기간에	기간/NNG+에/JKB
노래하는	노래/NNG+하/XSV+는/ETM
분수대는	분수대/NNG+는/JX
매일	매일/MAG
저녁	저녁/NNG
7시30분~8시30분	7/SN+시/NNB+30/SN+분/NNB+~/SO+8/SN+시/NNB+30/SN+분/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.142.5.1
우지환 고양국제꽃박람회 운영본부장은 “수출계약은 목표했던 500만달러를 무난히 달성할 것으로 보이지만, 변덕스런 날씨 때문에 관람객 수는 25만명을 못 채울 것 같다”며 “남녀노소 누구나 편안하게 즐길 수 있도록 편의시설을 갖췄으니 찾아와서 꽃향기와 함께 행복을 가득 담아가기 바란다”고 말했다.

우지환	우지환/NNP
고양국제꽃박람회	고양/NNP+국제/NNG+꽃/NNG+박람회/NNG
운영본부장은	운영/NNG+본부장/NNG+은/JX
“수출계약은	“/SS+수출/NNG+계약/NNG+은/JX
목표했던	목표/NNG+하/XSV+았/EP+던/ETM
500만달러를	500/SN+만/NR+달러/NNB+를/JKO
무난히	무난히/MAG
달성할	달성/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이지만,	보이/VV+지만/EC+,/SP
변덕스런	변덕/NNG+스럽/XSA+ㄴ/ETM
날씨	날씨/NNG
때문에	때문/NNB+에/JKB
관람객	관람객/NNG
수는	수/NNG+는/JX
25만명을	25/SN+만/NR+명/NNB+을/JKO
못	못/MAG
채울	채우/VV+ㄹ/ETM
것	것/NNB
같다”며	같/VA+다/EF+”/SS+며/EC
“남녀노소	“/SS+남녀노소/NNG
누구나	누구/NP+나/JX
편안하게	편안/NNG+하/XSA+게/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편의시설을	편의/NNG+시설/NNG+을/JKO
갖췄으니	갖추/VV+었/EP+으니/EC
찾아와서	찾아오/VV+아서/EC
꽃향기와	꽃향기/NNG+와/JKB
함께	함께/MAG
행복을	행복/NNG+을/JKO
가득	가득/MAG
담아가기	담/VV+아/EC+가/VV+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.142.5.2
(031)908-7750.

(031)908-7750.	(/SS+031/SN+)/SS+908/SN+-/SO+7750/SN+./SF


