# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.337
metadata : {}


# id : NWRW1800000046.337.1.1
[복지 재정 구조조정] 중앙부처 360가지·地自體 1만가지 '누더기 복지' 손본다

[복지	[/SS+복지/NNG
정부는	정부/NNG+는/JX
올해	올해/NNG
복지	복지/NNG
재정	재정/NNG
115조원을	115/SN+조/NR+원/NNB+을/JKO
360개	360/SN+개/NNB
사업에	사업/NNG+에/JKB
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.337.6.2
하지만 유사·중복된 것이 많아 재정을 허투루 쓴다는 지적도 많다.

하지만	하지만/MAJ
유사·중복된	유사/NNG+·/SP+중복/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
많아	많/VA+아/EC
재정을	재정/NNG+을/JKO
허투루	허투루/MAG
쓴다는	쓰/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.337.7.1
서울에 사는 이모(17)양은 임신하자 의료비 카드를 2개나 지원받았다.

서울에	서울/NNP+에/JKB
사는	살/VV+는/ETM
이모(17)양은	이/NNP+모/NP+(/SS+17/SN+)/SS+양/NNB+은/JX
임신하자	임신/NNG+하/XSV+자/EC
의료비	의료비/NNG
카드를	카드/NNG+를/JKO
2개나	2/SN+개/NNB+나/JX
지원받았다.	지원/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.7.2
한 개는 임신부 건강관리를 위해 산부인과 등에서 쓰는 고운맘카드(50만원)였고 다른 하나는 18세 미만 청소년 산모 의료비로 지원하는 맘편한카드(120만원)였다.

한	한/MMN
개는	개/NNB+는/JX
임신부	임신부/NNG
건강관리를	건강/NNG+관리/NNG+를/JKO
위해	위하/VV+아/EC
산부인과	산부인과/NNG
등에서	등/NNB+에서/JKB
쓰는	쓰/VV+는/ETM
고운맘카드(50만원)였고	고운맘카드/NNG+(/SS+50/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+고/EC
다른	다른/MMD
하나는	하나/NR+는/JX
18세	18/SN+세/NNB
미만	미만/NNG
청소년	청소년/NNG
산모	산모/NNG
의료비로	의료비/NNG+로/JKB
지원하는	지원/NNG+하/XSV+는/ETM
맘편한카드(120만원)였다.	맘편한카드/NNG+(/SS+120/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.337.7.3
청소년은 두 카드를 모두 받을 수 있다.

청소년은	청소년/NNG+은/JX
두	두/MMN
카드를	카드/NNG+를/JKO
모두	모두/MAG
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.337.7.4
두 카드는 모두 복지부 예산에서 나오지만 고운맘카드는 보험급여과에서 담당하고, 맘편한카드는 출산정책과에서 서로 경쟁적으로 만들었다.

두	두/MMN
카드는	카드/NNG+는/JX
모두	모두/MAG
복지부	복지부/NNG
예산에서	예산/NNG+에서/JKB
나오지만	나오/VV+지만/EC
고운맘카드는	고운맘카드/NNG+는/JX
보험급여과에서	보험/NNG+급여과/NNG+에서/JKB
담당하고,	담당/NNG+하/XSV+고/EC+,/SP
맘편한카드는	맘편한카드/NNG+는/JX
출산정책과에서	출산/NNG+정책/NNG+과/JKB+에서/JKB
서로	서로/MAG
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.337.8.1
김진수 연세대 교수는 "복지제도를 잘 알고 있는 사람은 중복 복지제도로 두 가지 복지 혜택을 누릴 수 있다"며 "그러나 복지제도를 잘 알지 못하는 취약 계층은 송파 세 모녀처럼 혜택이 절실한데도 도움을 받지 못하게 된다"고 지적했다.

김진수	김진수/NNP
연세대	연세대/NNP
교수는	교수/NNG+는/JX
"복지제도를	"/SS+복지/NNG+제도/NNG+를/JKO
잘	잘/MAG
알고	알/VV+고/EC
있는	있/VX+는/ETM
사람은	사람/NNG+은/JX
중복	중복/NNG
복지제도로	복지/NNG+제도/NNG+로/JKB
두	두/MMN
가지	가지/NNB
복지	복지/NNG
혜택을	혜택/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"그러나	"/SS+그러나/MAJ
복지제도를	복지/NNG+제도/NNG+를/JKO
알지	알/VV+지/EC
못하는	못하/VX+는/ETM
취약	취약/NNG
계층은	계층/NNG+은/JX
송파	송파/NNP
세	세/MMN
모녀처럼	모녀/NNG+처럼/JKB
혜택이	혜택/NNG+이/JKS
절실한데도	절실하/VA+ㄴ데/EC+도/JX
도움을	도움/NNG+을/JKO
받지	받/VV+지/EC
못하게	못하/VX+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.9.1
정부는 이에 따라 360개 중 48개를 우선 통합하거나 운영 방식을 개선하기로 했다.

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
360개	360/SN+개/NNB
중	중/NNB
48개를	48/SN+개/NNB+를/JKO
우선	우선/MAG
통합하거나	통합/NNG+하/XSV+거나/EC
운영	운영/NNG
방식을	방식/NNG+을/JKO
개선하기로	개선/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.10.1
◇지자체마다 복지 제도 남발

◇지자체마다	◇/SW+지자체/NNG+마다/JX
복지	복지/NNG
제도	제도/NNG
남발	남발/NNG


# id : NWRW1800000046.337.11.1
정부의 복지 재정이 115조원에 달하지만 지자체들도 1만여개 복지 제도를 유지하면서 예산도 33조원을 쓰고 있다.

정부의	정부/NNG+의/JKG
복지	복지/NNG
재정이	재정/NNG+이/JKS
115조원에	115/SN+조/NR+원/NNB+에/JKB
달하지만	달하/VV+지만/EC
지자체들도	지자체/NNG+들/XSN+도/JX
1만여개	1/SN+만/NR+여/XSN+개/NNB
제도를	제도/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
예산도	예산/NNG+도/JX
33조원을	33/SN+조/NR+원/NNB+을/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.337.12.1
지자체들은 복지 재정 때문에 돈이 없다고 아우성이지만, 중앙정부의 복지 제도와 유사한 선심성 복지 제도가 많아 이중 지원한다는 지적이 나온다.

지자체들은	지자체/NNG+들/XSN+은/JX
복지	복지/NNG
재정	재정/NNG
때문에	때문/NNB+에/JKB
돈이	돈/NNG+이/JKS
없다고	없/VA+다고/EC
아우성이지만,	아우성/NNG+이/VCP+지만/EC+,/SP
중앙정부의	중앙/NNG+정부/NNG+의/JKG
제도와	제도/NNG+와/JC
유사한	유사/NNG+하/XSA+ㄴ/ETM
선심성	선심/NNG+성/XSN
제도가	제도/NNG+가/JKS
많아	많/VA+아/EC
이중	이중/NNG
지원한다는	지원/NNG+하/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.337.13.1
전남 영광군은 87세 이상 노인들에게 월 10만원씩 장수 수당을 지급한다.

전남	전남/NNP
영광군은	영광군/NNP+은/JX
87세	87/SN+세/NNB
이상	이상/NNG
노인들에게	노인/NNG+들/XSN+에게/JKB
월	월/NNG
10만원씩	10/SN+만/NR+원/NNB+씩/XSN
장수	장수/NNG
수당을	수당/NNG+을/JKO
지급한다.	지급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.337.13.2
해당 노인들은 정부가 주는 기초연금 20만원에 장수 수당을 합쳐 월 30만원을 받고 있다.

해당	해당/NNG
노인들은	노인/NNG+들/XSN+은/JX
정부가	정부/NNG+가/JKS
주는	주/VV+는/ETM
기초연금	기초/NNG+연금/NNG
20만원에	20/SN+만/NR+원/NNB+에/JKB
장수	장수/NNG
수당을	수당/NNG+을/JKO
합쳐	합치/VV+어/EC
월	월/NNG
30만원을	30/SN+만/NR+원/NNB+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.337.13.3
장수 수당은 군수의 공약 사항으로 5만원씩 주던 것을 10만원으로 올린 것이다.

장수	장수/NNG
수당은	수당/NNG+은/JX
군수의	군수/NNG+의/JKG
공약	공약/NNG
사항으로	사항/NNG+으로/JKB
5만원씩	5/SN+만/NR+원/NNB+씩/XSN
주던	주/VV+던/ETM
것을	것/NNB+을/JKO
10만원으로	10/SN+만/NR+원/NNB+으로/JKB
올린	올리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.337.13.4
이런 장수 수당을 3만~10만원씩 주는 곳이 전체 시군구의 절반에 가까운 112곳으로 예산도 500억원에 달한다.

이런	이런/MMD
장수	장수/NNG
수당을	수당/NNG+을/JKO
3만~10만원씩	3/SN+만/NR+~/SO+10/SN+만/NR+원/NNB+씩/XSN
주는	주/VV+는/ETM
곳이	곳/NNG+이/JKS
전체	전체/NNG
시군구의	시군구/NNG+의/JKG
절반에	절반/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
112곳으로	112/SN+곳/NNG+으로/JKB
예산도	예산/NNG+도/JX
500억원에	500/SN+억/NR+원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.337.14.1
정부는 이에 따라 중앙정부와 유사한 복지 사업은 정비하도록 적극적으로 권고할 방침이다.

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
중앙정부와	중앙/NNG+정부/NNG+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
복지	복지/NNG
사업은	사업/NNG+은/JX
정비하도록	정비/NNG+하/XSV+도록/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
권고할	권고/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.337.14.2
정부는 지자체 70곳을 대상으로 다음 달까지 과도한 선심성 복지 예산 집행에 대해 강도 높은 감사를 실시할 계획이다.

정부는	정부/NNG+는/JX
지자체	지자체/NNG
70곳을	70/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
다음	다음/NNG
달까지	달/NNG+까지/JX
과도한	과도/NNG+하/XSA+ㄴ/ETM
선심성	선심/NNG+성/XSN
복지	복지/NNG
예산	예산/NNG
집행에	집행/NNG+에/JKB
대해	대하/VV+아/EC
강도	강도/NNG
높은	높/VA+은/ETM
감사를	감사/NNG+를/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


