# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.409
metadata : {}


# id : NWRW1800000029.409.1.1
[수도권]파주시 “이화여대, 캠퍼스 계속 추진을”

[수도권]파주시	[/SS+수도/NNG+권/XSN+]/SS+파주시/NNP
신촌역	신촌역/NNP
일대에서	일대/NNG+에서/JKB
거리행진과	거리/NNG+행진/NNG+과/JC
집회를	집회/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
캠퍼스	캠퍼스/NNG
조성사업	조성/NNG+사업/NNG
백지화	백지/NNG+화/XSN
철회	철회/NNG
및	및/MAG
사업	사업/NNG
재개를	재개/NNG+를/JKO
이화여대	이화여대/NNP
측에	측/NNB+에/JKB
촉구할	촉구/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.409.3.5
또 파주지역 41개 시민사회단체로 이뤄진 ‘이대 파주캠퍼스 포기 범시민대책위원회’는 26일부터 10만 서명운동을 시작했다.

또	또/MAG
파주지역	파주/NNP+지역/NNG
41개	41/SN+개/NNB
시민사회단체로	시민/NNG+사회단체/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
‘이대	‘/SS+이대/NNP
파주캠퍼스	파주/NNP+캠퍼스/NNG
포기	포기/NNG
범시민대책위원회’는	범/XPN+시민/NNG+대책/NNG+위원회/NNG+’/SS+는/JX
26일부터	26/SN+일/NNB+부터/JX
10만	10/SN+만/NR
서명운동을	서명/NNG+운동/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.409.4.1
파주시의 대응도 빨라지고 있다.

파주시의	파주시/NNP+의/JKG
대응도	대응/NNG+도/JX
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.409.4.2
이인재 파주시장은 이화여대 총학생회장에게 30일 오후 파주캠퍼스 사업 포기 관련 공개토론을 열자고 제안했다.

이인재	이인재/NNP
파주시장은	파주시장/NNG+은/JX
이화여대	이화여대/NNP
총학생회장에게	총학생회장/NNG+에게/JKB
30일	30/SN+일/NNB
오후	오후/NNG
파주캠퍼스	파주/NNP+캠퍼스/NNG
사업	사업/NNG
포기	포기/NNG
관련	관련/NNG
공개토론을	공개/NNG+토론/NNG+을/JKO
열자고	열/VV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.409.4.3
파주시는 고문변호인단 검토 결과 이화여대 측에 손해에 대한 책임을 물을 수 있다는 판단에 따라 변호사를 선임해 소송에 착수하기로 했다.

파주시는	파주시/NNP+는/JX
고문변호인단	고문/NNG+변호인단/NNG
검토	검토/NNG
결과	결과/NNG
이화여대	이화여대/NNP
측에	측/NNB+에/JKB
손해에	손해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
물을	묻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
변호사를	변호사/NNG+를/JKO
선임해	선임/NNG+하/XSV+아/EC
소송에	소송/NNG+에/JKB
착수하기로	착수/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.409.4.4
또 이화여대가 사업 포기를 결정하는 과정에서 이사회 개최 등 정식 절차를 밟았는지를 확인하기 위해 교육과학기술부에 감사를 요청하기로 했다.

또	또/MAG
이화여대가	이화여대/NNP+가/JKS
사업	사업/NNG
포기를	포기/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
이사회	이사회/NNG
개최	개최/NNG
등	등/NNB
정식	정식/NNG
절차를	절차/NNG+를/JKO
밟았는지를	밟/VV+았/EP+는지/EF+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
교육과학기술부에	교육/NNG+과학/NNG+기술부/NNG+에/JKB
감사를	감사/NNG+를/JKO
요청하기로	요청/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.409.5.1
파주캠퍼스 예정지 주민들도 구체적인 피해 규모 파악에 착수했다.

파주캠퍼스	파주/NNP+캠퍼스/NNG
예정지	예정지/NNG
주민들도	주민/NNG+들/XSN+도/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
피해	피해/NNG
규모	규모/NNG
파악에	파악/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.409.5.2
영태리 주민들로 이뤄진 이대 유치 시민추진위원회에 따르면 직접적인 피해를 본 토지주는 어림잡아 50명을 넘고 금액은 60억∼70억 원에 이를 것으로 보고 있다.

영태리	영태리/NNP
주민들로	주민/NNG+들/XSN+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
이대	이대/NNP
유치	유치/NNG
시민추진위원회에	시민/NNG+추진/NNG+위원회/NNG+에/JKB
따르면	따르/VV+면/EC
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
토지주는	토지주/NNG+는/JX
어림잡아	어림잡/VV+아/EC
50명을	50/SN+명/NNB+을/JKO
넘고	넘/VV+고/EC
금액은	금액/NNG+은/JX
60억∼70억	60/SN+억/NR+∼/SO+70/SN+억/NR
원에	원/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.409.5.3
이들은 대부분 땅값 상승분을 반영해 대출을 받은 것으로 전해졌다.

이들은	이/NP+들/XSN+은/JX
대부분	대/XPN+부분/NNG
땅값	땅값/NNG
상승분을	상승/NNG+분/XSN+을/JKO
반영해	반영/NNG+하/XSV+아/EC
대출을	대출/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.409.5.4
또 장차 숙박업 등을 위해 예정지 근처 주택을 계약한 지역 주민들도 상당수에 이르는 것으로 알려졌다.

또	또/MAG
장차	장차/MAG
숙박업	숙박업/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
예정지	예정지/NNG
근처	근처/NNG
주택을	주택/NNG+을/JKO
계약한	계약/NNG+하/XSV+ㄴ/ETM
지역	지역/NNG
주민들도	주민/NNG+들/XSN+도/JX
상당수에	상당수/NNG+에/JKB
이르는	이르/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.409.5.5
주민들은 소송 참여자를 모으는 한편 소송비용도 모금 중이다.

주민들은	주민/NNG+들/XSN+은/JX
소송	소송/NNG
참여자를	참여자/NNG+를/JKO
모으는	모으/VV+는/ETM
한편	한편/NNG
소송비용도	소송/NNG+비용/NNG+도/JX
모금	모금/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.409.5.6
또 감사원에 주민감사도 청구할 방침이다.

또	또/MAG
감사원에	감사원/NNG+에/JKB
주민감사도	주민/NNG+감사/NNG+도/JX
청구할	청구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


