# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.284
metadata : {}


# id : NWRW1800000025.284.1.1
“방송 언어, 재미보다 정확한 메시지가 핵심”

“방송	“/SS+방송/NNG
KBS로	KBS/SL+로/JKB
옮겨	옮기/VV+어/EC
아나운서실장을	아나운서실장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.284.5.2
수원대 국문학과 교수로 재직하면서 한국화법학회를 만들었고, ‘표준 한국어 발음 소사전’을 집필하는 등 한평생 우리말을 연구했다.

수원대	수원대/NNP
국문학과	국문학과/NNG
교수로	교수/NNG+로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
한국화법학회를	한국화법학회/NNP+를/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
‘표준	‘/SS+표준/NNG
한국어	한국어/NNP
발음	발음/NNG
소사전’을	소/XPN+사전/NNG+’/SS+을/JKO
집필하는	집필/NNG+하/XSV+는/ETM
등	등/NNB
한평생	한/XPN+평생/NNG
우리말을	우리말/NNG+을/JKO
연구했다.	연구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.6.1
그는 격조 높은 민족의 방송을 지향했던 동아방송을 회고하며 “동아방송은 아나운서로 입사하면 3개월 동안 혹독하게 훈련을 시켰다”고 말했다.

그는	그/NP+는/JX
격조	격조/NNG
높은	높/VA+은/ETM
민족의	민족/NNG+의/JKG
방송을	방송/NNG+을/JKO
지향했던	지향/NNG+하/XSV+았/EP+던/ETM
동아방송을	동아방송/NNP+을/JKO
회고하며	회고/NNG+하/XSV+며/EC
“동아방송은	“/SS+동아방송/NNP+은/JX
아나운서로	아나운서/NNG+로/JKB
입사하면	입사/NNG+하/XSV+면/EC
3개월	3/SN+개월/NNB
동안	동안/NNG
혹독하게	혹독하/VA+게/EC
훈련을	훈련/NNG+을/JKO
시켰다”고	시키/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.7.1
당시 그가 “원고나 기계적으로 읽는 앵무새식의 아나운서는 필요없다”며 신입 아나운서 전원을 서울 종로구 세종로 동아방송(현 일민미술관 건물) 옥상에 올려 보내 두 시간 동안 거리를 묘사하게 하면서 중계훈련을 시킨 건 유명한 이야기다.

당시	당시/NNG
그가	그/NP+가/JKS
“원고나	“/SS+원고/NNG+나/JX
기계적으로	기계/NNG+적/XSN+으로/JKB
읽는	읽/VV+는/ETM
앵무새식의	앵무새식/NNG+의/JKG
아나운서는	아나운서/NNG+는/JX
필요없다”며	필요/NNG+없/VA+다/EF+”/SS+며/EC
신입	신입/NNG
아나운서	아나운서/NNG
전원을	전원/NNG+을/JKO
서울	서울/NNP
종로구	종로구/NNP
세종로	세종로/NNP
동아방송(현	동아방송/NNP+(/SS+현/MMD
일민미술관	일민미술관/NNP
건물)	건물/NNG+)/SS
옥상에	옥상/NNG+에/JKB
올려	올리/VV+어/EC
보내	보내/VV+어/EC
두	두/MMN
시간	시간/NNB
동안	동안/NNG
거리를	거리/NNG+를/JKO
묘사하게	묘사/NNG+하/XSV+게/EC
하면서	하/VX+면서/EC
중계훈련을	중계/NNG+훈련/NNG+을/JKO
시킨	시키/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
유명한	유명/NNG+하/XSA+ㄴ/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.284.8.1
그는 “시청자의 생생한 의견을 듣는 프로그램인 ‘여러분 어떻게 생각하십니까’, 품격과 활기가 넘쳤던 토크쇼 ‘유쾌한 응접실’ 등 당시 동아방송에는 다른 방송에서 시도하지 않았던 진취적인 프로그램이 많았다”며 “동아일보가 추진 중인 종합편성채널도 깊이 있는 보도와 해박한 시사 프로그램이 많았으면 좋겠다”고 말했다.

그는	그/NP+는/JX
“시청자의	“/SS+시청자/NNG+의/JKG
생생한	생생하/VA+ㄴ/ETM
의견을	의견/NNG+을/JKO
듣는	듣/VV+는/ETM
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
‘여러분	‘/SS+여러분/NP
어떻게	어떻/VA+게/EC
생각하십니까’,	생각/NNG+하/XSV+시/EP+ㅂ니까/EF+’/SS+,/SP
품격과	품격/NNG+과/JC
활기가	활기/NNG+가/JKS
넘쳤던	넘치/VV+었/EP+던/ETM
토크쇼	토크쇼/NNG
‘유쾌한	‘/SS+유쾌/NNG+하/XSA+ㄴ/ETM
응접실’	응접실/NNG+’/SS
등	등/NNB
당시	당시/NNG
동아방송에는	동아방송/NNP+에/JKB+는/JX
다른	다른/MMD
방송에서	방송/NNG+에서/JKB
시도하지	시도/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
진취적인	진취/NNG+적/XSN+이/VCP+ㄴ/ETM
프로그램이	프로그램/NNG+이/JKS
많았다”며	많/VA+았/EP+다/EF+”/SS+며/EC
“동아일보가	“/SS+동아일보/NNP+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
종합편성채널도	종합/NNG+편성/NNG+채널/NNG+도/JX
깊이	깊이/MAG
있는	있/VA+는/ETM
보도와	보도/NNG+와/JC
해박한	해박하/VA+ㄴ/ETM
시사	시사/NNG
많았으면	많/VA+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.9.1
방송 콘텐츠 제작 교육의 메카를 기치로 내건 동아미디어아카데미는동아미디어그룹 기자를 대상으로 1기와 2기 교육을 진행하고 있으며, 시청자들을 대상으로 한 미디어 리터러시 교육도 곧 실시할 예정이다.

방송	방송/NNG
콘텐츠	콘텐츠/NNG
제작	제작/NNG
교육의	교육/NNG+의/JKG
메카를	메카/NNG+를/JKO
기치로	기치/NNG+로/JKB
내건	내걸/VV+ㄴ/ETM
동아미디어아카데미는동아미디어그룹	동아미디어아카데미/NNP+는/JX+동아미디어그룹/NNP
기자를	기자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
1기와	1/SN+기/NNG+와/JC
2기	2/SN+기/NNG
교육을	교육/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
시청자들을	시청자/NNG+들/XSN+을/JKO
한	하/VV+ㄴ/ETM
미디어	미디어/NNG
리터러시	리터러시/NNG
교육도	교육/NNG+도/JX
곧	곧/MAG
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


