# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.82
metadata : {}


# id : NWRW1800000032.82.1.1
기업들 ‘우울한 2012년’ 전망

기업들	기업/NNG+들/XSN
임희정 현대경제연구원 경제동향분석실장은 “이런 결과마저도 유로존이 파국으로 치달을 수 있다는 최악의 시나리오가 반영되지 않은 것”이라며 내년 전망을 어둡게 내다봤다.

임희정	임희정/NNP
현대경제연구원	현대경제연구원/NNP
경제동향분석실장은	경제/NNG+동향/NNG+분석실장/NNG+은/JX
“이런	“/SS+이런/MMD
결과마저도	결과/NNG+마저/JX+도/JX
유로존이	유로존/NNG+이/JKS
파국으로	파국/NNG+으로/JKB
치달을	치닫/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
최악의	최악/NNG+의/JKG
시나리오가	시나리오/NNG+가/JKS
반영되지	반영/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
내년	내년/NNG
전망을	전망/NNG+을/JKO
어둡게	어둡/VA+게/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.82.7.2
임 실장은 “유럽 부채위기의 향방과 밀접한 관련을 맺고 있는 환율 변수가 국내 기업들의 첫번째 고려 요인”이라고 꼽았다.

임	임/NNP
실장은	실장/NNG+은/JX
“유럽	“/SS+유럽/NNP
부채위기의	부채/NNG+위기/NNG+의/JKG
향방과	향방/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관련을	관련/NNG+을/JKO
맺고	맺/VV+고/EC
있는	있/VX+는/ETM
환율	환율/NNG
변수가	변수/NNG+가/JKS
국내	국내/NNG
기업들의	기업/NNG+들/XSN+의/JKG
첫번째	첫/MMN+번/NNB+째/XSN
고려	고려/NNG
요인”이라고	요인/NNG+”/SS+이라고/JKQ
꼽았다.	꼽/VV+았/EP+다/EF+./SF


