# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.400
metadata : {}


# id : NWRW1800000054.400.1.1
"MB때 국정원, 민간인 댓글부대 30개 팀 운영했다"

"MB때	"/SS+MB/SL+때/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
트위터를	트위터/NNP+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
팀	팀/NNG
4개를	4/SN+개/NNB+를/JKO
신설했고	신설/NNG+하/XSV+았/EP+고/EC
2012년	2012/SN+년/NNB
4월에	4/SN+월/NNB+에/JKB
6개	6/SN+개/NNB
팀으로	팀/NNG+으로/JKB
확대	확대/NNG
운영했다고	운영/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.400.7.2
총 30개 팀을 운영했다는 얘기다.

총	총/MMA
30개	30/SN+개/NNB
팀을	팀/NNG+을/JKO
운영했다는	운영/NNG+하/XSV+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.400.8.1
이날 일부 언론은 "총선과 대선이 한 해에 치러졌던 2012년에는 '외곽팀'이 30개 팀, 3500명 수준까지 규모가 늘어났으며, 국정원이 이들의 인건비로 한 달에 2억5000만~3억원씩 한 해 30억원의 예산을 사용했다"고 보도했다.

이날	이날/NNG
일부	일부/NNG
언론은	언론/NNG+은/JX
"총선과	"/SS+총선/NNG+과/JC
대선이	대선/NNG+이/JKS
한	한/MMN
해에	해/NNB+에/JKB
치러졌던	치르/VV+어/EC+지/VX+었/EP+던/ETM
2012년에는	2012/SN+년/NNB+에/JKB+는/JX
'외곽팀'이	'/SS+외곽/NNG+팀/NNG+'/SS+이/JKS
30개	30/SN+개/NNB
팀,	팀/NNG+,/SP
3500명	3500/SN+명/NNB
수준까지	수준/NNG+까지/JX
규모가	규모/NNG+가/JKS
늘어났으며,	늘어나/VV+았/EP+으며/EC+,/SP
국정원이	국정원/NNG+이/JKS
이들의	이/NP+들/XSN+의/JKG
인건비로	인건비/NNG+로/JKB
달에	달/NNB+에/JKB
2억5000만~3억원씩	2/SN+억/NR+5000/SN+만/NR+~/SO+3/SN+억/NR+원/NNB+씩/XSN
해	해/NNB
30억원의	30/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
사용했다"고	사용/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.400.9.1
하지만 국정원은 '외곽팀'의 인원 규모와 예산 관련 부분에 대해서는 공식적으로 확인하지 않았다.

하지만	하지만/MAJ
국정원은	국정원/NNG+은/JX
'외곽팀'의	'/SS+외곽/NNG+팀/NNG+'/SS+의/JKG
인원	인원/NNG
규모와	규모/NNG+와/JC
예산	예산/NNG
관련	관련/NNG
부분에	부분/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
확인하지	확인/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.400.10.1
국정원은 이날 또 2009년 5월부터 2012년 3월까지 원 전 원장의 '전 부서장 회의 시 지시강조 말씀' 녹취록을 확인한 결과, 그 내용은 보수단체 결성, 지자체장·의원 검증, 언론 보도 통제, 전교조 압박, 특정 정치인·정치세력 견제 등이었다고 밝혔다.

국정원은	국정원/NNG+은/JX
이날	이날/NNG
또	또/MAG
2009년	2009/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
2012년	2012/SN+년/NNB
3월까지	3/SN+월/NNB+까지/JX
원	원/NNP
전	전/MMD
원장의	원장/NNG+의/JKG
'전	'/SS+전/MMN
부서장	부서장/NNG
회의	회의/NNG
시	시/NNB
지시강조	지시/NNG+강조/NNG
말씀'	말씀/NNG+'/SS
녹취록을	녹취록/NNG+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
그	그/MMD
내용은	내용/NNG+은/JX
보수단체	보수/NNG+단체/NNG
결성,	결성/NNG+,/SP
지자체장·의원	지자체장/NNG+·/SP+의원/NNG
검증,	검증/NNG+,/SP
언론	언론/NNG
보도	보도/NNG
통제,	통제/NNG+,/SP
전교조	전교조/NNP
압박,	압박/NNG+,/SP
특정	특정/NNG
정치인·정치세력	정치인/NNG+·/SP+정치/NNG+세력/NNG
견제	견제/NNG
등이었다고	등/NNB+이/VCP+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


