# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.345
metadata : {}


# id : NWRW1800000030.345.1.1
李대통령, 차기 대통령실장에 맹형규 유력 검토

李대통령,	李/SH+대통령/NNG+,/SP
위한	위하/VV+ㄴ/ETM
위인설관(爲人設官)의	위인설관/NNG+(/SS+爲人設官/SH+)/SS+의/JKG
성격이	성격/NNG+이/JKS
짙었다.	짙/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.345.7.4
이 밖에 내년 총선 출마를 준비 중인 청와대 비서관급 2~3명도 교체될 전망이다.

이	이/MMD
밖에	밖/NNG+에/JKB
내년	내년/NNG
총선	총선/NNG
출마를	출마/NNG+를/JKO
준비	준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
청와대	청와대/NNP
비서관급	비서관/NNG+급/NNG
2~3명도	2/SN+~/SO+3/SN+명/NNB+도/JX
교체될	교체/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.345.8.1
이 대통령은 청와대 개편에 이어 소폭 개각을 단행할 가능성이 크다.

이	이/NNP
대통령은	대통령/NNG+은/JX
청와대	청와대/NNP
개편에	개편/NNG+에/JKB
이어	잇/VV+어/EC
소폭	소폭/MAG
개각을	개각/NNG+을/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.345.8.2
맹 장관이 대통령실장이 될 경우 후임 행안부장관도 인선해야 하고 한미 FTA가 통과된 만큼 김종훈 통상교섭본부장 등에 대한 교체 필요성도 제기되고 있다.

맹	맹/NNP
장관이	장관/NNG+이/JKS
대통령실장이	대통령실장/NNG+이/JKC
될	되/VV+ㄹ/ETM
경우	경우/NNG
후임	후임/NNG
행안부장관도	행안부/NNG+장관/NNG+도/JX
인선해야	인선/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
한미	한미/NNP
FTA가	FTA/SL+가/JKS
통과된	통과/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
김종훈	김종훈/NNP
통상교섭본부장	통상/NNG+교섭/NNG+본부장/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
교체	교체/NNG
필요성도	필요/NNG+성/XSN+도/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.345.9.1
이 대통령은 10·26 서울시장 보궐선거 패배에서 드러난 민심의 이반(離反)에 대처하는 방안도 다각도로 고심하고 있다.

이	이/NNP
대통령은	대통령/NNG+은/JX
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
패배에서	패배/NNG+에서/JKB
드러난	드러나/VV+ㄴ/ETM
민심의	민심/NNG+의/JKG
이반(離反)에	이반/NNG+(/SS+離反/SH+)/SS+에/JKB
대처하는	대처/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
다각도로	다각도/NNG+로/JKB
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.345.9.2
이 대통령은 당초 이날 참모들과 함께 대국민 담화 등을 위한 독회(讀會)를 열려고 했으나 "메시지 과잉이다. 좀 더 콘텐츠를 고민해봐야 한다"는 참모진의 의견을 수렴해 이를 취소했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
당초	당초/NNG
이날	이날/NNG
참모들과	참모/NNG+들/XSN+과/JKB
함께	함께/MAG
대국민	대국민/NNG
담화	담화/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
독회(讀會)를	독회/NNG+(/SS+讀會/SH+)/SS+를/JKO
열려고	열/VV+려고/EC
했으나	하/VX+았/EP+으나/EC
"메시지	"/SS+메시지/NNG
과잉이다.	과잉/NNG+이/VCP+다/EF+./SF
좀	좀/MAG
더	더/MAG
콘텐츠를	콘텐츠/NNG+를/JKO
고민해봐야	고민/NNG+하/XSV+아/EC+보/VX+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
참모진의	참모진/NNG+의/JKG
의견을	의견/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
이를	이/NP+를/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.345.9.3
대(對) 국민 메시지 전달 방식과 관련, 청와대 내에서는 이 대통령이 농민이나 대학생 등 현장을 직접 찾아가 국민의 목소리를 경청(敬聽)하는 방안도 검토되고 있다.

대(對)	대/NA+(/SS+對/SH+)/SS
국민	국민/NNG
메시지	메시지/NNG
전달	전달/NNG
방식과	방식/NNG+과/JKB
관련,	관련/NNG+,/SP
청와대	청와대/NNP
내에서는	내/NNB+에서/JKB+는/JX
이	이/NNP
대통령이	대통령/NNG+이/JKS
농민이나	농민/NNG+이나/JC
대학생	대학/NNG+생/XSN
등	등/NNB
현장을	현장/NNG+을/JKO
직접	직접/MAG
찾아가	찾아가/VV+아/EC
국민의	국민/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
경청(敬聽)하는	경청/NNG+(/SS+敬聽/SH+)/SS+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.345.9.4
그러나 청와대 고위관계자는 "아직은 어떤 내용을 어떤 형식으로 할지 결정되지 않았다"고 말했다.

그러나	그러나/MAJ
청와대	청와대/NNP
고위관계자는	고위/NNG+관계자/NNG+는/JX
"아직은	"/SS+아직/MAG+은/JX
어떤	어떤/MMD
내용을	내용/NNG+을/JKO
형식으로	형식/NNG+으로/JKB
할지	하/VV+ㄹ지/EC
결정되지	결정/NNG+되/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


