# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.157
metadata : {}


# id : NWRW1800000046.157.1.1
경찰서에도 메르스 여파

경찰서에도	경찰서/NNG+에/JKB+도/JX
채혈을	채혈/NNG+을/JKO
해	하/VV+아/EC
검사를	검사/NNG+를/JKO
하고	하/VV+고/EC
경사의	경사/NNG+의/JKG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
경찰서	경찰서/NNG
폐쇄까지	폐쇄/NNG+까지/JX
검토했으나	검토/NNG+하/XSV+았/EP+으나/EC
해프닝으로	해프닝/NNG+으로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.5.1
이날 경기 남부의 A경찰서와 B경찰서는 메르스 확진 환자와 접촉한 피의자가 경찰서에서 조사를 받고 유치장에 입감돼 있었던 사실이 뒤늦게 알려졌다.

이날	이날/NNG
경기	경기/NNP
남부의	남부/NNG+의/JKG
A경찰서와	A/SL+경찰서/NNG+와/JC
B경찰서는	B/SL+경찰서/NNG+는/JX
메르스	메르스/NNG
확진	확진/NNG
환자와	환자/NNG+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
피의자가	피의자/NNG+가/JKS
경찰서에서	경찰서/NNG+에서/JKB
조사를	조사/NNG+를/JKO
받고	받/VV+고/EC
유치장에	유치장/NNG+에/JKB
입감돼	입감/NNG+되/XSV+어/EC
있었던	있/VX+었/EP+던/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.5.2
A경찰서에 따르면 지난 1일 차량 절도 혐의로 입건된 피의자 유모(49)씨가 3일 오전 11시쯤 수원지법 안산지원에서 영장실질심사를 받던 중 경찰이 보건 당국에서 유씨의 장모(77)가 메르스 확진 판정을 받았다는 통보를 받았다.

A경찰서에	A/SL+경찰서/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
차량	차량/NNG
절도	절도/NNG
혐의로	혐의/NNG+로/JKB
입건된	입건/NNG+되/XSV+ㄴ/ETM
피의자	피의자/NNG
유모(49)씨가	유/NNP+모/NP+(/SS+49/SN+)/SS+씨/NNB+가/JKS
3일	3/SN+일/NNB
오전	오전/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
수원지법	수원지법/NNP
안산지원에서	안산지원/NNP+에서/JKB
영장실질심사를	영장/NNG+실질/NNG+심사/NNG+를/JKO
받던	받/VV+던/ETM
중	중/NNB
경찰이	경찰/NNG+이/JKS
보건	보건/NNG
당국에서	당국/NNG+에서/JKB
유씨의	유/NNP+씨/NNB+의/JKG
장모(77)가	장모/NNG+(/SS+77/SN+)/SS+가/JKS
메르스	메르스/NNG
확진	확진/NNG
판정을	판정/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
통보를	통보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.6.1
유씨를 검거한 A경찰서에는 유치장이 없어 유씨는 인근 B경찰서 유치장에서 1일 자정쯤부터 3일 오전까지 머물렀다.

유씨를	유/NNP+씨/NNB+를/JKO
검거한	검거/NNG+하/XSV+ㄴ/ETM
A경찰서에는	A/SL+경찰서/NNG+에/JKB+는/JX
유치장이	유치장/NNG+이/JKS
없어	없/VA+어/EC
유씨는	유/NNP+씨/NNB+는/JX
인근	인근/NNG
B경찰서	B/SL+경찰서/NNG
유치장에서	유치장/NNG+에서/JKB
1일	1/SN+일/NNB
자정쯤부터	자정/NNG+쯤/XSN+부터/JX
3일	3/SN+일/NNB
오전까지	오전/NNG+까지/JX
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.6.2
유씨는 사흘간 두 경찰서를 오가며 조사를 받았고, 이날 수원지법 안산지원에 영장실질심사를 받으러 간 상황이었다.

유씨는	유/NNP+씨/NNB+는/JX
사흘간	사흘/NNG+간/XSN
두	두/MMN
경찰서를	경찰서/NNG+를/JKO
오가며	오가/VV+며/EC
조사를	조사/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
이날	이날/NNG
수원지법	수원지법/NNP
안산지원에	안산지원/NNP+에/JKB
영장실질심사를	영장/NNG+실질/NNG+심사/NNG+를/JKO
받으러	받/VV+으러/EC
간	가/VV+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.157.6.3
경찰은 보건 당국의 연락을 받고 검찰을 통해 판사에게 영장 기각을 요청하고, 유씨를 지역 보건소로 인계 조치했다.

경찰은	경찰/NNG+은/JX
보건	보건/NNG
당국의	당국/NNG+의/JKG
연락을	연락/NNG+을/JKO
받고	받/VV+고/EC
검찰을	검찰/NNG+을/JKO
통해	통하/VV+아/EC
판사에게	판사/NNG+에게/JKB
영장	영장/NNG
기각을	기각/NNG+을/JKO
요청하고,	요청/NNG+하/XSV+고/EC+,/SP
유씨를	유/NNP+씨/NNB+를/JKO
지역	지역/NNG
보건소로	보건소/NNG+로/JKB
인계	인계/NNG
조치했다.	조치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.7.1
유씨는 경찰 조사 과정에서 체포되기 직전인 지난달 30일 메르스 감염 의심자인 장모의 집에 병문안을 가 하룻밤을 자고 왔다고 진술했던 것으로 알려졌다.

유씨는	유/NNP+씨/NNB+는/JX
경찰	경찰/NNG
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
체포되기	체포/NNG+되/XSV+기/ETN
직전인	직전/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
30일	30/SN+일/NNB
메르스	메르스/NNG
감염	감염/NNG
의심자인	의심자/NNG+이/VCP+ㄴ/ETM
장모의	장모/NNG+의/JKG
집에	집/NNG+에/JKB
병문안을	병문안/NNG+을/JKO
가	가/VV+아/EC
하룻밤을	하룻밤/NNG+을/JKO
자고	자/VV+고/EC
왔다고	오/VX+았/EP+다고/EC
진술했던	진술/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.7.2
하지만 유씨 장모가 당시 확진 환자가 아니었기 때문에 별다른 조치를 하지 않았던 것으로 전해졌다.

하지만	하지만/MAJ
유씨	유/NNP+씨/NNB
장모가	장모/NNG+가/JKS
당시	당시/NNG
확진	확진/NNG
환자가	환자/NNG+가/JKC
아니었기	아니/VCN+었/EP+기/ETN
때문에	때문/NNB+에/JKB
별다른	별다르/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
하지	하/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.157.8.1
B경찰서 관계자는 "보건소 등에 문의한 결과 유씨에게 발열 증상이 없어 특별한 조치를 하지 않았다"고 전했다.

B경찰서	B/SL+경찰서/NNG
관계자는	관계자/NNG+는/JX
"보건소	"/SS+보건소/NNG
등에	등/NNB+에/JKB
문의한	문의/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
유씨에게	유/NNP+씨/NNB+에게/JKB
발열	발열/NNG
증상이	증상/NNG+이/JKS
없어	없/VA+어/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
조치를	조치/NNG+를/JKO
하지	하/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.8.2
반면 A경찰서는 유씨와 접촉한 경찰관 5명에 대해 휴가 조치를 하고, 유씨가 조사를 받았던 진술녹화실, 유씨가 탔던 차량 등에 대한 소독을 했다.

반면	반면/NNG
A경찰서는	A/SL+경찰서/NNG+는/JX
유씨와	유/NNP+씨/NNB+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
경찰관	경찰관/NNG
5명에	5/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
휴가	휴가/NNG
조치를	조치/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
유씨가	유/NNP+씨/NNB+가/JKS
조사를	조사/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
진술녹화실,	진술/NNG+녹화실/NNG+,/SP
탔던	타/VV+았/EP+던/ETM
차량	차량/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
소독을	소독/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.157.8.3
현재 보건소에서 격리된 유씨의 신병은 4일 불구속 상태로 검찰에 송치될 것으로 알려졌다.

현재	현재/MAG
보건소에서	보건소/NNG+에서/JKB
격리된	격리/NNG+되/XSV+ㄴ/ETM
유씨의	유/NNP+씨/NNB+의/JKG
신병은	신병/NNG+은/JX
4일	4/SN+일/NNB
불구속	불/XPN+구속/NNG
상태로	상태/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
송치될	송치/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.157.9.1
경찰청은 3일 전국 지방 경찰청에 '메르스 확진 환자가 발생한 지역에서는 도로를 차단한 뒤 통행 차량을 검문하는 방식의 음주 단속은 중단하라'고 지시했다.

경찰청은	경찰청/NNG+은/JX
3일	3/SN+일/NNB
전국	전국/NNG
지방	지방/NNG
경찰청에	경찰청/NNG+에/JKB
'메르스	'/SS+메르스/NNG
확진	확진/NNG
환자가	환자/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지역에서는	지역/NNG+에서/JKB+는/JX
도로를	도로/NNG+를/JKO
차단한	차단/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
통행	통행/NNG
차량을	차량/NNG+을/JKO
검문하는	검문/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
음주	음주/NNG
단속은	단속/NNG+은/JX
중단하라'고	중단/NNG+하/XSV+라/EF+'/SS+고/JKQ
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


