# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.374
metadata : {}


# id : NWRW1800000037.374.1.1
국민 아이디어 사업화, 기업 협조 당부

국민	국민/NNG
제품	제품/NNG
및	및/MAG
서비스,	서비스/NNG+,/SP
기술로	기술/NNG+로/JKB
발전시키는	발전/NNG+시키/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.374.6.2
박 대통령은 여기에 대기업이 힘을 보태 아이디어의 사업화를 추진해 달라고 주문한 것이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
여기에	여기/NP+에/JKB
대기업이	대/XPN+기업/NNG+이/JKS
힘을	힘/NNG+을/JKO
보태	보태/VV+어/EC
아이디어의	아이디어/NNG+의/JKG
사업화를	사업/NNG+화/XSN+를/JKO
추진해	추진/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
주문한	주문/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.374.7.1
중소기업청이 7월 시작한 ‘무한상상 국민창업 프로젝트’도 이와 비슷하지만 생활 속 아이디어 제품 위주로 운영되고 있다.

중소기업청이	중소기업청/NNG+이/JKS
7월	7/SN+월/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
‘무한상상	‘/SS+무한/NNG+상상/NNG
국민창업	국민/NNG+창업/NNG
프로젝트’도	프로젝트/NNG+’/SS+도/JX
이와	이/NP+와/JKB
비슷하지만	비슷하/VA+지만/EC
생활	생활/NNG
속	속/NNG
아이디어	아이디어/NNG
제품	제품/NNG
위주로	위주/NNG+로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.374.7.2
창조경제종합포털은 복잡한 기술까지 다루게 될 것이라는 게 미래부의 설명이다.

창조경제종합포털은	창조/NNG+경제/NNG+종합/NNG+포털/NNG+은/JX
복잡한	복잡하/VA+ㄴ/ETM
기술까지	기술/NNG+까지/JX
다루게	다루/VV+게/EC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
미래부의	미래부/NNG+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


