# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.37
metadata : {}


# id : NWRW1800000048.37.1.1
‘제2금융→은행’ 전세대출 갈아타기 확대

‘제2금융→은행’	‘/SS+제/XPN+2/SN+금융/NNG+→/SW+은행/NNG+’/SS
기존	기존/NNG
상품을	상품/NNG+을/JKO
대출	대출/NNG
받았던	받/VV+았/EP+던/ETM
곳에서	곳/NNG+에서/JKB
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.7.4
신용회복위원회와 국민행복기금을 통해 채무조정을 받고 있는 사람 가운데 24개월 이상 성실하게 상환을 했거나 이미 상환을 완료한 사람은 신용카드를 발급 받을 수 있다.

신용회복위원회와	신용/NNG+회복/NNG+위원회/NNG+와/JC
국민행복기금을	국민행복기금/NNP+을/JKO
통해	통하/VV+아/EC
채무조정을	채무/NNG+조정/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
사람	사람/NNG
가운데	가운데/NNG
24개월	24/SN+개월/NNB
이상	이상/NNG
성실하게	성실/NNG+하/XSA+게/EC
상환을	상환/NNG+을/JKO
했거나	하/VV+았/EP+거나/EC
이미	이미/MAG
완료한	완료/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
신용카드를	신용/NNG+카드/NNG+를/JKO
발급	발급/NNG
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.37.7.5
사용 한도는 월 50만원이다.

사용	사용/NNG
한도는	한도/NNG+는/JX
월	월/NNG
50만원이다.	50/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.7.6
협약 카드사에 신청하면 카드사가 소득 심사를 거쳐 발급해 줄 예정이다.”

협약	협약/NNG
카드사에	카드사/NNG+에/JKB
신청하면	신청/NNG+하/XSV+면/EC
카드사가	카드사/NNG+가/JKS
소득	소득/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
발급해	발급/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
예정이다.”	예정/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000048.37.8.1
-서민을 대상으로 한 전세대출 보증상품은 어떻게 바뀌나?

-서민을	-/SO+서민/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
전세대출	전세/NNG+대출/NNG
보증상품은	보증/NNG+상품/NNG+은/JX
어떻게	어떻/VA+게/EC
바뀌나?	바뀌/VV+나/EF+?/SF


# id : NWRW1800000048.37.9.1
“제2금융권 고금리 전세대출(7~8%)을 은행권 저금리 대출(3~4%)로 갈아타게 해주는 ‘징검다리 전세보증’을 받을 수 있는 대상이 확대된다.

“제2금융권	“/SS+제/XPN+2/SN+금융/NNG+권/XSN
고금리	고/XPN+금리/NNG
전세대출(7~8%)을	전세/NNG+대출/NNG+(/SS+7/SN+~/SO+8/SN+%/SW+)/SS+을/JKO
은행권	은행/NNG+권/XSN
저금리	저/XPN+금리/NNG
대출(3~4%)로	대출/NNG+(/SS+3/SN+~/SO+4/SN+%/SW+)/SS+로/JKB
갈아타게	갈아타/VV+게/EC
해주는	하/VX+아/EC+주/VX+는/ETM
‘징검다리	‘/SS+징검다리/NNG
전세보증’을	전세/NNG+보증/NNG+’/SS+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
대상이	대상/NNG+이/JKS
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.9.2
기존에는 2012년 11월 말 이전에 실행된 대출만 대상이 됐지만, 앞으로는 올해 5월 말 이전에 실행된 대출까지 징검다리 전세보증을 이용할 수 있게 된다.

기존에는	기존/NNG+에/JKB+는/JX
2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
말	말/NNB
이전에	이전/NNG+에/JKB
실행된	실행/NNG+되/XSV+ㄴ/ETM
대출만	대출/NNG+만/JX
대상이	대상/NNG+이/JKC
됐지만,	되/VV+었/EP+지만/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
올해	올해/NNG
5월	5/SN+월/NNB
대출까지	대출/NNG+까지/JX
징검다리	징검다리/NNG
전세보증을	전세/NNG+보증/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.9.3
소득 기준은 부부합산 연소득 7000만원 이하다.

소득	소득/NNG
기준은	기준/NNG+은/JX
부부합산	부부/NNG+합산/NNG
연소득	연/NNG+소득/NNG
7000만원	7000/SN+만/NR+원/NNB
이하다.	이하/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.9.4
시중은행 영업점에서 신청하면 된다.”

시중은행	시중/NNG+은행/NNG
영업점에서	영업점/NNG+에서/JKB
신청하면	신청/NNG+하/XSV+면/EC
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000048.37.10.1
-저소득·저신용 장애인에 대한 금융지원 방안은?

-저소득·저신용	-/SO+저/XPN+소득/NNG+·/SP+저/XPN+신용/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
금융지원	금융/NNG+지원/NNG
방안은?	방안/NNG+은/JX+?/SF


# id : NWRW1800000048.37.11.1
“차상위 계층 이하 또는 신용등급 7등급 이하 장애인을 대상으로 연 3% 금리로 최대 1200만원의 생계자금을 대출해준다.

“차상위	“/SS+차상위/NNG
계층	계층/NNG
이하	이하/NNG
또는	또는/MAG
신용등급	신용/NNG+등급/NNG
7등급	7/SN+등급/NNG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
연	연/NNG
3%	3/SN+%/SW
금리로	금리/NNG+로/JKB
최대	최대/NNG
1200만원의	1200/SN+만/NR+원/NNB+의/JKG
생계자금을	생계/NNG+자금/NNG+을/JKO
대출해준다.	대출/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.37.11.2
최대 1년 거치, 5년 원리금균등분할 상환 조건이다.

최대	최대/NNG
1년	1/SN+년/NNB
거치,	거치/NNG+,/SP
5년	5/SN+년/NNB
원리금균등분할	원리금/NNG+균등/NNG+분할/NNG
상환	상환/NNG
조건이다.	조건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.11.3
미소금융 지점에서 신청하면 된다.

미소금융	미소/NNG+금융/NNG
지점에서	지점/NNG+에서/JKB
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.11.4
상환능력 등을 심사한 뒤 대출 여부가 결정된다.”

상환능력	상환/NNG+능력/NNG
등을	등/NNB+을/JKO
심사한	심사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
대출	대출/NNG
여부가	여부/NNG+가/JKS
결정된다.”	결정/NNG+되/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000048.37.12.1
-새로 도입 ‘징검다리론’은 어떤 내용인가?

-새로	-/SO+새로/MAG
도입	도입/NNG
‘징검다리론’은	‘/SS+징검다리론/NNG+’/SS+은/JX
어떤	어떤/MMD
내용인가?	내용/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000048.37.13.1
“햇살론·새희망홀씨 등 정책 서민금융 상품을 성실히 상환한 사람이 자금 지원 공백없이 은행 대출을 이용할 수 있도록 하는 제도다.

“햇살론·새희망홀씨	“/SS+햇살론/NNP+·/SP+새희망홀씨/NNP
등	등/NNB
정책	정책/NNG
서민금융	서민/NNG+금융/NNG
상품을	상품/NNG+을/JKO
성실히	성실히/MAG
상환한	상환/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
자금	자금/NNG
지원	지원/NNG
공백없이	공백/NNG+없이/MAG
은행	은행/NNG
대출을	대출/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.13.2
정책 서민금융 상품을 3년 이상 꾸준히 상환한 사람을 대상으로 은행들이 연 9% 금리로 최대 3000만원까지 대출을 해준다.

정책	정책/NNG
서민금융	서민/NNG+금융/NNG
상품을	상품/NNG+을/JKO
3년	3/SN+년/NNB
이상	이상/NNG
꾸준히	꾸준히/MAG
상환한	상환/NNG+하/XSV+ㄴ/ETM
사람을	사람/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
은행들이	은행/NNG+들/XSN+이/JKS
연	연/NNG
9%	9/SN+%/SW
금리로	금리/NNG+로/JKB
최대	최대/NNG
3000만원까지	3000/SN+만/NR+원/NNB+까지/JX
대출을	대출/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.37.13.3
새희망홀씨 대출을 취급하는 16개 시중은행 영업점에서 신청하면 된다.

새희망홀씨	새희망홀씨/NNP
대출을	대출/NNG+을/JKO
취급하는	취급/NNG+하/XSV+는/ETM
16개	16/SN+개/NNB
시중은행	시중/NNG+은행/NNG
영업점에서	영업점/NNG+에서/JKB
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.13.4
올해 11월부터 대출이 이뤄질 예정이다.”

올해	올해/NNG
11월부터	11/SN+월/NNB+부터/JX
대출이	대출/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
예정이다.”	예정/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000048.37.14.1
-채무조정과 일자리, 재산형성을 연계해 지원하는 자활 패키지 상품은 어떻게 운영되나?

-채무조정과	-/SO+채무/NNG+조정/NNG+과/JC
일자리,	일자리/NNG+,/SP
재산형성을	재산/NNG+형성/NNG+을/JKO
연계해	연계/NNG+하/XSV+아/EC
지원하는	지원/NNG+하/XSV+는/ETM
자활	자활/NNG
패키지	패키지/NNG
상품은	상품/NNG+은/JX
어떻게	어떻/VA+게/EC
운영되나?	운영/NNG+되/XSV+나/EF+?/SF


# id : NWRW1800000048.37.15.1
=상환의지는 있으나 실직 등으로 채무상환에 일시적 어려움을 겪고 있는 금융채무 연체자(가구소득이 중위소득 50% 이하가 대상)를 국민행복기금과 신용회복위원회로부터 추천받아 복지부 자활근로사업으로 일자리를 준다.

=상환의지는	=/SW+상환/NNG+의지/NNG+는/JX
있으나	있/VA+으나/EC
실직	실직/NNG
등으로	등/NNB+으로/JKB
채무상환에	채무/NNG+상환/NNG+에/JKB
일시적	일시/NNG+적/XSN
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
금융채무	금융/NNG+채무/NNG
연체자(가구소득이	연체자/NNG+(/SS+가구/NNG+소득/NNG+이/JKS
중위소득	중위/NNG+소득/NNG
50%	50/SN+%/SW
이하가	이하/NNG+가/JKS
대상)를	대상/NNG+)/SS+를/JKO
국민행복기금과	국민행복기금/NNP+과/JC
신용회복위원회로부터	신용/NNG+회복/NNG+위원회/NNG+로부터/JKB
추천받아	추천/NNG+받/XSV+아/EC
복지부	복지부/NNG
자활근로사업으로	자활/NNG+근로/NNG+사업/NNG+으로/JKB
일자리를	일자리/NNG+를/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.15.2
대상자가 인건비 일부를 저축(내일키움통장에 3년간 월 10만원)하고, 정부는 저축장려금과 자활사업수익금 등으로 최대 매월 25만원을 통장에 넣어준다.

대상자가	대상자/NNG+가/JKS
인건비	인건비/NNG
일부를	일부/NNG+를/JKO
저축(내일키움통장에	저축/NNG+(/SS+내일/NNG+키움/NNG+통장/NNG+에/JKB
3년간	3/SN+년/NNB+간/XSN
월	월/NNG
10만원)하고,	10/SN+만/NR+원/NNB+)/SS+하/VV+고/EC+,/SP
정부는	정부/NNG+는/JX
저축장려금과	저축/NNG+장려금/NNG+과/JC
자활사업수익금	자활/NNG+사업/NNG+수익금/NNG
등으로	등/NNB+으로/JKB
최대	최대/NNG
매월	매월/MAG
25만원을	25/SN+만/NR+원/NNB+을/JKO
통장에	통장/NNG+에/JKB
넣어준다.	넣/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.37.15.3
참여자가 저축액으로 잔여 채무를 일시에 상환할 경우 잔여 채무의 15%를 감면해준다.

참여자가	참여자/NNG+가/JKS
저축액으로	저축액/NNG+으로/JKB
잔여	잔여/NNG
채무를	채무/NNG+를/JKO
일시에	일시/NNG+에/JKB
상환할	상환/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
채무의	채무/NNG+의/JKG
15%를	15/SN+%/SW+를/JKO
감면해준다.	감면/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.37.15.4
3년간 성실하게 일하고 저축하면 최대 1300만원까지 수령할 수 있다.

3년간	3/SN+년/NNB+간/XSN
성실하게	성실/NNG+하/XSA+게/EC
일하고	일/NNG+하/XSV+고/EC
저축하면	저축/NNG+하/XSV+면/EC
최대	최대/NNG
1300만원까지	1300/SN+만/NR+원/NNB+까지/JX
수령할	수령/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.37.15.5
올해 9월부터 5개 지방자치단체에서 시범사업을 실시할 예정이다.

올해	올해/NNG
9월부터	9/SN+월/NNB+부터/JX
5개	5/SN+개/NNB
지방자치단체에서	지방/NNG+자치/NNG+단체/NNG+에서/JKB
시범사업을	시범/NNG+사업/NNG+을/JKO
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.16.1
-미소금융 성실 상환자를 대상으로 한 재산형성 프로그램(마이크로-세이빙)은 어떤 내용인가?

-미소금융	-/SO+미소/NNG+금융/NNG
성실	성실/NNG
상환자를	상환자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
재산형성	재산/NNG+형성/NNG
프로그램(마이크로-세이빙)은	프로그램/NNG+(/SS+마이크로/NNG+-/SO+세이빙/NNG+)/SS+은/JX
어떤	어떤/MMD
내용인가?	내용/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000048.37.17.1
“미소금융 대출을 성실히 갚은 사람 중 차상위계층 이하를 대상으로 한다.

“미소금융	“/SS+미소/NNG+금융/NNG
대출을	대출/NNG+을/JKO
성실히	성실히/MAG
갚은	갚/VV+은/ETM
사람	사람/NNG
중	중/NNB
차상위계층	차상위/NNG+계층/NNG
이하를	이하/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.17.2
대상자가 월 10만원 이내의 일정금액을 저축(최대 5년)하면 미소금융재단이 저축액의 3배를 다달이 적립(최대 3년)해 그 적립액의 이자를 대상자에게 지급하는 방식이다.

대상자가	대상자/NNG+가/JKS
월	월/NNG
10만원	10/SN+만/NR+원/NNB
이내의	이내/NNG+의/JKG
일정금액을	일정/NNG+금액/NNG+을/JKO
저축(최대	저축/NNG+(/SS+최대/NNG
5년)하면	5/SN+년/NNB+)/SS+하/VV+면/EC
미소금융재단이	미소/NNG+금융/NNG+재단/NNG+이/JKS
저축액의	저축액/NNG+의/JKG
3배를	3/SN+배/NNG+를/JKO
다달이	다달이/MAG
적립(최대	적립/NNG+(/SS+최대/NNG
3년)해	3/SN+년/NNB+)/SS+하/VV+아/EC
그	그/MMD
적립액의	적립액/NNG+의/JKG
이자를	이자/NNG+를/JKO
대상자에게	대상자/NNG+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.17.3
금리는 시중 적금금리의 약 2배를 적용할 예정이다.

금리는	금리/NNG+는/JX
시중	시중/NNG
적금금리의	적금/NNG+금리/NNG+의/JKG
약	약/MMA
2배를	2/SN+배/NNG+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.37.17.4
예를 들어 대상자가 월 10만원씩 5년간 총 600만원을 저축하면, 미소금융재단이 월 30만원씩 3년간 1080만원을 적립한다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
대상자가	대상자/NNG+가/JKS
월	월/NNG
10만원씩	10/SN+만/NR+원/NNB+씩/XSN
5년간	5/SN+년/NNB+간/XSN
총	총/MMA
600만원을	600/SN+만/NR+원/NNB+을/JKO
저축하면,	저축/NNG+하/XSV+면/EC+,/SP
미소금융재단이	미소/NNG+금융/NNG+재단/NNG+이/JKS
30만원씩	30/SN+만/NR+원/NNB+씩/XSN
3년간	3/SN+년/NNB+간/XSN
1080만원을	1080/SN+만/NR+원/NNB+을/JKO
적립한다.	적립/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.37.17.5
만기가 되면 749만원을 타게 되는데, 미소금융재단의 지원이 없을 경우에 견줘 115만원의 이자수익을 더 받게되는 셈이다.”

만기가	만기/NNG+가/JKC
되면	되/VV+면/EC
749만원을	749/SN+만/NR+원/NNB+을/JKO
타게	타/VV+게/EC
되는데,	되/VV+는데/EC+,/SP
미소금융재단의	미소/NNG+금융/NNG+재단/NNG+의/JKG
지원이	지원/NNG+이/JKS
없을	없/VA+을/ETM
경우에	경우/NNG+에/JKB
견줘	견주/VV+어/EC
115만원의	115/SN+만/NR+원/NNB+의/JKG
이자수익을	이자/NNG+수익/NNG+을/JKO
더	더/MAG
받게되는	받/VV+게/EC+되/VV+는/ETM
셈이다.”	셈/NNB+이/VCP+다/EF+./SF+”/SS


