# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.363
metadata : {}


# id : NWRW1800000030.363.1.1
[수도권Ⅲ] 용인경전철 개통지연, 국제중재로 판가름

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
넘게	넘/VV+게/EC
소요되는	소요/NNG+되/XSV+는/ETM
국제중재법원의	국제/NNG+중재/NNG+법원/NNG+의/JKG
중재	중재/NNG
절차에	절차/NNG+에/JKB
운명이	운명/NNG+이/JKS
결정되게	결정/NNG+되/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.363.8.1
ICC는 국제 간 상업거래의 정상화와 민간기업의 이익을 국제적으로 대변하기 위한 기구로, 산하에 국제분쟁의 조정과 중재를 위한 '국제중재법원'을 두고 있다.

ICC는	ICC/SL+는/JX
국제	국제/NNG
간	간/NNB
상업거래의	상업/NNG+거래/NNG+의/JKG
정상화와	정상/NNG+화/XSN+와/JKB
민간기업의	민간/NNG+기업/NNG+의/JKG
이익을	이익/NNG+을/JKO
국제적으로	국제/NNG+적/XSN+으로/JKB
대변하기	대변/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
기구로,	기구/NNG+로/JKB+,/SP
산하에	산하/NNG+에/JKB
국제분쟁의	국제/NNG+분쟁/NNG+의/JKG
조정과	조정/NNG+과/JC
중재를	중재/NNG+를/JKO
'국제중재법원'을	'/SS+국제/NNG+중재/NNG+법원/NNG+'/SS+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.363.8.2
국제중재법원의 중재 판정은 국내법과 같은 효력을 갖고 있어 주문 관청이나 시행사는 그대로 따라야 한다.

국제중재법원의	국제/NNG+중재/NNG+법원/NNG+의/JKG
중재	중재/NNG
판정은	판정/NNG+은/JX
국내법과	국내법/NNG+과/JKB
같은	같/VA+은/ETM
효력을	효력/NNG+을/JKO
갖고	갖/VV+고/EC
있어	있/VX+어/EC
주문	주문/NNG
관청이나	관청/NNG+이나/JC
시행사는	시행사/NNG+는/JX
그대로	그대로/MAG
따라야	따르/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.363.9.1
이와 관련, 김학규 용인시장은 "경전철은 공공성을 띠는 사업이기에 '선준공 후개통' 원칙에는 변함이 없다"며 "시민의 안전과 환경소음을 막는 데 우선점을 두고 용인경전철(주)의 국제 중재 신청에 적극 대응해 나갈 것"이라고 말했다.

이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
김학규	김학규/NNP
용인시장은	용인시장/NNG+은/JX
"경전철은	"/SS+경전철/NNG+은/JX
공공성을	공공/NNG+성/XSN+을/JKO
띠는	띠/VV+는/ETM
사업이기에	사업/NNG+이/VCP+기에/EC
'선준공	'/SS+선준공/NNG
후개통'	후/NNG+개통/NNG+'/SS
원칙에는	원칙/NNG+에/JKB+는/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"시민의	"/SS+시민/NNG+의/JKG
안전과	안전/NNG+과/JC
환경소음을	환경/NNG+소음/NNG+을/JKO
막는	막/VV+는/ETM
데	데/NNB
우선점을	우선/NNG+점/NNG+을/JKO
두고	두/VV+고/EC
용인경전철(주)의	용인경전철/NNP+(/SS+주/NNG+)/SS+의/JKG
국제	국제/NNG
중재	중재/NNG
신청에	신청/NNG+에/JKB
적극	적극/NNG
대응해	대응/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


