# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.393
metadata : {}


# id : NWRW1800000046.393.1.1
"노무현은 변형된 공산주의자" 고영주 이사장(방문진) 발언 또 시끌

"노무현은	"/SS+노무현/NNP+은/JX
기구로	기구/NNG+로/JKB
MBC	MBC/SL
사장	사장/NNG
임명권을	임명/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.393.4.2
고 이사장은 이날 "노무현 전 대통령이 변형된 공산주의자인가"라고 묻는 새정치연합 최민희 의원의 질문에 "그렇다"라고 답했다.

고	고/NNP
이사장은	이사장/NNG+은/JX
이날	이날/NNG
"노무현	"/SS+노무현/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
변형된	변형/NNG+되/XSV+ㄴ/ETM
공산주의자인가"라고	공산주의자/NNG+이/VCP+ㄴ가/EF+"/SS+라고/JKQ
묻는	묻/VV+는/ETM
새정치연합	새정치연합/NNP
최민희	최민희/NNP
의원의	의원/NNG+의/JKG
질문에	질문/NNG+에/JKB
"그렇다"라고	"/SS+그렇/VA+다/EF+"/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.4.3
최 의원이 "노 전 대통령이 공산주의자인가"라고 다시 묻자, 고 이사장은 "민중민주주의자"라고 했다.

최	최/NNP
의원이	의원/NNG+이/JKS
"노	"/SS+노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
공산주의자인가"라고	공산주의자/NNG+이/VCP+ㄴ가/EF+"/SS+라고/JKQ
다시	다시/MAG
묻자,	묻/VV+자/EC+,/SP
고	고/NNP
이사장은	이사장/NNG+은/JX
"민중민주주의자"라고	"/SS+민중/NNG+민주주의자/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.4.4
그는 최 의원이 "민중민주주의는 공산주의의 변형이라고 (고 이사장이) 말하지 않았었나. 그럼 노 전 대통령이 변형된 공산주의자란 말이냐"라고 재차 묻자 "비슷하다"고 답했다.

그는	그/NP+는/JX
최	최/NNP
의원이	의원/NNG+이/JKS
"민중민주주의는	"/SS+민중/NNG+민주주의/NNG+는/JX
공산주의의	공산주의/NNG+의/JKG
변형이라고	변형/NNG+이/VCP+라고/EC
(고	(/SS+고/NNP
이사장이)	이사장/NNG+이/JKS+)/SS
말하지	말/NNG+하/XSV+지/EC
않았었나.	않/VX+았었/EP+나/EF+./SF
그럼	그럼/MAJ
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
변형된	변형/NNG+되/XSV+ㄴ/ETM
공산주의자란	공산주의자/NNG+이/VCP+란/ETM
말이냐"라고	말/NNG+이/VCP+냐/EF+"/SS+라고/JKQ
재차	재차/MAG
묻자	묻/VV+자/EC
"비슷하다"고	"/SS+비슷하/VA+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.4.5
고 이사장은 민주화 운동을 했던 여권 인사인 김문수 전 경기지사와 새누리당 이재오 의원에 대해서도 "전향한 공산주의자"라고 했다.

고	고/NNP
이사장은	이사장/NNG+은/JX
민주화	민주/NNG+화/XSN
운동을	운동/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
여권	여권/NNG
인사인	인사/NNG+이/VCP+ㄴ/ETM
김문수	김문수/NNP
전	전/MMD
경기지사와	경기/NNP+지사/NNG+와/JC
새누리당	새누리당/NNP
이재오	이재오/NNP
의원에	의원/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"전향한	"/SS+전향/NNG+하/XSV+ㄴ/ETM
공산주의자"라고	공산주의자/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.4.6
그는 "김대중 전 대통령도 공산주의자라고 생각하느냐"는 질문에는 "지금은 그렇게 생각 안 한다"고 하기도 했다.

그는	그/NP+는/JX
"김대중	"/SS+김대중/NNP
전	전/MMD
대통령도	대통령/NNG+도/JX
공산주의자라고	공산주의자/NNG+이/VCP+라고/EC
생각하느냐"는	생각/NNG+하/XSV+느냐/EF+"/SS+는/ETM
질문에는	질문/NNG+에/JKB+는/JX
"지금은	"/SS+지금/NNG+은/JX
그렇게	그렇/VA+게/EC
생각	생각/NNG
안	안/MAG
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.393.5.1
또 고 이사장은 "지금도 우리나라 사법부에 김일성 장학생이 있다고 생각하느냐"는 야당 의원 질문에 "그렇게 생각한다"고도 했다.

또	또/MAG
고	고/NNP
이사장은	이사장/NNG+은/JX
"지금도	"/SS+지금/NNG+도/JX
우리나라	우리나라/NNG
사법부에	사법부/NNG+에/JKB
김일성	김일성/NNP
장학생이	장학/NNG+생/XSN+이/JKS
있다고	있/VA+다고/EC
생각하느냐"는	생각/NNG+하/XSV+느냐/EF+"/SS+는/ETM
야당	야당/NNG
의원	의원/NNG
질문에	질문/NNG+에/JKB
"그렇게	"/SS+그렇/VA+게/EC
생각한다"고도	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.5.2
"판사, 검찰과 공무원 중에도 있는가"라는 질문에 "물론이다.

"판사,	"/SS+판사/NNG+,/SP
검찰과	검찰/NNG+과/JC
공무원	공무원/NNG
중에도	중/NNB+에/JKB+도/JX
있는가"라는	있/VA+는가/EF+"/SS+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
"물론이다.	"/SS+물론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.393.5.3
있을 수 있다고 보고 대비해야 한다"고 답했다.

있을	있/VA+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
대비해야	대비/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.6.1
새정치연합 전병헌 의원은 고 이사장을 '미 국무부에 205명의 공산주의자가 있다'고 주장했던 존 매카시 의원에 빗대 "자기와 생각이 다르면 공산주의자라 하는 한국의 '고카시'"라고 했다.

새정치연합	새정치연합/NNP
전병헌	전병헌/NNP
의원은	의원/NNG+은/JX
고	고/NNP
이사장을	이사장/NNG+을/JKO
'미	'/SS+미/NNP
국무부에	국무부/NNG+에/JKB
205명의	205/SN+명/NNB+의/JKG
공산주의자가	공산주의자/NNG+가/JKS
있다'고	있/VA+다/EF+'/SS+고/JKQ
주장했던	주장/NNG+하/XSV+았/EP+던/ETM
존	존/NNP
매카시	매카시/NNP
의원에	의원/NNG+에/JKB
빗대	빗대/VV+어/EC
"자기와	"/SS+자기/NP+와/JKB
생각이	생각/NNG+이/JKS
다르면	다르/VA+면/EC
공산주의자라	공산주의자/NNG+이/VCP+라/EC
하는	하/VV+는/ETM
한국의	한국/NNP+의/JKG
'고카시'"라고	'/SS+고카시/NNP+'/SS+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.6.2
고 이사장은 경기고와 서울대 화공과를 졸업하고 사법시험(18회)에 합격해 27년간 검찰에 재직했다.

고	고/NNP
이사장은	이사장/NNG+은/JX
경기고와	경기고/NNP+와/JC
서울대	서울대/NNP
화공과를	화공과/NNG+를/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
사법시험(18회)에	사법/NNG+시험/NNG+(/SS+18/SN+회/NNB+)/SS+에/JKB
합격해	합격/NNG+하/XSV+아/EC
27년간	27/SN+년/NNB+간/XSN
검찰에	검찰/NNG+에/JKB
재직했다.	재직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.393.6.3
지난 8월 방문진 이사장직에 선임됐다.

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
방문진	방문진/NNG
이사장직에	이사장/NNG+직/NNG+에/JKB
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


