# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.99
metadata : {}


# id : NWRW1800000030.99.1.1
"영화 '성춘향' 다시보니 신상옥 더 그리워"

"영화	"/SS+영화/NNG
기념하는	기념/NNG+하/XSV+는/ETM
상영회에	상영회/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000030.99.4.1
'신상옥감독기념사업회'가 주최한 이날 행사에는 신 감독의 아내인 원로배우 최은희(85)씨를 비롯한 영화 관계자와 관객 등 300여명이 참석했다.

'신상옥감독기념사업회'가	'/SS+신상옥감독기념사업회/NNP+'/SS+가/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
이날	이날/NNG
행사에는	행사/NNG+에/JKB+는/JX
신	신/NNP
감독의	감독/NNG+의/JKG
아내인	아내/NNG+이/VCP+ㄴ/ETM
원로배우	원로/NNG+배우/NNG
최은희(85)씨를	최은희/NNP+(/SS+85/SN+)/SS+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
영화	영화/NNG
관계자와	관계자/NNG+와/JC
관객	관객/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.4.2
김수용, 이두용, 정진우, 심우섭, 최하원 등 원로 감독과 신영균, 전계현, 고은정, 천선녀, 최지희 등 당대의 배우들이 참석했다.

김수용,	김수용/NNP+,/SP
이두용,	이두용/NNP+,/SP
정진우,	정진우/NNP+,/SP
심우섭,	심우섭/NNP+,/SP
최하원	최하원/NNP
등	등/NNB
원로	원로/NNG
감독과	감독/NNG+과/JC
신영균,	신영균/NNP+,/SP
전계현,	전계현/NNP+,/SP
고은정,	고은정/NNP+,/SP
천선녀,	천선녀/NNP+,/SP
최지희	최지희/NNP
당대의	당대/NNG+의/JKG
배우들이	배우/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.4.3
김태용, 강대규, 변영주, 권칠인 등 젊은 감독과 신 감독과 친분이 있던 김동길 전 연세대 교수, 정대철 전 민주당 대표도 참석했다.

김태용,	김태용/NNP+,/SP
강대규,	강대규/NNP+,/SP
변영주,	변영주/NNP+,/SP
권칠인	권칠인/NNP
등	등/NNB
젊은	젊/VA+은/ETM
감독과	감독/NNG+과/JKB
신	신/NNP
친분이	친분/NNG+이/JKS
있던	있/VA+던/ETM
김동길	김동길/NNP
전	전/MMD
연세대	연세대/NNP
교수,	교수/NNG+,/SP
정대철	정대철/NNP
민주당	민주당/NNP
대표도	대표/NNG+도/JX
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.5.1
신 감독은 1952년 '악야'로 데뷔해 '무영탑'(1957), '동심초'(1959) 등의 문학 작품을 영화화했다.

신	신/NNP
감독은	감독/NNG+은/JX
1952년	1952/SN+년/NNB
'악야'로	'/SS+악야/NNP+'/SS+로/JKB
데뷔해	데뷔/NNG+하/XSV+아/EC
'무영탑'(1957),	'/SS+무영탑/NNP+'/SS+(/SS+1957/SN+)/SS+,/SP
'동심초'(1959)	'/SS+동심초/NNP+'/SS+(/SS+1959/SN+)/SS
등의	등/NNB+의/JKG
문학	문학/NNG
작품을	작품/NNG+을/JKO
영화화했다.	영화/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.5.2
또 '로맨스 빠빠'(1960), '빨간 마후라'(1964) 등으로 대중영화의 폭을 넓혔다는 평가를 받았다.

또	또/MAG
'로맨스	'/SS+로맨스/NNG
빠빠'(1960),	빠빠/NNP+'/SS+(/SS+1960/SN+)/SS+,/SP
'빨간	'/SS+빨갛/VA+ㄴ/ETM
마후라'(1964)	마후라/NNG+'/SS+(/SS+1964/SN+)/SS
등으로	등/NNB+으로/JKB
대중영화의	대중/NNG+영화/NNG+의/JKG
폭을	폭/NNG+을/JKO
넓혔다는	넓히/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.5.3
1978년 홍콩에서 납북된 뒤 1986년 북한을 탈출하는 등 극적인 일생을 살다가 2006년 80세로 타계했다.

1978년	1978/SN+년/NNB
홍콩에서	홍콩/NNP+에서/JKB
납북된	납북/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
1986년	1986/SN+년/NNB
북한을	북한/NNP+을/JKO
탈출하는	탈출/NNG+하/XSV+는/ETM
등	등/NNB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
일생을	일생/NNG+을/JKO
살다가	살/VV+다가/EC
2006년	2006/SN+년/NNB
80세로	80/SN+세/NNB+로/JKB
타계했다.	타계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.6.1
최은희씨는 50년 만에 영화를 다시 보며 "세월이 이렇게 빠르게 흐르다니 말로 표현할 수 없다"면서 "그분(신상옥 감독)이 떠나신 지 5년이 흘렀는데 너무 가슴이 아프다.

최은희씨는	최은희/NNP+씨/NNB+는/JX
50년	50/SN+년/NNB
만에	만/NNB+에/JKB
영화를	영화/NNG+를/JKO
다시	다시/MAG
보며	보/VV+며/EC
"세월이	"/SS+세월/NNG+이/JKS
이렇게	이렇/VA+게/EC
빠르게	빠르/VA+게/EC
흐르다니	흐르/VV+다니/EC
말로	말/NNG+로/JKB
표현할	표현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
"그분(신상옥	"/SS+그분/NP+(/SS+신상옥/NNP
감독)이	감독/NNG+)/SS+이/JKS
떠나신	떠나/VV+시/EP+ㄴ/ETM
지	지/NNB
5년이	5/SN+년/NNB+이/JKS
흘렀는데	흐르/VV+었/EP+는데/EC
너무	너무/MAG
가슴이	가슴/NNG+이/JKS
아프다.	아프/VA+다/EF+./SF


# id : NWRW1800000030.99.6.2
세월이 흐를수록 더욱 더 보고 싶다"고 했다.

세월이	세월/NNG+이/JKS
흐를수록	흐르/VV+ㄹ수록/EC
더욱	더욱/MAG
더	더/MAG
보고	보/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.99.6.3
신상옥·최은희 부부의 아들인 신정구 감독은 "'성춘향'은 아버님이 애착이 컸던 작품의 하나"라며 "납북돼 북에 계실 때도 '사랑사랑 내 사랑'이라는 뮤지컬 영화로 리메이크했었다"고 했다.

신상옥·최은희	신상옥/NNP+·/SP+최은희/NNP
부부의	부부/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
신정구	신정구/NNP
감독은	감독/NNG+은/JX
"'성춘향'은	"/SS+'/SS+성춘향/NNP+'/SS+은/JX
아버님이	아버님/NNG+이/JKS
애착이	애착/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
작품의	작품/NNG+의/JKG
하나"라며	하나/NR+"/SS+이/VCP+라며/EC
"납북돼	"/SS+납북/NNG+되/XSV+어/EC
북에	북/NNP+에/JKB
계실	계시/VV+ㄹ/ETM
때도	때/NNG+도/JX
'사랑사랑	'/SS+사랑/NNG+사랑/NNG
내	나/NP+의/JKG
사랑'이라는	사랑/NNG+'/SS+이/VCP+라는/ETM
뮤지컬	뮤지컬/NNG
영화로	영화/NNG+로/JKB
리메이크했었다"고	리메이크/NNG+하/XSV+았었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


