# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.372
metadata : {}


# id : NWRW1800000033.372.1.1
시진핑, 김하중과 호형호제… 박준영과 “친한 친구”

시진핑,	시진핑/NNP+,/SP
주중대사도	주중/NNG+대사/NNG+도/JX
시	시/NNP
부주석을	부주석/NNG+을/JKO
지근거리에서	지근거리/NNG+에서/JKB
지켜본	지켜보/VV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.372.6.2
신 전 대사는 시 부주석에 대해 “매우 온화하고 평민의 냄새가 많이 나는 지도자”라며 “목소리가 묵직하고 말에 매우 조리가 있다”고 높이 평가했다.

신	신/NNP
전	전/MMD
대사는	대사/NNG+는/JX
시	시/NNP
부주석에	부주석/NNG+에/JKB
대해	대하/VV+아/EC
“매우	“/SS+매우/MAG
온화하고	온화하/VA+고/EC
평민의	평민/NNG+의/JKG
냄새가	냄새/NNG+가/JKS
많이	많이/MAG
나는	나/VV+는/ETM
지도자”라며	지도자/NNG+”/SS+이/VCP+라며/EC
“목소리가	“/SS+목소리/NNG+가/JKS
묵직하고	묵직하/VA+고/EC
말에	말/NNG+에/JKB
매우	매우/MAG
조리가	조리/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.372.7.1
재계에서는 구본무 LG그룹 회장, 이재용 삼성전자 사장과 윤종용 국가지식재산위원회 위원장(전 삼성전자 상임고문), 조석래 효성그룹 회장, 최태원 SK 회장 등이 시 부주석과 만나면서 교류했다.

재계에서는	재계/NNG+에서/JKB+는/JX
구본무	구본무/NNP
LG그룹	LG그룹/NNP
회장,	회장/NNG+,/SP
이재용	이재용/NNP
삼성전자	삼성전자/NNP
사장과	사장/NNG+과/JC
윤종용	윤종용/NNP
국가지식재산위원회	국가지식재산위원회/NNP
위원장(전	위원장/NNG+(/SS+전/MMD
상임고문),	상임/NNG+고문/NNG+)/SS+,/SP
조석래	조석래/NNP
효성그룹	효성그룹/NNP
최태원	최태원/NNP
SK	SK/SL
회장	회장/NNG
등이	등/NNB+이/JKS
시	시/NNP
부주석과	부주석/NNG+과/JKB
만나면서	만나/VV+면서/EC
교류했다.	교류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.372.8.1
시 부주석은 지난해 12월 이명박 대통령의 초청으로 나흘간 한국을 다녀갔다.

시	시/NNP
부주석은	부주석/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
초청으로	초청/NNG+으로/JKB
나흘간	나흘/NNG+간/XSN
한국을	한국/NNP+을/JKO
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.372.8.2
2007년 11월 항저우(杭州) 대한민국 임시정부 청사가 복원돼 문을 열 수 있도록 그가 도와주었기 때문이다.

2007년	2007/SN+년/NNB
11월	11/SN+월/NNB
항저우(杭州)	항저우/NNP+(/SS+杭州/SH+)/SS
대한민국	대한민국/NNP
임시정부	임시/NNG+정부/NNG
청사가	청사/NNG+가/JKS
복원돼	복원/NNG+되/XSV+어/EC
문을	문/NNG+을/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
그가	그/NP+가/JKS
도와주었기	도와주/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.372.9.1
시 부주석은 “한중 관계는 역사적으로 가까운 이웃으로서 서로 보완하고 인적 물적 교류가 활발해져야 한다”는 말을 종종 했다.

시	시/NNP
부주석은	부주석/NNG+은/JX
“한중	“/SS+한중/NNP
관계는	관계/NNG+는/JX
역사적으로	역사/NNG+적/XSN+으로/JKB
가까운	가깝/VA+ㄴ/ETM
이웃으로서	이웃/NNG+으로서/JKB
서로	서로/MAG
보완하고	보완/NNG+하/XSV+고/EC
인적	인/NNG+적/XSN
물적	물/NNG+적/XSN
교류가	교류/NNG+가/JKS
활발해져야	활발하/VA+아/EC+지/VX+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
말을	말/NNG+을/JKO
종종	종종/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.372.9.2
올해 8월 31일 베이징 인민대회당에서 열린 ‘한중 수교 20주년 리셉션’에도 참석해 한중 관계를 보다 중시하겠다는 뜻을 나타냈다.

올해	올해/NNG
8월	8/SN+월/NNB
31일	31/SN+일/NNB
베이징	베이징/NNP
인민대회당에서	인민대회당/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘한중	‘/SS+한중/NNP
수교	수교/NNG
20주년	20/SN+주년/NNB
리셉션’에도	리셉션/NNG+’/SS+에/JKB+도/JX
참석해	참석/NNG+하/XSV+아/EC
한중	한중/NNP
관계를	관계/NNG+를/JKO
보다	보다/MAG
중시하겠다는	중시/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


