# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.253
metadata : {}


# id : NWRW1800000033.253.1.1
정조국 우승축포… 2년 만에 다시 부르는 ‘서울 찬가’

정조국	정조국/NNP
뚫기	뚫/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000033.253.7.1
‘무공해(무조건 공격해) 축구’를 구사한 2년차 최용수 감독의 지도력도 높게 평가받고 있다.

‘무공해(무조건	‘/SS+무/XPN+공해/NNG+(/SS+무/XPN+조건/NNG
공격해)	공격/NNG+하/XSV+아/EF+)/SS
축구’를	축구/NNG+’/SS+를/JKO
구사한	구사/NNG+하/XSV+ㄴ/ETM
2년차	2/SN+년/NNB+차/NNB
최용수	최용수/NNP
감독의	감독/NNG+의/JKG
지도력도	지도력/NNG+도/JX
높게	높/VA+게/EC
평가받고	평가/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.253.7.2
박 감독은 “최 감독은 지도자 경험이 얼마 안 되지만 확고한 철학을 가지고 있다.

박	박/NNP
감독은	감독/NNG+은/JX
“최	“/SS+최/NNP
지도자	지도자/NNG
경험이	경험/NNG+이/JKS
얼마	얼마/NNG
안	안/MAG
되지만	되/VV+지만/EC
확고한	확고하/VA+ㄴ/ETM
철학을	철학/NNG+을/JKO
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.253.7.3
데얀과 몰리나, 하대성 등 개성이 강한 대표급 선수들을 하나로 만들어 내는 것을 보면 정말 대단하다”고 말했다.

데얀과	데얀/NNP+과/JKB
몰리나,	몰리나/NNP+,/SP
하대성	하대성/NNP
등	등/NNB
개성이	개성/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
대표급	대표급/NNG
선수들을	선수/NNG+들/XSN+을/JKO
하나로	하나/NR+로/JKB
만들어	만들/VV+어/EC
내는	내/VX+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
정말	정말/MAG
대단하다”고	대단하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.7.4
박 감독은 “셰놀 귀네슈(터키), 넬로 빙가다(포르투갈) 등 외국 감독과 조광래, 이장수, 황보관 감독들을 지켜보며 자신만의 축구 철학을 다진 것 같다”고 분석했다.

박	박/NNP
감독은	감독/NNG+은/JX
“셰놀	“/SS+셰놀/NNP
귀네슈(터키),	귀네슈/NNP+(/SS+터키/NNP+)/SS+,/SP
넬로	넬로/NNP
빙가다(포르투갈)	빙가다/NNP+(/SS+포르투갈/NNP+)/SS
등	등/NNB
외국	외국/NNG
감독과	감독/NNG+과/JC
조광래,	조광래/NNP+,/SP
이장수,	이장수/NNP+,/SP
황보관	황보관/NNP
감독들을	감독/NNG+들/XSN+을/JKO
지켜보며	지켜보/VV+며/EC
자신만의	자신/NNG+만/JX+의/JKG
축구	축구/NNG
철학을	철학/NNG+을/JKO
다진	다지/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.7.5
어디 하나 빠지지 않는 팀컬러가 서울의 통산 5회(럭키금성, 안양 LG 시절 포함) 우승의 원동력인 셈이다.

어디	어디/NP
하나	하나/NR
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
팀컬러가	팀/NNG+컬러/NNG+가/JKS
서울의	서울/NNP+의/JKG
통산	통산/NNG
5회(럭키금성,	5/SN+회/NNB+(/SS+럭키금성/NNP+,/SP
안양	안양/NNP
LG	LG/SL
시절	시절/NNG
포함)	포함/NNG+)/SS
우승의	우승/NNG+의/JKG
원동력인	원동력/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.253.7.6
서울은 우승상금 5억 원과 2013년 아시아축구연맹(AFC) 챔피언스리그 출전권을 획득했다.

서울은	서울/NNP+은/JX
우승상금	우승/NNG+상금/NNG
5억	5/SN+억/NR
원과	원/NNB+과/JC
2013년	2013/SN+년/NNB
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그	챔피언스리그/NNG
출전권을	출전/NNG+권/XSN+을/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.7.7
서울은 25일 전북과의 홈경기에서 우승 세리머니를 한다.

서울은	서울/NNP+은/JX
25일	25/SN+일/NNB
전북과의	전북/NNP+과/JKB+의/JKG
홈경기에서	홈경기/NNG+에서/JKB
우승	우승/NNG
세리머니를	세리머니/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.253.8.1
서울은 전반 36분 오른쪽 골포스트를 맞고 흐르는 볼을 정조국이 골지역 왼쪽을 파고들며 골네트를 갈라 승부를 결정지었다.

서울은	서울/NNP+은/JX
전반	전반/NNG
36분	36/SN+분/NNB
오른쪽	오른쪽/NNG
골포스트를	골포스트/NNG+를/JKO
맞고	맞/VV+고/EC
흐르는	흐르/VV+는/ETM
볼을	볼/NNG+을/JKO
정조국이	정조국/NNP+이/JKS
골지역	골/NNG+지역/NNG
왼쪽을	왼쪽/NNG+을/JKO
파고들며	파고들/VV+며/EC
골네트를	골네트/NNG+를/JKO
갈라	가르/VV+아/EC
승부를	승부/NNG+를/JKO
결정지었다.	결정짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.253.8.2
서울은 2008년 8월부터 이어온 제주전 무패행진을 15(10승 5무)로 늘렸다.

서울은	서울/NNP+은/JX
2008년	2008/SN+년/NNB
8월부터	8/SN+월/NNB+부터/JX
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
제주전	제주전/NNG
무패행진을	무패/NNG+행진/NNG+을/JKO
15(10승	15/SN+(/SS+10/SN+승/NNB
5무)로	5/SN+무/NNB+)/SS+로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.253.8.3
제주는 2년 전 챔피언결정전에서 서울에 진 데 이어 이날도 ‘우승 들러리’를 서야 했다.

제주는	제주/NNP+는/JX
2년	2/SN+년/NNB
전	전/NNG
챔피언결정전에서	챔피언/NNG+결정전/NNG+에서/JKB
서울에	서울/NNP+에/JKB
진	지/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이날도	이날/NNG+도/JX
‘우승	‘/SS+우승/NNG
들러리’를	들러리/NNG+’/SS+를/JKO
서야	서/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.253.9.1
전북은 울산과의 경기에서 전반까지 1-3으로 뒤지다 이동국(2골)과 에닝요의 연속골로 3-3까지 따라붙었지만 역전극을 펼치진 못했다.

전북은	전북/NNP+은/JX
울산과의	울산/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
전반까지	전반/NNG+까지/JX
1-3으로	1/SN+-/SO+3/SN+으로/JKB
뒤지다	뒤지/VV+다/EC
이동국(2골)과	이동국/NNP+(/SS+2/SN+골/NNG+)/SS+과/JC
에닝요의	에닝요/NNP+의/JKG
연속골로	연속/NNG+골/NNG+로/JKB
3-3까지	3/SN+-/SO+3/SN+까지/JX
따라붙었지만	따라붙/VV+었/EP+지만/EC
역전극을	역전극/NNG+을/JKO
펼치진	펼치/VV+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.253.9.2
2012년 AFC 챔피언스리그 챔피언 울산은 경기 종료 직전 페널티킥을 얻었지만 곽태휘가 실축하는 바람에 승점 3점을 챙길 기회를 날리고 5위(승점 61)를 지켰다.

2012년	2012/SN+년/NNB
AFC	AFC/SL
챔피언스리그	챔피언스리그/NNG
챔피언	챔피언/NNG
울산은	울산/NNP+은/JX
경기	경기/NNG
종료	종료/NNG
직전	직전/NNG
페널티킥을	페널티/NNG+킥/NNG+을/JKO
얻었지만	얻/VV+었/EP+지만/EC
곽태휘가	곽태휘/NNP+가/JKS
실축하는	실축/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
승점	승점/NNG
3점을	3/SN+점/NNB+을/JKO
챙길	챙기/VV+ㄹ/ETM
기회를	기회/NNG+를/JKO
날리고	날리/VV+고/EC
5위(승점	5/SN+위/NNB+(/SS+승점/NNG
61)를	61/SN+)/SS+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.253.10.1
2부 리그 강등 위기에 몰린 강원은 전남에 2-3으로 져 승점 40으로 이날 인천과 1-1로 비긴 14위 광주(승점 41)에 1점 뒤진 15위를 기록했다.

2부	2부/NNG
리그	리그/NNG
강등	강등/NNG
위기에	위기/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
강원은	강원/NNP+은/JX
전남에	전남/NNP+에/JKB
2-3으로	2/SN+-/SO+3/SN+으로/JKB
져	지/VV+어/EC
승점	승점/NNG
40으로	40/SN+으로/JKB
이날	이날/NNG
인천과	인천/NNP+과/JKB
1-1로	1/SN+-/SO+1/SN+로/JKB
비긴	비기/VV+ㄴ/ETM
14위	14/SN+위/NNB
광주(승점	광주/NNP+(/SS+승점/NNG
41)에	41/SN+)/SS+에/JKB
1점	1/SN+점/NNB
뒤진	뒤지/VV+ㄴ/ETM
15위를	15/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.253.10.2
이미 강등이 확정된 상주를 빼곤 최하위다.

이미	이미/MAG
강등이	강등/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
상주를	상주/NNP+를/JKO
빼곤	빼/VV+곤/EC
최하위다.	최/XPN+하위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.253.10.3
B그룹에서는 두 팀이 내년부터 2부로 떨어진다.

B그룹에서는	B/SL+그룹/NNG+에서/JKB+는/JX
두	두/MMN
팀이	팀/NNG+이/JKS
내년부터	내년/NNG+부터/JX
2부로	2부/NNG+로/JKB
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


