# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.410
metadata : {}


# id : NWRW1800000028.410.1.1
“야 ×××야, 똑바로 안해?”…한국볼링 감독, 아시아경기서 선수 구타

“야	“/SS+야/IC
깔깔	깔깔/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.410.4.2
대회 공식 누리집인 ‘인포 2010 광저우아시아경기대회’에 선수 인터뷰를 올리는 두바이위 신화통신 국제부 기자는 경기 뒤 감독에게 “그렇게 때리면 선수들 자존심이 상하는 게 아니냐”고 물었고, 감독은 “그런 것들 선수들은 생각 안 한다.

대회	대회/NNG
공식	공식/NNG
누리집인	누리집/NNG+이/VCP+ㄴ/ETM
‘인포	‘/SS+인포/NNP
2010	2010/SN
광저우아시아경기대회’에	광저우/NNP+아시아/NNP+경기/NNG+대회/NNG+’/SS+에/JKB
선수	선수/NNG
인터뷰를	인터뷰/NNG+를/JKO
올리는	올리/VV+는/ETM
두바이위	두바이위/NNP
신화통신	신화통신/NNP
국제부	국제부/NNG
기자는	기자/NNG+는/JX
경기	경기/NNG
뒤	뒤/NNG
감독에게	감독/NNG+에게/JKB
“그렇게	“/SS+그렇/VA+게/EC
때리면	때리/VV+면/EC
선수들	선수/NNG+들/XSN
자존심이	자존심/NNG+이/JKS
상하는	상하/VV+는/ETM
게	거/NNB+이/JKC
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
물었고,	묻/VV+었/EP+고/EC+,/SP
감독은	감독/NNG+은/JX
“그런	“/SS+그런/MMD
것들	것/NNB+들/XSN
선수들은	선수/NNG+들/XSN+은/JX
생각	생각/NNG
안	안/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.410.4.3
선수들이 나를 믿고 따라주기 때문이다.

선수들이	선수/NNG+들/XSN+이/JKS
나를	나/NP+를/JKO
믿고	믿/VV+고/EC
따라주기	따르/VV+아/EC+주/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.410.4.4
그런 것 버려야 금메달을 딸 수 있다”고 태연하게 답했다.

그런	그런/MMD
것	것/NNB
버려야	버리/VV+어야/EC
금메달을	금메달/NNG+을/JKO
딸	따/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
태연하게	태연/NNG+하/XSA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.5
두바이위 기자는 “감독이 남자 선수를 때리는 것은 두 번 봤다.

두바이위	두바이위/NNP
기자는	기자/NNG+는/JX
“감독이	“/SS+감독/NNG+이/JKS
남자	남자/NNG
선수를	선수/NNG+를/JKO
때리는	때리/VV+는/ETM
것은	것/NNB+은/JX
두	두/MMN
번	번/NNB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.6
그런데 여자 선수들에게는 잘해줬다”고 의아해했다.

그런데	그런데/MAJ
여자	여자/NNG
선수들에게는	선수/NNG+들/XSN+에게/JKB+는/JX
잘해줬다”고	잘/MAG+하/XSV+아/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
의아해했다.	의아/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.7
그런 상황에서 딴 금메달.

그런	그런/MMD
상황에서	상황/NNG+에서/JKB
딴	따/VV+ㄴ/ETM
금메달.	금메달/NNG+./SF


# id : NWRW1800000028.410.4.8
선수들은 눈물을 펑펑 흘리며 좋아했고, 막내 홍해솔(20·한국체대)은 “군대에 가지 않게 됐다”며 더욱 그랬다.

선수들은	선수/NNG+들/XSN+은/JX
눈물을	눈물/NNG+을/JKO
펑펑	펑펑/MAG
흘리며	흘리/VV+며/EC
좋아했고,	좋아하/VV+았/EP+고/EC+,/SP
막내	막내/NNG
홍해솔(20·한국체대)은	홍해솔/NNP+(/SS+20/SN+·/SP+한국체대/NNP+)/SS+은/JX
“군대에	“/SS+군대/NNG+에/JKB
가지	가/VV+지/EC
않게	않/VX+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
더욱	더욱/MAG
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.410.4.9
22일 톈허 볼링홀에서 열린 2010 광저우아시아경기대회 볼링 남자 5인조 결승.

22일	22/SN+일/NNB
톈허	톈허/NNP
볼링홀에서	볼링/NNG+홀/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
2010	2010/SN
광저우아시아경기대회	광저우/NNP+아시아/NNP+경기/NNG+대회/NNG
볼링	볼링/NNG
남자	남자/NNG
5인조	5/SN+인/NNG+조/NNG
결승.	결승/NNG+./SF


# id : NWRW1800000028.410.4.10
강도인(57) 감독이 이끄는 한국팀은 최복음(23·광양시청), 최용규(23·부산시청), 장동철(24·울주군청), 조영선(24·양산시청), 서상천(26·제천시청), 홍해솔 등 6명이 번갈아가며 출전해 합계 6654점으로, 막판까지 선두를 달리던 말레이시아(6579점)를 75점 차이로 따돌리고 금메달을 차지했다.

강도인(57)	강도인/NNP+(/SS+57/SN+)/SS
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
한국팀은	한국/NNP+팀/NNG+은/JX
최복음(23·광양시청),	최복음/NNP+(/SS+23/SN+·/SP+광양시청/NNP+)/SS+,/SP
최용규(23·부산시청),	최용규/NNP+(/SS+23/SN+·/SP+부산시청/NNP+)/SS+,/SP
장동철(24·울주군청),	장동철/NNP+(/SS+24/SN+·/SP+울주군청/NNP+)/SS+,/SP
조영선(24·양산시청),	조영선/NNP+(/SS+24/SN+·/SP+양산시청/NNP+)/SS+,/SP
서상천(26·제천시청),	서상천/NNP+(/SS+26/SN+·/SP+제천시청/NNP+)/SS+,/SP
홍해솔	홍해솔/NNP
등	등/NNB
6명이	6/SN+명/NNB+이/JKS
번갈아가며	번갈/VV+아/EC+가/VX+며/EC
출전해	출전/NNG+하/XSV+아/EC
합계	합계/NNG
6654점으로,	6654/SN+점/NNB+으로/JKB+,/SP
막판까지	막판/NNG+까지/JX
선두를	선두/NNG+를/JKO
달리던	달리/VV+던/ETM
말레이시아(6579점)를	말레이시아/NNP+(/SS+6579/SN+점/NNB+)/SS+를/JKO
75점	75/SN+점/NNB
차이로	차이/NNG+로/JKB
따돌리고	따돌리/VV+고/EC
금메달을	금메달/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.11
20일 남자 3인조에서 우승했던 최복음, 장동철, 최용규는 2관왕에 올랐다.

20일	20/SN+일/NNB
남자	남자/NNG
3인조에서	3/SN+인/NNG+조/NNG+에서/JKB
우승했던	우승/NNG+하/XSV+았/EP+던/ETM
최복음,	최복음/NNP+,/SP
장동철,	장동철/NNP+,/SP
최용규는	최용규/NNP+는/JX
2관왕에	2관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.12
남자 5인조에서 한국이 우승한 것은 1994년 히로시마대회 이후 16년 만이다.

남자	남자/NNG
5인조에서	5/SN+인/NNG+조/NNG+에서/JKB
한국이	한국/NNP+이/JKS
우승한	우승/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
1994년	1994/SN+년/NNB
히로시마대회	히로시마/NNP+대회/NNG
이후	이후/NNG
16년	16/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.410.4.13
여자부 개인종합에서는 황선옥(22·평택시청)이 1위에 오르며 5인조와 개인전까지 합해 3관왕에 올랐다.

여자부	여자부/NNG
개인종합에서는	개인/NNG+종합/NNG+에서/JKB+는/JX
황선옥(22·평택시청)이	황선옥/NNP+(/SS+22/SN+·/SP+평택시청/NNP+)/SS+이/JKS
1위에	1/SN+위/NNB+에/JKB
오르며	오르/VV+며/EC
5인조와	5/SN+인/NNG+조/NNG+와/JKB
개인전까지	개인전/NNG+까지/JX
합해	합/NNG+하/XSV+아/EC
3관왕에	3관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.410.4.14
황선옥은 이날 5인조에서도 최진아(26·대전시청), 손연희(26·용인시청), 홍수연(26·서울시설공단), 강혜은(26·창원시청), 전은희(21·한체대)와 함께 6711점으로 금메달을 합작했다.

황선옥은	황선옥/NNP+은/JX
이날	이날/NNG
5인조에서도	5/SN+인/NNG+조/NNG+에서/JKB+도/JX
최진아(26·대전시청),	최진아/NNP+(/SS+26/SN+·/SP+대전시청/NNP+)/SS+,/SP
손연희(26·용인시청),	손연희/NNP+(/SS+26/SN+·/SP+용인시청/NNP+)/SS+,/SP
홍수연(26·서울시설공단),	홍수연/NNP+(/SS+26/SN+·/SP+서울시설공단/NNP+)/SS+,/SP
강혜은(26·창원시청),	강혜은/NNP+(/SS+26/SN+·/SP+창원시청/NNP+)/SS+,/SP
전은희(21·한체대)와	전은희/NNP+(/SS+21/SN+·/SP+한체대/NNP+)/SS+와/JKB
함께	함께/MAG
6711점으로	6711/SN+점/NNB+으로/JKB
금메달을	금메달/NNG+을/JKO
합작했다.	합작/NNG+하/XSV+았/EP+다/EF+./SF


