# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.388
metadata : {}


# id : NWRW1800000038.388.1.1
국가기록원, 기록물 2822만건 소장… 대화록은 10일내 국회 보내야

국가기록원,	국가/NNG+기록원/NNG+,/SP
국가기록원이 대통령과 관련한 문서를 별도로 보존하기 시작한 것은 2007년 대통령기록물관리법이 제정되면서부터다.

국가기록원이	국가/NNG+기록원/NNG+이/JKS
대통령과	대통령/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문서를	문서/NNG+를/JKO
별도로	별도/NNG+로/JKB
보존하기	보존/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
대통령기록물관리법이	대통령/NNG+기록물/NNG+관리법/NNG+이/JKS
제정되면서부터다.	제정/NNG+되/XSV+면서/EC+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000038.388.5.4
현재 국가기록원 본원은 정부 대전청사에 있지만 대통령과 관련된 기록물은 경기도 성남에 있는 대통령기록관에 있다.

현재	현재/MAG
국가기록원	국가/NNG+기록원/NNG
본원은	본원/NNG+은/JX
정부	정부/NNG
대전청사에	대전청사/NNP+에/JKB
있지만	있/VA+지만/EC
대통령과	대통령/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
기록물은	기록물/NNG+은/JX
경기도	경기도/NNP
성남에	성남/NNP+에/JKB
있는	있/VA+는/ETM
대통령기록관에	대통령/NNG+기록관/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.388.6.1
대통령기록관에는 역대 대통령 11명과 권한대행 3명 등 총 14명의 기록물 1957만279건이 소장돼 있다.

대통령기록관에는	대통령/NNG+기록관/NNG+에/JKB+는/JX
역대	역대/NNG
대통령	대통령/NNG
11명과	11/SN+명/NNB+과/JC
권한대행	권한/NNG+대행/NNG
3명	3/SN+명/NNB
등	등/NNB
총	총/MMA
14명의	14/SN+명/NNB+의/JKG
기록물	기록물/NNG
1957만279건이	1957/SN+만/NR+279/SN+건/NNB+이/JKS
소장돼	소장/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.388.6.2
이 중 가장 많은 기록물이 보관된 대통령은 이명박 전 대통령으로 1087만9864건이고, 그 뒤를 이어 고(故) 노무현 전 대통령의 기록물 755만201건이 있다.

이	이/MMD
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
기록물이	기록물/NNG+이/JKS
보관된	보관/NNG+되/XSV+ㄴ/ETM
대통령은	대통령/NNG+은/JX
이명박	이명박/NNP
전	전/MMD
대통령으로	대통령/NNG+으로/JKB
1087만9864건이고,	1087/SN+만/NR+9864/SN+건/NNB+이/VCP+고/EC+,/SP
그	그/MMD
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
고(故)	고/MMA+(/SS+故/SH+)/SS
노무현	노무현/NNP
대통령의	대통령/NNG+의/JKG
기록물	기록물/NNG
755만201건이	755/SN+만/NR+201/SN+건/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.388.7.1
국가기록원은 비공개로 분류한 대통령 기록물은 이관된 지 5년 뒤부터 1년 내에 공개·비공개 여부를 다시 분류한다.

국가기록원은	국가/NNG+기록원/NNG+은/JX
비공개로	비/XPN+공개/NNG+로/JKB
분류한	분류/NNG+하/XSV+ㄴ/ETM
대통령	대통령/NNG
기록물은	기록물/NNG+은/JX
이관된	이관/NNG+되/XSV+ㄴ/ETM
지	지/NNB
5년	5/SN+년/NNB
뒤부터	뒤/NNG+부터/JX
1년	1/SN+년/NNB
내에	내/NNB+에/JKB
공개·비공개	공개/NNG+·/SP+비/XPN+공개/NNG
여부를	여부/NNG+를/JKO
다시	다시/MAG
분류한다.	분류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.388.7.2
이후 2년마다 심의를 거쳐 공개할 기록물은 국민에게 공개한다.

이후	이후/NNG
2년마다	2/SN+년/NNB+마다/JX
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
공개할	공개/NNG+하/XSV+ㄹ/ETM
기록물은	기록물/NNG+은/JX
국민에게	국민/NNG+에게/JKB
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.388.7.3
하지만 비공개 기록물이라도 30년이 지나면 공개하는 것이 원칙이다.

하지만	하지만/MAJ
비공개	비/XPN+공개/NNG
기록물이라도	기록물/NNG+이/VCP+라도/EC
30년이	30/SN+년/NNB+이/JKS
지나면	지나/VV+면/EC
공개하는	공개/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
원칙이다.	원칙/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.388.7.4
이렇게 이관된 대통령 기록물은 문서는 서고 2층, 시청각 자료는 지하 1층 서고에 보관된다.

이렇게	이렇/VA+게/EC
이관된	이관/NNG+되/XSV+ㄴ/ETM
대통령	대통령/NNG
기록물은	기록물/NNG+은/JX
문서는	문서/NNG+는/JX
서고	서고/NNG
2층,	2/SN+층/NNG+,/SP
시청각	시청각/NNG
자료는	자료/NNG+는/JX
지하	지하/NNG
1층	1/SN+층/NNG
서고에	서고/NNG+에/JKB
보관된다.	보관/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.388.7.5
성남의 대통령기록관은 국가기록원 직원 중에서도 담당 과장 2명만 출입할 수 있다.

성남의	성남/NNP+의/JKG
대통령기록관은	대통령/NNG+기록관/NNG+은/JX
국가기록원	국가/NNG+기록원/NNG
직원	직원/NNG
중에서도	중/NNB+에서/JKB+도/JX
담당	담당/NNG
과장	과장/NNG
2명만	2/SN+명/NNB+만/JX
출입할	출입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.388.8.1
국가기록원 관계자는 "(국회에) 2007년 남북 정상회담 회의록의 열람 권한을 주는 것이지 공개 권한을 주는 것이 아니다"고 말했다.

국가기록원	국가/NNG+기록원/NNG
관계자는	관계자/NNG+는/JX
"(국회에)	"/SS+(/SS+국회/NNG+에/JKB+)/SS
2007년	2007/SN+년/NNB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
회의록의	회의록/NNG+의/JKG
열람	열람/NNG
권한을	권한/NNG+을/JKO
주는	주/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
공개	공개/NNG
것이	것/NNB+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.388.8.2
대통령기록물관리법 19조에 따르면 '대통령 기록물에 접근·열람한 자는 그 과정에서 알게 된 비밀 내용을 누설하여서는 안 된다'고 규정한다.

대통령기록물관리법	대통령/NNG+기록물/NNG+관리법/NNG
19조에	19/SN+조/NNB+에/JKB
따르면	따르/VV+면/EC
'대통령	'/SS+대통령/NNG
기록물에	기록물/NNG+에/JKB
접근·열람한	접근/NNG+·/SP+열람/NNG+하/XSV+ㄴ/ETM
자는	자/NNB+는/JX
그	그/MMD
과정에서	과정/NNG+에서/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
비밀	비밀/NNG
내용을	내용/NNG+을/JKO
누설하여서는	누설/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다'고	되/VV+ㄴ다/EF+'/SS+고/JKQ
규정한다.	규정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.388.8.3
하지만 NLL 발언 이후 첨예하게 대립하고 있는 여야가 비밀 내용을 국회에서 공개할 가능성이 크다.

하지만	하지만/MAJ
NLL	NLL/SL
발언	발언/NNG
이후	이후/NNG
첨예하게	첨예하/VA+게/EC
대립하고	대립/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
여야가	여야/NNG+가/JKS
비밀	비밀/NNG
내용을	내용/NNG+을/JKO
국회에서	국회/NNG+에서/JKB
공개할	공개/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.388.8.4
이런 우려에 대해 국가기록원 측은 "국회와 최대한 협조해 열람 범위와 열람 대상을 결정할 방침"이라고 말했다.

이런	이런/MMD
우려에	우려/NNG+에/JKB
대해	대하/VV+아/EC
국가기록원	국가/NNG+기록원/NNG
측은	측/NNB+은/JX
"국회와	"/SS+국회/NNG+와/JKB
최대한	최대한/MAG
협조해	협조/NNG+하/XSV+아/EC
열람	열람/NNG
범위와	범위/NNG+와/JC
대상을	대상/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
방침"이라고	방침/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


