# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.238
metadata : {}


# id : NWRW1800000049.238.1.1
세계적 선수들과 가을 청계천 함께 달려요

세계적	세계/NNG+적/XSN
7위이자	7/SN+위/NNB+이/VCP+자/EC
마스터스	마스터스/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
백광영	백광영/NNP
씨(33분	씨/NNB+(/SS+33/SN+분/NNB
29초)와	29/SN+초/NNB+)/SS+와/JC
5위	5/SN+위/NNB
티머시	티머시/NNP
키멜리(29분	키멜리/NNP+(/SS+29/SN+분/NNB
35초)의	35/SN+초/NNB+)/SS+의/JKG
차는	차/NNG+는/JX
3분	3/SN+분/NNB
54초나	54/SN+초/NNB+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.238.5.4
백 씨는 “2km까지는 따라갔는데 그 뒤로 포기했다”며 혀를 내둘렀다.

백	백/NNP
씨는	씨/NNB+는/JX
“2km까지는	“/SS+2/SN+km/SW+까지/JX+는/JX
따라갔는데	따라가/VV+았/EP+는데/EC
그	그/MMD
뒤로	뒤/NNG+로/JKB
포기했다”며	포기/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
혀를	혀/NNG+를/JKO
내둘렀다.	내두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.238.6.1
대회 운영본부는 풀코스 기록이 2시간 11분대인 선수 3명과 하프코스 기록이 1시간 안팎인 선수 3명을 초청했다.

대회	대회/NNG
운영본부는	운영/NNG+본부/NNG+는/JX
풀코스	풀코스/NNG
기록이	기록/NNG+이/JKS
2시간	2/SN+시간/NNB
11분대인	11/SN+분/NNB+대/XSN+이/VCP+ㄴ/ETM
선수	선수/NNG
3명과	3/SN+명/NNB+과/JKB
하프코스	하프코스/NNG
1시간	1/SN+시간/NNB
안팎인	안팎/NNG+이/VCP+ㄴ/ETM
3명을	3/SN+명/NNB+을/JKO
초청했다.	초청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.238.6.2
올해는 이들을 제치고 ‘톱5’에 이름을 올리는 주인공이 나올 수 있을까.

올해는	올해/NNG+는/JX
이들을	이/NP+들/XSN+을/JKO
제치고	제치/VV+고/EC
‘톱5’에	‘/SS+톱/NNG+5/SN+’/SS+에/JKB
이름을	이름/NNG+을/JKO
올리는	올리/VV+는/ETM
주인공이	주인공/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000049.238.6.3
2013년 서울국제마라톤 마스터스부문에서 우승한 마키노 사에키 씨(29·2시간20분59초)라면 가능할지 모른다.

2013년	2013/SN+년/NNB
서울국제마라톤	서울/NNP+국제/NNG+마라톤/NNG
마스터스부문에서	마스터스/NNG+부문/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
마키노	마키노/NNP
사에키	사에키/NNP
씨(29·2시간20분59초)라면	씨/NNB+(/SS+29/SN+·/SP+2/SN+시간/NNB+20/SN+분/NNB+59/SN+초/NNB+)/SS+이/VCP+라면/EC
가능할지	가능/NNG+하/XSA+ㄹ지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.238.6.4
그는 당시 3연속 우승을 노리던 ‘국내 마스터스 최강자’ 김창원 씨(2시간27분38초)를 여유 있게 제치고 우승했다.

그는	그/NP+는/JX
당시	당시/NNG
3연속	3/SN+연속/NNG
우승을	우승/NNG+을/JKO
노리던	노리/VV+던/ETM
‘국내	‘/SS+국내/NNG
마스터스	마스터스/NNG
최강자’	최강자/NNG+’/SS
김창원	김창원/NNP
씨(2시간27분38초)를	씨/NNB+(/SS+2/SN+시간/NNB+27/SN+분/NNB+38/SN+초/NNB+)/SS+를/JKO
여유	여유/NNG
있게	있/VA+게/EC
제치고	제치/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.238.6.5
10km 개인 최고 기록은 2014년 도쿄에서 수립한 29분50초로 지난해 뛰었다면 6위가 가능했다.

10km	10/SN+km/SW
개인	개인/NNG
최고	최고/NNG
기록은	기록/NNG+은/JX
2014년	2014/SN+년/NNB
도쿄에서	도쿄/NNP+에서/JKB
수립한	수립/NNG+하/XSV+ㄴ/ETM
29분50초로	29/SN+분/NNB+50/SN+초/NNB+로/JKB
지난해	지난해/NNG
뛰었다면	뛰/VV+었/EP+다면/EC
6위가	6/SN+위/NNB+가/JKS
가능했다.	가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.238.6.6
마키노 씨는 “한국에서 뛸 때마다 기록이 좋았다.

마키노	마키노/NNP
씨는	씨/NNB+는/JX
“한국에서	“/SS+한국/NNP+에서/JKB
뛸	뛰/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
기록이	기록/NNG+이/JKS
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.238.6.7
10km 경험은 많지 않지만 선두에 바짝 달라붙어 입상(5위 이내)을 목표로 하겠다”고 말했다.

10km	10/SN+km/SW
경험은	경험/NNG+은/JX
많지	많/VA+지/EC
않지만	않/VX+지만/EC
선두에	선두/NNG+에/JKB
바짝	바짝/MAG
달라붙어	달라붙/VV+어/EC
입상(5위	입상/NNG+(/SS+5/SN+위/NNB
이내)을	이내/NNG+)/SS+을/JKO
목표로	목표/NNG+로/JKB
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.238.7.1
길이 평탄하고 곧아 기록 단축 가능성이 높은 10km는 서울 도심 명소를 두루 감상할 수 있다.

길이	길/NNG+이/JKS
평탄하고	평탄/NNG+하/XSA+고/EC
곧아	곧/VA+아/EC
기록	기록/NNG
단축	단축/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
10km는	10/SN+km/SW+는/JX
서울	서울/NNP
도심	도심/NNG
명소를	명소/NNG+를/JKO
두루	두루/MAG
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


