# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.377
metadata : {}


# id : NWRW1800000028.377.1.1
원룸·다세대주택이 전세난 돌파구?

원룸·다세대주택이	원룸/NNG+·/SP+다세대/NNG+주택/NNG+이/JKS
# id : NWRW1800000028.377.6.1
올 들어 9월까지 준공된 도시형 생활주택은 서울 302가구, 부산 419가구, 인천 190가구, 대전 108가구 등 모두 1201가구이며 대도시 물량이 전체의 82%를 차지했다.

올	올/NNG
들어	들/VV+어/EC
9월까지	9/SN+월/NNB+까지/JX
준공된	준공/NNG+되/XSV+ㄴ/ETM
도시형	도시/NNG+형/XSN
생활주택은	생활/NNG+주택/NNG+은/JX
서울	서울/NNP
302가구,	302/SN+가구/NNG+,/SP
부산	부산/NNP
419가구,	419/SN+가구/NNG+,/SP
인천	인천/NNP
190가구,	190/SN+가구/NNG+,/SP
대전	대전/NNP
108가구	108/SN+가구/NNG
등	등/NNB
모두	모두/MAG
1201가구이며	1201/SN+가구/NNG+이/VCP+며/EC
대도시	대/XPN+도시/NNG
물량이	물량/NNG+이/JKS
전체의	전체/NNG+의/JKG
82%를	82/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.377.7.1
국토부는 도시형 생활주택, 특히 12~50㎡ 규모인 원룸형 주택의 경우 주로 도심 임대주택으로 공급되고 있고 건설기간도 6개월~1년으로 짧아 전·월세 가격 안정에 크게 기여할 것으로 기대하고 있다.

국토부는	국토부/NNG+는/JX
도시형	도시/NNG+형/XSN
생활주택,	생활/NNG+주택/NNG+,/SP
특히	특히/MAG
12~50㎡	12/SN+~/SO+50/SN+㎡/SW
규모인	규모/NNG+이/VCP+ㄴ/ETM
원룸형	원룸/NNG+형/XSN
주택의	주택/NNG+의/JKG
경우	경우/NNG
주로	주로/MAG
도심	도심/NNG
임대주택으로	임대/NNG+주택/NNG+으로/JKB
공급되고	공급/NNG+되/XSV+고/EC
있고	있/VX+고/EC
건설기간도	건설/NNG+기간/NNG+도/JX
6개월~1년으로	6/SN+개월/NNB+~/SO+1/SN+년/NNB+으로/JKB
짧아	짧/VA+아/EC
전·월세	전·월세/NNG
가격	가격/NNG
안정에	안정/NNG+에/JKB
크게	크/VA+게/EC
기여할	기여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.377.8.1
박원갑 스피드뱅크 부사장은 “도시형 생활주택은 소형 아파트 부족, 전셋값 상승과 수급 상황이 맞물려 있어 향후 2년 정도는 급증할 것으로 보인다”고 말했다.

박원갑	박원갑/NNP
스피드뱅크	스피드뱅크/NNP
부사장은	부사장/NNG+은/JX
“도시형	“/SS+도시/NNG+형/XSN
생활주택은	생활/NNG+주택/NNG+은/JX
소형	소형/NNG
아파트	아파트/NNG
부족,	부족/NNG+,/SP
전셋값	전셋값/NNG
상승과	상승/NNG+과/JC
수급	수급/NNG
상황이	상황/NNG+이/JKS
맞물려	맞물리/VV+어/EC
있어	있/VX+어/EC
향후	향후/NNG
2년	2/SN+년/NNB
정도는	정도/NNG+는/JX
급증할	급증/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


